# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693381969.712676525115967,0.00255,0.00015,0.00033,0.00000,0.00000,0.00140,0.00443
1693381969.747798204421997,0.00315,0.00014,0.00182,0.00000,0.00409,0.00145,0.01064
1693381969.782274007797241,0.00261,0.00016,0.00001,0.00092,0.00000,0.00137,0.00507
1693381969.817047357559204,0.00280,0.00015,0.00001,0.00089,0.00000,0.00160,0.00546
1693381969.850182294845581,0.00280,0.00018,0.00005,0.00087,0.00000,0.00167,0.00557
1693381969.882352352142334,0.00237,0.00017,0.00007,0.00066,0.00002,0.00158,0.00487
1693381969.915711402893066,0.00281,0.00016,0.00008,0.00061,0.00013,0.00164,0.00545
1693381969.949495315551758,0.00277,0.00017,0.00011,0.00051,0.00013,0.00161,0.00531
1693381969.983036756515503,0.00304,0.00017,0.00003,0.00062,0.00070,0.00153,0.00610
1693381970.014594316482544,0.00317,0.00015,0.00006,0.00048,0.00264,0.00165,0.00816
1693381970.048030614852905,0.00301,0.00018,0.00003,0.00086,0.00024,0.00188,0.00620
1693381970.081248044967651,0.00295,0.00016,0.00041,0.00065,0.00023,0.00193,0.00633
1693381970.114634513854980,0.00295,0.00017,0.00032,0.00048,0.00024,0.00184,0.00600
1693381970.147901058197021,0.00293,0.00017,0.00067,0.00051,0.00686,0.00156,0.01270
1693381970.180940628051758,0.00298,0.00019,0.00019,0.00060,0.00075,0.00161,0.00631
1693381970.214068174362183,0.00296,0.00017,0.00044,0.00083,0.00283,0.00176,0.00899
1693381970.247753620147705,0.00375,0.00020,0.00048,0.00122,0.00057,0.00167,0.00789
1693381970.281334638595581,0.00356,0.00018,0.00010,0.00174,0.00247,0.00188,0.00992
1693381970.314735174179077,0.00464,0.00018,0.00014,0.00222,0.00016,0.00186,0.00921
1693381970.348084688186646,0.00336,0.00018,0.00009,0.00235,0.00235,0.00165,0.00998
1693381970.381364345550537,0.00358,0.00017,0.00036,0.00270,0.00398,0.00184,0.01263
1693381970.414511919021606,0.00384,0.00023,0.00010,0.00330,0.00000,0.00188,0.00936
1693381970.447193384170532,0.00367,0.00021,0.00018,0.00347,0.00776,0.00175,0.01704
1693381970.480128526687622,0.00360,0.00019,0.00009,0.00396,0.00296,0.00172,0.01252
1693381970.513334751129150,0.01238,0.00063,0.00173,0.01442,0.01131,0.00304,0.04351
1693381970.546472311019897,0.00368,0.00019,0.00019,0.00452,0.00354,0.00191,0.01404
1693381970.579782009124756,0.00373,0.00023,0.00044,0.00499,0.00086,0.00180,0.01203
1693381970.612965345382690,0.00314,0.00026,0.00023,0.00505,0.00396,0.00178,0.01442
1693381970.646229982376099,0.00355,0.00021,0.00217,0.00536,0.00469,0.00205,0.01804
1693381970.679535865783691,0.00325,0.00021,0.00176,0.00522,0.00028,0.00181,0.01254
1693381970.712840080261230,0.00307,0.00027,0.00141,0.00517,0.00127,0.00181,0.01300
1693381970.746164083480835,0.00376,0.00026,0.00196,0.00495,0.00160,0.00198,0.01452
1693381970.779418945312500,0.00357,0.00024,0.00159,0.00624,0.00401,0.00205,0.01770
1693381970.812252521514893,0.00434,0.00026,0.00133,0.00538,0.00093,0.00183,0.01407
1693381970.845123052597046,0.00324,0.00023,0.00017,0.00489,0.00117,0.00178,0.01148
1693381970.878531455993652,0.00366,0.00023,0.00066,0.00470,0.00248,0.00191,0.01364
1693381970.911841630935669,0.01722,0.00069,0.00146,0.01004,0.00442,0.00276,0.03658
1693381970.945217132568359,0.00349,0.00020,0.00053,0.00498,0.00237,0.00195,0.01354
1693381970.978326082229614,0.00375,0.00025,0.00055,0.00348,0.00288,0.00185,0.01276
1693381971.011410236358643,0.00342,0.00023,0.00025,0.00264,0.00110,0.00216,0.00982
1693381971.044301509857178,0.00348,0.00022,0.00077,0.00162,0.00259,0.00185,0.01053
1693381971.077347517013550,0.00309,0.00020,0.00054,0.00206,0.00224,0.00212,0.01024
1693381971.110936403274536,0.00320,0.00023,0.00093,0.00279,0.00728,0.00223,0.01665
1693381971.144669055938721,0.00341,0.00021,0.00142,0.00407,0.00547,0.00221,0.01680
1693381971.178420782089233,0.00327,0.00025,0.00316,0.00474,0.00605,0.00182,0.01929
1693381971.211998462677002,0.00367,0.00021,0.00014,0.00579,0.00223,0.00199,0.01402
1693381971.245333909988403,0.00578,0.00023,0.00024,0.00616,0.00176,0.00186,0.01604
1693381971.278328180313110,0.00364,0.00025,0.00538,0.00610,0.00294,0.00297,0.02128
1693381971.311394691467285,0.00374,0.00023,0.00028,0.00396,0.00118,0.00209,0.01148
1693381971.344583034515381,0.00521,0.00026,0.00049,0.00293,0.00348,0.00192,0.01429
1693381971.377949953079224,0.00373,0.00027,0.00078,0.00232,0.00159,0.00185,0.01053
1693381971.411554574966431,0.00348,0.00023,0.00092,0.00420,0.00136,0.00217,0.01236
1693381971.445213556289673,0.00329,0.00022,0.00024,0.00555,0.00077,0.00186,0.01193
1693381971.478609085083008,0.00350,0.00021,0.00026,0.00649,0.00113,0.00211,0.01370
1693381971.511885166168213,0.00399,0.00026,0.00002,0.00613,0.00078,0.00249,0.01367
1693381971.545202255249023,0.00357,0.00022,0.00009,0.00562,0.00050,0.00206,0.01207
1693381971.578462123870850,0.00365,0.00022,0.00035,0.00487,0.00382,0.00238,0.01529
1693381971.611614465713501,0.00385,0.00022,0.00482,0.00615,0.00511,0.00198,0.02214
1693381971.644860267639160,0.00344,0.00029,0.00017,0.00548,0.00056,0.00189,0.01182
1693381971.678210496902466,0.00346,0.00026,0.00696,0.00675,0.00071,0.00192,0.02007
1693381971.711452722549438,0.00517,0.00024,0.00146,0.00546,0.00105,0.00208,0.01546
1693381971.744697093963623,0.00459,0.00057,0.00070,0.00294,0.00401,0.00225,0.01505
1693381971.778190612792969,0.00492,0.00022,0.00070,0.00397,0.00075,0.00259,0.01315
1693381971.811722517013550,0.00504,0.00033,0.00082,0.00362,0.00139,0.00250,0.01371
1693381971.845274686813354,0.00452,0.00020,0.00047,0.00496,0.00060,0.00209,0.01284
1693381971.878838300704956,0.00380,0.00022,0.00032,0.00478,0.00250,0.00233,0.01395
1693381971.912473201751709,0.00841,0.00021,0.00015,0.00667,0.00368,0.00215,0.02128
1693381971.946049451828003,0.00413,0.00022,0.00179,0.00711,0.00061,0.00234,0.01621
1693381971.979707479476929,0.00399,0.00024,0.00057,0.00765,0.00103,0.00220,0.01568
1693381972.013410806655884,0.00410,0.00025,0.00526,0.00808,0.00207,0.00211,0.02186
1693381972.046950578689575,0.00371,0.00021,0.00002,0.00834,0.00029,0.00214,0.01471
1693381972.080440759658813,0.00381,0.00021,0.02323,0.00762,0.00313,0.00206,0.04005
1693381972.114009857177734,0.00388,0.00024,0.00351,0.00787,0.00038,0.00230,0.01819
1693381972.147597551345825,0.00404,0.00022,0.00017,0.00754,0.00200,0.00208,0.01606
1693381972.181204319000244,0.00415,0.00022,0.00037,0.00880,0.00052,0.00237,0.01643
1693381972.214798450469971,0.00396,0.00029,0.00016,0.00886,0.00000,0.00219,0.01545
1693381972.248336076736450,0.00375,0.00023,0.00074,0.00756,0.00000,0.00208,0.01436
1693381972.281929969787598,0.00382,0.00023,0.00016,0.00768,0.00074,0.00227,0.01490
1693381972.315555572509766,0.00507,0.00022,0.00222,0.00793,0.00070,0.00206,0.01820
1693381972.349107027053833,0.00368,0.00023,0.00036,0.01224,0.00050,0.00312,0.02014
1693381972.382673740386963,0.00324,0.00021,0.00215,0.00816,0.00069,0.00220,0.01665
1693381972.416238307952881,0.00401,0.00022,0.00503,0.00707,0.00049,0.00241,0.01922
1693381972.449804306030273,0.00334,0.00035,0.00029,0.00809,0.00192,0.00185,0.01584
1693381972.483349084854126,0.00370,0.00022,0.01524,0.00786,0.00193,0.00183,0.03077
1693381972.516877889633179,0.00369,0.00021,0.00012,0.00885,0.00033,0.00213,0.01533
1693381972.550485134124756,0.00398,0.00034,0.00014,0.00869,0.00000,0.00194,0.01509
1693381972.584130764007568,0.00358,0.00025,0.00008,0.00889,0.00010,0.00221,0.01510
1693381972.617761611938477,0.00385,0.00025,0.00044,0.00862,0.00009,0.00218,0.01543
1693381972.651308298110962,0.00355,0.00024,0.00047,0.00828,0.00027,0.00200,0.01481
1693381972.684965372085571,0.00318,0.00020,0.00002,0.00857,0.00028,0.00185,0.01411
1693381972.718487977981567,0.00323,0.00025,0.00009,0.00862,0.00035,0.00188,0.01443
1693381972.752013206481934,0.00305,0.00022,0.00024,0.00830,0.00031,0.00185,0.01397
