# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693381969.713775873184204,0.00191,0.00015,0.00019,0.00000,0.00000,0.00136,0.00361
1693381969.746969461441040,0.00252,0.00013,0.00087,0.00000,0.00262,0.00147,0.00761
1693381969.780010223388672,0.00250,0.00014,0.00005,0.00051,0.00000,0.00174,0.00495
1693381969.812811136245728,0.00257,0.00015,0.00001,0.00055,0.00000,0.00186,0.00513
1693381969.846215009689331,0.00359,0.00015,0.00001,0.00056,0.00000,0.00174,0.00605
1693381969.879992961883545,0.00222,0.00015,0.00007,0.00055,0.00000,0.00145,0.00443
1693381969.913494825363159,0.00326,0.00015,0.00005,0.00059,0.00000,0.00205,0.00611
1693381969.947010755538940,0.00315,0.00023,0.00001,0.00063,0.00000,0.00161,0.00564
1693381969.980765104293823,0.00287,0.00015,0.00022,0.00059,0.00028,0.00220,0.00631
1693381970.014112472534180,0.00285,0.00016,0.00009,0.00055,0.00164,0.00169,0.00699
1693381970.047463178634644,0.00297,0.00016,0.00001,0.00068,0.00000,0.00154,0.00536
1693381970.080814599990845,0.00403,0.00015,0.00037,0.00065,0.00012,0.00168,0.00700
1693381970.114170074462891,0.00296,0.00014,0.00028,0.00074,0.00010,0.00178,0.00602
1693381970.147080898284912,0.00253,0.00015,0.00019,0.00085,0.00819,0.00160,0.01351
1693381970.180018901824951,0.00286,0.00017,0.00011,0.00186,0.00094,0.00164,0.00758
1693381970.213034391403198,0.00389,0.00016,0.00019,0.00209,0.00187,0.00177,0.00997
1693381970.246193885803223,0.00315,0.00018,0.00007,0.00246,0.00016,0.00165,0.00767
1693381970.279183387756348,0.00364,0.00017,0.00057,0.00267,0.00226,0.00205,0.01136
1693381970.312359809875488,0.00314,0.00018,0.00003,0.00345,0.00000,0.00178,0.00857
1693381970.345699310302734,0.00335,0.00019,0.00006,0.00283,0.00035,0.00168,0.00846
1693381970.379092931747437,0.00333,0.00017,0.00002,0.00283,0.00125,0.00209,0.00969
1693381970.412370920181274,0.00359,0.00018,0.00026,0.00313,0.00302,0.00176,0.01193
1693381970.445343971252441,0.00320,0.00020,0.00002,0.00283,0.00860,0.00201,0.01685
1693381970.478540182113647,0.00355,0.00023,0.00052,0.00400,0.00043,0.00195,0.01068
1693381970.511846065521240,0.00343,0.00019,0.00046,0.00411,0.00041,0.00249,0.01109
1693381970.545046567916870,0.00417,0.00024,0.00020,0.00447,0.00580,0.00185,0.01674
1693381970.578396797180176,0.00470,0.00019,0.00059,0.00534,0.00539,0.00194,0.01815
1693381970.611714124679565,0.00334,0.00022,0.00122,0.00666,0.00167,0.00178,0.01489
1693381970.644975185394287,0.00420,0.00022,0.00497,0.00672,0.00018,0.00231,0.01858
1693381970.678263425827026,0.00421,0.00024,0.00002,0.00687,0.00000,0.00186,0.01320
1693381970.711626529693604,0.00305,0.00022,0.00009,0.00600,0.00083,0.00171,0.01190
1693381970.744948387145996,0.00378,0.00027,0.00302,0.00573,0.00095,0.00211,0.01587
1693381970.778269290924072,0.00444,0.00021,0.00025,0.00553,0.00026,0.00230,0.01299
1693381970.811487674713135,0.00396,0.00020,0.00208,0.00520,0.00180,0.00187,0.01511
1693381970.844631910324097,0.00320,0.00031,0.00020,0.00551,0.00044,0.00200,0.01166
1693381970.877921104431152,0.00451,0.00020,0.00112,0.00562,0.00062,0.00193,0.01401
1693381970.911171913146973,0.00351,0.00019,0.00022,0.00591,0.00482,0.00198,0.01663
1693381970.944449424743652,0.00319,0.00020,0.00081,0.00736,0.00176,0.00189,0.01523
1693381970.977666616439819,0.00306,0.00020,0.00051,0.00573,0.00238,0.00211,0.01399
1693381971.010893344879150,0.00310,0.00028,0.00020,0.00615,0.00084,0.00188,0.01245
1693381971.043995857238770,0.00346,0.00022,0.00390,0.00597,0.00230,0.00177,0.01762
1693381971.077249765396118,0.00303,0.00025,0.00012,0.00674,0.00000,0.00199,0.01213
1693381971.110493421554565,0.00325,0.00022,0.00009,0.00638,0.00180,0.00204,0.01378
1693381971.143675327301025,0.00448,0.00020,0.00330,0.00633,0.00287,0.00198,0.01917
1693381971.176903247833252,0.00453,0.00023,0.00421,0.00671,0.00025,0.00199,0.01792
1693381971.210171461105347,0.00343,0.00023,0.00052,0.00664,0.00083,0.00200,0.01365
1693381971.243497133255005,0.00376,0.00027,0.00545,0.00606,0.00008,0.00185,0.01747
1693381971.276789665222168,0.00389,0.00022,0.00037,0.00586,0.00251,0.00214,0.01500
1693381971.310059309005737,0.00320,0.00020,0.00008,0.00665,0.00054,0.00235,0.01303
1693381971.343365907669067,0.00350,0.00020,0.00025,0.00648,0.00298,0.00201,0.01542
1693381971.376718759536743,0.00315,0.00019,0.00052,0.00690,0.00000,0.00194,0.01270
1693381971.410063266754150,0.00487,0.00028,0.00056,0.00682,0.00081,0.00193,0.01527
1693381971.443387269973755,0.00333,0.00023,0.00316,0.00652,0.00045,0.00188,0.01557
1693381971.476736068725586,0.00329,0.00018,0.00020,0.00581,0.00000,0.00205,0.01153
1693381971.510079145431519,0.00345,0.00032,0.00016,0.00587,0.00187,0.00218,0.01385
1693381971.543420553207397,0.00337,0.00022,0.00020,0.00594,0.00132,0.00193,0.01299
1693381971.576760530471802,0.00344,0.00023,0.00344,0.00612,0.00176,0.00185,0.01683
1693381971.610067844390869,0.00447,0.00025,0.00678,0.00606,0.00292,0.00204,0.02252
1693381971.643398523330688,0.00313,0.00019,0.00472,0.00691,0.00009,0.00178,0.01682
1693381971.676747560501099,0.00359,0.00024,0.00015,0.00655,0.00029,0.00200,0.01282
1693381971.710086345672607,0.00468,0.00021,0.00010,0.00676,0.00035,0.00293,0.01504
1693381971.743429660797119,0.00379,0.00022,0.00008,0.00608,0.00026,0.00217,0.01260
1693381971.776989698410034,0.00360,0.00024,0.00015,0.00616,0.00000,0.00266,0.01281
1693381971.810549736022949,0.00341,0.00021,0.00014,0.00573,0.00099,0.00200,0.01248
1693381971.844128608703613,0.00385,0.00028,0.00235,0.00622,0.00298,0.00217,0.01785
1693381971.877704858779907,0.00342,0.00023,0.00023,0.00615,0.00005,0.00249,0.01256
1693381971.911288499832153,0.00390,0.00036,0.00007,0.00608,0.00000,0.00268,0.01309
1693381971.944861650466919,0.00404,0.00022,0.00014,0.00609,0.00020,0.00208,0.01276
1693381971.978461027145386,0.00408,0.00019,0.00047,0.00639,0.00520,0.00200,0.01832
1693381972.012049198150635,0.00502,0.00021,0.00603,0.00715,0.00026,0.00238,0.02105
1693381972.045616149902344,0.00391,0.00022,0.00489,0.00669,0.00008,0.00207,0.01786
1693381972.079164743423462,0.00423,0.00021,0.01144,0.00659,0.00042,0.00215,0.02505
1693381972.112757444381714,0.00404,0.00030,0.00003,0.00717,0.00008,0.00197,0.01359
1693381972.146348953247070,0.00365,0.00020,0.00004,0.00735,0.00026,0.00233,0.01383
1693381972.179938793182373,0.00375,0.00023,0.00006,0.00697,0.00000,0.00215,0.01315
1693381972.213524103164673,0.00383,0.00022,0.00036,0.00714,0.00003,0.00206,0.01365
1693381972.247110843658447,0.00334,0.00024,0.00079,0.00670,0.00249,0.00188,0.01544
1693381972.280696868896484,0.00353,0.00020,0.00146,0.00702,0.00157,0.00208,0.01586
1693381972.314299106597900,0.00379,0.00028,0.00081,0.00768,0.00000,0.00203,0.01460
1693381972.347893953323364,0.00377,0.00021,0.00007,0.00752,0.00000,0.00208,0.01365
1693381972.381462574005127,0.00335,0.00021,0.00169,0.00707,0.00025,0.00200,0.01457
1693381972.415034770965576,0.00308,0.00021,0.00523,0.00682,0.00024,0.00181,0.01740
1693381972.448619842529297,0.00374,0.00030,0.00295,0.00689,0.00037,0.00202,0.01627
1693381972.482201814651489,0.00350,0.00023,0.00637,0.00678,0.00159,0.00182,0.02031
1693381972.515779733657837,0.00352,0.00022,0.00002,0.00737,0.00009,0.00215,0.01337
1693381972.549376249313354,0.00323,0.00021,0.00006,0.00752,0.00000,0.00194,0.01296
1693381972.582987070083618,0.00294,0.00021,0.00002,0.00746,0.00000,0.00210,0.01273
1693381972.616596698760986,0.00315,0.00021,0.00007,0.00771,0.00139,0.00190,0.01443
1693381972.650187969207764,0.00332,0.00023,0.00029,0.00773,0.00024,0.00190,0.01371
1693381972.683792114257812,0.00319,0.00021,0.00008,0.00794,0.00144,0.00212,0.01498
1693381972.717355966567993,0.00361,0.00026,0.00002,0.00858,0.00000,0.00200,0.01448
1693381972.750931978225708,0.00350,0.00024,0.00007,0.00795,0.00000,0.00181,0.01358
1693381972.784191846847534,0.00303,0.00021,0.00027,0.00833,0.00000,0.00183,0.01368
1693381972.817389249801636,0.00405,0.00021,0.00146,0.00781,0.00000,0.00222,0.01574
1693381972.850663661956787,0.00316,0.00021,0.00343,0.00821,0.00000,0.00186,0.01687
1693381972.883946657180786,0.00457,0.00021,0.00449,0.00820,0.00000,0.00198,0.01946
1693381972.917212009429932,0.00500,0.00035,0.00014,0.00823,0.00000,0.00194,0.01567
1693381972.950451135635376,0.00365,0.00022,0.00013,0.00789,0.00000,0.00201,0.01389
1693381972.983686923980713,0.00379,0.00021,0.00002,0.00778,0.00000,0.00230,0.01409
1693381973.016895055770874,0.00374,0.00021,0.00028,0.00703,0.00000,0.00197,0.01324
1693381973.050057411193848,0.00355,0.00023,0.00029,0.00555,0.00048,0.00201,0.01211
1693381973.083277940750122,0.00350,0.00019,0.00028,0.00424,0.00000,0.00208,0.01030
1693381973.116298913955688,0.00381,0.00023,0.00096,0.00367,0.00000,0.00193,0.01061
1693381973.149196624755859,0.00419,0.00019,0.00101,0.00286,0.00000,0.00183,0.01006
1693381973.182172060012817,0.00449,0.00018,0.00009,0.00233,0.00023,0.00200,0.00933
1693381973.215469360351562,0.00406,0.00018,0.00071,0.00258,0.00042,0.00180,0.00975
1693381973.248866319656372,0.00492,0.00016,0.00088,0.00211,0.00552,0.00187,0.01548
1693381973.282133340835571,0.00379,0.00022,0.00012,0.00286,0.00432,0.00196,0.01328
1693381973.315433740615845,0.00360,0.00018,0.00015,0.00295,0.00007,0.00179,0.00873
1693381973.348757266998291,0.00351,0.00017,0.00028,0.00312,0.00026,0.00197,0.00933
1693381973.382073879241943,0.00370,0.00019,0.00049,0.00327,0.00004,0.00199,0.00966
1693381973.415397167205811,0.00327,0.00017,0.00020,0.00327,0.00000,0.00201,0.00892
1693381973.448706150054932,0.00372,0.00020,0.00012,0.00318,0.00046,0.00195,0.00962
1693381973.482025623321533,0.00380,0.00017,0.00025,0.00325,0.00129,0.00209,0.01086
1693381973.515349388122559,0.00324,0.00020,0.00013,0.00314,0.00023,0.00190,0.00884
1693381973.548650741577148,0.00331,0.00019,0.00015,0.00308,0.00046,0.00184,0.00903
1693381973.581960678100586,0.00319,0.00018,0.00011,0.00304,0.00018,0.00178,0.00849
1693381973.615246295928955,0.00324,0.00017,0.00013,0.00305,0.00305,0.00194,0.01157
1693381973.648540496826172,0.00289,0.00018,0.00058,0.00312,0.00838,0.00199,0.01715
1693381973.681843280792236,0.00361,0.00022,0.00016,0.00339,0.00122,0.00207,0.01067
