# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693381969.713775873184204,0.00258,0.00014,0.00020,0.00000,0.00000,0.00152,0.00445
1693381969.746811151504517,0.00306,0.00013,0.00124,0.00000,0.00360,0.00142,0.00944
1693381969.780021429061890,0.00331,0.00015,0.00006,0.00067,0.00000,0.00139,0.00558
1693381969.813368082046509,0.00257,0.00015,0.00001,0.00067,0.00000,0.00156,0.00496
1693381969.846796274185181,0.00292,0.00014,0.00001,0.00068,0.00000,0.00155,0.00531
1693381969.880103111267090,0.00259,0.00025,0.00010,0.00081,0.00000,0.00168,0.00543
1693381969.913297176361084,0.00309,0.00015,0.00005,0.00069,0.00000,0.00153,0.00552
1693381969.946598052978516,0.00291,0.00018,0.00001,0.00073,0.00000,0.00197,0.00580
1693381969.979920625686646,0.00370,0.00018,0.00026,0.00075,0.00031,0.00187,0.00706
1693381970.013124465942383,0.00333,0.00016,0.00008,0.00075,0.00213,0.00172,0.00817
1693381970.046558141708374,0.00316,0.00019,0.00001,0.00092,0.00000,0.00160,0.00589
1693381970.079986333847046,0.00331,0.00017,0.00038,0.00078,0.00000,0.00198,0.00662
1693381970.113390684127808,0.00298,0.00018,0.00032,0.00080,0.00013,0.00205,0.00647
1693381970.146184921264648,0.00297,0.00016,0.00024,0.00088,0.01013,0.00155,0.01594
1693381970.179353713989258,0.00425,0.00019,0.00012,0.00215,0.00113,0.00156,0.00940
1693381970.212604284286499,0.00349,0.00020,0.00023,0.00235,0.00204,0.00162,0.00993
1693381970.245960712432861,0.00279,0.00019,0.00011,0.00260,0.00018,0.00153,0.00741
1693381970.279148101806641,0.00371,0.00019,0.00065,0.00319,0.00262,0.00169,0.01205
1693381970.312423467636108,0.00310,0.00020,0.00003,0.00338,0.00000,0.00187,0.00859
1693381970.345755815505981,0.00362,0.00019,0.00006,0.00332,0.00042,0.00192,0.00953
1693381970.379069328308105,0.00373,0.00022,0.00002,0.00321,0.00135,0.00198,0.01053
1693381970.412182569503784,0.00373,0.00022,0.00026,0.00327,0.00274,0.00194,0.01216
1693381970.445117712020874,0.00368,0.00020,0.00008,0.00348,0.00996,0.00169,0.01909
1693381970.478316783905029,0.00332,0.00021,0.00051,0.00502,0.00034,0.00204,0.01145
1693381970.511611223220825,0.00510,0.00028,0.00076,0.00549,0.00094,0.00256,0.01514
1693381970.544767856597900,0.00544,0.00028,0.00024,0.01025,0.00766,0.00220,0.02608
1693381970.578119516372681,0.00362,0.00029,0.00072,0.00648,0.00631,0.00205,0.01947
1693381970.611359357833862,0.00391,0.00026,0.00222,0.01225,0.00553,0.00267,0.02685
1693381970.644650697708130,0.00489,0.00023,0.00652,0.00839,0.00000,0.00213,0.02216
1693381970.677954912185669,0.00349,0.00023,0.00002,0.01252,0.00000,0.00246,0.01872
1693381970.711312055587769,0.00457,0.00035,0.00142,0.00924,0.00000,0.00200,0.01757
1693381970.744637727737427,0.00383,0.00027,0.00489,0.01146,0.00117,0.00225,0.02387
1693381970.777962207794189,0.00352,0.00024,0.00023,0.00868,0.00027,0.00194,0.01489
1693381970.811164379119873,0.00449,0.00022,0.00105,0.00664,0.00233,0.00215,0.01688
1693381970.844311475753784,0.00360,0.00030,0.00009,0.00677,0.00118,0.00191,0.01386
1693381970.877626180648804,0.00520,0.00021,0.00146,0.00673,0.00186,0.00214,0.01761
1693381970.910847425460815,0.00485,0.00024,0.00155,0.00597,0.00350,0.00208,0.01820
1693381970.944110870361328,0.00371,0.00022,0.00084,0.00636,0.00243,0.00195,0.01552
1693381970.977342844009399,0.00340,0.00020,0.00074,0.00636,0.00279,0.00210,0.01560
1693381971.010603427886963,0.00344,0.00027,0.00019,0.00685,0.00095,0.00194,0.01363
1693381971.043764114379883,0.00337,0.00021,0.00455,0.00695,0.00300,0.00168,0.01976
1693381971.077082395553589,0.00332,0.00022,0.00008,0.00745,0.00000,0.00186,0.01295
1693381971.110297918319702,0.00306,0.00021,0.00080,0.00722,0.00223,0.00174,0.01526
1693381971.143457651138306,0.00402,0.00021,0.00576,0.00754,0.00006,0.00178,0.01937
1693381971.176734924316406,0.00349,0.00023,0.00433,0.00720,0.00159,0.00180,0.01864
1693381971.210060119628906,0.00325,0.00022,0.00040,0.00749,0.00030,0.00203,0.01369
1693381971.243381977081299,0.00437,0.00020,0.00687,0.00641,0.00071,0.00198,0.02053
1693381971.276667118072510,0.00366,0.00032,0.00039,0.00652,0.00112,0.00180,0.01382
1693381971.309935331344604,0.00356,0.00027,0.00011,0.00667,0.00052,0.00189,0.01302
1693381971.343247652053833,0.00360,0.00021,0.00008,0.00604,0.00333,0.00195,0.01521
1693381971.376597166061401,0.00376,0.00021,0.00062,0.00668,0.00045,0.00199,0.01371
1693381971.409942626953125,0.00314,0.00023,0.00062,0.00715,0.00089,0.00194,0.01397
1693381971.443296909332275,0.00358,0.00019,0.00169,0.00678,0.00357,0.00195,0.01776
1693381971.476635456085205,0.00347,0.00021,0.00024,0.00727,0.00000,0.00203,0.01321
1693381971.509967803955078,0.00354,0.00021,0.00008,0.00690,0.00029,0.00185,0.01286
1693381971.543317079544067,0.00340,0.00021,0.00241,0.00721,0.00227,0.00184,0.01735
1693381971.576648950576782,0.00351,0.00020,0.00323,0.00657,0.00338,0.00209,0.01898
1693381971.609940290451050,0.00325,0.00021,0.00883,0.00754,0.00320,0.00181,0.02484
1693381971.643271684646606,0.00323,0.00021,0.00654,0.00741,0.00022,0.00170,0.01932
1693381971.676617383956909,0.00318,0.00023,0.00013,0.00798,0.00030,0.00176,0.01358
1693381971.709956169128418,0.00460,0.00025,0.00004,0.00812,0.00036,0.00218,0.01554
1693381971.743299484252930,0.00391,0.00020,0.00007,0.00783,0.00027,0.00194,0.01423
1693381971.776896953582764,0.00378,0.00021,0.00032,0.00783,0.00028,0.00191,0.01434
1693381971.810499906539917,0.00531,0.00023,0.00007,0.00753,0.00090,0.00201,0.01605
1693381971.844111919403076,0.00374,0.00021,0.00059,0.00759,0.00215,0.00210,0.01638
1693381971.877707958221436,0.00363,0.00021,0.00015,0.00891,0.00000,0.00211,0.01501
1693381971.911293268203735,0.00344,0.00020,0.00002,0.00788,0.00006,0.00205,0.01364
1693381971.944873809814453,0.00370,0.00022,0.00020,0.00781,0.00208,0.00208,0.01610
1693381971.978473186492920,0.00363,0.00022,0.00056,0.00766,0.00248,0.00231,0.01687
1693381972.012025833129883,0.00379,0.00022,0.00811,0.00859,0.00159,0.00190,0.02419
1693381972.045540809631348,0.00369,0.00023,0.00607,0.00834,0.00056,0.00193,0.02082
1693381972.079043865203857,0.00366,0.00020,0.01576,0.00831,0.00019,0.00228,0.03041
1693381972.112627506256104,0.00365,0.00022,0.00002,0.00859,0.00008,0.00212,0.01469
1693381972.146214485168457,0.00360,0.00021,0.00010,0.00794,0.00048,0.00190,0.01423
1693381972.179810047149658,0.00371,0.00022,0.00006,0.00887,0.00093,0.00203,0.01582
1693381972.213394403457642,0.00438,0.00025,0.00045,0.01004,0.00030,0.00207,0.01749
1693381972.246962308883667,0.00548,0.00034,0.00099,0.00928,0.00000,0.00324,0.01935
1693381972.280556917190552,0.00353,0.00020,0.00022,0.00855,0.00027,0.00202,0.01480
1693381972.314161777496338,0.00420,0.00024,0.00143,0.00907,0.00000,0.00196,0.01690
1693381972.347739219665527,0.00342,0.00020,0.00204,0.00895,0.00000,0.00196,0.01658
1693381972.381305217742920,0.00338,0.00021,0.00203,0.00843,0.00000,0.00191,0.01596
1693381972.414879322052002,0.00338,0.00022,0.00736,0.00834,0.00030,0.00183,0.02142
1693381972.448464870452881,0.00347,0.00020,0.00362,0.00824,0.00009,0.00178,0.01740
1693381972.482042074203491,0.00332,0.00020,0.00962,0.00879,0.00162,0.00173,0.02529
1693381972.515630960464478,0.00345,0.00022,0.00002,0.00899,0.00009,0.00196,0.01472
1693381972.549230575561523,0.00349,0.00020,0.00006,0.00865,0.00000,0.00193,0.01434
1693381972.582837820053101,0.00430,0.00021,0.00002,0.00931,0.00000,0.00199,0.01583
1693381972.616451978683472,0.00346,0.00022,0.00007,0.00893,0.00000,0.00180,0.01449
1693381972.650055646896362,0.00318,0.00021,0.00007,0.00867,0.00029,0.00211,0.01452
1693381972.683651924133301,0.00333,0.00022,0.00002,0.00958,0.00000,0.00186,0.01502
1693381972.717212915420532,0.00323,0.00022,0.00002,0.00891,0.00006,0.00178,0.01421
1693381972.750791788101196,0.00455,0.00023,0.00065,0.00868,0.00005,0.00186,0.01602
1693381972.784044027328491,0.00330,0.00025,0.00002,0.00921,0.00000,0.00204,0.01482
1693381972.817229509353638,0.00432,0.00021,0.00392,0.00935,0.00006,0.00184,0.01971
1693381972.850502490997314,0.00357,0.00023,0.00432,0.00907,0.00171,0.00197,0.02087
1693381972.883796930313110,0.00455,0.00025,0.00554,0.00970,0.00000,0.00187,0.02192
1693381972.917076587677002,0.00381,0.00022,0.00012,0.00924,0.00000,0.00192,0.01532
1693381972.950332880020142,0.00330,0.00021,0.00014,0.00869,0.00000,0.00186,0.01420
1693381972.983580589294434,0.00344,0.00022,0.00002,0.00892,0.00000,0.00229,0.01490
1693381973.016784191131592,0.00370,0.00023,0.00031,0.00766,0.00000,0.00209,0.01399
1693381973.049941539764404,0.00308,0.00020,0.00024,0.00633,0.00028,0.00187,0.01199
1693381973.083174228668213,0.00381,0.00023,0.00031,0.00504,0.00000,0.00185,0.01124
1693381973.116266965866089,0.00352,0.00020,0.00114,0.00455,0.00000,0.00183,0.01123
1693381973.149289131164551,0.00401,0.00019,0.00116,0.00395,0.00061,0.00184,0.01176
1693381973.182379007339478,0.00434,0.00017,0.00009,0.00356,0.00017,0.00204,0.01037
1693381973.215724706649780,0.00392,0.00019,0.00080,0.00346,0.00045,0.00212,0.01094
1693381973.249061346054077,0.00399,0.00023,0.00104,0.00333,0.00521,0.00190,0.01570
1693381973.282313346862793,0.00401,0.00018,0.00013,0.00368,0.00401,0.00274,0.01476
1693381973.315595149993896,0.00335,0.00019,0.00010,0.00428,0.00008,0.00193,0.00992
1693381973.348913431167603,0.00340,0.00018,0.00032,0.00391,0.00019,0.00186,0.00987
1693381973.382204771041870,0.00525,0.00017,0.00052,0.00390,0.00000,0.00205,0.01190
1693381973.415507316589355,0.00355,0.00020,0.00021,0.00347,0.00000,0.00181,0.00924
1693381973.448812961578369,0.00339,0.00019,0.00050,0.00360,0.00029,0.00184,0.00982
1693381973.482124090194702,0.00414,0.00017,0.00014,0.00358,0.00147,0.00192,0.01143
1693381973.515451908111572,0.00347,0.00021,0.00014,0.00328,0.00025,0.00176,0.00912
1693381973.548757791519165,0.00392,0.00018,0.00015,0.00315,0.00060,0.00177,0.00978
1693381973.582067012786865,0.00366,0.00032,0.00025,0.00332,0.00031,0.00203,0.00989
1693381973.615365982055664,0.00316,0.00019,0.00015,0.00370,0.00349,0.00211,0.01279
1693381973.648667812347412,0.00344,0.00019,0.00070,0.00365,0.01094,0.00188,0.02079
1693381973.681980848312378,0.00392,0.00019,0.00017,0.00447,0.00139,0.00213,0.01227
1693381973.715291976928711,0.00402,0.00020,0.00010,0.00463,0.00008,0.00184,0.01088
1693381973.748552322387695,0.00345,0.00018,0.00033,0.00442,0.00691,0.00195,0.01725
1693381973.781826972961426,0.00349,0.00020,0.00032,0.00528,0.00000,0.00178,0.01108
1693381973.815125703811646,0.00360,0.00020,0.00003,0.00555,0.00000,0.00208,0.01147
1693381973.848437786102295,0.00306,0.00018,0.00002,0.00533,0.00636,0.00217,0.01711
1693381973.881741046905518,0.00308,0.00020,0.00002,0.00638,0.00145,0.00181,0.01294
1693381973.915050029754639,0.00314,0.00021,0.00002,0.00666,0.00149,0.00178,0.01329
1693381973.948355674743652,0.00311,0.00020,0.00002,0.00731,0.00168,0.00208,0.01441
1693381973.981668233871460,0.00329,0.00023,0.00002,0.00719,0.00162,0.00187,0.01421
1693381974.014983654022217,0.00321,0.00026,0.00003,0.00753,0.00006,0.00222,0.01330
1693381974.048289775848389,0.00331,0.00021,0.00256,0.00722,0.00103,0.00173,0.01606
1693381974.081613779067993,0.00312,0.00021,0.00326,0.00838,0.00166,0.00174,0.01836
1693381974.114931583404541,0.00312,0.00023,0.00004,0.00796,0.00009,0.00206,0.01350
1693381974.148237943649292,0.00330,0.00022,0.00020,0.00781,0.00034,0.00180,0.01367
1693381974.181536674499512,0.00300,0.00021,0.00008,0.00753,0.00000,0.00173,0.01255
1693381974.214854001998901,0.00384,0.00020,0.00002,0.00743,0.00000,0.00183,0.01332
1693381974.248160600662231,0.00351,0.00020,0.00086,0.00724,0.00249,0.00203,0.01633
1693381974.281463146209717,0.00356,0.00025,0.00003,0.00827,0.00000,0.00199,0.01410
1693381974.314776420593262,0.00320,0.00021,0.00002,0.00800,0.00000,0.00182,0.01325
1693381974.348061084747314,0.00308,0.00019,0.00077,0.00812,0.00113,0.00200,0.01530
1693381974.381319761276245,0.00345,0.00023,0.00018,0.00777,0.00116,0.00228,0.01508
1693381974.414489984512329,0.00398,0.00023,0.00303,0.00637,0.00006,0.00178,0.01546
1693381974.447795391082764,0.00365,0.00022,0.00237,0.00381,0.00031,0.00167,0.01204
1693381974.480994462966919,0.00384,0.00020,0.00053,0.00248,0.00196,0.00236,0.01137
