# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693381969.71378 0.010549 0.007997 0.031249 -0.001360 0.078854 -0.700297 0.709482 0.0009150383 -0.0000005749 0.0000000455 0.0009153886 -0.0000001196 0.0009146273 0.0210766809 -0.0000003538 -0.0000331925 0.0210773070 -0.0000316215 0.0028384584
1693381969.74625 0.012815 0.005613 0.037733 0.001903 0.078208 -0.695991 0.713776 0.0000894130 -0.0000141435 0.0000205283 0.0000563740 -0.0001100827 0.0008140082 0.0039051131 -0.0002152064 -0.0000272789 0.0030578517 0.0001288920 0.0027854829
1693381969.77922 0.008635 0.010532 0.045907 0.007483 0.075095 -0.693929 0.716078 0.0000927022 -0.0000128944 0.0000128262 0.0000539098 -0.0001016054 0.0008236432 0.0039254038 -0.0002194818 -0.0000296435 0.0029966969 0.0001404146 0.0028005173
1693381969.81245 0.004403 0.015485 0.055146 0.014994 0.071939 -0.692478 0.717686 0.0000905995 -0.0000101926 0.0000007883 0.0000510186 -0.0000890558 0.0008301149 0.0039654342 -0.0002270964 -0.0000331501 0.0029482022 0.0001504976 0.0028156874
1693381969.84629 -0.001476 0.019628 0.065772 0.021116 0.070414 -0.692093 0.718056 0.0000846621 -0.0000104184 -0.0000117004 0.0000492602 -0.0000787094 0.0008333900 0.0040030849 -0.0002422985 -0.0000395006 0.0029087316 0.0001598303 0.0028308751
1693381969.88022 -0.003881 0.024018 0.077974 0.023340 0.069962 -0.693453 0.716718 0.0000624482 -0.0000112019 -0.0000255454 0.0000490931 -0.0000743245 0.0008306052 0.0040360207 -0.0002548436 -0.0000469244 0.0028732485 0.0001669206 0.0028455956
1693381969.91388 -0.005615 0.029213 0.092270 0.022087 0.070669 -0.694616 0.715561 0.0000478891 -0.0000100424 -0.0000346870 0.0000498632 -0.0000752977 0.0008234604 0.0040521316 -0.0002624312 -0.0000514557 0.0028472724 0.0001727111 0.0028590168
1693381969.94764 0.051985 0.025135 0.115278 0.019830 0.075959 -0.706205 0.703641 0.0000394740 -0.0000060538 -0.0000519617 0.0000427952 -0.0000399862 0.0006382366 0.0034542892 -0.0001739095 -0.0001328203 0.0028133822 0.0001895583 0.0028619951
1693381969.98048 0.048880 0.031259 0.132853 0.016939 0.077689 -0.704940 0.704796 0.0000369047 -0.0000055475 -0.0000539960 0.0000442251 -0.0000505080 0.0006347151 0.0034560064 -0.0002016603 -0.0001188127 0.0028098846 0.0001913928 0.0028643361
1693381970.01394 0.053360 0.030308 0.136197 0.011046 0.078800 -0.705102 0.704627 0.0000321839 -0.0000073250 -0.0000458013 0.0000434448 -0.0000543029 0.0004833303 0.0029018293 -0.0001058296 -0.0000213145 0.0027668370 0.0001646055 0.0028400296
1693381970.04704 0.054208 0.035034 0.152124 0.008327 0.079321 -0.702040 0.707657 0.0000303753 -0.0000075028 -0.0000422203 0.0000445278 -0.0000586536 0.0004743596 0.0028696109 -0.0000933717 -0.0000074228 0.0027534449 0.0001594323 0.0028421630
1693381970.08023 0.056639 0.039500 0.168376 0.005531 0.079345 -0.698807 0.710875 0.0000288363 -0.0000072814 -0.0000406998 0.0000451135 -0.0000606736 0.0004667954 0.0028422774 -0.0000815132 0.0000052946 0.0027393840 0.0001532227 0.0028439396
1693381970.11358 0.054645 0.046910 0.186402 0.002302 0.078592 -0.695125 0.714576 0.0000268185 -0.0000062626 -0.0000388502 0.0000438989 -0.0000611644 0.0004575832 0.0028062654 -0.0000649613 0.0000183514 0.0027205521 0.0001394530 0.0028289465
