# timestamp(s) tx ty tz qx qy qz qw
1693382237.79003 0.013035 -0.001239 0.030244 0.006167 0.042045 -0.722557 0.690005
1693382237.79989 -0.010762 0.005521 0.020164 0.008457 0.033816 -0.734824 0.677361
1693382237.83354 -0.010758 0.006845 0.022917 0.010119 0.031525 -0.736773 0.675329
1693382237.86719 -0.010683 0.011686 0.033616 0.013942 0.024811 -0.743236 0.668424
1693382237.90084 -0.010595 0.017074 0.046006 0.013804 0.018036 -0.748209 0.663074
1693382237.93448 -0.010591 0.022360 0.059792 0.013377 0.013349 -0.751387 0.659591
1693382237.96814 -0.010703 0.027601 0.074634 0.012231 0.008953 -0.753318 0.657482
1693382238.00172 -0.010555 0.035806 0.088093 0.011129 0.005087 -0.754980 0.655634
1693382238.03538 -0.010750 0.041052 0.104432 0.010022 0.002940 -0.756631 0.653759
1693382238.06904 -0.010391 0.038507 0.117009 0.007500 -0.002958 -0.756431 0.654024
1693382238.10225 -0.022848 -0.020203 0.130950 0.007309 -0.003577 -0.748943 0.662584
1693382238.13527 -0.026567 0.039615 0.159554 0.008028 -0.006556 -0.751141 0.660060
1693382238.16852 -0.021396 0.030880 0.176311 0.004313 -0.005251 -0.755383 0.655248
1693382238.20158 -0.015820 0.023327 0.197211 0.006029 -0.008900 -0.757547 0.652692
1693382238.23485 -0.016771 0.022235 0.216732 0.008052 -0.009318 -0.760217 0.649553
1693382238.26819 -0.019181 0.026647 0.237029 0.010734 -0.010135 -0.763169 0.646030
1693382238.30159 -0.020515 0.030557 0.256203 0.013498 -0.011461 -0.766911 0.641509
1693382238.33494 -0.023458 0.038244 0.280404 0.015344 -0.012835 -0.770785 0.636781
1693382238.36825 -0.025016 0.042591 0.305744 0.017932 -0.013562 -0.774315 0.632401
1693382238.40158 -0.028613 0.051316 0.333681 0.018290 -0.014460 -0.777453 0.628508
1693382238.43494 -0.031544 0.061767 0.363692 0.016559 -0.015482 -0.781619 0.623344
1693382238.46813 -0.033335 0.068544 0.389770 0.014999 -0.016178 -0.785372 0.618631
1693382238.50118 -0.035878 0.077789 0.419877 0.012797 -0.017083 -0.787133 0.616413
1693382238.53427 -0.038101 0.084387 0.447688 0.010661 -0.017072 -0.787372 0.616149
1693382238.56759 -0.040557 0.094166 0.477024 0.006846 -0.016577 -0.787368 0.616222
1693382238.60085 -0.041031 0.101460 0.504363 0.000806 -0.015652 -0.787915 0.615585
1693382238.63435 -0.044541 0.108854 0.528070 -0.002087 -0.014873 -0.787304 0.616383
1693382238.66770 -0.048030 0.119101 0.559438 -0.005149 -0.015708 -0.787646 0.615906
1693382238.70084 -0.051330 0.126833 0.588391 -0.003883 -0.016241 -0.788060 0.615372
1693382238.73417 -0.055445 0.136425 0.618246 -0.001322 -0.018343 -0.789105 0.613984
1693382238.76739 -0.059239 0.145138 0.647852 0.002964 -0.020138 -0.790739 0.611815
1693382238.80074 -0.062500 0.154512 0.674936 0.007068 -0.022560 -0.792370 0.609582
1693382238.83402 -0.066272 0.164647 0.703348 0.010060 -0.024745 -0.794253 0.607000
1693382238.86735 -0.069563 0.174164 0.729505 0.012308 -0.025792 -0.795726 0.604982
1693382238.90066 -0.073067 0.182838 0.752952 0.013994 -0.025487 -0.797480 0.602645
1693382238.93404 -0.077927 0.192323 0.778251 0.016196 -0.024311 -0.799236 0.600308
1693382238.96734 -0.082866 0.202291 0.804517 0.018553 -0.024514 -0.801048 0.597810
1693382239.00038 -0.087931 0.210978 0.827599 0.021970 -0.026254 -0.800757 0.598010
1693382239.03364 -0.094800 0.219090 0.848939 0.025450 -0.029129 -0.798412 0.600868
1693382239.06700 -0.100587 0.224769 0.865686 0.029452 -0.030718 -0.795846 0.604001
1693382239.10020 -0.105901 0.231771 0.885736 0.030795 -0.032862 -0.793575 0.606804
1693382239.13351 -0.110031 0.238100 0.901465 0.029086 -0.036114 -0.791452 0.609470
1693382239.16670 -0.114510 0.243790 0.918095 0.026945 -0.038639 -0.788966 0.612628
1693382239.19988 -0.120192 0.248944 0.935987 0.025613 -0.040033 -0.787467 0.614522
1693382239.23307 -0.123587 0.252458 0.949367 0.025185 -0.040404 -0.787098 0.614988
1693382239.26629 -0.126353 0.255946 0.961735 0.025767 -0.041547 -0.786810 0.615256
1693382239.29947 -0.129381 0.258540 0.972662 0.027595 -0.043788 -0.786264 0.615719
1693382239.33265 -0.132678 0.260950 0.983809 0.031019 -0.046831 -0.785706 0.616044
1693382239.36579 -0.136283 0.262648 0.995883 0.035761 -0.050331 -0.785468 0.615815
1693382239.39896 -0.138442 0.265231 1.006171 0.040923 -0.055797 -0.785517 0.614960
1693382239.43214 -0.141339 0.266525 1.016767 0.048272 -0.061060 -0.784742 0.614916
1693382239.46531 -0.143302 0.266861 1.022712 0.056487 -0.065371 -0.783014 0.615974
1693382239.49839 -0.145897 0.267855 1.031012 0.063081 -0.069024 -0.781100 0.617365
1693382239.53146 -0.148259 0.269215 1.039530 0.065678 -0.073266 -0.779665 0.618418
1693382239.56450 -0.150200 0.271028 1.047690 0.063380 -0.078147 -0.779030 0.618861
1693382239.59764 -0.151256 0.272534 1.052043 0.058275 -0.081324 -0.779261 0.618662
1693382239.63074 -0.152833 0.274296 1.061421 0.054182 -0.078605 -0.780307 0.618067
1693382239.66388 -0.154586 0.275801 1.070476 0.050197 -0.072650 -0.780827 0.618475
1693382239.69702 -0.156344 0.277569 1.079585 0.045765 -0.066346 -0.780556 0.619868
1693382239.73017 -0.158421 0.279735 1.088303 0.040703 -0.061152 -0.780754 0.620505
1693382239.76334 -0.160201 0.282021 1.096911 0.035198 -0.059312 -0.781048 0.620651
1693382239.79652 -0.161938 0.284928 1.105100 0.030134 -0.061305 -0.779901 0.622165
1693382239.82969 -0.162949 0.287482 1.110945 0.027251 -0.064435 -0.777653 0.624789
1693382239.86286 -0.164928 0.289782 1.117528 0.026970 -0.067504 -0.775502 0.627146
1693382239.89602 -0.167323 0.292159 1.125402 0.027289 -0.070930 -0.774096 0.628490
1693382239.92917 -0.169245 0.294566 1.133643 0.028216 -0.073462 -0.773211 0.629247
1693382239.96231 -0.171317 0.296895 1.141912 0.028764 -0.074673 -0.771544 0.631123
1693382239.99545 -0.172476 0.299037 1.148232 0.027545 -0.076041 -0.768400 0.634839
1693382240.02860 -0.173989 0.301529 1.156220 0.025123 -0.078046 -0.765449 0.638252
1693382240.06175 -0.175574 0.304133 1.164261 0.021472 -0.080689 -0.763213 0.640730
1693382240.09489 -0.177627 0.306971 1.172365 0.017883 -0.083172 -0.761315 0.642776
1693382240.12807 -0.179150 0.310263 1.179539 0.015131 -0.084761 -0.759930 0.644277
1693382240.16146 -0.181368 0.313624 1.186823 0.013196 -0.085754 -0.758690 0.645649
1693382240.19485 -0.183857 0.317325 1.194025 0.012119 -0.086400 -0.757938 0.646466
1693382240.22842 -0.184494 0.321258 1.197991 0.011463 -0.086415 -0.757765 0.646679
1693382240.26199 -0.186694 0.325123 1.202391 0.011274 -0.085813 -0.757907 0.646596
1693382240.29557 -0.188849 0.329339 1.206431 0.011375 -0.084839 -0.757805 0.646842
1693382240.32916 -0.191019 0.333581 1.209906 0.012873 -0.082578 -0.757318 0.647676
1693382240.36276 -0.193049 0.337852 1.212575 0.015892 -0.079060 -0.756838 0.648608
1693382240.39633 -0.195018 0.341807 1.215303 0.019853 -0.074809 -0.756436 0.649472
1693382240.42989 -0.196811 0.345558 1.217849 0.023253 -0.071126 -0.755099 0.651326
1693382240.46345 -0.198359 0.349186 1.220125 0.025719 -0.068246 -0.752628 0.654394
1693382240.49702 -0.199654 0.352839 1.222310 0.027481 -0.066270 -0.750156 0.657358
1693382240.53058 -0.200549 0.356563 1.223825 0.028543 -0.064734 -0.747647 0.660318
1693382240.56415 -0.201240 0.359989 1.224985 0.028212 -0.063585 -0.744398 0.664103
1693382240.59773 -0.201239 0.362799 1.226196 0.026080 -0.062343 -0.740258 0.668917
1693382240.63130 -0.201306 0.365165 1.227407 0.022857 -0.060574 -0.736204 0.673656
1693382240.66487 -0.200961 0.367192 1.228645 0.019650 -0.058320 -0.732802 0.677653
1693382240.69845 -0.200285 0.368921 1.229548 0.016800 -0.056289 -0.729517 0.681435
1693382240.73202 -0.199774 0.370476 1.230101 0.014635 -0.054833 -0.725376 0.686009
1693382240.76560 -0.198995 0.371843 1.230108 0.012990 -0.053945 -0.720046 0.691704
1693382240.79919 -0.198809 0.373006 1.229777 0.012065 -0.053556 -0.714378 0.697603
1693382240.83277 -0.198131 0.373834 1.229203 0.011547 -0.052352 -0.708641 0.703530
1693382240.86635 -0.197644 0.373782 1.229032 0.009984 -0.050533 -0.702806 0.709514
1693382240.89992 -0.197236 0.373480 1.228881 0.006829 -0.048239 -0.696670 0.715735
1693382240.93349 -0.197312 0.372222 1.228655 0.002520 -0.046033 -0.690491 0.721870
1693382240.96707 -0.197638 0.370423 1.228976 -0.002047 -0.044006 -0.685256 0.726969
1693382241.00062 -0.198212 0.368832 1.229559 -0.006131 -0.043019 -0.681357 0.730660
1693382241.03421 -0.199410 0.367170 1.230185 -0.009330 -0.043491 -0.677651 0.734037
1693382241.06779 -0.200855 0.365580 1.230517 -0.012018 -0.045564 -0.673230 0.737930
1693382241.10137 -0.202654 0.363635 1.230657 -0.014305 -0.048528 -0.668338 0.742135
1693382241.13494 -0.203113 0.361699 1.230805 -0.015248 -0.049870 -0.664086 0.745835
1693382241.16850 -0.203122 0.358913 1.231770 -0.015021 -0.048582 -0.660151 0.749410
1693382241.20208 -0.203086 0.355761 1.232021 -0.014720 -0.045213 -0.656040 0.753227
1693382241.23520 -0.202176 0.352913 1.231431 -0.015731 -0.042430 -0.652000 0.756867
1693382241.26832 -0.200987 0.350019 1.230717 -0.017493 -0.040846 -0.648263 0.760119
1693382241.30145 -0.199578 0.347757 1.230534 -0.019085 -0.038652 -0.645310 0.762704
1693382241.33457 -0.198340 0.345481 1.230472 -0.020637 -0.035801 -0.642806 0.764913
1693382241.36769 -0.197241 0.343180 1.230451 -0.022660 -0.033575 -0.640113 0.767212
1693382241.40081 -0.196548 0.340625 1.230424 -0.024895 -0.032645 -0.636906 0.769847
1693382241.43394 -0.195930 0.338022 1.230528 -0.025986 -0.031757 -0.633946 0.772288
1693382241.46707 -0.195790 0.335069 1.230834 -0.025482 -0.030126 -0.631492 0.774378
1693382241.50019 -0.195707 0.332067 1.231988 -0.024507 -0.028738 -0.628879 0.776586
1693382241.53331 -0.196388 0.328849 1.232575 -0.023237 -0.028054 -0.625800 0.779133
1693382241.56642 -0.197411 0.325168 1.233383 -0.021758 -0.028140 -0.622918 0.781478
1693382241.59954 -0.198635 0.321649 1.234024 -0.020280 -0.028596 -0.620891 0.783112
1693382241.63266 -0.199950 0.317878 1.234599 -0.019124 -0.028760 -0.619773 0.784021
1693382241.66577 -0.201264 0.313800 1.235083 -0.018517 -0.028513 -0.619050 0.784615
1693382241.69889 -0.202566 0.309462 1.235413 -0.018357 -0.028194 -0.618493 0.785070
1693382241.73199 -0.203578 0.304895 1.235716 -0.018405 -0.027899 -0.617908 0.785540
1693382241.76510 -0.204785 0.300170 1.235853 -0.018298 -0.027629 -0.616732 0.786475
1693382241.79821 -0.205747 0.295450 1.235960 -0.017752 -0.027418 -0.615070 0.787795
1693382241.83132 -0.206912 0.290597 1.236093 -0.016641 -0.028468 -0.613112 0.789307
1693382241.86442 -0.208195 0.285442 1.236078 -0.014629 -0.029917 -0.610686 0.791172
1693382241.89753 -0.209434 0.280060 1.236000 -0.012042 -0.031221 -0.608075 0.793174
1693382241.93063 -0.210620 0.274420 1.235936 -0.009525 -0.032055 -0.605752 0.794950
1693382241.96373 -0.211895 0.268550 1.235595 -0.007032 -0.032257 -0.603644 0.796570
1693382241.99683 -0.213037 0.262297 1.235327 -0.004763 -0.031944 -0.601329 0.798349
1693382242.02992 -0.214180 0.255795 1.234905 -0.003259 -0.031846 -0.598915 0.800172
1693382242.06302 -0.215113 0.249288 1.234647 -0.002557 -0.032285 -0.596673 0.801831
1693382242.09612 -0.216137 0.242633 1.234258 -0.002711 -0.032644 -0.594729 0.803259
1693382242.12921 -0.217244 0.236052 1.233681 -0.004042 -0.033075 -0.592725 0.804715
1693382242.16230 -0.218383 0.229553 1.233235 -0.005688 -0.033377 -0.590123 0.806603
1693382242.19539 -0.219092 0.222981 1.232503 -0.007088 -0.033852 -0.586722 0.809049
1693382242.22875 -0.219417 0.216778 1.231352 -0.007963 -0.035298 -0.582846 0.811777
1693382242.26249 -0.220284 0.210201 1.230540 -0.007789 -0.037122 -0.578334 0.814918
1693382242.29624 -0.220282 0.203558 1.230143 -0.007310 -0.039294 -0.574447 0.817566
1693382242.33000 -0.220220 0.197182 1.229581 -0.006360 -0.040769 -0.571888 0.819293
1693382242.36376 -0.220115 0.191297 1.228998 -0.005300 -0.040690 -0.570306 0.820407
1693382242.39750 -0.219886 0.185927 1.228425 -0.004918 -0.039509 -0.568685 0.821591
1693382242.43125 -0.219734 0.181022 1.227827 -0.005666 -0.038165 -0.566659 0.823048
1693382242.46501 -0.219255 0.176496 1.226859 -0.007246 -0.037440 -0.565057 0.824170
1693382242.49877 -0.218701 0.172047 1.225774 -0.008423 -0.037059 -0.565462 0.823898
1693382242.53252 -0.217968 0.167376 1.224574 -0.008593 -0.036586 -0.568628 0.821736
1693382242.56627 -0.217161 0.162552 1.223214 -0.007618 -0.035610 -0.573715 0.818245
1693382242.60002 -0.216354 0.157326 1.221833 -0.006157 -0.034256 -0.578892 0.814661
1693382242.70136 -0.212108 0.142810 1.219577 -0.002282 -0.036195 -0.588239 0.807873
1693382242.73512 -0.213524 0.139200 1.217175 -0.001315 -0.038368 -0.590701 0.805977
1693382242.76891 -0.213566 0.135819 1.215701 -0.002208 -0.039921 -0.593290 0.803996
1693382242.80269 -0.213508 0.132650 1.214403 -0.004924 -0.040771 -0.595210 0.802520
1693382242.83644 -0.212783 0.129207 1.213856 -0.008097 -0.040131 -0.595646 0.802203
1693382242.87021 -0.212000 0.125505 1.213619 -0.009834 -0.038090 -0.595095 0.802692
1693382242.90401 -0.211289 0.121900 1.213429 -0.010194 -0.036793 -0.594549 0.803152
1693382242.93780 -0.210739 0.118286 1.213188 -0.009038 -0.036547 -0.594579 0.803155
1693382242.97160 -0.210367 0.114596 1.212653 -0.007345 -0.036912 -0.594570 0.803163
1693382243.00539 -0.209692 0.110958 1.212051 -0.005821 -0.036825 -0.594412 0.803296
1693382243.03915 -0.209109 0.107498 1.210987 -0.005210 -0.037103 -0.595190 0.802711
1693382243.07294 -0.208078 0.104060 1.209783 -0.005379 -0.038883 -0.596820 0.801415
1693382243.10675 -0.207491 0.100507 1.208218 -0.005082 -0.041414 -0.598587 0.799971
1693382243.14055 -0.207063 0.096807 1.206562 -0.004515 -0.043574 -0.599812 0.798941
1693382243.17431 -0.206477 0.093008 1.205176 -0.003693 -0.043502 -0.600627 0.798337
