# timestamp(s) tx ty tz qx qy qz qw
1693382558.78571 0.017933 0.034880 0.036459 -0.004689 0.036645 0.998840 0.030893
1693382558.82022 0.005971 0.032540 0.028708 0.000851 0.029674 0.999076 0.031064
1693382558.85356 0.006334 0.028986 0.030893 0.004494 0.023267 0.999178 0.032883
1693382558.88732 0.005254 0.021977 0.033836 0.009289 0.014285 0.999330 0.032403
1693382558.92159 0.004679 0.010567 0.035807 0.014613 0.006130 0.999399 0.030837
1693382558.95589 0.004792 0.005044 0.042052 0.019128 -0.001893 0.999458 0.026738
1693382558.99011 0.003881 0.000631 0.048830 0.023267 -0.008713 0.999431 0.022798
1693382559.02379 0.003323 0.003942 0.058835 0.028120 -0.015322 0.999321 0.018247
1693382559.05767 0.000949 0.001846 0.066910 0.032904 -0.018491 0.999184 0.014347
1693382559.09168 -0.001334 -0.000439 0.078100 0.035861 -0.020104 0.999100 0.010464
1693382559.12560 -0.000512 0.002213 0.090009 0.039216 -0.021691 0.998989 0.003419
1693382559.15947 -0.001005 0.001387 0.102366 -0.040948 0.024200 -0.998865 0.002611
1693382559.19312 -0.003188 0.002237 0.115092 -0.041579 0.027292 -0.998712 0.010003
1693382559.22647 -0.003288 0.004863 0.132484 -0.039964 0.032881 -0.998557 0.014324
1693382559.25990 0.003755 0.009734 0.151281 -0.038966 0.036499 -0.998425 0.017220
1693382559.29343 0.012331 0.014477 0.172897 -0.037144 0.038589 -0.998413 0.017399
1693382559.32656 0.019051 0.017903 0.193190 -0.034935 0.038240 -0.998524 0.016356
1693382559.35962 0.027980 0.022179 0.215298 -0.033293 0.035075 -0.998718 0.014929
1693382559.39304 0.037395 0.025611 0.238355 -0.032104 0.030659 -0.998934 0.012637
1693382559.42657 0.044626 0.026287 0.260383 -0.030617 0.025024 -0.999166 0.010216
1693382559.46015 0.059874 0.026029 0.291395 -0.026656 0.020093 -0.999400 0.009262
1693382559.49359 0.066011 0.024048 0.314255 -0.023832 0.017385 -0.999517 0.009769
1693382559.52687 0.071984 0.024525 0.336348 -0.021901 0.018114 -0.999521 0.012222
1693382559.56032 0.078289 0.024807 0.358846 -0.020183 0.020303 -0.999503 0.013230
1693382559.59387 0.086008 0.024760 0.383062 -0.019070 0.023068 -0.999460 0.013541
1693382559.62745 0.093125 0.024634 0.407598 -0.018030 0.025209 -0.999424 0.013845
1693382559.66096 0.099337 0.024473 0.432552 -0.015242 0.027001 -0.999398 0.015539
1693382559.69435 0.107102 0.025305 0.458529 -0.013214 0.028362 -0.999344 0.018212
1693382559.72783 0.114091 0.026934 0.484053 -0.013019 0.030735 -0.999238 0.020252
