# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382558.78571 0.017933 0.034880 0.036459 -0.004689 0.036645 0.998840 0.030893 0.0001807127 -0.0001538752 0.0000254501 0.0008789709 0.0000054710 0.0009135226 0.0206015856 0.0024386840 -0.0000834154 0.0034144740 0.0001597260 0.0028324264
1693382558.82022 0.005971 0.032540 0.028708 0.000851 0.029674 0.999076 0.031064 0.0000488815 0.0000065388 0.0000193135 0.0000356606 0.0000404502 0.0005333387 0.0030283694 0.0001298435 0.0001340766 0.0028674153 0.0000918930 0.0027157373
1693382558.85356 0.006334 0.028986 0.030893 0.004494 0.023267 0.999178 0.032883 0.0000475714 0.0000078934 0.0000208018 0.0000328921 0.0000285818 0.0005218208 0.0029607846 0.0001202006 0.0001393210 0.0028428170 0.0000942909 0.0027030118
1693382558.88732 0.005254 0.021977 0.033836 0.009289 0.014285 0.999330 0.032403 0.0000465132 0.0000079091 0.0000226667 0.0000309200 0.0000175705 0.0005150935 0.0029118502 0.0001100852 0.0001392027 0.0028218091 0.0000877938 0.0026981166
1693382558.92159 0.004679 0.010567 0.035807 0.014613 0.006130 0.999399 0.030837 0.0000427199 0.0000061751 0.0000267051 0.0000283607 0.0000067250 0.0005060721 0.0028681178 0.0001004957 0.0001348207 0.0027956667 0.0000788877 0.0026901987
1693382558.95589 0.004792 0.005044 0.042052 0.019128 -0.001893 0.999458 0.026738 0.0000366096 0.0000037146 0.0000309669 0.0000262530 -0.0000002547 0.0004973043 0.0028319130 0.0000916337 0.0001291269 0.0027692112 0.0000694397 0.0026815571
1693382558.99011 0.003881 0.000631 0.048830 0.023267 -0.008713 0.999431 0.022798 0.0000306638 0.0000010729 0.0000346791 0.0000240651 -0.0000057529 0.0004876547 0.0027994386 0.0000830054 0.0001214419 0.0027435998 0.0000601498 0.0026722813
1693382559.02379 0.003323 0.003942 0.058835 0.028120 -0.015322 0.999321 0.018247 0.0000255385 -0.0000010398 0.0000358994 0.0000141097 -0.0000164960 0.0004667342 0.0027454627 0.0000492638 0.0000700289 0.0026896282 0.0000147603 0.0025920385
1693382559.05767 0.000949 0.001846 0.066910 0.032904 -0.018491 0.999184 0.014347 0.0000216937 -0.0000024350 0.0000386607 0.0000135407 -0.0000196701 0.0004561785 0.0027102230 0.0000396624 0.0000604198 0.0026683358 0.0000109890 0.0025885905
1693382559.09168 -0.001334 -0.000439 0.078100 0.035861 -0.020104 0.999100 0.010464 0.0000158892 -0.0000021323 0.0000325918 0.0000127354 -0.0000197451 0.0004305649 0.0026754837 0.0000266423 0.0000491772 0.0026254214 0.0000091645 0.0025826447
1693382559.12560 -0.000512 0.002213 0.090009 0.039216 -0.021691 0.998989 0.003419 0.0000147772 -0.0000021758 0.0000334523 0.0000124459 -0.0000200500 0.0004241444 0.0026642502 0.0000241253 0.0000457897 0.0026131343 0.0000086405 0.0025808401
1693382559.15947 -0.001005 0.001387 0.102366 -0.040948 0.024200 -0.998865 0.002611 0.0000144798 -0.0000024764 0.0000349271 0.0000124905 -0.0000218416 0.0004216981 0.0026532033 0.0000207097 0.0000429368 0.0026054928 0.0000071455 0.0025802841
1693382559.19312 -0.003188 0.002237 0.115092 -0.041579 0.027292 -0.998712 0.010003 0.0000135442 -0.0000027869 0.0000350586 0.0000126890 -0.0000246688 0.0004190377 0.0026411388 0.0000176794 0.0000396250 0.0025994965 0.0000054059 0.0025796045
