# timestamp(s) tx ty tz qx qy qz qw
1694526866.93565 -0.210962 0.196103 0.037572 0.025765 0.049752 -0.997576 0.041256
1694526866.96889 -0.225126 0.210961 0.048355 0.027431 0.042559 -0.998103 0.035023
1694526867.00213 -0.238565 0.225158 0.058370 0.032592 0.030749 -0.998536 0.030288
1694526867.03537 -0.252939 0.239938 0.068359 0.040366 0.017225 -0.998667 0.027177
1694526867.06861 -0.268023 0.255135 0.078037 0.047359 0.005621 -0.998515 0.026338
1694526867.10184 -0.283827 0.270602 0.087199 0.051937 -0.000810 -0.998263 0.027813
1694526867.13508 -0.300159 0.286216 0.095881 0.054026 -0.001169 -0.998137 0.028326
1694526867.16831 -0.316724 0.302295 0.103873 0.051270 0.002245 -0.998287 0.028080
1694526867.20155 -0.333886 0.319031 0.111159 0.047943 0.007395 -0.998465 0.026741
1694526867.23478 -0.351913 0.336668 0.117745 0.045968 0.011166 -0.998566 0.025080
1694526867.26801 -0.370852 0.355413 0.123839 0.046230 0.011643 -0.998578 0.023839
1694526867.30124 -0.390878 0.375330 0.129677 0.049253 0.008631 -0.998468 0.023675
1694526867.33447 -0.412076 0.396309 0.135321 0.054630 0.003514 -0.998212 0.024013
1694526867.36770 -0.434092 0.418066 0.140741 0.059429 -0.001112 -0.997955 0.023531
1694526867.40092 -0.456733 0.440438 0.146066 0.061383 -0.002691 -0.997863 0.022245
1694526867.43415 -0.479941 0.463353 0.151420 0.060726 -0.000768 -0.997954 0.020006
1694526867.46738 -0.503742 0.486770 0.156728 0.058191 0.003612 -0.998161 0.016614
1694526867.50060 -0.528305 0.510864 0.162018 0.056677 0.008082 -0.998273 0.013154
1694526867.53382 -0.553608 0.535740 0.167308 0.056480 0.010413 -0.998305 0.009425
1694526867.56705 -0.579641 0.561448 0.172621 0.057650 0.009636 -0.998274 0.005728
1694526867.60027 -0.606488 0.587853 0.178062 0.060003 0.006219 -0.998178 0.001329
1694526867.63349 -0.634147 0.614876 0.183774 -0.062818 -0.001101 0.998017 0.003821
1694526867.66671 -0.662456 0.642518 0.189841 -0.063885 0.004927 0.997904 0.009044
1694526867.69993 -0.691496 0.670673 0.196326 -0.064116 0.010385 0.997789 0.014052
1694526867.71090 -1.058770 0.589235 0.240713 -0.083652 -0.010530 0.996302 0.016563
1694526867.73916 -0.588585 0.480176 0.331737 0.037909 0.021350 -0.997966 0.046599
1694526867.77208 -0.569686 0.506598 0.337805 0.037509 0.023542 -0.997690 0.051521
1694526867.80554 -0.565041 0.529648 0.348142 0.035880 0.027578 -0.997577 0.052835
1694526867.83922 -0.568478 0.541846 0.366183 0.034856 0.029401 -0.997566 0.052758
1694526867.87244 -0.577690 0.548320 0.386048 0.035488 0.029068 -0.997544 0.052934
1694526867.90775 -0.469997 0.477627 0.457832 0.030102 0.018874 -0.997854 0.055001
1694526867.94093 -0.480476 0.481973 0.476270 0.030629 0.018606 -0.997908 0.053813
1694526867.97410 -0.485245 0.477031 0.499604 0.030860 0.015431 -0.997953 0.053846
1694526868.00744 -0.490351 0.468636 0.517969 0.030473 0.012536 -0.998026 0.053467
1694526868.04131 -0.519778 0.460527 0.528073 0.030183 0.009384 -0.998229 0.050401
1694526868.07576 -0.496027 0.435546 0.551553 0.024811 0.003733 -0.998361 0.051431
1694526868.10797 -0.433186 0.378128 0.596394 0.022907 0.004342 -0.999121 0.034827
1694526868.14016 -0.371096 0.338483 0.632782 0.020561 0.002512 -0.999473 0.024989
1694526868.17373 -0.354911 0.328737 0.656178 0.018573 0.002576 -0.999688 0.016498
1694526868.20779 -0.352881 0.330877 0.678668 0.017316 0.002968 -0.999819 0.007333
1694526868.24110 -0.296553 0.331502 0.730722 0.018867 -0.000158 -0.999804 0.006028
1694526868.27425 -0.269845 0.326247 0.767496 0.020638 -0.001364 -0.999785 0.001579
1694526868.30722 -0.250747 0.315747 0.800297 -0.021800 0.000856 0.999753 0.004354
1694526868.33937 -0.203013 0.308230 0.836606 -0.018089 -0.001685 0.999803 0.007953
1694526868.37197 -0.194261 0.304815 0.859650 -0.016156 -0.004252 0.999807 0.010375
1694526868.40468 -0.189067 0.302301 0.880274 -0.014327 -0.006720 0.999806 0.011722
1694526868.43740 -0.182686 0.300235 0.900830 -0.011897 -0.008053 0.999825 0.012010
1694526868.47101 -0.165098 0.306375 0.922704 -0.006835 -0.008549 0.999875 0.011404
1694526868.50484 -0.158579 0.305909 0.946993 -0.004858 -0.008317 0.999849 0.014450
1694526868.53837 -0.142643 0.297870 0.978889 -0.003691 -0.006255 0.999770 0.020172
1694526868.57190 -0.131949 0.297326 1.006514 -0.002013 -0.003052 0.999703 0.024074
1694526868.60540 -0.113428 0.298064 1.035829 -0.000452 0.001621 0.999630 0.027137
1694526868.63870 -0.100536 0.297910 1.065016 0.000459 0.004546 0.999514 0.030847
1694526868.67204 -0.088895 0.299195 1.092917 0.000222 0.005602 0.999404 0.034068
1694526868.70523 -0.081516 0.299776 1.118448 -0.000727 0.004051 0.999303 0.037105
1694526868.73847 -0.071973 0.301822 1.144360 -0.002350 0.000768 0.999249 0.038682
1694526868.77201 -0.067713 0.301084 1.170462 -0.004215 -0.003761 0.999080 0.042523
1694526868.80521 -0.059263 0.304576 1.195453 -0.004521 -0.007292 0.998928 0.045492
1694526868.83831 -0.049749 0.308878 1.219888 -0.003212 -0.008689 0.998781 0.048475
1694526868.87139 -0.040622 0.312929 1.244180 -0.002255 -0.007687 0.998680 0.050735
1694526868.90464 -0.030596 0.319780 1.269521 -0.002012 -0.004069 0.998613 0.052456
1694526868.93787 -0.018514 0.325879 1.296791 -0.004165 0.001618 0.998511 0.054362
1694526868.97125 -0.005094 0.334941 1.325880 -0.005732 0.008124 0.998397 0.055718
1694526869.00459 0.005729 0.344007 1.353499 -0.007367 0.014510 0.998207 0.057599
1694526869.03809 0.016090 0.353144 1.385326 -0.008173 0.019181 0.998055 0.058747
1694526869.07120 0.028981 0.362370 1.417388 -0.004646 0.021838 0.998008 0.059000
1694526869.10423 0.041295 0.371335 1.447691 -0.001466 0.022326 0.998037 0.058492
1694526869.13752 0.052064 0.380648 1.477968 0.001183 0.020689 0.998066 0.058607
1694526869.17070 0.062168 0.392206 1.508281 -0.000031 0.017433 0.998148 0.058277
1694526869.20386 0.073891 0.403005 1.543870 -0.004199 0.012928 0.998208 0.058273
1694526869.23709 0.082783 0.416226 1.576841 -0.010465 0.008113 0.998151 0.059327
1694526869.27060 0.089908 0.429914 1.607734 -0.016806 0.003524 0.997860 0.063088
1694526869.30414 0.098145 0.445532 1.639845 -0.020887 0.001583 0.997372 0.069355
1694526869.33757 0.108157 0.461952 1.671542 -0.020452 0.003440 0.996948 0.075263
1694526869.37066 0.120647 0.480028 1.698716 -0.015117 0.009483 0.996588 0.080589
1694526869.40375 0.131560 0.499499 1.721119 -0.007452 0.018287 0.996156 0.085337
1694526869.43693 0.141939 0.519343 1.741587 -0.001219 0.029373 0.995431 0.090846
1694526869.47031 0.149859 0.538697 1.756668 0.002731 0.041769 0.994362 0.097426
1694526869.50359 0.159507 0.561182 1.772990 0.004609 0.054022 0.993047 0.104485
1694526869.53686 0.168914 0.584052 1.787632 0.006785 0.064638 0.991531 0.112438
1694526869.57013 0.174975 0.610420 1.782930 0.009904 0.072904 0.989898 0.121198
1694526869.60350 0.179855 0.638468 1.773603 0.015394 0.075959 0.988704 0.128284
1694526869.63666 0.192131 0.660447 1.790809 0.019537 0.071758 0.988212 0.133815
1694526869.66987 0.205303 0.681643 1.809857 0.025156 0.061729 0.988051 0.138969
1694526869.70309 0.219127 0.703144 1.828914 0.031952 0.048060 0.987529 0.146481
1694526869.73631 0.233193 0.723639 1.848100 0.038582 0.033458 0.986416 0.156129
1694526869.76952 0.247364 0.743796 1.866741 0.044686 0.020590 0.984984 0.165485
1694526869.80274 0.261441 0.763563 1.884879 0.049544 0.011090 0.983715 0.172416
1694526869.83596 0.275440 0.782954 1.902291 0.053739 0.006230 0.982612 0.177615
1694526869.86917 0.289421 0.801841 1.918722 0.057646 0.005856 0.981624 0.181817
1694526869.90241 0.303401 0.820114 1.934088 0.060643 0.009327 0.980742 0.185422
1694526869.93565 0.317206 0.837691 1.948329 0.063194 0.015254 0.979825 0.188990
1694526869.96889 0.330657 0.854566 1.961471 0.065105 0.021541 0.979018 0.191890
1694526870.00213 0.343267 0.870161 1.974252 0.066274 0.026998 0.978527 0.193298
1694526870.03537 0.355631 0.886148 1.985438 0.066588 0.031583 0.978252 0.193886
1694526870.06860 0.367482 0.902030 1.995992 0.067092 0.035172 0.977895 0.194891
1694526870.10184 0.378718 0.918055 2.006200 0.068143 0.038011 0.977171 0.197607
1694526870.13508 0.389271 0.934281 2.016422 0.068636 0.039839 0.976057 0.202521
1694526870.16831 0.399043 0.950847 2.026824 0.068200 0.040293 0.974895 0.208098
1694526870.20154 0.408012 0.967864 2.037464 0.067171 0.039137 0.974048 0.212574
1694526870.23478 0.416143 0.985423 2.048304 0.066254 0.036144 0.973805 0.214494
1694526870.26801 0.423579 1.003485 2.059393 0.065129 0.031895 0.973847 0.215321
1694526870.30124 0.430380 1.022019 2.070783 0.063406 0.026840 0.973940 0.216101
1694526870.33447 0.436643 1.041026 2.082498 0.062016 0.021133 0.974153 0.216179
1694526870.36770 0.442225 1.060647 2.094591 0.061223 0.015511 0.974628 0.214734
1694526870.40092 0.447201 1.080893 2.107179 0.061695 0.010298 0.975302 0.211834
1694526870.43415 0.451789 1.101605 2.120333 0.064876 0.005318 0.975842 0.208554
1694526870.46738 0.456034 1.122681 2.134042 0.068623 0.001169 0.976192 0.205762
1694526870.50060 0.460279 1.144000 2.148162 0.071177 -0.002364 0.976767 0.202126
1694526870.53382 0.464678 1.165488 2.162588 0.070764 -0.005119 0.977735 0.197485
1694526870.56705 0.469439 1.186955 2.177258 0.067322 -0.007253 0.978871 0.192944
1694526870.60027 0.475020 1.208213 2.192128 0.063069 -0.008811 0.979975 0.188662
1694526870.63349 0.481100 1.229391 2.207134 0.058684 -0.009232 0.980820 0.185642
1694526870.66671 0.488303 1.250168 2.222201 0.056205 -0.008936 0.981125 0.184809
1694526870.69993 0.497016 1.270320 2.237193 0.056238 -0.008901 0.980943 0.185764
1694526870.73315 0.507491 1.289754 2.251937 0.058269 -0.009361 0.980491 0.187494
1694526870.76636 0.519632 1.308527 2.266359 0.060766 -0.009895 0.979933 0.189580
1694526870.79958 0.532861 1.326909 2.280470 0.062044 -0.009447 0.979385 0.192008
1694526870.83280 0.546709 1.345127 2.294387 0.060496 -0.006929 0.978839 0.195364
1694526870.86601 0.560750 1.363368 2.308262 0.056977 -0.002723 0.978437 0.198511
1694526870.89925 0.574908 1.381765 2.322147 0.054745 0.002054 0.978293 0.199855
1694526870.93250 0.589197 1.400286 2.336081 0.055574 0.006623 0.978311 0.199436
1694526870.96574 0.603553 1.418867 2.350118 0.058901 0.010534 0.978131 0.199199
1694526870.99896 0.740945 1.621705 2.219883 0.066400 0.019390 0.977982 0.196892
1694526871.03222 0.796072 1.615204 2.202257 0.070361 0.020879 0.977669 0.196916
1694526871.06545 0.818398 1.641721 2.213865 0.071794 0.022724 0.977961 0.194732
1694526871.09869 0.838867 1.668999 2.225848 0.072468 0.024056 0.978649 0.190829
1694526871.13204 0.828688 1.689822 2.236591 0.072398 0.024322 0.979664 0.185540
1694526871.16524 0.761002 1.737609 2.255443 0.071243 0.024155 0.980754 0.180175
1694526871.19845 0.771099 1.782359 2.269234 0.074088 0.023266 0.981661 0.174103
1694526871.23169 0.797187 1.813908 2.259625 0.077526 0.021229 0.982828 0.166099
1694526871.26502 0.925961 1.847892 2.204809 0.084135 0.019368 0.983998 0.155865
1694526871.29825 0.946847 1.877133 2.214040 0.084880 0.018266 0.985443 0.146161
1694526871.33153 0.966849 1.914829 2.213466 0.086210 0.017489 0.986662 0.136965
1694526871.36476 0.988647 1.944241 2.223708 0.087910 0.015597 0.987758 0.127914
1694526871.39799 1.010934 1.973101 2.234697 0.087256 0.012648 0.988801 0.120411
1694526871.43142 0.989181 2.010289 2.229223 0.082596 0.008624 0.989786 0.115875
1694526871.46468 1.012314 2.042137 2.238525 0.081401 0.002368 0.990499 0.110817
1694526871.49809 1.019875 2.075612 2.251751 0.083854 -0.004646 0.990735 0.106733
1694526871.53173 1.003640 2.099297 2.271529 0.086781 -0.010879 0.990256 0.108367
1694526871.56486 1.011117 2.125534 2.281755 0.088837 -0.015699 0.989535 0.112611
1694526871.59819 1.025170 2.141748 2.293978 0.087565 -0.018438 0.989212 0.115986
1694526871.63151 1.058395 2.156062 2.308083 0.085879 -0.018931 0.989575 0.114055
1694526871.66546 1.061596 2.145080 2.333067 0.085746 -0.018103 0.990261 0.108178
1694526871.69930 1.024982 2.144038 2.349459 0.085990 -0.014966 0.990914 0.102324
1694526871.73262 1.010946 2.170852 2.359410 0.085910 -0.009958 0.991250 0.099719
1694526871.76602 0.863788 2.222678 2.341163 0.082720 -0.005487 0.991693 0.098343
1694526871.79922 0.817788 2.218075 2.339578 0.081520 -0.005023 0.991661 0.099691
1694526871.83256 0.777675 2.221518 2.347648 0.081658 -0.007817 0.991646 0.099545
1694526871.86577 0.757528 2.230839 2.355490 0.083007 -0.013302 0.991620 0.098091
1694526871.89920 0.742202 2.240960 2.364312 0.084151 -0.019685 0.991562 0.096622
1694526871.93263 0.726630 2.251657 2.373654 0.084248 -0.024666 0.991523 0.095786
1694526871.96605 0.703654 2.259840 2.381941 0.083296 -0.026664 0.991564 0.095664
1694526871.99950 0.679468 2.268648 2.389932 0.081713 -0.025311 0.991736 0.095618
1694526872.03292 0.682176 2.284763 2.399465 0.081385 -0.020931 0.991967 0.094553
1694526872.06640 0.607942 2.277168 2.399878 0.079090 -0.015228 0.992217 0.094967
1694526872.09986 0.599408 2.289047 2.411818 0.078274 -0.009230 0.992333 0.095197
1694526872.13333 0.587958 2.299386 2.425157 0.078243 -0.004968 0.992310 0.095778
1694526872.16678 0.573440 2.307904 2.438647 0.080007 -0.004377 0.992297 0.094481
1694526872.20017 0.567789 2.304873 2.445899 0.084119 -0.008312 0.992352 0.089959
1694526872.23362 0.558948 2.315564 2.459866 0.087850 -0.014138 0.992569 0.083007
1694526872.26707 0.555500 2.324736 2.471832 0.089580 -0.019566 0.992587 0.079768
1694526872.30052 0.552607 2.333100 2.484123 0.090723 -0.022612 0.992391 0.080118
1694526872.33398 0.550200 2.340922 2.496667 0.091284 -0.023561 0.992434 0.078651
1694526872.36743 0.548507 2.348345 2.509160 0.094748 -0.023273 0.992683 0.071140
1694526872.40096 0.501344 2.339013 2.518276 0.100374 -0.023004 0.992959 0.058545
1694526872.43442 0.500743 2.344484 2.529551 0.105272 -0.019322 0.993133 0.047239
1694526872.46788 0.501524 2.349123 2.540092 0.104310 -0.014057 0.993577 0.041543
1694526872.50134 0.503396 2.353007 2.550036 0.098620 -0.009259 0.994364 0.037794
1694526872.53480 0.505920 2.356361 2.559511 0.092013 -0.006386 0.995276 0.030323
1694526872.56827 0.509049 2.359148 2.568528 0.088457 -0.005351 0.995886 0.018916
1694526872.60174 0.512848 2.361326 2.577176 0.087446 -0.004895 0.996138 0.006244
1694526872.63520 0.517018 2.362807 2.585574 -0.086319 0.004157 -0.996247 0.004931
1694526872.66867 0.521487 2.363576 2.593839 -0.084898 0.002688 -0.996298 0.013256
1694526872.70247 0.544803 2.402822 2.611542 -0.085262 -0.002653 -0.996153 0.020061
1694526872.73596 0.546213 2.403942 2.616941 -0.087695 -0.005843 -0.995696 0.029422
1694526872.76944 0.549529 2.406010 2.622337 -0.089394 -0.010158 -0.995086 0.041336
1694526872.80291 0.553913 2.408496 2.627517 -0.089233 -0.015397 -0.994425 0.054029
1694526872.83638 0.558170 2.411444 2.633037 -0.088378 -0.020848 -0.993572 0.067602
1694526872.86986 0.561959 2.415200 2.639607 -0.087828 -0.025837 -0.992443 0.081704
1694526872.90321 0.565069 2.419534 2.647063 -0.087921 -0.029659 -0.991081 0.095649
1694526872.93687 0.569596 2.421971 2.655353 -0.089432 -0.031558 -0.989410 0.109877
1694526872.97053 0.573298 2.425627 2.664091 -0.092091 -0.032581 -0.987344 0.124941
1694526873.00422 0.574530 2.430125 2.673981 -0.094797 -0.033243 -0.985051 0.139941
1694526873.03788 0.581013 2.432098 2.683190 -0.097110 -0.033467 -0.982750 0.153792
1694526873.07154 0.588428 2.434131 2.692824 -0.098546 -0.033827 -0.980472 0.166793
1694526873.10521 0.596835 2.436223 2.702823 -0.098967 -0.034254 -0.978170 0.179486
1694526873.13888 0.606057 2.438217 2.713094 -0.098521 -0.034247 -0.975717 0.192608
1694526873.17254 0.615891 2.439918 2.723511 -0.097416 -0.033484 -0.972924 0.206901
1694526873.20621 0.626362 2.441082 2.733982 -0.096268 -0.031776 -0.969880 0.221483
1694526873.23989 0.637796 2.441698 2.744248 -0.098106 -0.029743 -0.966300 0.236124
1694526873.27364 0.625090 2.454061 2.768455 -0.101494 -0.028671 -0.962661 0.249321
1694526873.30732 0.638811 2.454749 2.778208 -0.104262 -0.027298 -0.959999 0.258430
1694526873.34099 0.653959 2.455234 2.787569 -0.103099 -0.026198 -0.958435 0.264738
1694526873.37463 0.639814 2.435829 2.788353 -0.097385 -0.023734 -0.957508 0.270426
1694526873.40830 0.636049 2.430827 2.797779 -0.090069 -0.022085 -0.955867 0.278779
1694526873.44203 0.621158 2.423731 2.807152 -0.083145 -0.020284 -0.953121 0.290234
1694526873.47571 0.637762 2.420970 2.815539 -0.079270 -0.018956 -0.949473 0.303082
1694526873.50940 0.655209 2.417794 2.823872 -0.077723 -0.018390 -0.945797 0.314784
1694526873.54308 0.673530 2.414203 2.832190 -0.077761 -0.018092 -0.942605 0.324224
1694526873.57677 0.672750 2.407401 2.838918 -0.078246 -0.017852 -0.939796 0.332179
1694526873.61046 0.691762 2.402634 2.846931 -0.078844 -0.017895 -0.937162 0.339397
1694526873.64415 0.711137 2.397312 2.854749 -0.078511 -0.018027 -0.934340 0.347161
1694526873.67785 0.730714 2.391324 2.862462 -0.077116 -0.018459 -0.931233 0.355692
1694526873.71154 0.750284 2.384485 2.870277 -0.074303 -0.019043 -0.927820 0.365057
1694526873.74524 0.770762 2.377118 2.878806 -0.071327 -0.020094 -0.924184 0.374691
1694526873.77894 0.790263 2.368254 2.887584 -0.069773 -0.022531 -0.920843 0.382977
1694526873.81264 0.810112 2.358563 2.896999 -0.071524 -0.025896 -0.917591 0.390180
1694526873.84635 0.830407 2.348022 2.907059 -0.075463 -0.028046 -0.913984 0.397682
1694526873.88005 0.850863 2.336320 2.917727 -0.079491 -0.027622 -0.909574 0.406932
1694526873.91376 0.871465 2.323609 2.928744 -0.084715 -0.026464 -0.904220 0.417742
1694526873.94711 0.892356 2.310723 2.939669 -0.091359 -0.026733 -0.898947 0.427590
1694526873.98047 0.914123 2.297764 2.950433 -0.096805 -0.027666 -0.894606 0.435366
1694526874.01407 0.936976 2.284798 2.960742 -0.100285 -0.029264 -0.891176 0.441465
1694526874.04766 0.940225 2.270462 2.976751 -0.101442 -0.031549 -0.887935 0.447534
1694526874.08126 0.964325 2.258388 2.985696 -0.102751 -0.034387 -0.883355 0.456008
1694526874.11487 0.989329 2.246788 2.993745 -0.105610 -0.038858 -0.877071 0.466993
1694526874.14847 1.015341 2.235457 3.000857 -0.107863 -0.043918 -0.870844 0.477564
1694526874.18208 1.042484 2.224058 3.007112 -0.106014 -0.046706 -0.866546 0.485466
1694526874.21568 1.070710 2.212322 3.012679 -0.098978 -0.045172 -0.863749 0.492037
1694526874.24929 1.099904 2.200380 3.017720 -0.090407 -0.040490 -0.860154 0.500322
1694526874.28290 1.131552 2.189985 3.022634 -0.085389 -0.036688 -0.854044 0.511832
1694526874.31651 1.162225 2.178853 3.026831 -0.083681 -0.036006 -0.846425 0.524658
1694526874.35012 1.193427 2.167998 3.030835 -0.081310 -0.038016 -0.840531 0.534276
1694526874.38374 1.224963 2.157000 3.034705 -0.076622 -0.042129 -0.837222 0.539827
1694526874.41735 1.256592 2.145453 3.038460 -0.070089 -0.046826 -0.834538 0.544465
1694526874.45104 1.183511 2.118928 3.026161 -0.061937 -0.050796 -0.830571 0.551122
1694526874.48466 1.213284 2.105725 3.029573 -0.055868 -0.052601 -0.824091 0.561236
1694526874.51828 1.243227 2.092033 3.033144 -0.051742 -0.053118 -0.816915 0.571971
1694526874.55190 1.273375 2.077974 3.037040 -0.049465 -0.052963 -0.809966 0.581982
1694526874.58552 1.303615 2.063663 3.041353 -0.048771 -0.052856 -0.803540 0.590890
1694526874.61915 1.333779 2.049112 3.046193 -0.048820 -0.053177 -0.797358 0.599174
1694526874.65277 1.363748 2.034330 3.051629 -0.049256 -0.054597 -0.790977 0.607411
1694526874.68613 1.378515 2.059045 2.959507 -0.050223 -0.059121 -0.785140 0.614440
1694526874.71976 1.358974 2.040970 2.957843 -0.051147 -0.062971 -0.778541 0.622328
1694526874.75337 1.415752 2.030339 2.965640 -0.052156 -0.066175 -0.772261 0.629694
1694526874.78700 1.457286 2.017148 2.976285 -0.052955 -0.069091 -0.767296 0.635358
1694526874.82061 1.531730 2.006305 2.993629 -0.054887 -0.070960 -0.762591 0.640630
1694526874.85424 1.564694 1.994239 2.999901 -0.056910 -0.071425 -0.757780 0.646088
1694526874.88787 1.598549 1.982096 3.006295 -0.059394 -0.070624 -0.752593 0.651988
1694526874.92151 1.633300 1.969724 3.012790 -0.061768 -0.068695 -0.746829 0.658568
1694526874.95514 1.668955 1.957326 3.019261 -0.064933 -0.067399 -0.740286 0.665746
1694526874.98878 1.705467 1.945349 3.025447 -0.069036 -0.068301 -0.733215 0.673027
1694526875.02198 1.742350 1.934307 3.031112 -0.071264 -0.069258 -0.727050 0.679355
1694526875.05518 1.780106 1.924213 3.036309 -0.069435 -0.067908 -0.723055 0.683929
1694526875.08838 1.818703 1.914951 3.041121 -0.064142 -0.064187 -0.720394 0.687603
1694526875.12158 1.858088 1.906099 3.045577 -0.058942 -0.060460 -0.716617 0.692337
1694526875.15477 1.898537 1.897495 3.049849 -0.055605 -0.058025 -0.710576 0.699016
1694526875.18797 1.939517 1.888432 3.053914 -0.053497 -0.056521 -0.703506 0.706415
1694526875.22116 1.981300 1.879213 3.057836 -0.051852 -0.055330 -0.697022 0.713029
1694526875.25436 2.023821 1.869918 3.061637 -0.050163 -0.054043 -0.691922 0.718197
1694526875.28755 2.066888 1.860401 3.065275 -0.048664 -0.053279 -0.687462 0.722626
1694526875.32074 2.110350 1.850506 3.068707 -0.047568 -0.053804 -0.682973 0.726905
1694526875.35393 2.154130 1.840031 3.071947 -0.045746 -0.054929 -0.678608 0.731014
1694526875.38712 2.198288 1.828795 3.075057 -0.042241 -0.055402 -0.675279 0.734265
1694526875.42031 2.227102 1.805605 3.086821 -0.038143 -0.055713 -0.673007 0.736548
1694526875.45349 2.271813 1.792689 3.090188 -0.035635 -0.056316 -0.671654 0.737862
1694526875.48667 2.317112 1.779575 3.093904 -0.035089 -0.056592 -0.671161 0.738315
1694526875.51986 2.363045 1.766565 3.098135 -0.037302 -0.056425 -0.671180 0.738202
1694526875.55287 2.484731 1.793411 3.041690 -0.042844 -0.056123 -0.670306 0.738718
1694526875.58601 2.531729 1.781579 3.043133 -0.049998 -0.057999 -0.668047 0.740168
1694526875.61919 2.580653 1.771179 3.048396 -0.059236 -0.063890 -0.664912 0.741823
1694526875.65237 2.629964 1.761046 3.053970 -0.067139 -0.069921 -0.662010 0.743200
1694526875.68554 2.679954 1.750446 3.059778 -0.069712 -0.071193 -0.661047 0.743699
1694526875.71872 2.730758 1.739437 3.065837 -0.067163 -0.068806 -0.662851 0.742552
1694526875.75189 2.782099 1.728389 3.072082 -0.063187 -0.067193 -0.663460 0.742505
1694526875.78506 2.833678 1.717889 3.078133 -0.061390 -0.069000 -0.659565 0.745952
1694526875.81824 2.885540 1.708546 3.083759 -0.061322 -0.071302 -0.653623 0.750954
1694526875.85141 2.937819 1.700626 3.088946 -0.060333 -0.070266 -0.649768 0.754470
1694526875.88457 2.990457 1.693598 3.093778 -0.057615 -0.066000 -0.647650 0.756884
1694526875.91774 3.043130 1.686753 3.098072 -0.055773 -0.063879 -0.643076 0.761093
1694526875.95091 3.095729 1.679792 3.101685 -0.055186 -0.065671 -0.635739 0.767123
1694526875.98408 3.148330 1.672623 3.104581 -0.053425 -0.069270 -0.628313 0.773026
1694526876.01728 3.202721 1.665232 3.107154 -0.049017 -0.072522 -0.623161 0.777180
1694526876.05039 3.248067 1.651402 3.100504 -0.042837 -0.074784 -0.619544 0.780217
1694526876.08360 3.294409 1.640695 3.098149 -0.037510 -0.076406 -0.615521 0.783511
1694526876.11681 3.336454 1.628621 3.094610 -0.032957 -0.076028 -0.610287 0.787835
1694526876.15002 3.368293 1.613837 3.089402 -0.028931 -0.074098 -0.603952 0.793042
1694526876.18323 3.388702 1.594952 3.082672 -0.025165 -0.071594 -0.597281 0.798433
1694526876.21642 3.441998 1.583853 3.080860 -0.022586 -0.069364 -0.590804 0.803511
1694526876.24961 3.495152 1.572669 3.079099 -0.021368 -0.068139 -0.583889 0.808686
1694526876.28281 3.548090 1.561380 3.077597 -0.020909 -0.066920 -0.576595 0.814016
1694526876.31600 3.600819 1.549874 3.076521 -0.020554 -0.065097 -0.569029 0.819479
1694526876.34919 3.653334 1.538153 3.076028 -0.020474 -0.062897 -0.561058 0.825129
1694526876.38238 3.705676 1.526374 3.076308 -0.021034 -0.060425 -0.553030 0.830701
1694526876.41556 3.646550 1.475927 3.082835 -0.021425 -0.057944 -0.545028 0.836139
1694526876.44875 3.696620 1.463715 3.085100 -0.022917 -0.054024 -0.537756 0.841056
1694526876.48194 3.746925 1.451697 3.088332 -0.024978 -0.049493 -0.531836 0.845031
1694526876.51512 3.797830 1.439827 3.092460 -0.027911 -0.044004 -0.526521 0.848564
1694526876.54830 3.849485 1.428204 3.097222 -0.033141 -0.039596 -0.520138 0.852520
1694526876.58148 3.903556 1.417178 3.102518 -0.040835 -0.039426 -0.513115 0.856441
1694526876.61466 3.956274 1.407087 3.107230 -0.047849 -0.041915 -0.509210 0.858288
1694526876.64784 4.009345 1.398078 3.111566 -0.050525 -0.042399 -0.510305 0.857461
1694526876.68102 4.062748 1.389656 3.115479 -0.048165 -0.038879 -0.511953 0.856780
1694526876.71420 4.116407 1.381400 3.118866 -0.043381 -0.035488 -0.509357 0.858728
1694526876.74737 4.170382 1.373278 3.121788 -0.038363 -0.036040 -0.502065 0.863226
1694526876.78054 4.224710 1.365513 3.124334 -0.033247 -0.040001 -0.493734 0.868056
1694526876.81371 4.279509 1.358170 3.126594 -0.027141 -0.043433 -0.487635 0.871544
1694526876.84689 4.335000 1.350995 3.128595 -0.020813 -0.044465 -0.484133 0.873616
1694526876.88006 4.391422 1.343625 3.130328 -0.016447 -0.044746 -0.481296 0.875261
1694526876.91322 4.448826 1.335826 3.131854 -0.015002 -0.045602 -0.477949 0.877075
1694526876.94639 4.507184 1.327538 3.133297 -0.015869 -0.046065 -0.474802 0.878743
1694526876.97956 4.566501 1.318764 3.134840 -0.017435 -0.044715 -0.473381 0.879549
1694526877.01276 4.626805 1.309596 3.136757 -0.019493 -0.042409 -0.474449 0.879045
1694526877.04597 4.687773 1.300162 3.139297 -0.022738 -0.042380 -0.476370 0.877929
1694526877.07917 4.749154 1.290548 3.142622 -0.026666 -0.044963 -0.477421 0.877118
