# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1694526866.93565 -0.210962 0.196103 0.037572 0.025765 0.049752 -0.997576 0.041256 0.0002626852 0.0000954739 0.0000645994 0.0003168855 -0.0001314605 0.0008946985 0.0092600153 -0.0032638564 -0.0002711424 0.0066376870 0.0001288930 0.0028431559
1694526866.96889 -0.225126 0.210961 0.048355 0.027431 0.042559 -0.998103 0.035023 0.0002730725 0.0001047977 0.0000267594 0.0003201004 -0.0000905105 0.0009474563 0.0100956827 -0.0037987972 0.0000669358 0.0070735503 -0.0001231551 0.0028738069
1694526867.00213 -0.238565 0.225158 0.058370 0.032592 0.030749 -0.998536 0.030288 0.0002862185 0.0001066384 0.0000199969 0.0003329903 -0.0000762885 0.0009833460 0.0109799217 -0.0042747835 0.0000818163 0.0075898163 -0.0001440469 0.0029084350
1694526867.03537 -0.252939 0.239938 0.068359 0.040366 0.017225 -0.998667 0.027177 0.0003007840 0.0001086902 0.0000086128 0.0003461045 -0.0000585915 0.0010198703 0.0119421232 -0.0047945482 0.0000995129 0.0081516649 -0.0001680545 0.0029455670
1694526867.06861 -0.268023 0.255135 0.078037 0.047359 0.005621 -0.998515 0.026338 0.0003172760 0.0001103377 -0.0000019570 0.0003602423 -0.0000430756 0.0010556750 0.0129868870 -0.0053603729 0.0001199538 0.0087621915 -0.0001951934 0.0029853027
1694526867.10184 -0.283827 0.270602 0.087199 0.051937 -0.000810 -0.998263 0.027813 0.0003355136 0.0001117018 -0.0000084331 0.0003754880 -0.0000349478 0.0010908168 0.0141190506 -0.0059746210 0.0001433121 0.0094246407 -0.0002256291 0.0030277540
1694526867.13508 -0.300159 0.286216 0.095881 0.054026 -0.001169 -0.998137 0.028326 0.0003538408 0.0001128283 -0.0000100725 0.0003928964 -0.0000358687 0.0011258993 0.0153444134 -0.0066401356 0.0001695045 0.0101429389 -0.0002593668 0.0030730181
1694526867.16831 -0.316724 0.302295 0.103873 0.051270 0.002245 -0.998287 0.028080 0.0003722743 0.0001135575 -0.0000033872 0.0004120143 -0.0000436486 0.0011613861 0.0166681925 -0.0073593909 0.0001986000 0.0109208461 -0.0002966283 0.0031212393
1694526867.20155 -0.333886 0.319031 0.111159 0.047943 0.007395 -0.998465 0.026741 0.0003909572 0.0001140053 0.0000048182 0.0004328137 -0.0000543221 0.0011971871 0.0180965551 -0.0081353574 0.0002315717 0.0117625454 -0.0003382154 0.0031726359
1694526867.23478 -0.351913 0.336668 0.117745 0.045968 0.011166 -0.998566 0.025080 0.0004102790 0.0001144390 0.0000108043 0.0004542730 -0.0000627350 0.0012339205 0.0196358688 -0.0089710496 0.0002694925 0.0126724540 -0.0003850389 0.0032274464
1694526867.26801 -0.370852 0.355413 0.123839 0.046230 0.011643 -0.998578 0.023839 0.0004304925 0.0001152060 0.0000125159 0.0004753675 -0.0000656031 0.0012723531 0.0212938332 -0.0098701176 0.0003132008 0.0136559656 -0.0004379179 0.0032859067
1694526867.30124 -0.390878 0.375330 0.129677 0.049253 0.008631 -0.998468 0.023675 0.0004518548 0.0001164998 0.0000087121 0.0004956398 -0.0000622581 0.0013126688 0.0230786408 -0.0108363224 0.0003637416 0.0147188395 -0.0004977745 0.0033482588
1694526867.33447 -0.412076 0.396309 0.135321 0.054630 0.003514 -0.998212 0.024013 0.0004742039 0.0001180775 0.0000001658 0.0005158314 -0.0000546674 0.0013542772 0.0249987167 -0.0118733061 0.0004218969 0.0158671313 -0.0005652911 0.0034147175
1694526867.36770 -0.434092 0.418066 0.140741 0.059429 -0.001112 -0.997955 0.023531 0.0004969668 0.0001193866 -0.0000074395 0.0005373054 -0.0000476871 0.0013963628 0.0270623605 -0.0129843607 0.0004873066 0.0171071627 -0.0006403571 0.0034853612
1694526867.40092 -0.456733 0.440438 0.146066 0.061383 -0.002691 -0.997863 0.022245 0.0005199157 0.0001203328 -0.0000093850 0.0005605561 -0.0000464774 0.0014386779 0.0292794067 -0.0141734926 0.0005599633 0.0184463121 -0.0007231354 0.0035603151
1694526867.43415 -0.479941 0.463353 0.151420 0.060726 -0.000768 -0.997954 0.020006 0.0005428971 0.0001209844 -0.0000056952 0.0005857110 -0.0000520634 0.0014812680 0.0316600006 -0.0154447160 0.0006402072 0.0198922927 -0.0008140388 0.0036397353
1694526867.46738 -0.503742 0.486770 0.156728 0.058191 0.003612 -0.998161 0.016614 0.0005659442 0.0001212473 0.0000023397 0.0006127976 -0.0000625959 0.0015241032 0.0342141555 -0.0168017871 0.0007286180 0.0214528422 -0.0009136231 0.0037238168
1694526867.50060 -0.528305 0.510864 0.162018 0.056677 0.008082 -0.998273 0.013154 0.0005897011 0.0001214696 0.0000086707 0.0006408053 -0.0000731983 0.0015675425 0.0369526759 -0.0182488050 0.0008265662 0.0231363243 -0.0010231141 0.0038128727
1694526867.53382 -0.553608 0.535740 0.167308 0.056480 0.010413 -0.998305 0.009425 0.0006140518 0.0001218005 0.0000121290 0.0006690492 -0.0000796261 0.0016123766 0.0398872893 -0.0197900918 0.0009349205 0.0249519815 -0.0011434733 0.0039071759
1694526867.56705 -0.579641 0.561448 0.172621 0.057650 0.009636 -0.998274 0.005728 0.0006391148 0.0001224020 0.0000121635 0.0006968942 -0.0000799050 0.0016591021 0.0430299763 -0.0214298568 0.0010545602 0.0269094167 -0.0012756603 0.0040069852
1694526867.60027 -0.606488 0.587853 0.178062 0.060003 0.006219 -0.998178 0.001329 0.0006645265 0.0001231562 0.0000091321 0.0007248490 -0.0000746206 0.0017075726 0.0463946162 -0.0231729474 0.0011864505 0.0290195800 -0.0014204449 0.0041125369
1694526867.63349 -0.634147 0.614876 0.183774 -0.062818 -0.001101 0.998017 0.003821 0.0006902828 0.0001238539 0.0000045929 0.0007533908 -0.0000655666 0.0017572910 0.0499957154 -0.0250242510 0.0013314341 0.0312941808 -0.0015785849 0.0042240489
1694526867.66671 -0.662456 0.642518 0.189841 -0.063885 0.004927 0.997904 0.009044 0.0007167358 0.0001242561 0.0000033504 0.0007825741 -0.0000547882 0.0018078468 0.0538488195 -0.0269889071 0.0014898751 0.0337460088 -0.0017507448 0.0043417217
1694526867.69993 -0.691496 0.670673 0.196326 -0.064116 0.010385 0.997789 0.014052 0.0007439475 0.0001245626 0.0000039446 0.0008126679 -0.0000450573 0.0018588973 0.0579697322 -0.0290718520 0.0016628834 0.0363880749 -0.0019377401 0.0044657876
1694526867.71090 -1.058770 0.589235 0.240713 -0.083652 -0.010530 0.996302 0.016563 0.0003882419 0.0002055456 -0.0000519624 0.0007082449 -0.0000328183 0.0018091177 0.0556183736 -0.0353219502 0.0027222027 0.0318231003 -0.0008653975 0.0043127759
1694526867.73916 -0.588585 0.480176 0.331737 0.037909 0.021350 -0.997966 0.046599 0.0001660289 -0.0000021255 -0.0000588523 0.0001297954 0.0000516320 0.0010325307 0.0088377463 -0.0023262698 0.0020674467 0.0061026185 -0.0008877154 0.0037367613
1694526867.77208 -0.569686 0.506598 0.337805 0.037509 0.023542 -0.997690 0.051521 0.0001554391 -0.0000071114 0.0000195729 0.0001197561 -0.0000003208 0.0008262894 0.0081929932 -0.0022697860 0.0019988722 0.0057266343 -0.0008424903 0.0038047027
1694526867.80554 -0.565041 0.529648 0.348142 0.035880 0.027578 -0.997577 0.052835 0.0001477928 -0.0000088433 0.0000125032 0.0001138192 -0.0000138196 0.0007427411 0.0076982624 -0.0019737927 0.0018555846 0.0053630975 -0.0007372044 0.0037353329
1694526867.83922 -0.568478 0.541846 0.366183 0.034856 0.029401 -0.997566 0.052758 0.0001428181 -0.0000119987 0.0000054362 0.0001088010 -0.0000225441 0.0006965882 0.0077695942 -0.0019882786 0.0019240429 0.0052274824 -0.0007602666 0.0037582510
1694526867.87244 -0.577690 0.548320 0.386048 0.035488 0.029068 -0.997544 0.052934 0.0001355864 -0.0000135707 -0.0000037010 0.0001032639 -0.0000247397 0.0006596237 0.0078728744 -0.0020040887 0.0019961816 0.0050962260 -0.0007882002 0.0037803666
1694526867.90775 -0.469997 0.477627 0.457832 0.030102 0.018874 -0.997854 0.055001 0.0001057979 -0.0000029508 -0.0000098741 0.0000855587 -0.0000191599 0.0006209915 0.0055729993 -0.0009803000 0.0011510750 0.0043580922 -0.0003871893 0.0034399111
1694526867.94093 -0.480476 0.481973 0.476270 0.030629 0.018606 -0.997908 0.053813 0.0000997016 -0.0000030405 -0.0000121656 0.0000811356 -0.0000128380 0.0005947886 0.0055575647 -0.0010072579 0.0011776693 0.0042387617 -0.0004210962 0.0034649607
1694526867.97410 -0.485245 0.477031 0.499604 0.030860 0.015431 -0.997953 0.053846 0.0000915237 -0.0000014599 -0.0000194898 0.0000768565 -0.0000152080 0.0005744303 0.0056069740 -0.0009993989 0.0011938788 0.0041428668 -0.0004341810 0.0034522760
1694526868.00744 -0.490351 0.468636 0.517969 0.030473 0.012536 -0.998026 0.053467 0.0000827367 0.0000005029 -0.0000251810 0.0000723203 -0.0000144961 0.0005586759 0.0056546745 -0.0009903329 0.0012197258 0.0040498286 -0.0004473714 0.0034490793
1694526868.04131 -0.519778 0.460527 0.528073 0.030183 0.009384 -0.998229 0.050401 0.0000703220 0.0000062372 -0.0000231733 0.0000610023 -0.0000132343 0.0005337346 0.0056026545 -0.0009650675 0.0012189800 0.0038595992 -0.0004719944 0.0034353406
1694526868.07576 -0.496027 0.435546 0.551553 0.024811 0.003733 -0.998361 0.051431 0.0000485693 0.0000088974 -0.0000189925 0.0000483696 -0.0000053079 0.0005181182 0.0054253311 -0.0008202261 0.0011751453 0.0036259853 -0.0004156126 0.0034227818
1694526868.10797 -0.433186 0.378128 0.596394 0.022907 0.004342 -0.999121 0.034827 0.0000398044 0.0000095475 -0.0000165028 0.0000393843 -0.0000062091 0.0004865696 0.0052436776 -0.0007140435 0.0011435247 0.0034791497 -0.0004001214 0.0033716197
1694526868.14016 -0.371096 0.338483 0.632782 0.020561 0.002512 -0.999473 0.024989 0.0000299675 0.0000068747 -0.0000125166 0.0000336961 -0.0000074016 0.0004750471 0.0048691854 -0.0005722722 0.0010171730 0.0033173840 -0.0003388438 0.0033263941
1694526868.17373 -0.354911 0.328737 0.656178 0.018573 0.002576 -0.999688 0.016498 0.0000270907 0.0000055294 -0.0000112522 0.0000306728 -0.0000078230 0.0004690875 0.0046726461 -0.0005033850 0.0009434451 0.0032532891 -0.0003097698 0.0032901287
1694526868.20779 -0.352881 0.330877 0.678668 0.017316 0.002968 -0.999819 0.007333 0.0000235073 0.0000041001 -0.0000111187 0.0000290610 -0.0000093241 0.0004651557 0.0045617745 -0.0004604056 0.0008991830 0.0032168484 -0.0002936695 0.0032745088
1694526868.24110 -0.296553 0.331502 0.730722 0.018867 -0.000158 -0.999804 0.006028 0.0000212878 0.0000031824 -0.0000106503 0.0000278783 -0.0000114062 0.0004615715 0.0043960046 -0.0004281886 0.0008217111 0.0031913935 -0.0002842698 0.0032391786
1694526868.27425 -0.269845 0.326247 0.767496 0.020638 -0.001364 -0.999785 0.001579 0.0000203797 0.0000031568 -0.0000130471 0.0000274295 -0.0000103955 0.0004588771 0.0043087287 -0.0004155609 0.0007965363 0.0031650318 -0.0002877258 0.0032406145
1694526868.30722 -0.250747 0.315747 0.800297 -0.021800 0.000856 0.999753 0.004354 0.0000188879 0.0000029592 -0.0000144543 0.0000258140 -0.0000098501 0.0004549319 0.0042299453 -0.0003761297 0.0007657050 0.0031293441 -0.0002722867 0.0032253055
1694526868.33937 -0.203013 0.308230 0.836606 -0.018089 -0.001685 0.999803 0.007953 0.0000174318 0.0000023012 -0.0000130248 0.0000233750 -0.0000097530 0.0004512438 0.0040893923 -0.0003109042 0.0006862563 0.0030843553 -0.0002312267 0.0031681984
1694526868.37197 -0.194261 0.304815 0.859650 -0.016156 -0.004252 0.999807 0.010375 0.0000164954 0.0000019311 -0.0000097120 0.0000233693 -0.0000124641 0.0004499275 0.0040503072 -0.0002929616 0.0006847322 0.0030642458 -0.0002297459 0.0031813432
1694526868.40468 -0.189067 0.302301 0.880274 -0.014327 -0.006720 0.999806 0.011722 0.0000158058 0.0000015969 -0.0000082314 0.0000232315 -0.0000144308 0.0004487147 0.0040218422 -0.0002729008 0.0006814399 0.0030499736 -0.0002256071 0.0031900283
1694526868.43740 -0.182686 0.300235 0.900830 -0.011897 -0.008053 0.999825 0.012010 0.0000149051 0.0000013070 -0.0000062180 0.0000228005 -0.0000157086 0.0004475188 0.0039963386 -0.0002546538 0.0006776158 0.0030384243 -0.0002204147 0.0031954332
1694526868.47101 -0.165098 0.306375 0.922704 -0.006835 -0.008549 0.999875 0.011404 0.0000141066 0.0000010708 -0.0000033739 0.0000207052 -0.0000138852 0.0004441521 0.0039456079 -0.0002281222 0.0006501422 0.0030145168 -0.0001982103 0.0031749275
