# timestamp(s) tx ty tz qx qy qz qw
1694526866.89856 0.004477 -0.008034 0.037968 -0.001758 0.072984 -0.996456 0.041782
1694526866.90169 -0.085377 0.167092 0.050844 0.008438 0.049485 -0.998113 0.035372
1694526866.93421 -0.076004 0.167800 0.052418 0.007789 0.050503 -0.998143 0.033161
1694526866.96745 -0.078702 0.179392 0.062546 0.008786 0.043811 -0.998621 0.027553
1694526867.00139 -0.100044 0.140489 0.073209 0.014572 0.035535 -0.999165 0.013931
1694526867.03572 -0.094367 0.131998 0.085762 0.021307 0.025253 -0.999398 0.010558
1694526867.07052 -0.097535 0.115010 0.099803 0.027393 0.018723 -0.999407 0.009202
1694526867.10529 -0.097111 0.088461 0.113638 0.031189 0.018900 -0.999298 0.008591
1694526867.13951 -0.088454 0.074058 0.125432 0.031692 0.024394 -0.999165 0.008344
1694526867.17326 -0.084210 0.083208 0.139742 0.028682 0.033275 -0.998971 0.011248
1694526867.20683 -0.075044 0.086436 0.149444 0.024398 0.043897 -0.998676 0.011129
1694526867.24032 -0.076978 0.081914 0.159663 0.021720 0.049210 -0.998487 0.011377
1694526867.27450 -0.043897 0.102315 0.168072 0.017859 0.051076 -0.998206 0.025622
1694526867.30755 0.041874 0.018313 0.215975 0.023759 0.039842 -0.998776 0.017160
1694526867.34072 0.040738 0.019542 0.223141 0.028667 0.035115 -0.998823 0.017238
1694526867.37392 0.038902 0.020618 0.231002 0.031995 0.031422 -0.998855 0.016670
1694526867.40712 0.035707 0.019446 0.237622 0.032461 0.030088 -0.998893 0.015928
1694526867.44031 0.034718 0.019099 0.245573 0.030568 0.032555 -0.998908 0.013761
1694526867.47356 0.034105 0.019262 0.252916 0.027309 0.036959 -0.998884 0.010916
1694526867.50681 0.033910 0.020000 0.260239 0.025240 0.040777 -0.998815 0.008302
1694526867.54001 0.034202 0.021401 0.267977 0.024508 0.042385 -0.998787 0.005167
