# timestamp(s) tx ty tz qx qy qz qw
1694526866.93721 0.044906 0.079056 0.046974 -0.003613 0.064671 -0.997123 0.039367
1694526866.97045 0.050594 0.085181 0.058646 -0.002472 0.057061 -0.997819 0.033095
1694526867.00369 0.055442 0.091002 0.069091 0.002380 0.045158 -0.998563 0.028772
1694526867.03693 0.060043 0.097088 0.079552 0.009664 0.031757 -0.999109 0.026063
1694526867.05180 0.257162 0.058808 0.092748 0.001342 0.036931 -0.999035 0.023754
1694526867.08359 0.252141 0.056482 0.098709 0.001360 0.035216 -0.999185 0.019684
1694526867.11718 0.246141 0.059508 0.108515 0.004242 0.032005 -0.999285 0.019665
1694526867.15042 0.261809 0.059414 0.117813 0.003226 0.034373 -0.999212 0.019575
1694526867.18365 0.278013 0.059213 0.126311 -0.001096 0.039680 -0.999040 0.018531
1694526867.21696 0.298607 0.059321 0.137366 -0.005945 0.043251 -0.998938 0.014697
1694526867.24367 0.342998 0.082508 0.152537 -0.012093 0.039322 -0.998600 0.033240
1694526867.27662 0.245145 0.075178 0.123370 -0.014179 0.039882 -0.998544 0.033444
1694526867.30915 0.223674 0.071051 0.129817 -0.009553 0.036764 -0.998755 0.032330
1694526867.34154 0.173624 0.042818 0.123558 -0.002310 0.032166 -0.999046 0.029451
1694526867.37449 0.144810 0.036519 0.126017 0.002372 0.028558 -0.999206 0.027672
1694526867.40757 0.131276 0.032309 0.130092 0.004329 0.027714 -0.999289 0.025197
1694526867.44039 0.097341 0.025909 0.128762 0.004202 0.029062 -0.999301 0.023116
1694526867.47352 0.085832 0.021983 0.132604 0.001850 0.033327 -0.999265 0.018865
1694526867.50674 0.075379 0.018657 0.136025 0.000360 0.037312 -0.999195 0.014738
1694526867.54000 0.067588 0.016445 0.139578 0.000083 0.039034 -0.999183 0.010452
1694526867.57317 0.055560 0.015499 0.140794 0.001193 0.038323 -0.999247 0.006024
1694526867.60630 0.051609 0.015217 0.144984 0.003868 0.034949 -0.999380 0.001601
1694526867.63959 0.042619 0.012249 0.142156 -0.006005 -0.028258 0.999576 0.003707
1694526867.67281 0.044543 0.012436 0.148264 -0.006537 -0.022505 0.999681 0.009437
1694526867.70608 0.048497 0.013252 0.154574 -0.006136 -0.017420 0.999729 0.014174
1694526867.73942 0.045454 0.009477 0.159536 -0.004561 -0.014809 0.999681 0.019948
1694526867.77261 0.047941 0.009357 0.166235 -0.003543 -0.014159 0.999577 0.025139
1694526867.80589 0.049846 0.006920 0.173051 -0.002351 -0.013700 0.999475 0.029251
1694526867.83907 0.051785 0.005605 0.181363 -0.001645 -0.013262 0.999380 0.032578
1694526867.87224 0.054039 0.004644 0.190408 -0.002167 -0.012288 0.999319 0.034730
1694526867.90552 0.057168 0.003833 0.199629 -0.002021 -0.010440 0.999296 0.035985
1694526867.93877 0.060369 0.002954 0.209258 -0.001815 -0.007999 0.999313 0.036144
1694526867.97202 0.064711 0.001809 0.219396 -0.001439 -0.005105 0.999361 0.035342
1694526868.00526 0.068901 0.000466 0.230152 -0.001383 -0.002958 0.999403 0.034406
1694526868.03852 0.073897 -0.000862 0.241649 -0.000890 -0.001383 0.999442 0.033350
1694526868.07172 0.079128 -0.001919 0.253643 -0.000888 -0.000494 0.999461 0.032816
1694526868.10500 0.084986 -0.002736 0.265750 -0.000404 0.000640 0.999442 0.033408
1694526868.13824 0.092399 -0.004084 0.280438 -0.000679 0.002896 0.999384 0.034963
1694526868.17148 0.101515 -0.004905 0.296433 -0.001012 0.005795 0.999270 0.037736
1694526868.20466 0.109326 -0.004102 0.309092 -0.001205 0.009222 0.999098 0.041424
1694526868.23791 0.117628 -0.003481 0.322376 -0.001694 0.012279 0.998913 0.044927
