# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1694526866.93721 0.044906 0.079056 0.046974 -0.003613 0.064671 -0.997123 0.039367 0.0003194451 0.0002200521 0.0000670514 0.0005461058 -0.0000696803 0.0009123784 0.0117752646 -0.0044074271 0.0003392380 0.0056859329 -0.0002392813 0.0028238032
1694526866.97045 0.050594 0.085181 0.058646 -0.002472 0.057061 -0.997819 0.033095 0.0003352748 0.0002248597 0.0000661159 0.0005770272 -0.0000590501 0.0009514771 0.0132163149 -0.0051437385 0.0004075476 0.0061670809 -0.0002844903 0.0028645875
1694526867.00369 0.055442 0.091002 0.069091 0.002380 0.045158 -0.998563 0.028772 0.0003496427 0.0002303071 0.0000570491 0.0006039047 -0.0000482596 0.0009868730 0.0146016943 -0.0058316734 0.0004491854 0.0066135535 -0.0003169553 0.0028976177
1694526867.03693 0.060043 0.097088 0.079552 0.009664 0.031757 -0.999109 0.026063 0.0003659829 0.0002365767 0.0000435977 0.0006304794 -0.0000350667 0.0010231736 0.0161271523 -0.0065891372 0.0004947020 0.0071052701 -0.0003527727 0.0029329807
1694526867.05180 0.257162 0.058808 0.092748 0.001342 0.036931 -0.999035 0.023754 0.0001951458 0.0000293937 0.0000977805 0.0001564983 0.0000313150 0.0009714341 0.0066685386 -0.0021432220 0.0001965999 0.0047717550 -0.0001548515 0.0029268263
1694526867.08359 0.252141 0.056482 0.098709 0.001360 0.035216 -0.999185 0.019684 0.0001127101 -0.0000045481 0.0000372218 0.0000778022 0.0000143902 0.0007528214 0.0037092219 0.0000052343 0.0002936726 0.0029893365 0.0000231973 0.0027225383
1694526867.11718 0.246141 0.059508 0.108515 0.004242 0.032005 -0.999285 0.019665 0.0001201820 -0.0000030850 0.0000378535 0.0000831339 0.0000199873 0.0007697761 0.0036686013 0.0000381636 0.0002847586 0.0029867960 0.0000340121 0.0027167623
1694526867.15042 0.261809 0.059414 0.117813 0.003226 0.034373 -0.999212 0.019575 0.0001305216 -0.0000026881 0.0000416544 0.0000897223 0.0000219936 0.0007888087 0.0037351711 0.0000522947 0.0003028348 0.0029829101 0.0000395358 0.0027307509
1694526867.18365 0.278013 0.059213 0.126311 -0.001096 0.039680 -0.999040 0.018531 0.0001417832 -0.0000024816 0.0000496298 0.0000962196 0.0000186886 0.0008078208 0.0038040667 0.0000719411 0.0003236588 0.0029907210 0.0000467768 0.0027473715
1694526867.21696 0.298607 0.059321 0.137366 -0.005945 0.043251 -0.998938 0.014697 0.0001365907 0.0000033431 0.0000701232 0.0000908922 0.0000025812 0.0008068317 0.0038424533 0.0000899002 0.0003565569 0.0029958931 0.0000582414 0.0027439215
1694526867.24367 0.342998 0.082508 0.152537 -0.012093 0.039322 -0.998600 0.033240 0.0000757168 0.0000091242 0.0000513623 0.0000350016 -0.0000325570 0.0004741764 0.0035272705 0.0001089423 0.0002459180 0.0028213872 0.0000354551 0.0026989768
1694526867.27662 0.245145 0.075178 0.123370 -0.014179 0.039882 -0.998544 0.033444 0.0000345693 0.0000003005 0.0000295380 0.0000210642 -0.0000306329 0.0004446413 0.0032027463 0.0001013597 0.0001723590 0.0027997253 0.0000400306 0.0026795299
1694526867.30915 0.223674 0.071051 0.129817 -0.009553 0.036764 -0.998755 0.032330 0.0000279676 -0.0000006281 0.0000242660 0.0000174358 -0.0000294308 0.0004378205 0.0031413645 0.0000905445 0.0001647154 0.0027655739 0.0000375518 0.0026792609
1694526867.34154 0.173624 0.042818 0.123558 -0.002310 0.032166 -0.999046 0.029451 0.0000180811 -0.0000001453 0.0000095404 0.0000140563 -0.0000261880 0.0004243150 0.0029778980 0.0000439177 0.0001034056 0.0026791308 0.0000077717 0.0026184022
1694526867.37449 0.144810 0.036519 0.126017 0.002372 0.028558 -0.999206 0.027672 0.0000150920 0.0000000697 0.0000032692 0.0000122773 -0.0000235382 0.0004215073 0.0029065617 0.0000357388 0.0000891160 0.0026614156 0.0000041723 0.0026109926
1694526867.40757 0.131276 0.032309 0.130092 0.004329 0.027714 -0.999289 0.025197 0.0000135337 0.0000001971 0.0000006894 0.0000114637 -0.0000231241 0.0004195679 0.0028656542 0.0000293168 0.0000804144 0.0026515105 0.0000017613 0.0026066363
