# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1694526866.924880027770996,0.00362,0.00012,0.00056,0.00000,0.00000,0.00141,0.00571
1694526866.942542552947998,0.00381,0.00011,0.00058,0.00000,0.00139,0.00152,0.00741
1694526866.974332571029663,0.00367,0.00012,0.00002,0.00012,0.00000,0.00168,0.00561
1694526867.007835149765015,0.00320,0.00014,0.00018,0.00005,0.00000,0.00159,0.00516
1694526867.041222095489502,0.00360,0.00013,0.00014,0.00007,0.00000,0.00169,0.00563
1694526867.074371337890625,0.00358,0.00015,0.00010,0.00006,0.00001,0.00180,0.00570
1694526867.107506990432739,0.00345,0.00014,0.00005,0.00006,0.00000,0.00235,0.00605
1694526867.140785932540894,0.00467,0.00014,0.00027,0.00005,0.00000,0.00197,0.00710
1694526867.174804687500000,0.00333,0.00016,0.00010,0.00007,0.00116,0.00193,0.00675
1694526867.207679510116577,0.00334,0.00015,0.00009,0.00010,0.00040,0.00216,0.00624
1694526867.238955259323120,0.00378,0.00015,0.00001,0.00011,0.00287,0.00217,0.00909
1694526867.271520137786865,0.00319,0.00015,0.00046,0.00022,0.00504,0.00182,0.01088
1694526867.304613113403320,0.00386,0.00015,0.00002,0.00058,0.00351,0.00200,0.01013
1694526867.338039159774780,0.00368,0.00016,0.00011,0.00095,0.00746,0.00203,0.01439
1694526867.371394157409668,0.00370,0.00018,0.00009,0.00219,0.00012,0.00192,0.00820
1694526867.404465913772583,0.00309,0.00017,0.00017,0.00216,0.00169,0.00184,0.00912
1694526867.437730312347412,0.00358,0.00018,0.00046,0.00242,0.00107,0.00188,0.00960
1694526867.471010208129883,0.00368,0.00019,0.00011,0.00269,0.00296,0.00194,0.01156
1694526867.504176616668701,0.00364,0.00020,0.00062,0.00280,0.00184,0.00202,0.01112
1694526867.537452697753906,0.00388,0.00022,0.00089,0.00266,0.00057,0.00216,0.01038
1694526867.570735216140747,0.00360,0.00022,0.00032,0.00259,0.00305,0.00183,0.01161
1694526867.603972673416138,0.00377,0.00020,0.00012,0.00281,0.00229,0.00194,0.01112
1694526867.637281179428101,0.00405,0.00019,0.00052,0.00272,0.00187,0.00185,0.01119
1694526867.670562982559204,0.00487,0.00022,0.00117,0.00268,0.00376,0.00199,0.01468
1694526867.703791856765747,0.00361,0.00024,0.00019,0.00352,0.00077,0.00197,0.01030
1694526867.737039327621460,0.00361,0.00023,0.00044,0.00326,0.00673,0.00190,0.01617
1694526867.770260572433472,0.00344,0.00022,0.00007,0.00409,0.00008,0.00190,0.00980
1694526867.803512334823608,0.00335,0.00018,0.00017,0.00380,0.00014,0.00175,0.00940
1694526867.836719274520874,0.00359,0.00019,0.00019,0.00346,0.00170,0.00205,0.01120
1694526867.869915246963501,0.00338,0.00020,0.00018,0.00342,0.00028,0.00202,0.00948
1694526867.903159379959106,0.00339,0.00019,0.00012,0.00329,0.00094,0.00188,0.00981
1694526867.936399459838867,0.00417,0.00024,0.00028,0.00380,0.00153,0.00182,0.01185
1694526867.969619989395142,0.00458,0.00021,0.00019,0.00321,0.00311,0.00243,0.01374
1694526868.002843856811523,0.00369,0.00027,0.00012,0.00368,0.00122,0.00202,0.01101
1694526868.036073684692383,0.00406,0.00022,0.00023,0.00360,0.00289,0.00203,0.01304
1694526868.069300413131714,0.00358,0.00021,0.00023,0.00404,0.00024,0.00200,0.01030
