# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1694526973.885511875152588,0.00490,0.00015,0.00052,0.00000,0.00000,0.00155,0.00712
1694526973.926468133926392,0.00387,0.00013,0.00115,0.00000,0.00453,0.00153,0.01121
1694526973.959267139434814,0.00405,0.00018,0.00003,0.00107,0.00000,0.00237,0.00770
1694526973.992382287979126,0.00575,0.00020,0.00022,0.00096,0.00000,0.00204,0.00917
1694526974.025284528732300,0.01525,0.00033,0.00034,0.00172,0.00023,0.00423,0.02209
1694526974.058531761169434,0.00566,0.00019,0.00034,0.00108,0.00004,0.00243,0.00974
1694526974.091281414031982,0.00419,0.00020,0.00034,0.00084,0.00019,0.00200,0.00776
1694526974.124235630035400,0.00409,0.00019,0.00022,0.00121,0.00000,0.00211,0.00782
1694526974.157156705856323,0.00455,0.00019,0.00139,0.00071,0.00168,0.00184,0.01035
1694526974.190212488174438,0.00461,0.00019,0.00083,0.00098,0.00000,0.00236,0.00897
1694526974.223428249359131,0.00473,0.00020,0.00046,0.00084,0.00048,0.00277,0.00949
1694526974.256966114044189,0.01126,0.00038,0.00207,0.00146,0.00000,0.00480,0.01997
1694526974.290283679962158,0.00520,0.00017,0.00106,0.00102,0.00632,0.00280,0.01656
1694526974.323493957519531,0.00884,0.00033,0.00168,0.00266,0.01159,0.00329,0.02839
1694526974.356608152389526,0.00553,0.00030,0.00065,0.00274,0.00328,0.00228,0.01478
1694526974.389593362808228,0.00578,0.00031,0.00038,0.00294,0.00315,0.00325,0.01581
1694526974.422897100448608,0.00687,0.00025,0.00090,0.00349,0.00189,0.00340,0.01680
1694526974.456149339675903,0.00758,0.00027,0.00027,0.00332,0.00137,0.00278,0.01560
1694526974.489437818527222,0.00545,0.00034,0.00157,0.00310,0.00000,0.00227,0.01272
1694526974.522730827331543,0.00382,0.00020,0.00096,0.00477,0.00274,0.00337,0.01587
1694526974.556060075759888,0.01723,0.00060,0.00283,0.00525,0.00453,0.00315,0.03360
1694526974.589340925216675,0.00510,0.00024,0.00054,0.00331,0.00352,0.00354,0.01625
1694526974.622596979141235,0.00447,0.00026,0.00140,0.00334,0.00346,0.00283,0.01577
1694526974.655796051025391,0.00426,0.00037,0.00035,0.00470,0.00000,0.00194,0.01161
1694526974.689024448394775,0.00431,0.00025,0.00079,0.00426,0.01390,0.00309,0.02660
1694526974.722294330596924,0.01037,0.00051,0.00537,0.01018,0.00555,0.00478,0.03676
1694526974.755534410476685,0.00601,0.00040,0.00132,0.00724,0.00173,0.00293,0.01963
1694526974.788740396499634,0.00509,0.00023,0.00344,0.00663,0.00037,0.00306,0.01882
1694526974.821975708007812,0.00658,0.00031,0.00560,0.00761,0.00207,0.00302,0.02518
1694526974.855364322662354,0.00482,0.00035,0.00047,0.00705,0.00036,0.00184,0.01490
1694526974.888748645782471,0.00613,0.00053,0.00271,0.00710,0.00271,0.00403,0.02322
1694526974.922004938125610,0.00407,0.00045,0.00406,0.00763,0.00057,0.00428,0.02105
1694526974.955301523208618,0.00439,0.00020,0.00444,0.00649,0.00106,0.00293,0.01950
1694526974.988529682159424,0.00454,0.00033,0.00143,0.00762,0.00177,0.00321,0.01890
1694526975.021578788757324,0.00486,0.00039,0.00114,0.00687,0.00076,0.00303,0.01704
1694526975.054665565490723,0.00485,0.00023,0.00101,0.00615,0.00044,0.00248,0.01516
1694526975.087771177291870,0.00464,0.00040,0.00034,0.00393,0.00110,0.00299,0.01341
1694526975.120842933654785,0.01196,0.00074,0.00569,0.00396,0.00268,0.00443,0.02946
1694526975.154082059860229,0.00754,0.00027,0.00256,0.00158,0.00508,0.00281,0.01985
1694526975.187420129776001,0.00461,0.00031,0.00052,0.00231,0.00187,0.00219,0.01180
1694526975.220663785934448,0.00493,0.00022,0.00094,0.00259,0.00259,0.00199,0.01325
