# timestamp(s) tx ty tz qx qy qz qw
1694527250.813407660 0.0399871 -1.37398 0.0168588 0.0238785 -0.0159089 0.00354942 0.999582
1694527250.843710661 0.0402822 -1.37348 0.0166153 0.021527 -0.0108014 0.00502938 0.999697
1694527250.874013662 0.0404516 -1.37332 0.0166137 0.0203323 -0.00829754 0.0056077 0.999743
1694527250.904316664 0.0392438 -1.37439 0.017406 0.0120819 0.00387255 -0.00118935 0.999919
1694527250.934619665 0.0383322 -1.37554 0.017894 0.0126788 -0.00223554 -0.00514056 0.999904
1694527250.964922667 0.0393676 -1.37458 0.0171093 0.0225076 -0.0165581 0.00113817 0.999609
1694527250.995225668 0.0398456 -1.37421 0.0169431 0.0255236 -0.0200918 0.00309814 0.999467
1694527251.025528669 0.0399274 -1.37409 0.0169351 0.0256128 -0.0197215 0.00329873 0.999472
1694527251.055831671 0.0399091 -1.37414 0.0169018 0.0252821 -0.0190949 0.00329488 0.999493
1694527251.086134672 0.0403182 -1.37344 0.0165293 0.0217155 -0.010373 0.00519212 0.999697
1694527251.116438627 0.0405083 -1.37315 0.0164438 0.0203928 -0.00713016 0.00547304 0.999752
1694527251.146741629 0.0405123 -1.37316 0.0164946 0.0209036 -0.00734814 0.00543452 0.99974
1694527251.177044630 0.0399648 -1.37401 0.0168847 0.0240102 -0.0164659 0.00321626 0.999571
1694527251.207347631 0.0397716 -1.37426 0.0169424 0.0250736 -0.0193085 0.00278018 0.999495
1694527251.237650633 0.0402821 -1.37346 0.0165961 0.0217829 -0.0106104 0.00487443 0.999695
1694527251.267953634 0.0404151 -1.37323 0.0165546 0.0209486 -0.0080717 0.00536029 0.999734
1694527251.298256636 0.0404843 -1.37317 0.0165152 0.0207233 -0.00772183 0.00571043 0.999739
1694527251.328559637 0.0404494 -1.37318 0.0164683 0.0208815 -0.00805139 0.00544715 0.999735
1694527251.358862638 0.0386947 -1.37519 0.0177314 0.0154955 -0.00486871 -0.00337185 0.999862
1694527251.389165640 0.0388401 -1.37489 0.0178223 0.0112724 0.0055615 -0.00435082 0.999912
1694527251.419468641 0.0384888 -1.37546 0.0180308 0.0135716 -0.000673059 -0.00595635 0.99989
1694527251.449771643 0.0389334 -1.37479 0.0177314 0.0115097 0.005607 -0.00401585 0.99991
1694527251.480074644 0.0386187 -1.37537 0.0180127 0.0140947 -0.0014029 -0.00531948 0.999886
1694527251.510377645 0.0385005 -1.37559 0.018115 0.0149714 -0.0037636 -0.00579979 0.999864
1694527251.540680647 0.038967 -1.37475 0.0177207 0.0119398 0.00507752 -0.00368423 0.999909
1694527251.570983648 0.0386124 -1.37529 0.0179642 0.0139149 -0.000892052 -0.00514583 0.99989
1694527251.601286650 0.0384796 -1.37553 0.0180884 0.0147182 -0.00344702 -0.00567758 0.99987
1694527251.631589651 0.0389577 -1.37481 0.0177367 0.0117252 0.0047368 -0.00367128 0.999913
1694527251.661892653 0.03859 -1.37536 0.0179634 0.0138056 -0.000929105 -0.00514158 0.999891
1694527251.692195654 0.0384809 -1.37553 0.0181095 0.0147091 -0.0032564 -0.00577192 0.99987
1694527251.722498655 0.0401799 -1.37361 0.0167974 0.0207451 -0.00707265 0.00325324 0.999754
1694527251.752801657 0.0408868 -1.37295 0.0169599 0.024462 -0.00469977 0.00525922 0.999676
1694527251.783104658 0.0403599 -1.37373 0.0172618 0.0289965 -0.0120757 0.00291427 0.999502
