# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1694527259.59418 -0.024651 0.017838 0.053698 -0.004822 0.016094 -0.649215 0.760419 0.0003519530 0.0002437628 0.0000836940 0.0005555399 -0.0000707250 0.0008960445 0.0073107378 0.0054297820 -0.0000442938 0.0157622203 -0.0000760830 0.0028295197
1694527259.62420 -0.061438 -0.031750 0.020479 -0.008022 -0.000706 -0.634072 0.773232 0.0000508485 -0.0000017375 0.0000362516 0.0000332943 0.0000010990 0.0005623189 0.0030080305 0.0001166338 -0.0000269855 0.0029989204 0.0000505883 0.0027070643
1694527259.65701 -0.073513 -0.022362 0.023697 -0.011594 -0.013220 -0.630205 0.776230 0.0000470020 -0.0000014220 0.0000516149 0.0000322450 0.0000083848 0.0005466710 0.0029571309 0.0000891125 -0.0000279028 0.0029449784 0.0000648833 0.0027026857
1694527259.69073 -0.073784 -0.014493 0.025103 -0.015264 -0.024506 -0.628338 0.777405 0.0000448407 -0.0000013985 0.0000596684 0.0000319807 0.0000100480 0.0005391870 0.0029393094 0.0000524682 -0.0000299140 0.0028885417 0.0000778850 0.0027059620
1694527259.72436 -0.077792 -0.017131 0.028787 -0.019132 -0.034382 -0.625293 0.779397 0.0000429206 -0.0000004792 0.0000669593 0.0000307543 0.0000109471 0.0005331832 0.0029373759 0.0000316167 -0.0000304389 0.0028553737 0.0000861325 0.0027121329
1694527259.75718 -0.080368 -0.024973 0.033271 -0.022822 -0.042346 -0.620756 0.782527 0.0000404347 0.0000001139 0.0000709695 0.0000291773 0.0000093166 0.0005273302 0.0029292270 0.0000142353 -0.0000303956 0.0028258264 0.0000921391 0.0027158120
1694527259.79011 -0.078957 -0.029193 0.040592 -0.027567 -0.046189 -0.615528 0.786277 0.0000396652 -0.0000004264 0.0000758074 0.0000288976 0.0000062405 0.0005208784 0.0029193285 -0.0000035592 -0.0000307515 0.0028076358 0.0000966637 0.0027199273
1694527259.82286 -0.074096 -0.028264 0.046988 -0.034300 -0.049271 -0.609171 0.790763 0.0000395081 -0.0000017068 0.0000801498 0.0000287403 -0.0000001797 0.0005152470 0.0029098717 -0.0000198390 -0.0000309189 0.0027952394 0.0001008138 0.0027236367
1694527259.85561 -0.078051 -0.011305 0.060132 -0.042815 -0.047555 -0.601391 0.796388 0.0000334047 -0.0000017106 0.0000790211 0.0000265980 -0.0000076404 0.0005042142 0.0028765090 -0.0000416960 -0.0000303938 0.0027476165 0.0001093872 0.0027126946
1694527259.88860 -0.083114 -0.014149 0.061344 -0.050464 -0.042030 -0.588000 0.806190 0.0000317974 -0.0000023023 0.0000768018 0.0000262314 -0.0000176240 0.0005004600 0.0028732764 -0.0000368668 -0.0000274835 0.0027229487 0.0001025670 0.0027091408
1694527259.92203 -0.102693 -0.003368 0.078458 -0.058225 -0.037355 -0.571970 0.817352 0.0000309516 -0.0000046657 0.0000775836 0.0000246162 -0.0000283932 0.0004922007 0.0028535952 -0.0000371766 -0.0000253321 0.0027182732 0.0000951669 0.0026941794
1694527259.95529 -0.112189 0.003701 0.091246 -0.067265 -0.036898 -0.560608 0.824519 0.0000322539 -0.0000066621 0.0000818241 0.0000263118 -0.0000373447 0.0004887767 0.0028589759 -0.0000383665 -0.0000264212 0.0027182823 0.0000935660 0.0026986951
1694527259.98887 -0.141912 0.018881 0.101503 -0.074835 -0.040048 -0.550200 0.830708 0.0000319761 -0.0000076625 0.0000829265 0.0000272941 -0.0000428443 0.0004786872 0.0028341709 -0.0000299942 -0.0000238618 0.0027144441 0.0000901218 0.0026953550
1694527260.02212 -0.133368 0.034636 0.111108 -0.081845 -0.039676 -0.551948 0.828903 0.0000322757 -0.0000080609 0.0000853596 0.0000264097 -0.0000434572 0.0004688458 0.0028219536 -0.0000241944 -0.0000299585 0.0027116215 0.0000863984 0.0026936998
