# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382237.78272 0.026873 0.174291 0.032950 -0.008551 0.027100 -0.722344 0.690950 0.0002817486 -0.0000016463 0.0000588369 0.0002937876 0.0000139837 0.0009305802 0.0089011706 -0.0016115709 0.0001230950 0.0113934556 -0.0002416557 0.0028522258
1693382237.80148 0.001074 0.007156 0.048304 0.005298 0.033313 -0.729346 0.683313 0.0000699726 -0.0000048141 0.0000629476 0.0000370527 -0.0000382973 0.0007824185 0.0047840607 -0.0002761426 -0.0000684374 0.0029848129 0.0001681034 0.0028304983
1693382237.83412 0.003264 0.012317 0.052186 0.010830 0.030640 -0.734008 0.678362 0.0000587706 -0.0000050463 0.0000427113 0.0000360713 -0.0000343539 0.0007883557 0.0045423080 -0.0002589807 -0.0000815398 0.0029314125 0.0001681151 0.0028169346
1693382237.86794 0.021122 0.016882 0.061506 0.014438 0.027988 -0.742284 0.669345 0.0000467310 -0.0000045209 0.0000347184 0.0000354077 -0.0000208635 0.0007987553 0.0046563456 -0.0002945458 -0.0000997073 0.0029030036 0.0001807348 0.0028368444
1693382237.90154 0.035110 0.021511 0.076244 0.014961 0.022838 -0.749049 0.661952 0.0000365534 -0.0000040308 0.0000307784 0.0000353131 -0.0000149408 0.0008061641 0.0047499941 -0.0003455095 -0.0001225807 0.0028851966 0.0001953509 0.0028558130
1693382237.93544 0.048596 0.025697 0.092253 0.014883 0.020067 -0.753731 0.656707 0.0000308252 -0.0000036262 0.0000276135 0.0000351462 -0.0000085133 0.0008118326 0.0048367475 -0.0003936671 -0.0001476322 0.0028741511 0.0002099792 0.0028734227
1693382237.96905 0.059675 0.030384 0.110744 0.014458 0.016547 -0.756922 0.653136 0.0000277273 -0.0000038333 0.0000264057 0.0000353452 -0.0000041310 0.0008161298 0.0049199509 -0.0004412191 -0.0001731793 0.0028704512 0.0002242918 0.0028909493
1693382238.00277 0.068241 0.034721 0.130387 0.013950 0.013923 -0.759284 0.650461 0.0000257351 -0.0000040698 0.0000251064 0.0000355210 0.0000002539 0.0008183698 0.0049910816 -0.0004820508 -0.0001966413 0.0028698780 0.0002374704 0.0029076819
1693382238.03647 0.075559 0.039358 0.150680 0.013522 0.012726 -0.761627 0.647750 0.0000243832 -0.0000045306 0.0000230401 0.0000358593 0.0000024875 0.0008186604 0.0050496745 -0.0005162073 -0.0002157234 0.0028706651 0.0002485550 0.0029236498
1693382238.07028 0.022072 0.040206 0.162545 0.010169 0.009172 -0.756669 0.653654 0.0000210541 -0.0000066385 0.0000049589 0.0000327682 0.0000004157 0.0006284272 0.0040085032 -0.0003759108 -0.0001592860 0.0028291522 0.0002285286 0.0029117797
1693382238.10368 0.003458 0.051668 0.194455 0.011584 0.010129 -0.756722 0.653555 0.0000182539 -0.0000053194 -0.0000008919 0.0000262075 -0.0000016750 0.0005060770 0.0032288520 -0.0001637850 -0.0000702472 0.0027361850 0.0001689308 0.0028464684
