# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.782715082168579,0.00325,0.00014,0.00034,0.00000,0.00000,0.00143,0.00516
1693382237.801478385925293,0.00269,0.00012,0.00120,0.00000,0.00204,0.00153,0.00758
1693382237.834115266799927,0.00259,0.00011,0.00006,0.00029,0.00000,0.00162,0.00467
1693382237.867939949035645,0.00287,0.00015,0.00002,0.00030,0.00000,0.00187,0.00520
1693382237.901541948318481,0.00702,0.00027,0.00009,0.00062,0.00000,0.00331,0.01130
1693382237.935438156127930,0.00303,0.00024,0.00008,0.00054,0.00000,0.00215,0.00605
1693382237.969047307968140,0.01088,0.00061,0.00016,0.00108,0.00000,0.00724,0.01996
1693382238.002768039703369,0.00366,0.00018,0.00013,0.00037,0.00000,0.00205,0.00639
1693382238.036465167999268,0.00327,0.00015,0.00001,0.00034,0.00000,0.00174,0.00551
1693382238.070276737213135,0.00293,0.00015,0.00029,0.00032,0.00116,0.00169,0.00654
1693382238.103678464889526,0.00309,0.00016,0.00019,0.00042,0.00399,0.00199,0.00984
1693382238.136847019195557,0.00411,0.00018,0.00020,0.00103,0.00264,0.00225,0.01041
1693382238.170238971710205,0.00317,0.00017,0.00056,0.00131,0.00000,0.00181,0.00702
1693382238.203295707702637,0.00315,0.00016,0.00068,0.00136,0.01648,0.00158,0.02342
1693382238.236609220504761,0.00349,0.00028,0.00030,0.00340,0.00130,0.00162,0.01038
1693382238.269946336746216,0.00337,0.00018,0.00007,0.00334,0.00245,0.00185,0.01125
1693382238.303322553634644,0.00331,0.00022,0.00011,0.00345,0.00191,0.00171,0.01071
1693382238.336662292480469,0.01022,0.00040,0.00087,0.00557,0.00133,0.00200,0.02040
1693382238.369928359985352,0.00359,0.00030,0.00042,0.00394,0.00292,0.00163,0.01280
1693382238.403212785720825,0.00358,0.00020,0.00086,0.00369,0.00123,0.00169,0.01126
1693382238.436639070510864,0.01080,0.00056,0.00327,0.00779,0.00191,0.00324,0.02757
1693382238.469852685928345,0.00439,0.00022,0.00098,0.00415,0.00219,0.00196,0.01389
1693382238.502981424331665,0.00489,0.00018,0.00060,0.00407,0.00133,0.00198,0.01305
1693382238.536205530166626,0.00406,0.00030,0.00026,0.00499,0.00315,0.00179,0.01455
1693382238.569494962692261,0.00356,0.00019,0.00021,0.00500,0.00000,0.00197,0.01093
1693382238.602802753448486,0.00308,0.00020,0.00007,0.00547,0.00309,0.00195,0.01385
1693382238.636130809783936,0.00363,0.00020,0.00051,0.00513,0.00342,0.00193,0.01482
1693382238.669431924819946,0.00382,0.00024,0.00023,0.00564,0.00301,0.00219,0.01513
1693382238.702612161636353,0.00353,0.00022,0.00062,0.00614,0.00151,0.00180,0.01384
1693382238.735875129699707,0.00381,0.00022,0.00153,0.00641,0.00109,0.00190,0.01496
1693382238.769134521484375,0.01145,0.00072,0.00249,0.01211,0.00062,0.00230,0.02969
1693382238.802470922470093,0.00412,0.00024,0.00087,0.00525,0.00781,0.00252,0.02081
1693382238.835820436477661,0.00370,0.00022,0.00028,0.00523,0.00084,0.00200,0.01226
1693382238.869142532348633,0.00384,0.00022,0.00102,0.00557,0.00267,0.00184,0.01516
1693382238.902388811111450,0.01163,0.00074,0.00888,0.01023,0.00446,0.00229,0.03824
1693382238.935752391815186,0.00350,0.00022,0.00003,0.00610,0.00242,0.00214,0.01442
1693382238.969097614288330,0.00348,0.00025,0.00243,0.00600,0.00025,0.00213,0.01454
1693382239.002155780792236,0.00458,0.00033,0.00075,0.00598,0.00159,0.00184,0.01506
1693382239.035416841506958,0.00377,0.00023,0.00188,0.00577,0.00157,0.00186,0.01509
1693382239.068738698959351,0.00373,0.00022,0.00382,0.00606,0.00153,0.00188,0.01724
1693382239.101923942565918,0.00351,0.00030,0.00219,0.00589,0.00138,0.00201,0.01528
1693382239.135253906250000,0.00348,0.00028,0.00140,0.00593,0.00176,0.00211,0.01495
1693382239.168406963348389,0.00446,0.00020,0.00034,0.00676,0.00181,0.00209,0.01567
1693382239.201466321945190,0.00437,0.00022,0.00396,0.00603,0.00183,0.00198,0.01839
1693382239.234599590301514,0.00430,0.00023,0.00054,0.00634,0.00281,0.00191,0.01612
1693382239.267747402191162,0.00340,0.00020,0.00247,0.00687,0.00000,0.00205,0.01498
1693382239.300902128219604,0.00340,0.00020,0.00192,0.00752,0.00000,0.00204,0.01509
1693382239.334045648574829,0.00323,0.00022,0.00008,0.00805,0.00000,0.00196,0.01356
1693382239.367167711257935,0.00335,0.00022,0.00365,0.00708,0.00000,0.00227,0.01657
1693382239.400319099426270,0.00344,0.00023,0.00222,0.00765,0.00000,0.00200,0.01553
1693382239.433444738388062,0.00398,0.00023,0.00196,0.00687,0.00000,0.00187,0.01491
1693382239.466581106185913,0.00348,0.00022,0.00297,0.00708,0.00000,0.00217,0.01593
1693382239.499705314636230,0.00371,0.00023,0.00039,0.00738,0.00000,0.00188,0.01359
1693382239.532754182815552,0.00378,0.00026,0.00328,0.00705,0.00000,0.00202,0.01639
1693382239.565766334533691,0.00373,0.00023,0.00294,0.00685,0.00000,0.00199,0.01575
1693382239.598797559738159,0.00340,0.00023,0.00680,0.00737,0.00000,0.00197,0.01977
1693382239.631804704666138,0.00342,0.00029,0.00010,0.00722,0.00000,0.00230,0.01333
1693382239.664921522140503,0.00459,0.00031,0.00180,0.00973,0.00177,0.00274,0.02094
1693382239.698053359985352,0.00455,0.00021,0.00159,0.00761,0.00000,0.00189,0.01586
1693382239.731199741363525,0.00328,0.00020,0.00008,0.00805,0.00000,0.00207,0.01369
1693382239.764340400695801,0.00316,0.00021,0.00323,0.00743,0.00000,0.00230,0.01635
1693382239.797479391098022,0.00307,0.00022,0.00162,0.00762,0.00000,0.00200,0.01453
1693382239.830639600753784,0.00343,0.00020,0.00137,0.00730,0.00000,0.00229,0.01460
1693382239.863795280456543,0.00306,0.00022,0.00300,0.00812,0.00000,0.00193,0.01634
1693382239.896942853927612,0.00383,0.00032,0.00036,0.00781,0.00009,0.00203,0.01446
1693382239.930051088333130,0.00371,0.00027,0.00149,0.00733,0.00151,0.00213,0.01644
1693382239.963187217712402,0.00374,0.00022,0.00118,0.00725,0.00000,0.00195,0.01434
1693382239.996307611465454,0.00474,0.00022,0.00568,0.00727,0.00000,0.00206,0.01997
1693382240.029451847076416,0.00338,0.00020,0.00002,0.00712,0.00000,0.00215,0.01287
1693382240.062591075897217,0.00335,0.00021,0.00019,0.00685,0.00001,0.00227,0.01289
1693382240.095729351043701,0.00307,0.00023,0.00160,0.00707,0.00015,0.00215,0.01426
1693382240.128900051116943,0.00338,0.00024,0.00007,0.00788,0.00009,0.00234,0.01400
1693382240.162280797958374,0.00408,0.00024,0.00259,0.00693,0.00036,0.00223,0.01643
1693382240.195655345916748,0.00457,0.00020,0.00008,0.00626,0.00157,0.00196,0.01465
