# timestamp(s) tx ty tz qx qy qz qw
1693382237.78269 0.026722 0.174605 0.032955 -0.008563 0.027062 -0.722345 0.690951
1693382237.80161 0.007784 0.013646 0.051378 0.005281 0.033371 -0.729674 0.682960
1693382237.83429 0.008140 0.018966 0.057929 0.010971 0.030570 -0.734132 0.678229
1693382237.86790 0.004725 0.026252 0.070431 0.015395 0.026914 -0.739652 0.672275
1693382237.90130 0.005454 0.031822 0.084608 0.016311 0.021186 -0.745172 0.666336
1693382237.93515 0.005094 0.037822 0.100234 0.016501 0.018056 -0.748271 0.662942
1693382237.96873 0.005999 0.042630 0.117112 0.016231 0.014212 -0.750416 0.660613
1693382238.00246 0.007131 0.047525 0.135239 0.015805 0.011249 -0.751851 0.659047
1693382238.03612 0.005091 0.056996 0.153431 0.015139 0.009847 -0.753105 0.657653
1693382238.06993 -0.006361 0.048250 0.159079 0.010794 0.006350 -0.753516 0.657310
1693382238.10346 -0.000199 0.052629 0.189428 0.011543 0.008121 -0.755988 0.654433
1693382238.13664 -0.001230 0.061125 0.209666 0.010978 0.006692 -0.757901 0.652242
1693382238.17002 -0.001882 0.064202 0.230287 0.010595 0.006579 -0.760108 0.649677
1693382238.20303 -0.005394 0.058895 0.238118 0.011743 0.001708 -0.760685 0.649013
1693382238.23639 -0.004308 0.063162 0.261231 0.014161 0.002506 -0.763805 0.645286
1693382238.26975 -0.001096 0.069866 0.290695 0.016460 0.003678 -0.768049 0.640169
1693382238.30312 -0.007283 0.074352 0.311010 0.019888 0.002811 -0.770903 0.636636
1693382238.33645 -0.007921 0.079866 0.333965 0.022207 0.001508 -0.774699 0.631939
1693382238.36975 -0.011738 0.086150 0.358841 0.024845 0.000315 -0.777650 0.628207
1693382238.40300 -0.020876 0.089545 0.371566 0.024977 -0.002400 -0.779593 0.625784
1693382238.43635 -0.023208 0.095689 0.396922 0.023626 -0.003612 -0.783295 0.621191
1693382238.46955 -0.023151 0.098231 0.417120 0.022406 -0.004603 -0.786862 0.616705
1693382238.50262 -0.023226 0.102731 0.442480 0.020272 -0.005736 -0.788709 0.614405
1693382238.53585 -0.023292 0.106060 0.466460 0.018651 -0.005833 -0.788866 0.614255
1693382238.56916 -0.025342 0.110907 0.491878 0.014972 -0.005581 -0.788583 0.614721
1693382238.60249 -0.027411 0.114784 0.516375 0.010252 -0.004753 -0.788490 0.614943
1693382238.63582 -0.031648 0.120110 0.542435 0.006344 -0.002486 -0.788534 0.614953
1693382238.66913 -0.035851 0.125624 0.570039 0.003246 -0.002971 -0.788893 0.614514
1693382238.70230 -0.039761 0.129090 0.595159 0.004526 -0.003439 -0.789204 0.614105
1693382238.73558 -0.043943 0.133164 0.619198 0.006647 -0.005506 -0.790305 0.612653
1693382238.76883 -0.047290 0.136789 0.642929 0.010698 -0.007161 -0.792022 0.610356
1693382238.80212 -0.050339 0.141328 0.666045 0.014599 -0.009337 -0.793705 0.608056
1693382238.83547 -0.052266 0.145353 0.687646 0.017257 -0.011610 -0.795698 0.605336
1693382238.86878 -0.053678 0.149164 0.706832 0.019151 -0.013062 -0.797214 0.603251
1693382238.90206 -0.055660 0.152903 0.726104 0.020541 -0.012922 -0.799009 0.600829
1693382238.93541 -0.058720 0.156385 0.742689 0.022327 -0.012627 -0.800479 0.598811
1693382238.96874 -0.061949 0.160637 0.760457 0.024021 -0.013351 -0.802147 0.596493
1693382239.00181 -0.065230 0.164464 0.776582 0.027202 -0.015613 -0.801860 0.596689
1693382239.03505 -0.068923 0.167940 0.792089 0.030435 -0.018671 -0.799814 0.599185
1693382239.06835 -0.072939 0.170350 0.804248 0.034246 -0.021286 -0.797287 0.602251
1693382239.10160 -0.079246 0.173120 0.814746 0.035151 -0.024853 -0.794394 0.605875
1693382239.13494 -0.082344 0.176334 0.826300 0.033085 -0.028183 -0.792294 0.608590
1693382239.16809 -0.086721 0.178320 0.839215 0.030878 -0.030752 -0.789746 0.611884
1693382239.20117 -0.090365 0.179863 0.851735 0.029092 -0.032067 -0.788355 0.613695
1693382239.23431 -0.093184 0.180891 0.861664 0.028463 -0.032832 -0.787929 0.614231
1693382239.26747 -0.095924 0.181740 0.869941 0.028838 -0.034349 -0.787525 0.614649
1693382239.30062 -0.098227 0.182359 0.877619 0.030382 -0.036980 -0.786981 0.615118
1693382239.33375 -0.100389 0.182803 0.884644 0.033443 -0.040362 -0.786480 0.615388
1693382239.36688 -0.102243 0.183215 0.891274 0.037659 -0.044515 -0.786352 0.615021
