# timestamp(s) tx ty tz qx qy qz qw
1693382237.77077 -0.012061 0.052819 0.038146 -0.001149 0.032176 -0.723920 0.689132
1693382237.80056 -0.025519 -0.024272 0.025856 0.003394 0.034534 -0.729287 0.683327
1693382237.83413 -0.023414 -0.016797 0.036754 0.009434 0.029216 -0.734796 0.677593
1693382237.86830 -0.015254 -0.008025 0.050375 0.012360 0.025402 -0.741060 0.670845
1693382237.90202 -0.003502 0.000874 0.066793 0.012612 0.019447 -0.747132 0.664272
1693382237.93591 0.009061 0.009218 0.084016 0.012529 0.016230 -0.751391 0.659538
1693382237.96960 0.022217 0.016855 0.102738 0.012079 0.012710 -0.754577 0.655978
1693382238.00336 0.034576 0.023028 0.122346 0.011528 0.010238 -0.757157 0.653051
1693382238.03707 0.045780 0.028959 0.142590 0.011024 0.009218 -0.759770 0.650033
1693382238.07090 0.004862 0.028735 0.155553 0.007609 0.006222 -0.755687 0.654859
1693382238.10445 -0.002174 0.037846 0.187580 0.008325 0.007784 -0.756464 0.653936
1693382238.13770 -0.005195 0.044842 0.202723 0.007081 0.006563 -0.758228 0.651918
1693382238.17109 -0.008098 0.048846 0.223617 0.006568 0.006641 -0.760109 0.649728
1693382238.20416 0.005775 0.041535 0.229118 0.007006 0.002458 -0.762984 0.646375
1693382238.23748 0.009152 0.042701 0.247321 0.009218 0.002104 -0.766013 0.642756
1693382238.27081 0.010039 0.048867 0.274800 0.011391 0.002963 -0.769915 0.638037
1693382238.30418 0.009657 0.052353 0.293680 0.014164 0.002021 -0.773599 0.633514
1693382238.33752 0.011445 0.058175 0.316253 0.016545 0.000622 -0.777572 0.628576
1693382238.37077 -0.003649 0.068024 0.338480 0.019610 -0.001355 -0.778744 0.627034
1693382238.40406 -0.002044 0.073122 0.359724 0.019907 -0.002866 -0.782041 0.622902
1693382238.43742 -0.015896 0.088613 0.401937 0.019365 -0.002731 -0.784482 0.619843
