# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382237.77085 -0.000748 0.045582 0.037939 -0.001315 0.033594 -0.723489 0.689517 0.0002032432 0.0000388753 0.0000954560 0.0001230867 -0.0000560458 0.0008786950 0.0064396704 0.0001281157 0.0000599941 0.0060181734 -0.0000843532 0.0028429937
1693382237.80102 -0.005792 -0.025678 0.032462 0.003372 0.036906 -0.728785 0.683739 0.0000502838 0.0000023425 -0.0000241175 0.0000278956 -0.0000180787 0.0004704202 0.0027389226 -0.0000093843 -0.0000133544 0.0028365848 0.0000984925 0.0026850988
1693382237.83440 -0.006076 -0.017637 0.042335 0.010032 0.030735 -0.734292 0.678063 0.0000454461 0.0000001626 -0.0000243564 0.0000277270 -0.0000127814 0.0004649109 0.0027172755 -0.0000167713 -0.0000145751 0.0028162334 0.0000994261 0.0026914548
1693382237.86816 -0.008654 -0.007968 0.054985 0.013864 0.025676 -0.739544 0.672476 0.0000377471 -0.0000014619 -0.0000190539 0.0000276672 -0.0000060483 0.0004589894 0.0027044122 -0.0000194234 -0.0000157544 0.0027957798 0.0001044853 0.0027055303
1693382237.90164 -0.007533 0.001234 0.069581 0.014459 0.019224 -0.744744 0.666917 0.0000304979 -0.0000020350 -0.0000120229 0.0000278863 -0.0000031175 0.0004546631 0.0026984957 -0.0000207380 -0.0000174896 0.0027764665 0.0001100741 0.0027197242
1693382237.93544 -0.007678 0.010586 0.085361 0.014514 0.015614 -0.747641 0.663761 0.0000261045 -0.0000020368 -0.0000080306 0.0000280210 -0.0000006582 0.0004529471 0.0026998444 -0.0000228349 -0.0000192316 0.0027588929 0.0001158059 0.0027331314
1693382237.96905 -0.007017 0.018560 0.102412 0.014146 0.011668 -0.749560 0.661682 0.0000235692 -0.0000022483 -0.0000046762 0.0000283760 0.0000007916 0.0004526349 0.0027056222 -0.0000260021 -0.0000209100 0.0027446797 0.0001212220 0.0027461066
1693382238.00280 -0.006395 0.026027 0.120559 0.013643 0.008721 -0.750785 0.660348 0.0000219305 -0.0000023282 -0.0000023074 0.0000286391 0.0000023768 0.0004530472 0.0027137946 -0.0000294475 -0.0000225568 0.0027327159 0.0001263085 0.0027579427
1693382238.03650 -0.007006 0.036445 0.139236 0.013050 0.007235 -0.751950 0.659051 0.0000201128 -0.0000027679 -0.0000009750 0.0000288431 0.0000028355 0.0004532427 0.0027220678 -0.0000302141 -0.0000250182 0.0027124306 0.0001288425 0.0027658952
1693382238.07033 -0.012931 0.029981 0.146547 0.008642 0.004142 -0.752966 0.657989 0.0000184767 -0.0000039259 -0.0000000971 0.0000267327 0.0000026762 0.0004488640 0.0027225360 -0.0000426942 -0.0000310199 0.0026925472 0.0001231724 0.0027642966
1693382238.10393 -0.012155 0.037398 0.178570 0.009461 0.006186 -0.754656 0.656023 0.0000170655 -0.0000032800 0.0000024359 0.0000219936 0.0000027909 0.0004465062 0.0027230440 -0.0000480768 -0.0000371534 0.0026766293 0.0001092124 0.0027420335
1693382238.13716 -0.012523 0.046427 0.198711 0.008933 0.004897 -0.756568 0.653836 0.0000163749 -0.0000034185 0.0000010886 0.0000215304 0.0000020293 0.0004464113 0.0027294159 -0.0000504688 -0.0000387716 0.0026670524 0.0001068027 0.0027440735
1693382238.17054 -0.012933 0.050732 0.220587 0.008578 0.005041 -0.758787 0.651263 0.0000158494 -0.0000032323 0.0000010789 0.0000207524 0.0000027950 0.0004463125 0.0027364311 -0.0000535141 -0.0000407889 0.0026614001 0.0001048728 0.0027423804
1693382238.20356 -0.010072 0.045613 0.230815 0.009932 0.000772 -0.760213 0.649598 0.0000132655 -0.0000027729 -0.0000017952 0.0000154482 0.0000018194 0.0004338214 0.0026894339 -0.0000418723 -0.0000301165 0.0026410192 0.0000812430 0.0026992622
1693382238.23695 -0.008999 0.050564 0.254781 0.012483 0.001730 -0.763343 0.645870 0.0000126822 -0.0000026321 -0.0000026877 0.0000147384 0.0000063416 0.0004318423 0.0026838236 -0.0000407501 -0.0000298292 0.0026345716 0.0000766621 0.0026957427
1693382238.27032 -0.004694 0.057771 0.285928 0.014875 0.003280 -0.767891 0.640399 0.0000114841 -0.0000021171 -0.0000073612 0.0000136968 0.0000086466 0.0004243755 0.0026551471 -0.0000340332 -0.0000323109 0.0026257153 0.0000701010 0.0026859568
1693382238.30368 -0.011129 0.063362 0.308337 0.018426 0.002579 -0.770707 0.636918 0.0000111968 -0.0000023377 -0.0000106294 0.0000131191 0.0000080194 0.0004209668 0.0026435939 -0.0000299226 -0.0000286302 0.0026185576 0.0000651133 0.0026845730
1693382238.33701 -0.011364 0.069106 0.331833 0.020827 0.001331 -0.774569 0.632145 0.0000109950 -0.0000023773 -0.0000111029 0.0000129577 0.0000103535 0.0004201749 0.0026416758 -0.0000280105 -0.0000274305 0.0026127738 0.0000608211 0.0026837215
