# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.770852804183960,0.00237,0.00013,0.00163,0.00000,0.00000,0.00159,0.00571
1693382237.801021575927734,0.00282,0.00009,0.00168,0.00000,0.00187,0.00264,0.00910
1693382237.834402561187744,0.00233,0.00014,0.00001,0.00019,0.00000,0.00137,0.00404
1693382237.868161916732788,0.00275,0.00015,0.00005,0.00020,0.00000,0.00169,0.00483
1693382237.901637077331543,0.00302,0.00016,0.00005,0.00020,0.00000,0.00164,0.00507
1693382237.935441970825195,0.00290,0.00013,0.00005,0.00022,0.00000,0.00160,0.00492
1693382237.969051599502563,0.00318,0.00025,0.00007,0.00038,0.00000,0.00174,0.00563
1693382238.002796649932861,0.00333,0.00015,0.00005,0.00024,0.00000,0.00216,0.00594
1693382238.036501169204712,0.00316,0.00015,0.00003,0.00026,0.00079,0.00171,0.00609
1693382238.070329904556274,0.00278,0.00015,0.00030,0.00027,0.00114,0.00171,0.00637
1693382238.103932380676270,0.00301,0.00018,0.00016,0.00039,0.00475,0.00199,0.01048
1693382238.137159109115601,0.00466,0.00016,0.00006,0.00078,0.00077,0.00158,0.00800
1693382238.170538425445557,0.00316,0.00015,0.00050,0.00096,0.00000,0.00371,0.00848
1693382238.203555822372437,0.00334,0.00019,0.00071,0.00097,0.01987,0.00168,0.02676
1693382238.236951112747192,0.00335,0.00019,0.00012,0.00280,0.00522,0.00173,0.01341
1693382238.270315885543823,0.00368,0.00021,0.00052,0.00367,0.00259,0.00188,0.01257
1693382238.303678274154663,0.00322,0.00019,0.00049,0.00368,0.00188,0.00184,0.01130
1693382238.337011098861694,0.00309,0.00023,0.00050,0.00371,0.00120,0.00176,0.01048
1693382238.370296955108643,0.00358,0.00021,0.00078,0.00419,0.00283,0.00177,0.01335
1693382238.403550386428833,0.00330,0.00024,0.00102,0.00519,0.00266,0.00164,0.01405
1693382238.436905622482300,0.00375,0.00021,0.00043,0.00419,0.00000,0.00182,0.01041
1693382238.470125913619995,0.00338,0.00028,0.00126,0.00411,0.00261,0.00201,0.01365
1693382238.503226757049561,0.00349,0.00021,0.00111,0.00452,0.00155,0.00164,0.01252
1693382238.536482572555542,0.00285,0.00019,0.00022,0.00494,0.00414,0.00210,0.01444
1693382238.569768667221069,0.00443,0.00037,0.00022,0.00548,0.00000,0.00179,0.01230
1693382238.603122711181641,0.00493,0.00021,0.00008,0.00524,0.00166,0.00169,0.01381
1693382238.636418581008911,0.00315,0.00021,0.00013,0.00592,0.00222,0.00186,0.01348
1693382238.669739246368408,0.00386,0.00034,0.00018,0.00551,0.00248,0.00178,0.01416
1693382238.702945470809937,0.00364,0.00021,0.00006,0.00575,0.00136,0.00190,0.01292
1693382238.736220836639404,0.00388,0.00022,0.00014,0.00597,0.00156,0.00258,0.01436
1693382238.769473075866699,0.00427,0.00024,0.00042,0.00581,0.00040,0.00173,0.01287
1693382238.802762746810913,0.00319,0.00022,0.00173,0.00588,0.00284,0.00171,0.01557
1693382238.836104631423950,0.00325,0.00019,0.00010,0.00585,0.00000,0.00248,0.01188
1693382238.869418382644653,0.00312,0.00021,0.00133,0.00637,0.00227,0.00203,0.01534
1693382238.902709960937500,0.00364,0.00034,0.00062,0.00690,0.00004,0.00200,0.01354
1693382238.936065196990967,0.00377,0.00023,0.00181,0.00600,0.00148,0.00203,0.01533
1693382238.969353437423706,0.00500,0.00038,0.00314,0.00653,0.00102,0.00216,0.01822
1693382239.002364873886108,0.00521,0.00032,0.00164,0.00547,0.00082,0.00190,0.01536
1693382239.035604476928711,0.00402,0.00026,0.00003,0.00529,0.00022,0.00183,0.01165
1693382239.068905353546143,0.00333,0.00021,0.00290,0.00524,0.00278,0.00209,0.01656
1693382239.102099418640137,0.00318,0.00021,0.00343,0.00509,0.00146,0.00208,0.01545
1693382239.135432004928589,0.00449,0.00020,0.00305,0.00526,0.00261,0.00178,0.01739
1693382239.168579578399658,0.00409,0.00031,0.00173,0.00604,0.00280,0.00200,0.01697
1693382239.201677560806274,0.00356,0.00024,0.00410,0.00605,0.00042,0.00286,0.01724
1693382239.234829902648926,0.00458,0.00022,0.00030,0.00602,0.00000,0.00247,0.01359
1693382239.267971992492676,0.00317,0.00022,0.00082,0.00684,0.00408,0.00222,0.01735
1693382239.301122188568115,0.00345,0.00025,0.00261,0.00724,0.00139,0.00192,0.01686
1693382239.334264039993286,0.00335,0.00023,0.00073,0.00687,0.00000,0.00194,0.01312
1693382239.367400884628296,0.00344,0.00028,0.00270,0.00777,0.00004,0.00195,0.01618
1693382239.400536775588989,0.00392,0.00022,0.00263,0.00654,0.00028,0.00213,0.01572
1693382239.433631181716919,0.00380,0.00025,0.00136,0.00662,0.00086,0.00257,0.01547
1693382239.466767311096191,0.00324,0.00022,0.00299,0.00694,0.00000,0.00200,0.01540
1693382239.499876499176025,0.00338,0.00022,0.00161,0.00673,0.00000,0.00206,0.01401
1693382239.532929658889771,0.00355,0.00023,0.00416,0.00684,0.00000,0.00181,0.01659
1693382239.565929889678955,0.00328,0.00022,0.00014,0.00776,0.00000,0.00226,0.01366
1693382239.599000930786133,0.00452,0.00021,0.00664,0.00663,0.00000,0.00186,0.01987
1693382239.632029771804810,0.00322,0.00020,0.00002,0.00691,0.00000,0.00278,0.01313
1693382239.665184259414673,0.00530,0.00021,0.00133,0.00707,0.00000,0.00194,0.01585
1693382239.698312759399414,0.00332,0.00023,0.00142,0.00769,0.00000,0.00224,0.01489
1693382239.731449365615845,0.00427,0.00029,0.00012,0.00807,0.00000,0.00188,0.01463
1693382239.764600753784180,0.00529,0.00022,0.00284,0.00652,0.00000,0.00179,0.01666
1693382239.797729253768921,0.00518,0.00023,0.00247,0.00646,0.00026,0.00227,0.01685
1693382239.830892324447632,0.00457,0.00020,0.00113,0.00667,0.00000,0.00205,0.01462
1693382239.864044427871704,0.00624,0.00038,0.00461,0.00726,0.00135,0.00249,0.02234
1693382239.897181510925293,0.00456,0.00020,0.00188,0.00675,0.00007,0.00206,0.01551
1693382239.930320262908936,0.00326,0.00034,0.00355,0.00671,0.00139,0.00187,0.01712
1693382239.963464021682739,0.00450,0.00022,0.00019,0.00679,0.00000,0.00215,0.01386
1693382239.996570587158203,0.00458,0.00030,0.00977,0.00631,0.00138,0.00293,0.02528
1693382240.029704332351685,0.00415,0.00022,0.00060,0.00654,0.00000,0.00197,0.01348
1693382240.062830448150635,0.00382,0.00027,0.00011,0.00647,0.00140,0.00179,0.01387
1693382240.095967054367065,0.00303,0.00021,0.00161,0.00699,0.00000,0.00185,0.01370
1693382240.129132509231567,0.00309,0.00021,0.00021,0.00644,0.00000,0.00203,0.01198
1693382240.162518501281738,0.00498,0.00034,0.00421,0.00661,0.00139,0.00181,0.01936
1693382240.195885658264160,0.00314,0.00025,0.00268,0.00667,0.00022,0.00185,0.01481
1693382240.229449510574341,0.00457,0.00023,0.00007,0.00706,0.00000,0.00186,0.01378
1693382240.263008117675781,0.00332,0.00022,0.00283,0.00703,0.00001,0.00205,0.01547
1693382240.296575546264648,0.00296,0.00019,0.00013,0.00680,0.00006,0.00203,0.01217
1693382240.330138206481934,0.00346,0.00021,0.00015,0.00689,0.00006,0.00195,0.01272
1693382240.363716125488281,0.00303,0.00023,0.00009,0.00694,0.00007,0.00247,0.01284
1693382240.397284507751465,0.00351,0.00022,0.00411,0.00678,0.00142,0.00196,0.01800
1693382240.430842161178589,0.00350,0.00021,0.00015,0.00679,0.00000,0.00204,0.01270
1693382240.464401006698608,0.00360,0.00022,0.00006,0.00726,0.00000,0.00204,0.01319
1693382240.497973203659058,0.00380,0.00029,0.00022,0.00683,0.00000,0.00200,0.01314
1693382240.531539440155029,0.00351,0.00020,0.00032,0.00584,0.00000,0.00211,0.01197
1693382240.565096616744995,0.00354,0.00020,0.00475,0.00872,0.00146,0.00191,0.02058
1693382240.598658084869385,0.00330,0.00022,0.00129,0.00599,0.00169,0.00177,0.01426
1693382240.632225036621094,0.00475,0.00021,0.00006,0.00713,0.00000,0.00212,0.01428
1693382240.665801286697388,0.00400,0.00021,0.00169,0.00755,0.00152,0.00246,0.01745
1693382240.699379444122314,0.00357,0.00021,0.00018,0.00715,0.00000,0.00251,0.01361
1693382240.732958793640137,0.00391,0.00024,0.00049,0.00706,0.00000,0.00207,0.01377
1693382240.766532421112061,0.00349,0.00023,0.00016,0.00644,0.00000,0.00208,0.01241
1693382240.800116777420044,0.00459,0.00022,0.00373,0.00582,0.00031,0.00194,0.01661
1693382240.833698749542236,0.00326,0.00021,0.00019,0.00582,0.00024,0.00223,0.01197
1693382240.867269992828369,0.00482,0.00034,0.00071,0.00548,0.00050,0.00197,0.01383
1693382240.900828599929810,0.00447,0.00025,0.00041,0.00575,0.00025,0.00188,0.01301
1693382240.934401035308838,0.00359,0.00014,0.00018,0.00496,0.00010,0.00211,0.01108
1693382240.967983245849609,0.00530,0.00026,0.00027,0.00529,0.00291,0.00198,0.01600
1693382241.001543760299683,0.00402,0.00022,0.00006,0.00618,0.00155,0.00190,0.01395
1693382241.035125494003296,0.00336,0.00021,0.00010,0.00557,0.00000,0.00203,0.01128
1693382241.068700075149536,0.00489,0.00021,0.00147,0.00594,0.00155,0.00207,0.01614
1693382241.102290153503418,0.00320,0.00019,0.00008,0.00536,0.00015,0.00194,0.01092
1693382241.135861158370972,0.00354,0.00025,0.00009,0.00512,0.00017,0.00211,0.01129
1693382241.169408559799194,0.00338,0.00019,0.00119,0.00529,0.00000,0.00238,0.01243
1693382241.202980518341064,0.00332,0.00022,0.00149,0.00507,0.00398,0.00199,0.01607
1693382241.236102104187012,0.00320,0.00018,0.00009,0.00711,0.00017,0.00193,0.01269
1693382241.269205331802368,0.00306,0.00020,0.00592,0.00583,0.00184,0.00188,0.01873
1693382241.302319526672363,0.00514,0.00026,0.00012,0.00588,0.00007,0.00205,0.01353
1693382241.335444927215576,0.00525,0.00021,0.00020,0.00558,0.00141,0.00215,0.01479
1693382241.368571043014526,0.00543,0.00021,0.00010,0.00593,0.00040,0.00213,0.01419
1693382241.401696681976318,0.00413,0.00027,0.00008,0.00573,0.00023,0.00204,0.01249
1693382241.434812068939209,0.00389,0.00021,0.00002,0.00590,0.00000,0.00205,0.01208
1693382241.467923641204834,0.00552,0.00041,0.00015,0.01084,0.00537,0.00312,0.02541
1693382241.501047611236572,0.00371,0.00019,0.00085,0.00618,0.00152,0.00208,0.01452
1693382241.534170627593994,0.00400,0.00022,0.00029,0.00583,0.00015,0.00210,0.01259
1693382241.567285060882568,0.00356,0.00023,0.00019,0.00667,0.00000,0.00235,0.01299
1693382241.600385904312134,0.00335,0.00019,0.00123,0.00577,0.00394,0.00186,0.01634
1693382241.633492231369019,0.00302,0.00020,0.00002,0.00640,0.00016,0.00223,0.01203
1693382241.666598796844482,0.00330,0.00019,0.00956,0.00613,0.00074,0.00196,0.02189
1693382241.699709653854370,0.00344,0.00022,0.00002,0.00618,0.00012,0.00211,0.01209
1693382241.732821226119995,0.00344,0.00020,0.00009,0.00594,0.00005,0.00208,0.01179
1693382241.765936136245728,0.00385,0.00026,0.00002,0.00633,0.00040,0.00198,0.01284
1693382241.799046754837036,0.00376,0.00018,0.00002,0.00609,0.00032,0.00212,0.01249
1693382241.832162618637085,0.00361,0.00023,0.00002,0.00606,0.00000,0.00201,0.01193
1693382241.865272283554077,0.00347,0.00020,0.00002,0.00623,0.00013,0.00230,0.01234
1693382241.898377418518066,0.00323,0.00024,0.00007,0.00596,0.00006,0.00251,0.01207
1693382241.931476116180420,0.00359,0.00026,0.00004,0.00621,0.00401,0.00182,0.01594
1693382241.964575052261353,0.00499,0.00020,0.00075,0.00701,0.00000,0.00217,0.01511
1693382241.997673034667969,0.00405,0.00021,0.00124,0.00737,0.00016,0.00204,0.01507
1693382242.030765771865845,0.00349,0.00023,0.00002,0.00654,0.00016,0.00201,0.01245
1693382242.063859224319458,0.00338,0.00021,0.00973,0.00666,0.00075,0.00184,0.02257
1693382242.096948862075806,0.00331,0.00022,0.00005,0.00718,0.00006,0.00183,0.01265
1693382242.130042076110840,0.00339,0.00020,0.00002,0.00675,0.00010,0.00197,0.01243
1693382242.163138151168823,0.00368,0.00029,0.00003,0.00701,0.00044,0.00203,0.01349
1693382242.196241378784180,0.00354,0.00023,0.00013,0.00598,0.00025,0.00205,0.01217
1693382242.229606389999390,0.00446,0.00021,0.00002,0.00594,0.00000,0.00203,0.01266
1693382242.263344526290894,0.00301,0.00022,0.00002,0.00788,0.00009,0.00221,0.01343
1693382242.297087430953979,0.00334,0.00021,0.00002,0.00608,0.00006,0.00204,0.01175
1693382242.330844163894653,0.00454,0.00021,0.00057,0.00601,0.00008,0.00203,0.01344
1693382242.364595651626587,0.00357,0.00021,0.00007,0.00644,0.00004,0.00196,0.01228
1693382242.398343086242676,0.00340,0.00021,0.00002,0.00664,0.00227,0.00253,0.01508
1693382242.432093858718872,0.00315,0.00021,0.00002,0.00587,0.00010,0.00194,0.01129
1693382242.465854644775391,0.00450,0.00023,0.00755,0.00581,0.00316,0.00184,0.02311
1693382242.499616861343384,0.00381,0.00022,0.00010,0.00646,0.00000,0.00189,0.01249
1693382242.533356666564941,0.00419,0.00020,0.00007,0.00631,0.00008,0.00186,0.01271
1693382242.567100048065186,0.00387,0.00025,0.00009,0.00634,0.00010,0.00192,0.01258
1693382242.600860834121704,0.00536,0.00021,0.00009,0.00644,0.00022,0.00195,0.01427
1693382242.735953092575073,0.00386,0.00040,0.00020,0.00640,0.00000,0.00180,0.01267
1693382242.769745349884033,0.00355,0.00023,0.00003,0.00802,0.00009,0.00236,0.01427
1693382242.803518295288086,0.00375,0.00022,0.00002,0.00624,0.00005,0.00186,0.01215
1693382242.837267398834229,0.00350,0.00032,0.00003,0.00680,0.00000,0.00194,0.01261
1693382242.871041536331177,0.00387,0.00030,0.00004,0.00678,0.00008,0.00216,0.01325
1693382242.904833793640137,0.00351,0.00021,0.00003,0.00739,0.00014,0.00190,0.01317
1693382242.938620805740356,0.00305,0.00022,0.00079,0.00651,0.00021,0.00215,0.01293
1693382242.972406387329102,0.00339,0.00023,0.00699,0.00694,0.00074,0.00225,0.02055
1693382243.006209373474121,0.00359,0.00029,0.00004,0.00661,0.00000,0.00221,0.01274
1693382243.039979696273804,0.00368,0.00025,0.00003,0.00700,0.00011,0.00235,0.01343
1693382243.073767423629761,0.00446,0.00025,0.00003,0.00719,0.00011,0.00220,0.01424
1693382243.107581377029419,0.00346,0.00020,0.00002,0.00632,0.00024,0.00211,0.01234
1693382243.141379117965698,0.00377,0.00021,0.00002,0.00639,0.00000,0.00204,0.01242
1693382243.175136089324951,0.00402,0.00022,0.00002,0.00677,0.00011,0.00225,0.01340
1693382243.208949804306030,0.00338,0.00020,0.00002,0.00638,0.00006,0.00236,0.01240
1693382243.242763519287109,0.00326,0.00020,0.00010,0.00642,0.00000,0.00202,0.01200
1693382243.276157379150391,0.00410,0.00034,0.00004,0.00775,0.00006,0.00208,0.01437
1693382243.309556961059570,0.00415,0.00020,0.00002,0.00706,0.00013,0.00197,0.01354
1693382243.343075037002563,0.00455,0.00023,0.00059,0.00700,0.00018,0.00208,0.01461
1693382243.376572847366333,0.00345,0.00023,0.00619,0.00659,0.00312,0.00200,0.02159
1693382243.410080194473267,0.00313,0.00022,0.00002,0.00812,0.00000,0.00196,0.01345
1693382243.443588972091675,0.00326,0.00021,0.00002,0.00728,0.00009,0.00225,0.01312
1693382243.477093219757080,0.00350,0.00022,0.00008,0.00735,0.00010,0.00200,0.01325
1693382243.510611772537231,0.00352,0.00027,0.00009,0.00768,0.00033,0.00517,0.01707
1693382243.544131517410278,0.00331,0.00018,0.00002,0.00726,0.00000,0.00199,0.01276
1693382243.577623367309570,0.00353,0.00028,0.00010,0.00727,0.00009,0.00183,0.01311
1693382243.611134052276611,0.00313,0.00022,0.00002,0.00740,0.00006,0.00190,0.01273
1693382243.644575357437134,0.00308,0.00019,0.00008,0.00680,0.00024,0.00195,0.01234
1693382243.677995920181274,0.00329,0.00023,0.00010,0.00739,0.00006,0.00208,0.01315
1693382243.711473464965820,0.00325,0.00021,0.00015,0.00700,0.00012,0.00189,0.01262
1693382243.744981288909912,0.00335,0.00020,0.00043,0.00725,0.00015,0.00209,0.01349
1693382243.778435230255127,0.00348,0.00022,0.00697,0.00685,0.00053,0.00196,0.02001
1693382243.811922550201416,0.00330,0.00020,0.00002,0.00689,0.00000,0.00204,0.01245
1693382243.845416307449341,0.00334,0.00029,0.00003,0.00710,0.00008,0.00185,0.01270
1693382243.878880262374878,0.00326,0.00022,0.00006,0.00727,0.00010,0.00200,0.01291
1693382243.912362813949585,0.00332,0.00020,0.00002,0.00689,0.00027,0.00202,0.01271
1693382243.945810317993164,0.00542,0.00021,0.00010,0.00729,0.00000,0.00273,0.01575
1693382243.979282140731812,0.00351,0.00022,0.00051,0.00742,0.00009,0.00215,0.01389
1693382244.012736082077026,0.00401,0.00022,0.00019,0.00749,0.00010,0.00241,0.01443
1693382244.046211242675781,0.00371,0.00018,0.00037,0.00577,0.00001,0.00212,0.01216
1693382244.079711198806763,0.00357,0.00023,0.00020,0.00688,0.00143,0.00213,0.01444
1693382244.113148927688599,0.00457,0.00021,0.00014,0.00592,0.00167,0.00211,0.01463
1693382244.146520853042603,0.00328,0.00020,0.00122,0.00578,0.00147,0.00188,0.01383
1693382244.179990291595459,0.00762,0.00091,0.00627,0.00667,0.00060,0.00231,0.02438
1693382244.213464021682739,0.00338,0.00021,0.00010,0.00674,0.00027,0.00194,0.01263
1693382244.246953248977661,0.00436,0.00022,0.00002,0.00707,0.00009,0.00220,0.01397
1693382244.280414581298828,0.00350,0.00022,0.00020,0.00642,0.00006,0.00209,0.01250
1693382244.313841819763184,0.00319,0.00029,0.00320,0.00548,0.00072,0.00201,0.01490
1693382244.347244262695312,0.00362,0.00022,0.00012,0.00657,0.00000,0.00218,0.01272
1693382244.380623817443848,0.00386,0.00020,0.00007,0.01032,0.00000,0.00197,0.01643
1693382244.414077758789062,0.00429,0.00020,0.00002,0.00676,0.00006,0.00189,0.01323
1693382244.447439908981323,0.00333,0.00022,0.00015,0.00626,0.00006,0.00201,0.01202
1693382244.480779409408569,0.00432,0.00021,0.00002,0.00566,0.00138,0.00193,0.01353
1693382244.514187574386597,0.00331,0.00039,0.00030,0.00570,0.00040,0.00192,0.01201
1693382244.547561645507812,0.00453,0.00021,0.00376,0.00598,0.00162,0.00217,0.01827
1693382244.580892562866211,0.00450,0.00020,0.00477,0.00676,0.00181,0.00179,0.01984
1693382244.614277362823486,0.00355,0.00022,0.00003,0.00697,0.00000,0.00191,0.01268
1693382244.647676944732666,0.00338,0.00027,0.00002,0.00701,0.00009,0.00211,0.01290
1693382244.681141376495361,0.00336,0.00020,0.00002,0.00731,0.00007,0.00198,0.01294
1693382244.714574098587036,0.00338,0.00021,0.00173,0.00772,0.00022,0.00193,0.01521
1693382244.748031377792358,0.00342,0.00020,0.00015,0.00699,0.00000,0.00211,0.01286
1693382244.781484603881836,0.00350,0.00021,0.00002,0.00729,0.00000,0.00214,0.01317
1693382244.814926624298096,0.00340,0.00019,0.00002,0.00723,0.00006,0.00190,0.01281
1693382244.848395824432373,0.00386,0.00020,0.00009,0.00709,0.00006,0.00232,0.01363
1693382244.881862163543701,0.00363,0.00027,0.00002,0.00688,0.00000,0.00201,0.01281
1693382244.915317058563232,0.00468,0.00022,0.00003,0.00682,0.00145,0.00194,0.01516
1693382244.948777914047241,0.00352,0.00021,0.00181,0.00776,0.00045,0.00192,0.01567
1693382244.982217788696289,0.00478,0.00024,0.00447,0.00734,0.00109,0.00216,0.02006
1693382245.015685081481934,0.00383,0.00022,0.00010,0.00785,0.00000,0.00203,0.01403
1693382245.049161434173584,0.00338,0.00020,0.00024,0.00700,0.00006,0.00203,0.01291
1693382245.082637786865234,0.00381,0.00024,0.00168,0.00766,0.00190,0.00224,0.01753
1693382245.116116762161255,0.00314,0.00021,0.00073,0.00747,0.00009,0.00211,0.01373
1693382245.149601697921753,0.00329,0.00026,0.00002,0.00756,0.00000,0.00183,0.01295
