# timestamp(s) tx ty tz qx qy qz qw
1693382237.78273 0.026552 0.173843 0.032937 -0.008498 0.027122 -0.722353 0.690941
1693382237.80136 -0.007000 -0.009292 0.016646 0.003588 0.029711 -0.727925 0.685003
1693382237.83409 -0.004365 -0.003977 0.024790 0.009564 0.027249 -0.732223 0.680453
1693382237.86780 -0.006950 0.002535 0.037138 0.014147 0.023763 -0.737512 0.674768
1693382237.90122 -0.004732 0.006870 0.051190 0.015256 0.017900 -0.743030 0.668844
1693382237.93509 -0.004165 0.011708 0.066621 0.015564 0.014739 -0.746097 0.665492
1693382237.96871 -0.002255 0.016157 0.083662 0.015300 0.010922 -0.748225 0.663179
1693382238.00244 -0.004339 0.021335 0.102057 0.015137 0.007790 -0.749089 0.662251
1693382238.03614 -0.003958 0.025842 0.121025 0.014807 0.006312 -0.750536 0.660634
1693382238.06995 -0.007493 0.020222 0.133454 0.010923 0.004058 -0.752302 0.658715
1693382238.10364 -0.012658 0.027348 0.159380 0.010840 0.005232 -0.753386 0.657468
1693382238.13686 -0.020343 0.040217 0.183030 0.010764 0.003827 -0.754415 0.656299
1693382238.17025 -0.014861 0.042314 0.204675 0.009585 0.004504 -0.758029 0.652134
1693382238.20336 -0.010851 0.042715 0.219486 0.009995 0.001795 -0.760530 0.649223
1693382238.23668 -0.011141 0.044983 0.239276 0.012165 0.001672 -0.763287 0.645943
1693382238.27004 -0.013620 0.050841 0.262207 0.015411 0.001195 -0.765955 0.642708
1693382238.30341 -0.014253 0.054013 0.281795 0.018425 0.000421 -0.769645 0.638206
1693382238.33675 -0.015387 0.059479 0.303445 0.020450 -0.000995 -0.773471 0.633501
1693382238.37006 -0.015260 0.064833 0.326075 0.022953 -0.002094 -0.776965 0.629121
1693382238.40329 -0.016300 0.069738 0.346384 0.023177 -0.003720 -0.780162 0.625137
1693382238.43663 -0.017882 0.075720 0.370372 0.021557 -0.005229 -0.783957 0.620419
1693382238.46987 -0.019106 0.081081 0.394434 0.020613 -0.006158 -0.787233 0.616281
1693382238.50299 -0.020134 0.087109 0.420077 0.018626 -0.007364 -0.788909 0.614183
1693382238.53619 -0.021521 0.091589 0.444755 0.016675 -0.007166 -0.789206 0.613861
1693382238.56945 -0.023637 0.097495 0.470236 0.012806 -0.006748 -0.789100 0.614094
1693382238.60275 -0.025443 0.102504 0.495659 0.008023 -0.005702 -0.789161 0.614107
1693382238.63612 -0.028750 0.108593 0.522412 0.004930 -0.004444 -0.788613 0.614854
1693382238.66941 -0.032583 0.115522 0.553142 0.002127 -0.004928 -0.788882 0.614521
1693382238.70259 -0.036414 0.119814 0.578622 0.003509 -0.005528 -0.789120 0.614204
1693382238.73584 -0.040564 0.125102 0.603948 0.005825 -0.007688 -0.790078 0.612930
1693382238.76911 -0.044287 0.129745 0.628581 0.010158 -0.009498 -0.791640 0.610830
1693382238.80242 -0.048060 0.135344 0.652104 0.014283 -0.011985 -0.793024 0.608904
1693382238.83575 -0.051749 0.140849 0.675264 0.017204 -0.014290 -0.794690 0.606604
1693382238.86908 -0.055381 0.145847 0.694572 0.019293 -0.015920 -0.795817 0.605021
1693382238.90236 -0.059186 0.150664 0.714014 0.020814 -0.015735 -0.797365 0.602933
1693382238.93570 -0.063373 0.155438 0.730852 0.022474 -0.015092 -0.798925 0.600821
1693382238.96903 -0.068163 0.160461 0.748437 0.024443 -0.016114 -0.800471 0.598656
1693382239.00211 -0.073337 0.165144 0.764789 0.027692 -0.018401 -0.800016 0.599057
1693382239.03538 -0.079356 0.169380 0.782084 0.031023 -0.021151 -0.797744 0.601826
1693382239.06871 -0.085041 0.172161 0.794464 0.034719 -0.023292 -0.795099 0.605037
1693382239.10190 -0.089649 0.176091 0.809026 0.035464 -0.025802 -0.792840 0.607849
1693382239.13523 -0.093471 0.179481 0.820220 0.033432 -0.029176 -0.790679 0.610620
1693382239.16839 -0.097673 0.182120 0.831120 0.031035 -0.032120 -0.788166 0.613840
1693382239.20148 -0.101702 0.184170 0.842574 0.029179 -0.033691 -0.786729 0.615688
1693382239.23462 -0.105087 0.185677 0.851418 0.028435 -0.034608 -0.786221 0.616320
1693382239.26775 -0.107746 0.186702 0.860146 0.028709 -0.035801 -0.785891 0.616660
1693382239.30091 -0.110433 0.187309 0.868248 0.030382 -0.038236 -0.785345 0.617128
1693382239.33406 -0.112771 0.188029 0.875291 0.033475 -0.041607 -0.784838 0.617396
1693382239.36719 -0.115046 0.188516 0.882858 0.037766 -0.045641 -0.784701 0.617038
1693382239.40034 -0.116678 0.189341 0.889574 0.042820 -0.051294 -0.784746 0.616205
1693382239.43345 -0.118330 0.189420 0.895110 0.049754 -0.056962 -0.784055 0.616066
1693382239.46659 -0.120339 0.189433 0.900619 0.057809 -0.061471 -0.782305 0.617154
1693382239.49970 -0.121760 0.189901 0.906554 0.064014 -0.065290 -0.780511 0.618419
1693382239.53275 -0.123109 0.190972 0.913172 0.066223 -0.069539 -0.779155 0.619432
1693382239.56577 -0.123193 0.192952 0.920326 0.063415 -0.074248 -0.778785 0.619644
1693382239.59884 -0.124131 0.193765 0.928078 0.058826 -0.076974 -0.779146 0.619311
1693382239.63185 -0.125323 0.194899 0.934621 0.054785 -0.074476 -0.780159 0.618711
1693382239.66497 -0.126539 0.195829 0.941153 0.050809 -0.068737 -0.780656 0.619088
1693382239.69811 -0.128053 0.197223 0.947154 0.046403 -0.062693 -0.780302 0.620520
1693382239.73126 -0.129531 0.199070 0.953106 0.041349 -0.057720 -0.780483 0.621132
1693382239.76440 -0.131387 0.201167 0.958873 0.035852 -0.056144 -0.780704 0.621340
1693382239.79754 -0.133448 0.203627 0.964388 0.030875 -0.058317 -0.779486 0.622935
1693382239.83068 -0.134796 0.205790 0.969991 0.028121 -0.061453 -0.777265 0.625533
1693382239.86383 -0.136816 0.207886 0.975274 0.027867 -0.064581 -0.775122 0.627885
1693382239.89698 -0.138779 0.209967 0.980969 0.028121 -0.068106 -0.773719 0.629229
1693382239.93005 -0.139576 0.212305 0.987810 0.028653 -0.070421 -0.772954 0.629891
1693382239.96316 -0.141256 0.214351 0.994191 0.029086 -0.071664 -0.771278 0.631782
