# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382237.78273 0.026552 0.173843 0.032937 -0.008498 0.027122 -0.722353 0.690941 0.0002816507 -0.0000010136 0.0000587616 0.0002940009 0.0000137232 0.0009306032 0.0089022581 -0.0015914251 0.0001230035 0.0113963816 -0.0002414177 0.0028522511
1693382237.80136 -0.007000 -0.009292 0.016646 0.003588 0.029711 -0.727925 0.685003 0.0000494452 0.0000021652 -0.0000120446 0.0000247395 -0.0000153553 0.0004717861 0.0027566261 -0.0000433733 -0.0000009498 0.0028972313 0.0000716644 0.0026221511
1693382237.83409 -0.004365 -0.003977 0.024790 0.009564 0.027249 -0.732223 0.680453 0.0000435182 0.0000002970 -0.0000173744 0.0000228402 -0.0000105521 0.0004624424 0.0027066126 -0.0000315587 -0.0000049891 0.0028422919 0.0000654933 0.0026164775
1693382237.86780 -0.006950 0.002535 0.037138 0.014147 0.023763 -0.737512 0.674768 0.0000357829 -0.0000005616 -0.0000151714 0.0000218945 -0.0000033253 0.0004558491 0.0026927187 -0.0000287537 -0.0000057139 0.0028029098 0.0000654475 0.0026235373
1693382237.90122 -0.004732 0.006870 0.051190 0.015256 0.017900 -0.743030 0.668844 0.0000284862 -0.0000005484 -0.0000103285 0.0000213499 -0.0000009756 0.0004510138 0.0026863427 -0.0000267658 -0.0000067337 0.0027697568 0.0000664524 0.0026310966
1693382237.93509 -0.004165 0.011708 0.066621 0.015564 0.014739 -0.746097 0.665492 0.0000240181 -0.0000002276 -0.0000076239 0.0000207074 0.0000013300 0.0004489846 0.0026871645 -0.0000262601 -0.0000077597 0.0027426240 0.0000681309 0.0026385611
1693382237.96871 -0.002255 0.016157 0.083662 0.015300 0.010922 -0.748225 0.663179 0.0000214173 -0.0000003370 -0.0000052276 0.0000205414 0.0000026491 0.0004483738 0.0026922804 -0.0000271374 -0.0000089651 0.0027219824 0.0000703000 0.0026462090
1693382238.00244 -0.004339 0.021335 0.102057 0.015137 0.007790 -0.749089 0.662251 0.0000179582 0.0000000822 -0.0000082945 0.0000194983 0.0000051442 0.0004337754 0.0026483128 -0.0000193672 -0.0000152539 0.0027022188 0.0000696062 0.0026439835
1693382238.03614 -0.003958 0.025842 0.121025 0.014807 0.006312 -0.750536 0.660634 0.0000170935 -0.0000001313 -0.0000068156 0.0000195704 0.0000060898 0.0004331793 0.0026492747 -0.0000208279 -0.0000167955 0.0026899677 0.0000717036 0.0026511866
1693382238.06995 -0.007493 0.020222 0.133454 0.010923 0.004058 -0.752302 0.658715 0.0000156560 -0.0000010478 -0.0000053789 0.0000185801 0.0000058798 0.0004311315 0.0026485564 -0.0000267747 -0.0000199496 0.0026712760 0.0000705984 0.0026550281
1693382238.10364 -0.012658 0.027348 0.159380 0.010840 0.005232 -0.753386 0.657468 0.0000134873 -0.0000002901 -0.0000049757 0.0000147648 0.0000050380 0.0004252978 0.0026329366 -0.0000225684 -0.0000201706 0.0026504987 0.0000553959 0.0026283752
1693382238.13686 -0.020343 0.040217 0.183030 0.010764 0.003827 -0.754415 0.656299 0.0000127250 -0.0000007936 -0.0000057485 0.0000144303 0.0000035263 0.0004211667 0.0026176770 -0.0000202050 -0.0000179486 0.0026392172 0.0000537408 0.0026305609
1693382238.17025 -0.014861 0.042314 0.204675 0.009585 0.004504 -0.758029 0.652134 0.0000118521 -0.0000007912 -0.0000070431 0.0000140479 0.0000042333 0.0004161022 0.0025981249 -0.0000148724 -0.0000169807 0.0026312195 0.0000514913 0.0026293006
1693382238.20336 -0.010851 0.042715 0.219486 0.009995 0.001795 -0.760530 0.649223 0.0000106772 -0.0000011522 -0.0000069862 0.0000120612 0.0000030192 0.0004145427 0.0025928656 -0.0000144017 -0.0000154938 0.0026211918 0.0000462442 0.0026219069
1693382238.23668 -0.011141 0.044983 0.239276 0.012165 0.001672 -0.763287 0.645943 0.0000105392 -0.0000012054 -0.0000074498 0.0000116888 0.0000057330 0.0004140220 0.0025904181 -0.0000140852 -0.0000153295 0.0026168190 0.0000449991 0.0026227369
1693382238.27004 -0.013620 0.050841 0.262207 0.015411 0.001195 -0.765955 0.642708 0.0000101217 -0.0000008357 -0.0000089601 0.0000101963 0.0000074027 0.0004132927 0.0025873701 -0.0000112630 -0.0000112041 0.0026059731 0.0000326291 0.0026051942
1693382238.30341 -0.014253 0.054013 0.281795 0.018425 0.000421 -0.769645 0.638206 0.0000100770 -0.0000009906 -0.0000107309 0.0000101233 0.0000092991 0.0004128895 0.0025854940 -0.0000107079 -0.0000110225 0.0026025945 0.0000319823 0.0026071166
1693382238.33675 -0.015387 0.059479 0.303445 0.020450 -0.000995 -0.773471 0.633501 0.0000099393 -0.0000011152 -0.0000107043 0.0000101072 0.0000113396 0.0004125463 0.0025838459 -0.0000101469 -0.0000106570 0.0025992434 0.0000309521 0.0026086058
1693382238.37006 -0.015260 0.064833 0.326075 0.022953 -0.002094 -0.776965 0.629121 0.0000096768 -0.0000011860 -0.0000116480 0.0000099240 0.0000129029 0.0004119611 0.0025825046 -0.0000095884 -0.0000104675 0.0025958195 0.0000297113 0.0026099948
1693382238.40329 -0.016300 0.069738 0.346384 0.023177 -0.003720 -0.780162 0.625137 0.0000089455 -0.0000010899 -0.0000118183 0.0000090361 0.0000141196 0.0004110607 0.0025808062 -0.0000078773 -0.0000079512 0.0025892729 0.0000221455 0.0025992932
1693382238.43663 -0.017882 0.075720 0.370372 0.021557 -0.005229 -0.783957 0.620419 0.0000087488 -0.0000009694 -0.0000098005 0.0000089225 0.0000141941 0.0004110023 0.0025798797 -0.0000073326 -0.0000075999 0.0025865378 0.0000209483 0.0026000201
1693382238.46987 -0.019106 0.081081 0.394434 0.020613 -0.006158 -0.787233 0.616281 0.0000083654 -0.0000008521 -0.0000088558 0.0000084172 0.0000133352 0.0004105880 0.0025788904 -0.0000063541 -0.0000064687 0.0025828418 0.0000174545 0.0025957705
