# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.782730579376221,0.00360,0.00017,0.00045,0.00000,0.00001,0.00204,0.00626
1693382237.801356077194214,0.00386,0.00015,0.00149,0.00000,0.00279,0.00192,0.01022
1693382237.834092140197754,0.00477,0.00015,0.00003,0.00042,0.00000,0.00206,0.00744
1693382237.867795705795288,0.00378,0.00019,0.00003,0.00040,0.00000,0.00199,0.00639
1693382237.901220321655273,0.00340,0.00019,0.00012,0.00040,0.00001,0.00197,0.00609
1693382237.935092210769653,0.00426,0.00016,0.00007,0.00040,0.00000,0.00212,0.00702
1693382237.968710899353027,0.00390,0.00019,0.00006,0.00041,0.00000,0.00192,0.00647
1693382238.002443552017212,0.00473,0.00019,0.00025,0.00041,0.00000,0.00211,0.00769
1693382238.036139011383057,0.00478,0.00029,0.00005,0.00080,0.00000,0.00255,0.00847
1693382238.069953203201294,0.00398,0.00018,0.00035,0.00043,0.00155,0.00273,0.00922
1693382238.103635549545288,0.00389,0.00019,0.00062,0.00056,0.00611,0.00215,0.01352
1693382238.136861324310303,0.00448,0.00022,0.00049,0.00149,0.00241,0.00246,0.01155
1693382238.170248508453369,0.00448,0.00019,0.00068,0.00176,0.00127,0.00246,0.01084
1693382238.203357219696045,0.00420,0.00023,0.00034,0.00222,0.02344,0.00295,0.03338
1693382238.236681461334229,0.00488,0.00026,0.00068,0.00453,0.00000,0.00273,0.01308
1693382238.270042896270752,0.00408,0.00022,0.00057,0.00387,0.00229,0.00203,0.01307
1693382238.303414344787598,0.00547,0.00026,0.00015,0.00446,0.00272,0.00203,0.01510
1693382238.336748123168945,0.00438,0.00027,0.00059,0.00461,0.00164,0.00260,0.01409
1693382238.370062828063965,0.00541,0.00032,0.00100,0.00500,0.00289,0.00274,0.01735
1693382238.403286457061768,0.00470,0.00030,0.00119,0.00535,0.00453,0.00245,0.01853
1693382238.436633825302124,0.00491,0.00023,0.00094,0.00663,0.00000,0.00259,0.01530
1693382238.469873905181885,0.00407,0.00026,0.00093,0.00530,0.00261,0.00224,0.01543
1693382238.502987146377563,0.00429,0.00021,0.00068,0.00571,0.00215,0.00267,0.01571
1693382238.536191940307617,0.00332,0.00025,0.00012,0.00639,0.00363,0.00184,0.01553
1693382238.569454193115234,0.00343,0.00020,0.00008,0.00570,0.00000,0.00218,0.01159
1693382238.602749586105347,0.00338,0.00026,0.00033,0.00545,0.00296,0.00179,0.01417
1693382238.636117696762085,0.00439,0.00028,0.00214,0.00590,0.00272,0.00210,0.01752
1693382238.669413566589355,0.00445,0.00020,0.00007,0.00653,0.00303,0.00241,0.01670
1693382238.702590465545654,0.00518,0.00022,0.00107,0.00615,0.00000,0.00186,0.01449
1693382238.735844135284424,0.00475,0.00022,0.00018,0.00606,0.00169,0.00336,0.01627
1693382238.769110441207886,0.00474,0.00026,0.00055,0.00675,0.00052,0.00230,0.01512
1693382238.802418231964111,0.00468,0.00033,0.00105,0.00541,0.00148,0.00187,0.01482
