# timestamp(s) tx ty tz qx qy qz qw
1693382237.76914 -0.038431 0.054080 0.038596 0.000725 0.029950 -0.724343 0.688789
1693382237.79794 0.003478 -0.029167 0.011622 0.005575 0.031790 -0.732799 0.679679
1693382237.83154 -0.000251 -0.022530 0.021015 0.011992 0.026578 -0.735702 0.676678
1693382237.86589 -0.007537 -0.012033 0.033509 0.015596 0.022705 -0.738145 0.674079
1693382237.89980 -0.007172 -0.001982 0.048053 0.016667 0.016482 -0.741488 0.670557
1693382237.93379 -0.006929 0.009409 0.064128 0.017434 0.012742 -0.743311 0.668597
1693382237.96748 -0.005490 0.019449 0.081716 0.017725 0.008606 -0.744520 0.667309
1693382238.00125 -0.006075 0.030876 0.104270 0.017961 0.006003 -0.745296 0.666465
1693382238.03492 -0.006480 0.039454 0.123610 0.017943 0.004356 -0.746382 0.665261
1693382238.06866 -0.011440 0.036223 0.136982 0.014544 0.001718 -0.747485 0.664117
1693382238.10223 -0.012566 0.043725 0.162125 0.014076 0.002688 -0.749183 0.662208
1693382238.13543 -0.016562 0.057551 0.184131 0.013849 0.001060 -0.750697 0.660500
1693382238.16881 -0.009719 0.063626 0.211544 0.012701 0.002495 -0.754943 0.655662
1693382238.20196 -0.006521 0.066192 0.226973 0.013132 -0.000436 -0.757372 0.652851
1693382238.23528 -0.007229 0.069972 0.247749 0.015299 -0.000493 -0.760195 0.649514
1693382238.26864 -0.009377 0.074513 0.267477 0.018219 -0.001234 -0.763071 0.646056
1693382238.30201 -0.010740 0.078690 0.287413 0.021288 -0.002044 -0.766695 0.641655
1693382238.33536 -0.012475 0.084849 0.309353 0.023490 -0.003499 -0.770430 0.637082
1693382238.36870 -0.013163 0.092000 0.333600 0.025993 -0.004270 -0.774053 0.632573
1693382238.40200 -0.014480 0.095687 0.351750 0.025920 -0.005978 -0.777355 0.628500
1693382238.43532 -0.016127 0.102186 0.375864 0.024515 -0.007766 -0.781103 0.623873
1693382238.46858 -0.017433 0.107229 0.398814 0.023493 -0.008868 -0.784432 0.619706
1693382238.50178 -0.019004 0.114116 0.425031 0.021510 -0.010067 -0.786058 0.617696
1693382238.53502 -0.021219 0.120142 0.450629 0.019791 -0.009990 -0.786129 0.617665
1693382238.56832 -0.024285 0.127074 0.476588 0.016122 -0.009704 -0.785833 0.618152
1693382238.60162 -0.027101 0.133349 0.502665 0.011387 -0.008824 -0.785780 0.618339
1693382238.63495 -0.030555 0.139837 0.529829 0.007756 -0.007266 -0.785561 0.618693
1693382238.66823 -0.034459 0.148065 0.560327 0.004684 -0.007650 -0.785930 0.618250
1693382238.70149 -0.038779 0.153762 0.585449 0.006132 -0.008243 -0.786035 0.618097
1693382238.73473 -0.043794 0.160394 0.610276 0.008610 -0.010423 -0.786732 0.617147
1693382238.76805 -0.048377 0.166737 0.634950 0.013040 -0.012072 -0.788087 0.615307
1693382238.80132 -0.052957 0.173917 0.659125 0.017368 -0.014184 -0.789382 0.613493
1693382238.83469 -0.057219 0.180973 0.682882 0.020391 -0.016185 -0.790966 0.611306
1693382238.86803 -0.061052 0.187303 0.702936 0.022565 -0.017423 -0.792137 0.609677
1693382238.90132 -0.065045 0.193820 0.723334 0.023909 -0.017074 -0.793737 0.607551
1693382238.93468 -0.069303 0.199650 0.741152 0.025596 -0.016163 -0.795414 0.605310
1693382238.96802 -0.074005 0.205700 0.759739 0.027633 -0.016921 -0.797053 0.603040
1693382239.00121 -0.079392 0.211285 0.776668 0.030995 -0.018856 -0.796535 0.603503
1693382239.03452 -0.085713 0.216560 0.795023 0.034546 -0.021178 -0.794105 0.606428
1693382239.06786 -0.092450 0.220072 0.809028 0.038582 -0.022846 -0.791201 0.609910
1693382239.10100 -0.096758 0.224307 0.824058 0.039525 -0.024778 -0.788939 0.612698
1693382239.13433 -0.100657 0.227324 0.836067 0.037632 -0.027421 -0.786733 0.615535
1693382239.16751 -0.104070 0.230605 0.846267 0.035031 -0.030243 -0.784219 0.618755
1693382239.20062 -0.107324 0.232933 0.857797 0.033151 -0.031597 -0.782825 0.620555
1693382239.23377 -0.110083 0.234579 0.866713 0.032415 -0.032377 -0.782387 0.621105
1693382239.26692 -0.112653 0.235960 0.875241 0.032743 -0.033640 -0.782006 0.621500
1693382239.30007 -0.115080 0.236643 0.883126 0.034419 -0.035890 -0.781399 0.622048
1693382239.33321 -0.117144 0.237559 0.889978 0.037527 -0.039069 -0.780789 0.622442
1693382239.36632 -0.119121 0.238257 0.897259 0.041884 -0.042880 -0.780517 0.622254
1693382239.39948 -0.120515 0.239319 0.903746 0.047050 -0.048258 -0.780377 0.621666
1693382239.43267 -0.122271 0.239373 0.908761 0.054144 -0.053629 -0.779403 0.621871
1693382239.46588 -0.124492 0.239304 0.913832 0.062409 -0.057738 -0.777372 0.623269
1693382239.49899 -0.126440 0.239520 0.919769 0.068932 -0.061146 -0.775298 0.624837
1693382239.53205 -0.128062 0.240414 0.925995 0.071282 -0.065135 -0.773740 0.626101
1693382239.56510 -0.128375 0.242270 0.932326 0.068599 -0.069899 -0.773165 0.626597
1693382239.59815 -0.129598 0.242940 0.939137 0.064032 -0.072946 -0.773329 0.626531
1693382239.63110 -0.130916 0.243870 0.944810 0.059915 -0.070809 -0.774378 0.625887
1693382239.66415 -0.132495 0.244781 0.950344 0.055810 -0.065505 -0.774987 0.626091
1693382239.69728 -0.133837 0.245799 0.955404 0.051231 -0.059765 -0.774920 0.627138
1693382239.73051 -0.135012 0.247370 0.960265 0.045944 -0.055143 -0.775376 0.627407
1693382239.76372 -0.136616 0.249316 0.964993 0.040295 -0.053921 -0.775772 0.627413
1693382239.79690 -0.138336 0.251738 0.969689 0.035230 -0.056295 -0.774579 0.628981
1693382239.83007 -0.139124 0.253956 0.974312 0.032432 -0.059488 -0.772280 0.631659
1693382239.86323 -0.141045 0.256166 0.978969 0.032235 -0.062564 -0.770011 0.634136
1693382239.89636 -0.142933 0.258323 0.984153 0.032550 -0.066000 -0.768475 0.635634
1693382239.92944 -0.143375 0.261091 0.990099 0.033047 -0.068299 -0.767654 0.636358
1693382239.96257 -0.144692 0.263360 0.995828 0.033401 -0.069423 -0.765947 0.638271
1693382239.99566 -0.145544 0.264949 1.001871 0.032381 -0.070483 -0.762795 0.641972
1693382240.02880 -0.146621 0.267208 1.007118 0.030002 -0.072574 -0.759797 0.645401
1693382240.06194 -0.147784 0.269697 1.012394 0.026378 -0.075319 -0.757488 0.647953
1693382240.09508 -0.148616 0.272258 1.017080 0.022799 -0.077870 -0.755569 0.650024
1693382240.12825 -0.150434 0.275107 1.021661 0.020035 -0.079622 -0.754096 0.651612
1693382240.16164 -0.152475 0.278191 1.025656 0.018063 -0.080753 -0.752776 0.653055
1693382240.19502 -0.154788 0.281438 1.029528 0.016945 -0.081558 -0.751947 0.653939
1693382240.22859 -0.156303 0.284911 1.032373 0.016354 -0.081684 -0.751687 0.654238
1693382240.26215 -0.158666 0.288375 1.034412 0.016090 -0.081241 -0.751791 0.654180
1693382240.29572 -0.160899 0.292007 1.036168 0.016081 -0.080385 -0.751679 0.654415
1693382240.32926 -0.163039 0.295730 1.037779 0.017258 -0.078078 -0.751220 0.655191
1693382240.36284 -0.165458 0.299160 1.038789 0.020071 -0.074527 -0.750781 0.656026
1693382240.39641 -0.167456 0.301876 1.039975 0.023882 -0.070104 -0.750528 0.656676
1693382240.42996 -0.169467 0.304699 1.040852 0.027054 -0.066391 -0.749259 0.658386
1693382240.46352 -0.170768 0.307556 1.041672 0.029308 -0.063413 -0.746903 0.661253
1693382240.49709 -0.172074 0.310290 1.042434 0.030994 -0.061346 -0.744516 0.664057
