# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382237.76914 -0.038431 0.054080 0.038596 0.000725 0.029950 -0.724343 0.688789 0.0002030458 0.0000410351 0.0000922516 0.0001149515 -0.0000493474 0.0008762002 0.0066188880 0.0001466697 0.0000615360 0.0059055446 -0.0000840824 0.0028428388
1693382237.79794 0.003478 -0.029167 0.011622 0.005575 0.031790 -0.732799 0.679679 0.0000496986 0.0000038364 -0.0000227003 0.0000227680 -0.0000144995 0.0004682773 0.0027261482 -0.0000221879 -0.0000067891 0.0028229174 0.0000601698 0.0026101515
1693382237.83154 -0.000251 -0.022530 0.021015 0.011992 0.026578 -0.735702 0.676678 0.0000439632 0.0000014906 -0.0000224710 0.0000216552 -0.0000078336 0.0004618617 0.0027049265 -0.0000294397 -0.0000061413 0.0027969626 0.0000580154 0.0026117961
1693382237.86589 -0.007537 -0.012033 0.033509 0.015596 0.022705 -0.738145 0.674079 0.0000353071 -0.0000000302 -0.0000176152 0.0000208806 -0.0000012604 0.0004550434 0.0026894609 -0.0000280244 -0.0000069690 0.0027721657 0.0000593586 0.0026188674
1693382237.89980 -0.007172 -0.001982 0.048053 0.016667 0.016482 -0.741488 0.670557 0.0000274542 -0.0000005276 -0.0000114996 0.0000204574 0.0000006959 0.0004500584 0.0026819265 -0.0000253995 -0.0000080543 0.0027490051 0.0000615899 0.0026265518
1693382237.93379 -0.006929 0.009409 0.064128 0.017434 0.012742 -0.743311 0.668597 0.0000229175 -0.0000004497 -0.0000083607 0.0000199946 0.0000031687 0.0004478671 0.0026824425 -0.0000237903 -0.0000090077 0.0027280155 0.0000642570 0.0026341322
1693382237.96748 -0.005490 0.019449 0.081716 0.017725 0.008606 -0.744520 0.667309 0.0000204162 -0.0000006799 -0.0000061539 0.0000198923 0.0000050548 0.0004470976 0.0026876231 -0.0000237251 -0.0000100690 0.0027111364 0.0000670824 0.0026417614
1693382238.00125 -0.006075 0.030876 0.104270 0.017961 0.006003 -0.745296 0.666465 0.0000174342 -0.0000002737 -0.0000082329 0.0000178591 0.0000064349 0.0004324292 0.0026389790 -0.0000133145 -0.0000036144 0.0026895200 0.0000569696 0.0026236269
1693382238.03492 -0.006480 0.039454 0.123610 0.017943 0.004356 -0.746382 0.665261 0.0000166930 -0.0000004452 -0.0000074003 0.0000178954 0.0000071554 0.0004318008 0.0026394492 -0.0000132842 -0.0000037993 0.0026779678 0.0000587780 0.0026296939
1693382238.06866 -0.011440 0.036223 0.136982 0.014544 0.001718 -0.747485 0.664117 0.0000154322 -0.0000012334 -0.0000058101 0.0000169681 0.0000073098 0.0004298694 0.0026389448 -0.0000173757 -0.0000057940 0.0026599273 0.0000575922 0.0026329016
1693382238.10223 -0.012566 0.043725 0.162125 0.014076 0.002688 -0.749183 0.662208 0.0000134549 -0.0000004786 -0.0000054902 0.0000140912 0.0000075616 0.0004245390 0.0026257969 -0.0000161833 -0.0000106213 0.0026426135 0.0000471426 0.0026143568
1693382238.13543 -0.016562 0.057551 0.184131 0.013849 0.001060 -0.750697 0.660500 0.0000127258 -0.0000008667 -0.0000058282 0.0000137873 0.0000062167 0.0004209034 0.0026131528 -0.0000154746 -0.0000104429 0.0026322753 0.0000465115 0.0026169901
1693382238.16881 -0.009719 0.063626 0.211544 0.012701 0.002495 -0.754943 0.655662 0.0000117865 -0.0000007142 -0.0000067697 0.0000131933 0.0000068480 0.0004160190 0.0025934913 -0.0000101914 -0.0000074285 0.0026239683 0.0000421742 0.0026109493
1693382238.20196 -0.006521 0.066192 0.226973 0.013132 -0.000436 -0.757372 0.652851 0.0000106526 -0.0000010559 -0.0000072351 0.0000115356 0.0000053690 0.0004146088 0.0025892379 -0.0000103746 -0.0000073341 0.0026152265 0.0000391730 0.0026075721
1693382238.23528 -0.007229 0.069972 0.247749 0.015299 -0.000493 -0.760195 0.649514 0.0000105009 -0.0000011189 -0.0000075838 0.0000112613 0.0000082309 0.0004140572 0.0025870187 -0.0000102483 -0.0000072430 0.0026114767 0.0000387132 0.0026090542
1693382238.26864 -0.009377 0.074513 0.267477 0.018219 -0.001234 -0.763071 0.646056 0.0000100722 -0.0000008280 -0.0000093142 0.0000101337 0.0000101370 0.0004133098 0.0025848797 -0.0000089489 -0.0000055359 0.0026022816 0.0000294827 0.0025970687
1693382238.30201 -0.010740 0.078690 0.287413 0.021288 -0.002044 -0.766695 0.641655 0.0000100203 -0.0000009723 -0.0000107861 0.0000100843 0.0000120377 0.0004129147 0.0025832465 -0.0000085135 -0.0000052482 0.0025992390 0.0000290874 0.0025988630
1693382238.33536 -0.012475 0.084849 0.309353 0.023490 -0.003499 -0.770430 0.637082 0.0000098684 -0.0000011053 -0.0000108251 0.0000100657 0.0000141607 0.0004125463 0.0025818835 -0.0000080455 -0.0000048929 0.0025960943 0.0000283194 0.0026003782
1693382238.36870 -0.013163 0.092000 0.333600 0.025993 -0.004270 -0.774053 0.632573 0.0000095750 -0.0000011877 -0.0000118335 0.0000098917 0.0000158727 0.0004119245 0.0025808706 -0.0000075779 -0.0000046754 0.0025927945 0.0000272469 0.0026016315
1693382238.40200 -0.014480 0.095687 0.351750 0.025920 -0.005978 -0.777355 0.628500 0.0000088858 -0.0000011340 -0.0000123614 0.0000091375 0.0000169986 0.0004109934 0.0025799128 -0.0000065242 -0.0000033726 0.0025867086 0.0000209327 0.0025936125
1693382238.43532 -0.016127 0.102186 0.375864 0.024515 -0.007766 -0.781103 0.623873 0.0000086521 -0.0000009790 -0.0000100160 0.0000090202 0.0000170074 0.0004109750 0.0025791692 -0.0000060807 -0.0000030606 0.0025841552 0.0000199137 0.0025943228
1693382238.46858 -0.017433 0.107229 0.398814 0.023493 -0.008868 -0.784432 0.619706 0.0000082751 -0.0000008703 -0.0000091465 0.0000085607 0.0000164405 0.0004105490 0.0025786250 -0.0000053578 -0.0000024081 0.0025806048 0.0000168067 0.0025909329
1693382238.50178 -0.019004 0.114116 0.425031 0.021510 -0.010067 -0.786058 0.617696 0.0000079906 -0.0000007557 -0.0000068057 0.0000084194 0.0000165759 0.0004103489 0.0025783034 -0.0000048895 -0.0000021906 0.0025783870 0.0000157762 0.0025914244
1693382238.53502 -0.021219 0.120142 0.450629 0.019791 -0.009990 -0.786129 0.617665 0.0000077560 -0.0000006822 -0.0000063169 0.0000081066 0.0000155608 0.0004102003 0.0025782220 -0.0000044536 -0.0000020059 0.0025762651 0.0000146827 0.0025916717
1693382238.56832 -0.024285 0.127074 0.476588 0.016122 -0.009704 -0.785833 0.618152 0.0000075567 -0.0000005635 -0.0000038978 0.0000079062 0.0000139352 0.0004101699 0.0025781929 -0.0000039769 -0.0000017862 0.0025744851 0.0000137648 0.0025923081
1693382238.60162 -0.027101 0.133349 0.502665 0.011387 -0.008824 -0.785780 0.618339 0.0000073522 -0.0000004596 -0.0000018965 0.0000075825 0.0000112181 0.0004101334 0.0025783783 -0.0000034791 -0.0000015971 0.0025727823 0.0000127533 0.0025926551
1693382238.63495 -0.030555 0.139837 0.529829 0.007756 -0.007266 -0.785561 0.618693 0.0000070217 -0.0000003155 -0.0000003167 0.0000072443 0.0000087975 0.0004098217 0.0025784799 -0.0000030005 -0.0000015525 0.0025709457 0.0000106787 0.0025897053
1693382238.66823 -0.034459 0.148065 0.560327 0.004684 -0.007650 -0.785930 0.618250 0.0000068969 -0.0000002203 0.0000020704 0.0000070363 0.0000079609 0.0004096466 0.0025788121 -0.0000024968 -0.0000014074 0.0025695296 0.0000092622 0.0025883452
1693382238.70149 -0.038779 0.153762 0.585449 0.006132 -0.008243 -0.786035 0.618097 0.0000068587 -0.0000002515 0.0000008866 0.0000070136 0.0000085963 0.0004095305 0.0025794652 -0.0000019406 -0.0000013536 0.0025685596 0.0000085708 0.0025888149
1693382238.73473 -0.043794 0.160394 0.610276 0.008610 -0.010423 -0.786732 0.617147 0.0000068160 -0.0000002652 0.0000007626 0.0000070973 0.0000113511 0.0004093240 0.0025800176 -0.0000013424 -0.0000012793 0.0025677776 0.0000079331 0.0025893367
1693382238.76805 -0.048377 0.166737 0.634950 0.013040 -0.012072 -0.788087 0.615307 0.0000067882 -0.0000003415 -0.0000013938 0.0000072823 0.0000145395 0.0004090830 0.0025808375 -0.0000006690 -0.0000012539 0.0025671675 0.0000073677 0.0025899921
1693382238.80132 -0.052957 0.173917 0.659125 0.017368 -0.014184 -0.789382 0.613493 0.0000067617 -0.0000004255 -0.0000027434 0.0000075196 0.0000181606 0.0004087430 0.0025817997 0.0000000236 -0.0000011946 0.0025666321 0.0000067469 0.0025904871
1693382238.83469 -0.057219 0.180973 0.682882 0.020391 -0.016185 -0.790966 0.611306 0.0000067247 -0.0000004982 -0.0000037643 0.0000077106 0.0000207762 0.0004084605 0.0025830357 0.0000007261 -0.0000011512 0.0025662144 0.0000061664 0.0025909165
1693382238.86803 -0.061052 0.187303 0.702936 0.022565 -0.017423 -0.792137 0.609677 0.0000066417 -0.0000005534 -0.0000048629 0.0000078076 0.0000223930 0.0004081441 0.0025842119 0.0000014532 -0.0000011102 0.0025658021 0.0000052679 0.0025902614
1693382238.90132 -0.065045 0.193820 0.723334 0.023909 -0.017074 -0.793737 0.607551 0.0000066018 -0.0000006371 -0.0000061107 0.0000078454 0.0000230817 0.0004079908 0.0025854428 0.0000021114 -0.0000011075 0.0025655436 0.0000046886 0.0025905154
1693382238.93468 -0.069303 0.199650 0.741152 0.025596 -0.016163 -0.795414 0.605310 0.0000065326 -0.0000007238 -0.0000076892 0.0000077597 0.0000231221 0.0004077586 0.0025865102 0.0000027865 -0.0000011649 0.0025653561 0.0000039622 0.0025899616
1693382238.96802 -0.074005 0.205700 0.759739 0.027633 -0.016921 -0.797053 0.603040 0.0000064369 -0.0000007567 -0.0000084370 0.0000078451 0.0000246212 0.0004074894 0.0025877767 0.0000035092 -0.0000012000 0.0025653058 0.0000034125 0.0025896479
1693382239.00121 -0.079392 0.211285 0.776668 0.030995 -0.018856 -0.796535 0.603503 0.0000064278 -0.0000009073 -0.0000096891 0.0000081972 0.0000275696 0.0004070069 0.0025890454 0.0000042757 -0.0000012929 0.0025653669 0.0000029232 0.0025898249
