# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.769140958786011,0.00645,0.00014,0.00043,0.00000,0.00000,0.00142,0.00845
1693382237.797935485839844,0.00378,0.00009,0.00141,0.00000,0.00230,0.00154,0.00912
1693382237.831538915634155,0.00419,0.00012,0.00002,0.00031,0.00000,0.00201,0.00666
1693382237.865892648696899,0.00313,0.00016,0.00002,0.00032,0.00000,0.00178,0.00542
1693382237.899796724319458,0.00390,0.00020,0.00009,0.00031,0.00001,0.00169,0.00619
1693382237.933787584304810,0.00331,0.00015,0.00006,0.00033,0.00000,0.00169,0.00554
1693382237.967479705810547,0.00601,0.00015,0.00006,0.00033,0.00000,0.00175,0.00830
1693382238.001247882843018,0.00550,0.00017,0.00020,0.00032,0.00000,0.00176,0.00795
1693382238.034919500350952,0.00336,0.00016,0.00003,0.00035,0.00000,0.00195,0.00586
1693382238.068664073944092,0.00792,0.00030,0.00056,0.00063,0.00228,0.00292,0.01461
1693382238.102230548858643,0.00358,0.00015,0.00058,0.00044,0.00507,0.00195,0.01178
1693382238.135434389114380,0.01343,0.00072,0.00136,0.00539,0.00541,0.00343,0.02974
1693382238.168810844421387,0.00476,0.00017,0.00054,0.00146,0.00109,0.00214,0.01017
1693382238.201962709426880,0.00352,0.00018,0.00025,0.00173,0.01891,0.00168,0.02627
1693382238.235283136367798,0.00332,0.00019,0.00061,0.00407,0.00000,0.00218,0.01036
1693382238.268642187118530,0.00356,0.00024,0.00056,0.00365,0.00198,0.00199,0.01198
1693382238.302009582519531,0.00469,0.00023,0.00008,0.00364,0.00221,0.00195,0.01280
1693382238.335361480712891,0.00396,0.00019,0.00046,0.00399,0.00133,0.00202,0.01195
1693382238.368696689605713,0.00393,0.00022,0.00078,0.00393,0.00220,0.00195,0.01300
1693382238.401997089385986,0.00648,0.00025,0.00094,0.00447,0.00341,0.00171,0.01726
1693382238.435320138931274,0.00443,0.00021,0.00086,0.00509,0.00000,0.00171,0.01231
1693382238.468579292297363,0.00583,0.00020,0.00085,0.00447,0.00241,0.00187,0.01564
1693382238.501775026321411,0.00314,0.00021,0.00068,0.00476,0.00144,0.00192,0.01214
1693382238.535017967224121,0.01401,0.00048,0.00008,0.00994,0.00470,0.00215,0.03136
1693382238.568320035934448,0.00300,0.00024,0.00009,0.00583,0.00000,0.00204,0.01122
1693382238.601622104644775,0.00364,0.00022,0.00020,0.00581,0.00294,0.00206,0.01488
1693382238.634945869445801,0.00470,0.00040,0.00202,0.00634,0.00418,0.00282,0.02046
1693382238.668228626251221,0.00490,0.00021,0.00246,0.00626,0.00000,0.00208,0.01591
1693382238.701486349105835,0.00394,0.00024,0.00097,0.00561,0.00001,0.00213,0.01290
1693382238.734728097915649,0.00378,0.00022,0.00014,0.00562,0.00171,0.00229,0.01377
1693382238.768046617507935,0.00392,0.00025,0.00058,0.00567,0.00067,0.00225,0.01334
1693382238.801321029663086,0.00387,0.00020,0.00096,0.00509,0.00150,0.00226,0.01388
1693382238.834686756134033,0.00330,0.00021,0.00041,0.00561,0.00152,0.00226,0.01332
1693382238.868028879165649,0.00398,0.00022,0.00058,0.00568,0.00285,0.00204,0.01535
1693382238.901319265365601,0.01216,0.00061,0.00517,0.01219,0.00525,0.00288,0.03825
1693382238.934682369232178,0.00341,0.00021,0.00152,0.00523,0.00085,0.00283,0.01405
1693382238.968024969100952,0.00353,0.00023,0.00117,0.00534,0.00227,0.00186,0.01440
1693382239.001206874847412,0.00358,0.00022,0.00010,0.00579,0.00142,0.00193,0.01304
1693382239.034520864486694,0.00344,0.00022,0.00267,0.00542,0.00242,0.00187,0.01605
1693382239.067859411239624,0.00353,0.00025,0.00465,0.00607,0.00001,0.00237,0.01689
1693382239.100999116897583,0.00362,0.00021,0.00264,0.00573,0.00029,0.00228,0.01478
1693382239.134329795837402,0.00349,0.00023,0.00272,0.00580,0.00284,0.00178,0.01686
1693382239.167507171630859,0.00360,0.00029,0.00095,0.00600,0.00161,0.00184,0.01430
1693382239.200623035430908,0.00464,0.00023,0.00229,0.00597,0.00275,0.00217,0.01804
1693382239.233768224716187,0.00492,0.00024,0.00077,0.00655,0.00004,0.00183,0.01436
1693382239.266920089721680,0.00325,0.00023,0.00218,0.00668,0.00147,0.00184,0.01565
1693382239.300069332122803,0.00423,0.00023,0.00309,0.00697,0.00000,0.00218,0.01670
1693382239.333211898803711,0.00372,0.00027,0.00046,0.00702,0.00000,0.00188,0.01335
1693382239.366323947906494,0.00608,0.00024,0.00321,0.00689,0.00000,0.00206,0.01847
1693382239.399475574493408,0.00325,0.00024,0.00206,0.00690,0.00000,0.00208,0.01453
1693382239.432673454284668,0.00341,0.00022,0.00272,0.00685,0.00000,0.00200,0.01520
1693382239.465880870819092,0.00352,0.00023,0.00353,0.00710,0.00000,0.00224,0.01662
1693382239.498985052108765,0.00335,0.00028,0.00064,0.00701,0.00001,0.00212,0.01342
1693382239.532045841217041,0.00354,0.00021,0.00352,0.00695,0.00144,0.00178,0.01743
1693382239.565096855163574,0.00400,0.00026,0.00251,0.00728,0.00000,0.00216,0.01622
1693382239.598146200180054,0.00318,0.00022,0.00485,0.00717,0.00000,0.00201,0.01744
1693382239.631098031997681,0.00426,0.00022,0.00012,0.00711,0.00000,0.00181,0.01352
1693382239.664149284362793,0.00325,0.00024,0.00135,0.00730,0.00000,0.00195,0.01409
1693382239.697281122207642,0.00343,0.00021,0.00320,0.00791,0.00000,0.00191,0.01666
1693382239.730509042739868,0.00487,0.00025,0.00009,0.00680,0.00001,0.00184,0.01385
1693382239.763724088668823,0.00368,0.00025,0.00161,0.00674,0.00137,0.00192,0.01557
1693382239.796898365020752,0.00303,0.00022,0.00137,0.00720,0.00000,0.00202,0.01384
1693382239.830070972442627,0.01168,0.00066,0.00911,0.01349,0.00000,0.00243,0.03737
1693382239.863229990005493,0.00389,0.00039,0.00378,0.00707,0.00000,0.00191,0.01704
1693382239.896363735198975,0.00367,0.00029,0.00059,0.00691,0.00007,0.00218,0.01371
1693382239.929440975189209,0.00320,0.00022,0.00391,0.00700,0.00147,0.00203,0.01783
1693382239.962568044662476,0.00381,0.00023,0.00244,0.00738,0.00000,0.00191,0.01578
1693382239.995664834976196,0.00325,0.00020,0.00420,0.00756,0.00000,0.00256,0.01778
1693382240.028802871704102,0.00438,0.00027,0.00004,0.00691,0.00006,0.00202,0.01368
1693382240.061939239501953,0.00327,0.00021,0.00016,0.00672,0.00004,0.00210,0.01249
1693382240.095080614089966,0.00545,0.00023,0.00257,0.00687,0.00142,0.00214,0.01869
1693382240.128251552581787,0.00392,0.00040,0.00019,0.00738,0.00008,0.00210,0.01407
1693382240.161638259887695,0.00674,0.00021,0.00150,0.00669,0.00027,0.00210,0.01751
1693382240.195019483566284,0.00416,0.00024,0.00178,0.00639,0.00016,0.00193,0.01465
1693382240.228587627410889,0.00336,0.00022,0.00127,0.00605,0.00021,0.00219,0.01330
1693382240.262152194976807,0.00380,0.00023,0.00292,0.00633,0.00147,0.00203,0.01678
1693382240.295715332031250,0.00754,0.00021,0.00036,0.00670,0.00013,0.00209,0.01702
1693382240.329263925552368,0.00341,0.00022,0.00145,0.00690,0.00128,0.00178,0.01504
1693382240.362840890884399,0.00365,0.00026,0.00032,0.00669,0.00152,0.00210,0.01456
1693382240.396405458450317,0.00299,0.00020,0.00331,0.00663,0.00000,0.00225,0.01538
1693382240.429961204528809,0.00487,0.00023,0.00063,0.00711,0.00000,0.00194,0.01478
1693382240.463517665863037,0.00520,0.00027,0.00133,0.00670,0.00000,0.00195,0.01545
1693382240.497089862823486,0.00464,0.00020,0.00129,0.00691,0.00000,0.00195,0.01499
1693382240.530651807785034,0.00333,0.00025,0.00039,0.00700,0.00021,0.00193,0.01313
1693382240.564213514328003,0.00371,0.00023,0.00545,0.00660,0.00009,0.00215,0.01824
1693382240.597797155380249,0.00339,0.00022,0.00149,0.00645,0.00017,0.00214,0.01387
1693382240.631394147872925,0.00345,0.00034,0.00134,0.00627,0.00019,0.00195,0.01356
1693382240.664992094039917,0.00348,0.00026,0.00252,0.00592,0.00144,0.00206,0.01568
1693382240.698566198348999,0.01128,0.00048,0.00335,0.01137,0.00038,0.00244,0.02931
1693382240.732126951217651,0.00359,0.00022,0.00031,0.00658,0.00015,0.00193,0.01278
1693382240.765686750411987,0.00374,0.00029,0.00019,0.00595,0.00000,0.00200,0.01219
1693382240.799264669418335,0.00400,0.00021,0.00153,0.00559,0.00033,0.00235,0.01400
1693382240.832845449447632,0.00366,0.00029,0.00033,0.00553,0.00043,0.00195,0.01220
1693382240.866434812545776,0.00514,0.00020,0.00008,0.00557,0.00000,0.00194,0.01293
1693382240.900027275085449,0.00846,0.00020,0.00013,0.00555,0.00144,0.00243,0.01821
1693382240.933627843856812,0.00400,0.00035,0.00072,0.00574,0.00239,0.00256,0.01576
1693382240.967257022857666,0.00334,0.00024,0.00245,0.00548,0.00303,0.00229,0.01683
1693382241.000838041305542,0.00673,0.00020,0.00025,0.00570,0.00024,0.00210,0.01522
1693382241.034419059753418,0.00378,0.00021,0.00012,0.00547,0.00041,0.00207,0.01205
1693382241.067991495132446,0.00374,0.00023,0.00007,0.00516,0.00010,0.00199,0.01130
1693382241.101585149765015,0.00451,0.00027,0.00023,0.00584,0.00175,0.00230,0.01491
1693382241.135154247283936,0.00529,0.00019,0.00002,0.00546,0.00015,0.00217,0.01329
1693382241.168708562850952,0.00401,0.00025,0.00243,0.00514,0.00559,0.00187,0.01929
1693382241.202295541763306,0.00382,0.00032,0.00025,0.00599,0.00274,0.00223,0.01534
1693382241.235441207885742,0.00513,0.00022,0.00015,0.00623,0.00023,0.00205,0.01401
1693382241.268580198287964,0.00362,0.00022,0.00014,0.00628,0.00001,0.00224,0.01251
1693382241.301712274551392,0.00330,0.00020,0.00002,0.00631,0.00010,0.00191,0.01184
