# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1691329965.05695 -0.096643 0.091284 0.025027 -0.011021 0.007248 -0.995310 0.095836 0.0002920291 0.0001021104 0.0001049123 0.0003455426 -0.0000681562 0.0008751732 0.0058859262 -0.0016231026 0.0003028819 0.0049829827 -0.0000693800 0.0027946549
1691329965.08559 -0.039832 0.045964 0.011943 -0.022445 0.019620 -0.994639 0.099014 0.0000430920 -0.0000030047 0.0000242459 0.0000327868 -0.0000065639 0.0005213170 0.0026140981 0.0000050562 0.0000326563 0.0026466471 0.0000041270 0.0025689139
1691329965.11908 -0.040419 0.046268 0.013978 -0.020306 0.014880 -0.994165 0.104891 0.0000313849 -0.0000044618 0.0000270545 0.0000318522 -0.0000189815 0.0005054951 0.0026036274 0.0000060957 0.0000302331 0.0026339098 0.0000037287 0.0025673007
1691329965.15202 -0.037734 0.043329 0.019394 -0.017712 0.009672 -0.993375 0.113133 0.0000248910 -0.0000044598 0.0000211088 0.0000289872 -0.0000148429 0.0004904567 0.0025946679 0.0000073752 0.0000256147 0.0026199325 0.0000042312 0.0025633938
1691329965.18476 -0.034846 0.040865 0.026179 -0.015194 0.005694 -0.992735 0.119224 0.0000199011 -0.0000039313 0.0000162797 0.0000255837 -0.0000104530 0.0004763390 0.0025867607 0.0000076547 0.0000211940 0.0026068754 0.0000041592 0.0025596335
1691329965.21722 -0.031590 0.038767 0.032413 -0.013842 0.003872 -0.992244 0.123473 0.0000164920 -0.0000035072 0.0000138507 0.0000224291 -0.0000078703 0.0004643456 0.0025799358 0.0000076977 0.0000173475 0.0025961397 0.0000036930 0.0025562731
1691329965.25011 -0.028581 0.039942 0.038710 -0.015827 0.002598 -0.991826 0.126587 0.0000149714 -0.0000032524 0.0000147932 0.0000201249 -0.0000061456 0.0004551529 0.0025744504 0.0000071935 0.0000141018 0.0025882390 0.0000031030 0.0025536091
1691329965.28330 -0.025791 0.040443 0.046361 -0.018866 0.002145 -0.991482 0.128851 0.0000137862 -0.0000029506 0.0000177311 0.0000181567 -0.0000057480 0.0004475812 0.0025700475 0.0000065509 0.0000114639 0.0025815096 0.0000025726 0.0025515646
1691329965.31678 -0.020349 0.031848 0.058683 -0.020998 0.000847 -0.991776 0.126245 0.0000125222 -0.0000033136 0.0000212162 0.0000152992 -0.0000070663 0.0004308076 0.0025645690 0.0000051224 0.0000078786 0.0025685443 0.0000012923 0.0025484123
1691329965.35049 -0.016131 0.038242 0.071041 -0.021555 0.001103 -0.991252 0.130204 0.0000115492 -0.0000027067 0.0000207931 0.0000128793 -0.0000049968 0.0004251692 0.0025601114 0.0000046852 0.0000052747 0.0025633831 0.0000010639 0.0025455841
1691329965.38409 -0.015222 0.039702 0.080758 -0.023166 0.000976 -0.990997 0.131858 0.0000111359 -0.0000027352 0.0000207932 0.0000122874 -0.0000057201 0.0004234530 0.0025577303 0.0000045030 0.0000042611 0.0025607981 0.0000008260 0.0025450454
1691329965.41760 -0.016170 0.040891 0.089521 -0.024357 0.000180 -0.990902 0.132364 0.0000106219 -0.0000022760 0.0000211500 0.0000110242 -0.0000045190 0.0004204991 0.0025551973 0.0000042276 0.0000030831 0.0025579265 0.0000006069 0.0025441961
1691329965.45111 -0.017029 0.044013 0.098759 -0.024378 -0.000161 -0.990834 0.132870 0.0000100909 -0.0000019154 0.0000210030 0.0000101454 -0.0000037442 0.0004187186 0.0025531639 0.0000040882 0.0000021285 0.0025558157 0.0000002877 0.0025435054
1691329965.48464 -0.017411 0.045650 0.108614 -0.026145 -0.001973 -0.990957 0.131594 0.0000092315 -0.0000011835 0.0000222559 0.0000084941 -0.0000017838 0.0004157587 0.0025506110 0.0000041353 0.0000008988 0.0025534684 0.0000001551 0.0025423548
1691329965.51798 -0.020116 0.049726 0.116979 -0.029193 -0.004879 -0.990792 0.132120 0.0000087891 -0.0000008540 0.0000236944 0.0000080695 0.0000005952 0.0004138807 0.0025490990 0.0000040099 0.0000003230 0.0025517923 -0.0000000468 0.0025419136
1691329965.55139 -0.022129 0.053670 0.125261 -0.030643 -0.007704 -0.990653 0.132693 0.0000087328 -0.0000006361 0.0000250262 0.0000078655 0.0000025818 0.0004128313 0.0025482078 0.0000039724 -0.0000000624 0.0025506215 -0.0000002001 0.0025416148
