# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1691329965.056953668594360,0.00409,0.00017,0.00063,0.00000,0.00000,0.00202,0.00691
1691329965.085591316223145,0.00449,0.00012,0.00205,0.00000,0.00444,0.00205,0.01315
1691329965.119081974029541,0.00343,0.00016,0.00002,0.00053,0.00000,0.00154,0.00569
1691329965.152024984359741,0.00331,0.00015,0.00006,0.00053,0.00000,0.00190,0.00595
1691329965.184755563735962,0.00333,0.00014,0.00012,0.00054,0.00009,0.00177,0.00600
1691329965.217223644256592,0.00292,0.00015,0.00007,0.00070,0.00000,0.00185,0.00570
1691329965.250106334686279,0.00611,0.00014,0.00022,0.00061,0.00000,0.00173,0.00882
1691329965.283296823501587,0.00516,0.00018,0.00012,0.00053,0.00000,0.00195,0.00794
1691329965.316784620285034,0.00380,0.00015,0.00040,0.00035,0.00415,0.00173,0.01059
1691329965.350494384765625,0.00333,0.00020,0.00022,0.00071,0.00304,0.00211,0.00961
1691329965.384089231491089,0.00363,0.00017,0.00023,0.00086,0.00011,0.00180,0.00680
1691329965.417601346969604,0.00350,0.00015,0.00007,0.00068,0.00101,0.00181,0.00723
1691329965.451107025146484,0.00425,0.00016,0.00069,0.00071,0.00135,0.00196,0.00913
1691329965.484642982482910,0.00391,0.00018,0.00045,0.00063,0.01479,0.00175,0.02172
1691329965.517978191375732,0.00424,0.00019,0.00032,0.00201,0.00402,0.00171,0.01248
1691329965.551391124725342,0.00391,0.00018,0.00051,0.00257,0.00027,0.00171,0.00915
1691329965.584659099578857,0.00342,0.00020,0.00045,0.00205,0.00026,0.00163,0.00802
1691329965.618032455444336,0.00340,0.00022,0.00024,0.00261,0.00030,0.00185,0.00861
1691329965.651632308959961,0.00342,0.00019,0.00023,0.00230,0.00015,0.00190,0.00818
1691329965.685182094573975,0.00326,0.00020,0.00015,0.00221,0.00107,0.00191,0.00880
1691329965.718029260635376,0.00341,0.00019,0.00045,0.00219,0.00052,0.00190,0.00865
1691329965.751211166381836,0.00368,0.00018,0.00044,0.00184,0.00069,0.00257,0.00938
1691329965.784574270248413,0.00441,0.00017,0.00057,0.00118,0.00157,0.00171,0.00960
1691329965.817989110946655,0.00377,0.00019,0.00087,0.00109,0.00163,0.00349,0.01102
1691329965.851402997970581,0.00431,0.00031,0.00052,0.00154,0.00189,0.00228,0.01085
1691329965.884771108627319,0.00435,0.00017,0.00109,0.00128,0.00138,0.00200,0.01027
1691329965.918510675430298,0.00357,0.00016,0.00041,0.00117,0.00259,0.00265,0.01055
1691329965.952066659927368,0.00379,0.00016,0.00028,0.00143,0.00089,0.00201,0.00857
1691329965.985648155212402,0.00358,0.00016,0.00044,0.00137,0.00056,0.00187,0.00797
1691329966.019147157669067,0.00341,0.00018,0.00045,0.00130,0.00045,0.00209,0.00788
1691329966.052512407302856,0.00359,0.00018,0.00067,0.00108,0.00015,0.00211,0.00779
1691329966.085989236831665,0.00350,0.00026,0.00059,0.00106,0.00011,0.00191,0.00743
1691329966.119402647018433,0.00367,0.00016,0.00010,0.00104,0.00334,0.00183,0.01015
1691329966.152750015258789,0.00289,0.00016,0.00048,0.00171,0.00009,0.00225,0.00758
1691329966.185913324356079,0.00378,0.00014,0.00033,0.00154,0.00358,0.00181,0.01118
1691329966.219071626663208,0.00327,0.00018,0.00014,0.00211,0.00349,0.00183,0.01103
1691329966.252250909805298,0.01034,0.00056,0.00081,0.00706,0.00656,0.00350,0.02882
1691329966.285424709320068,0.00432,0.00018,0.00006,0.00305,0.00697,0.00269,0.01727
1691329966.318599462509155,0.00362,0.00018,0.00015,0.00285,0.00613,0.00221,0.01514
1691329966.351893186569214,0.00659,0.00038,0.00033,0.00605,0.00692,0.00291,0.02317
1691329966.385163545608521,0.00358,0.00020,0.00062,0.00407,0.00243,0.00199,0.01289
1691329966.418452978134155,0.00374,0.00019,0.00038,0.00477,0.00192,0.00204,0.01304
1691329966.451794147491455,0.00376,0.00021,0.00028,0.00457,0.00098,0.00229,0.01208
1691329966.485139608383179,0.00396,0.00027,0.00109,0.00452,0.00269,0.00187,0.01440
1691329966.518491268157959,0.00482,0.00019,0.00036,0.00481,0.00179,0.00198,0.01395
1691329966.551805496215820,0.00350,0.00022,0.00186,0.00476,0.00029,0.00199,0.01264
1691329966.585122585296631,0.00343,0.00020,0.00036,0.00517,0.00019,0.00203,0.01139
1691329966.618399381637573,0.00349,0.00023,0.00013,0.00443,0.00118,0.00185,0.01131
1691329966.651717662811279,0.00366,0.00020,0.00102,0.00413,0.00007,0.00261,0.01169
1691329966.684999465942383,0.00382,0.00018,0.00027,0.00386,0.00679,0.00257,0.01749
1691329966.718267917633057,0.00297,0.00019,0.00035,0.00492,0.00071,0.00185,0.01100
1691329966.751553773880005,0.00352,0.00023,0.00110,0.00413,0.00033,0.00192,0.01123
1691329966.784912347793579,0.00334,0.00019,0.00062,0.00369,0.00377,0.00224,0.01385
1691329966.818265199661255,0.00768,0.00021,0.00024,0.00483,0.00314,0.00198,0.01808
1691329966.851620674133301,0.00319,0.00019,0.00011,0.00486,0.00849,0.00262,0.01947
