# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1691329965.09272 0.026307 0.026778 0.015428 -0.017986 0.006368 -0.994773 0.100315 0.0001998310 0.0001019753 0.0000478037 0.0003707046 -0.0000646249 0.0008580636 0.0067126377 -0.0011077501 0.0004186087 0.0033782584 -0.0001097430 0.0027514168
1691329965.12138 -0.016643 0.034338 0.016334 -0.012958 0.012007 -0.994119 0.106843 0.0000288618 -0.0000036287 0.0000211592 0.0000309219 -0.0000095327 0.0004868192 0.0026121100 0.0000039204 0.0000334237 0.0026258526 0.0000007548 0.0025655284
1691329965.15382 -0.011990 0.032519 0.022636 -0.010560 0.007362 -0.993315 0.114719 0.0000248376 -0.0000042364 0.0000141779 0.0000282394 -0.0000125509 0.0004773599 0.0025975649 0.0000094132 0.0000234766 0.0026094855 0.0000057199 0.0025573070
1691329965.18641 -0.009974 0.032803 0.028071 -0.008611 0.003329 -0.992469 0.122151 0.0000209705 -0.0000040217 0.0000109639 0.0000257011 -0.0000080709 0.0004698938 0.0025890875 0.0000102783 0.0000199722 0.0025995992 0.0000061489 0.0025552210
1691329965.21887 -0.007789 0.032173 0.033690 -0.007779 0.001249 -0.991890 0.126858 0.0000177523 -0.0000038563 0.0000102255 0.0000228382 -0.0000049713 0.0004626149 0.0025817045 0.0000107379 0.0000167443 0.0025916370 0.0000060343 0.0025532727
1691329965.25183 -0.005464 0.033794 0.040517 -0.009171 0.000226 -0.991549 0.129404 0.0000155447 -0.0000033855 0.0000116720 0.0000203728 -0.0000024634 0.0004560557 0.0025760085 0.0000100852 0.0000140597 0.0025853805 0.0000053591 0.0025517026
1691329965.28495 -0.003908 0.034935 0.048023 -0.012147 -0.000178 -0.991228 0.131606 0.0000139477 -0.0000029010 0.0000139287 0.0000182627 -0.0000019507 0.0004497749 0.0025712224 0.0000091890 0.0000116728 0.0025800814 0.0000047397 0.0025502851
1691329965.31846 -0.001897 0.040267 0.057612 -0.015821 0.000151 -0.990699 0.135147 0.0000137076 -0.0000027896 0.0000170745 0.0000171388 -0.0000018583 0.0004462220 0.0025673698 0.0000084812 0.0000098686 0.0025767384 0.0000042276 0.0025492803
1691329965.35177 0.001282 0.048787 0.070463 -0.016031 0.002151 -0.990386 0.137385 0.0000119126 -0.0000023671 0.0000167460 0.0000136969 -0.0000016354 0.0004315589 0.0025613180 0.0000079163 0.0000062078 0.0025668451 0.0000042496 0.0025453472
1691329965.38526 0.001091 0.052707 0.080996 -0.017604 0.002495 -0.990018 0.139814 0.0000114168 -0.0000022653 0.0000163116 0.0000128924 -0.0000038125 0.0004290848 0.0025586960 0.0000071243 0.0000051078 0.0025636512 0.0000038068 0.0025448153
1691329965.41877 -0.000496 0.055912 0.091088 -0.018602 0.001808 -0.989778 0.141387 0.0000111640 -0.0000023185 0.0000168384 0.0000124157 -0.0000039381 0.0004273417 0.0025564308 0.0000066681 0.0000042367 0.0025609707 0.0000034675 0.0025444406
1691329965.45211 -0.001991 0.058893 0.102154 -0.017883 0.002009 -0.989826 0.141142 0.0000101849 -0.0000019456 0.0000161164 0.0000114590 -0.0000031226 0.0004248077 0.0025541753 0.0000062847 0.0000032417 0.0025584732 0.0000031528 0.0025438909
1691329965.48549 -0.004629 0.061430 0.112676 -0.019818 0.000384 -0.989887 0.140465 0.0000098859 -0.0000016144 0.0000171073 0.0000106517 -0.0000016337 0.0004215948 0.0025522772 0.0000058759 0.0000023744 0.0025561172 0.0000028961 0.0025433322
1691329965.51897 -0.009895 0.061242 0.120231 -0.023267 -0.003621 -0.990014 0.138988 0.0000088568 -0.0000008242 0.0000185802 0.0000084767 0.0000000450 0.0004171693 0.0025496334 0.0000049015 0.0000007822 0.0025530887 0.0000019735 0.0025418973
1691329965.55246 -0.013136 0.064752 0.129909 -0.024314 -0.006651 -0.989932 0.139284 0.0000087908 -0.0000005865 0.0000203692 0.0000081924 0.0000028953 0.0004159415 0.0025484944 0.0000047876 0.0000003272 0.0025517116 0.0000017397 0.0025415632
1691329965.58547 -0.016751 0.068911 0.139657 -0.022858 -0.008653 -0.990042 0.138635 0.0000083405 -0.0000004081 0.0000192149 0.0000079190 0.0000053975 0.0004148306 0.0025475868 0.0000046504 -0.0000001373 0.0025505074 0.0000015480 0.0025411893
1691329965.61874 -0.020617 0.072222 0.148687 -0.019428 -0.010340 -0.989982 0.139466 0.0000078862 -0.0000003426 0.0000162940 0.0000075322 0.0000061425 0.0004139540 0.0025469913 0.0000045436 -0.0000004985 0.0025494656 0.0000013609 0.0025408440
1691329965.65228 -0.024338 0.076274 0.157201 -0.016568 -0.011615 -0.990007 0.139560 0.0000074561 -0.0000003159 0.0000140674 0.0000073282 0.0000077182 0.0004134890 0.0025465068 0.0000044895 -0.0000008251 0.0025485286 0.0000011475 0.0025404696
1691329965.68573 -0.027563 0.080933 0.165839 -0.014818 -0.012796 -0.990148 0.138647 0.0000071664 -0.0000002047 0.0000128921 0.0000069612 0.0000086174 0.0004128532 0.0025462002 0.0000044410 -0.0000011181 0.0025477635 0.0000009712 0.0025401114
1691329965.71830 -0.029789 0.087024 0.175474 -0.016563 -0.013393 -0.990267 0.137544 0.0000071789 -0.0000000639 0.0000152163 0.0000068162 0.0000093677 0.0004121037 0.0025460854 0.0000044280 -0.0000013375 0.0025471348 0.0000008331 0.0025398237
1691329965.75141 -0.031983 0.092947 0.184288 -0.022976 -0.013667 -0.990308 0.136289 0.0000075036 0.0000001095 0.0000201867 0.0000066750 0.0000087061 0.0004112143 0.0025461425 0.0000044208 -0.0000015090 0.0025466045 0.0000007367 0.0025396107
1691329965.78474 -0.034163 0.099409 0.193286 -0.031297 -0.009967 -0.990339 0.134723 0.0000082180 0.0000000700 0.0000263785 0.0000064933 0.0000048938 0.0004104248 0.0025463076 0.0000044458 -0.0000016709 0.0025461816 0.0000006891 0.0025394716
1691329965.81815 -0.036330 0.105973 0.202560 -0.040577 -0.002549 -0.990471 0.131585 0.0000092086 -0.0000003217 0.0000329728 0.0000063142 -0.0000017745 0.0004092962 0.0025465552 0.0000045035 -0.0000018251 0.0025458080 0.0000006440 0.0025393184
1691329965.85165 -0.038751 0.111870 0.210951 -0.050738 0.006223 -0.990547 0.127295 0.0000103594 -0.0000010392 0.0000396569 0.0000063115 -0.0000098446 0.0004075727 0.0025468730 0.0000045813 -0.0000019800 0.0025454988 0.0000005843 0.0025391160
1691329965.88507 -0.040891 0.118407 0.219981 -0.059350 0.014774 -0.990592 0.122421 0.0000117931 -0.0000020511 0.0000461764 0.0000067717 -0.0000172318 0.0004055552 0.0025472449 0.0000046854 -0.0000021001 0.0025453051 0.0000005709 0.0025390170
1691329965.91856 -0.043245 0.125657 0.228509 -0.065751 0.020913 -0.990665 0.117567 0.0000127077 -0.0000029285 0.0000504732 0.0000072100 -0.0000224921 0.0004037485 0.0025477564 0.0000048147 -0.0000022112 0.0025451207 0.0000005255 0.0025388881
1691329965.95207 -0.045713 0.133891 0.236808 -0.070640 0.023121 -0.990812 0.112994 0.0000137442 -0.0000033942 0.0000542597 0.0000073921 -0.0000243320 0.0004024374 0.0025484674 0.0000049678 -0.0000023167 0.0025450316 0.0000005067 0.0025388031
1691329965.98541 -0.048018 0.142910 0.244901 -0.073907 0.021187 -0.991108 0.108603 0.0000145437 -0.0000032385 0.0000572236 0.0000070656 -0.0000224655 0.0004016877 0.0025493648 0.0000051478 -0.0000024231 0.0025449883 0.0000004890 0.0025386941
1691329966.01881 -0.050548 0.152557 0.252824 -0.075627 0.015405 -0.991531 0.104444 0.0000151315 -0.0000026521 0.0000592535 0.0000065465 -0.0000179360 0.0004014238 0.0025504322 0.0000053437 -0.0000025143 0.0025449957 0.0000004854 0.0025386151
1691329966.05217 -0.053667 0.162133 0.259913 -0.074837 0.009014 -0.991989 0.101369 0.0000150334 -0.0000018188 0.0000590530 0.0000060876 -0.0000126290 0.0004018472 0.0025516529 0.0000055956 -0.0000025942 0.0025450624 0.0000004923 0.0025385542
1691329966.08560 -0.056991 0.172047 0.266679 -0.073423 0.001684 -0.992583 0.096882 0.0000149029 -0.0000008889 0.0000587342 0.0000057439 -0.0000064262 0.0004022240 0.0025529244 0.0000058912 -0.0000026543 0.0025451509 0.0000004880 0.0025384766
1691329966.11914 -0.060086 0.181233 0.272733 -0.071784 -0.004668 -0.993116 0.092443 0.0000146107 -0.0000000555 0.0000578272 0.0000056090 -0.0000010339 0.0004025381 0.0025543553 0.0000062092 -0.0000027147 0.0025453191 0.0000005194 0.0025384466
1691329966.15251 -0.063170 0.189904 0.278215 -0.070182 -0.009195 -0.993623 0.087765 0.0000143515 0.0000005378 0.0000570214 0.0000056018 0.0000029160 0.0004027455 0.0025557306 0.0000064978 -0.0000027680 0.0025455044 0.0000005585 0.0025384286
1691329966.18563 -0.066055 0.198053 0.282624 -0.070421 -0.011799 -0.994096 0.081696 0.0000143729 0.0000008953 0.0000572759 0.0000056001 0.0000054623 0.0004024316 0.0025570799 0.0000068157 -0.0000027976 0.0025456359 0.0000005617 0.0025383728
1691329966.21881 -0.068647 0.205568 0.286819 -0.071695 -0.012162 -0.994495 0.075447 0.0000146279 0.0000009805 0.0000583680 0.0000055703 0.0000058771 0.0004019548 0.0025583591 0.0000071080 -0.0000028314 0.0025458209 0.0000005982 0.0025383429
1691329966.25199 -0.072148 0.213127 0.290735 -0.072664 -0.011009 -0.994863 0.069620 0.0000147360 0.0000007552 0.0000590981 0.0000054474 0.0000045545 0.0004014961 0.0025595826 0.0000074667 -0.0000028208 0.0025459523 0.0000005736 0.0025382692
