# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1691329965.092715024948120,0.00496,0.00013,0.00062,0.00000,0.00000,0.00154,0.00725
1691329965.121378898620605,0.00558,0.00011,0.00212,0.00000,0.00404,0.00166,0.01351
1691329965.153817892074585,0.00365,0.00014,0.00003,0.00074,0.00000,0.00179,0.00634
1691329965.186406135559082,0.00342,0.00015,0.00011,0.00071,0.00000,0.00181,0.00620
1691329965.218866109848022,0.00633,0.00016,0.00006,0.00073,0.00000,0.00186,0.00913
1691329965.251825809478760,0.00365,0.00016,0.00022,0.00059,0.00010,0.00184,0.00657
1691329965.284950971603394,0.00381,0.00016,0.00018,0.00072,0.00001,0.00184,0.00671
1691329965.318463087081909,0.00332,0.00018,0.00009,0.00050,0.00000,0.00199,0.00609
1691329965.351772546768188,0.00365,0.00016,0.00033,0.00049,0.00330,0.00182,0.00974
1691329965.385255336761475,0.00482,0.00016,0.00018,0.00066,0.00011,0.00197,0.00791
1691329965.418770551681519,0.00336,0.00015,0.00007,0.00054,0.00025,0.00304,0.00742
1691329965.452106237411499,0.00340,0.00023,0.00120,0.00084,0.00111,0.00223,0.00903
1691329965.485490560531616,0.00581,0.00016,0.00031,0.00049,0.00096,0.00217,0.00991
1691329965.518968820571899,0.00525,0.00017,0.00202,0.00055,0.01712,0.00178,0.02688
1691329965.552458763122559,0.00665,0.00026,0.00030,0.00226,0.00028,0.00183,0.01157
1691329965.585465431213379,0.00436,0.00017,0.00030,0.00176,0.00285,0.00183,0.01127
1691329965.618743181228638,0.00363,0.00020,0.00015,0.00218,0.00192,0.00196,0.01004
1691329965.652281045913696,0.00348,0.00019,0.00051,0.00244,0.00234,0.00180,0.01078
1691329965.685734987258911,0.00598,0.00020,0.00057,0.00303,0.00122,0.00196,0.01296
1691329965.718299865722656,0.00369,0.00020,0.00065,0.00286,0.00006,0.00201,0.00946
1691329965.751407623291016,0.00338,0.00028,0.00058,0.00213,0.00146,0.00189,0.00972
1691329965.784735679626465,0.00303,0.00021,0.00110,0.00139,0.00079,0.00177,0.00829
1691329965.818148374557495,0.01331,0.00056,0.00127,0.00532,0.00461,0.00570,0.03076
1691329965.851646661758423,0.00652,0.00019,0.00076,0.00191,0.00293,0.00193,0.01424
1691329965.885069370269775,0.00361,0.00018,0.00059,0.00160,0.00009,0.00177,0.00782
1691329965.918563842773438,0.00336,0.00018,0.00068,0.00145,0.00488,0.00181,0.01237
1691329965.952068090438843,0.01202,0.00037,0.00080,0.00302,0.00112,0.00285,0.02018
1691329965.985414505004883,0.00725,0.00017,0.00024,0.00174,0.00271,0.00203,0.01414
1691329966.018811464309692,0.00655,0.00018,0.00054,0.00198,0.00001,0.00189,0.01115
1691329966.052165746688843,0.00397,0.00021,0.00077,0.00174,0.00000,0.00181,0.00849
1691329966.085600614547729,0.00440,0.00018,0.00058,0.00136,0.00098,0.00188,0.00937
1691329966.119140148162842,0.00334,0.00017,0.00015,0.00166,0.00016,0.00225,0.00774
1691329966.152509689331055,0.00384,0.00017,0.00014,0.00177,0.00008,0.00220,0.00820
1691329966.185633420944214,0.00365,0.00015,0.00021,0.00154,0.00260,0.00250,0.01066
1691329966.218810796737671,0.00673,0.00016,0.00015,0.00197,0.00270,0.00195,0.01367
1691329966.251994371414185,0.01247,0.00061,0.00191,0.00832,0.00815,0.00409,0.03555
1691329966.285130500793457,0.00402,0.00018,0.00007,0.00247,0.00309,0.00185,0.01168
1691329966.318305492401123,0.00325,0.00019,0.00017,0.00294,0.00645,0.00184,0.01484
1691329966.351650953292847,0.00421,0.00017,0.00022,0.00318,0.00737,0.00227,0.01741
1691329966.384913444519043,0.00435,0.00020,0.00038,0.00423,0.00673,0.00183,0.01772
1691329966.418187856674194,0.00386,0.00021,0.00122,0.00573,0.00420,0.00193,0.01716
1691329966.451501131057739,0.01206,0.00067,0.00128,0.01429,0.00209,0.00283,0.03322
1691329966.484832048416138,0.00412,0.00022,0.00169,0.00677,0.00031,0.00217,0.01528
1691329966.518136262893677,0.00351,0.00018,0.00031,0.00525,0.00191,0.00245,0.01361
1691329966.551452398300171,0.00400,0.00021,0.00101,0.00605,0.00015,0.00206,0.01348
1691329966.584771633148193,0.00709,0.00021,0.00010,0.00590,0.00052,0.00205,0.01587
1691329966.618050575256348,0.00352,0.00023,0.00007,0.00556,0.00283,0.00201,0.01424
1691329966.651394844055176,0.00326,0.00022,0.00046,0.00579,0.00000,0.00203,0.01175
1691329966.684744596481323,0.00305,0.00020,0.00128,0.00492,0.00006,0.00192,0.01144
1691329966.718040466308594,0.00515,0.00022,0.00369,0.00497,0.00545,0.00181,0.02130
1691329966.751357316970825,0.01280,0.00100,0.00076,0.01393,0.00083,0.00269,0.03202
1691329966.784699916839600,0.00392,0.00025,0.00021,0.00502,0.00046,0.00211,0.01198
1691329966.818054914474487,0.00347,0.00021,0.00019,0.00462,0.00237,0.00182,0.01268
1691329966.851413249969482,0.00418,0.00021,0.00027,0.00518,0.00030,0.00169,0.01183
1691329966.884708166122437,0.00375,0.00021,0.00007,0.00436,0.00000,0.00179,0.01019
1691329966.918008565902710,0.00471,0.00024,0.00036,0.00429,0.00629,0.00194,0.01783
1691329966.951330184936523,0.01049,0.00083,0.00074,0.01060,0.00052,0.00411,0.02729
1691329966.984671115875244,0.00388,0.00021,0.00025,0.00425,0.00032,0.00190,0.01081
1691329967.018058776855469,0.01298,0.00039,0.00130,0.00422,0.00009,0.00190,0.02089
1691329967.051433086395264,0.00337,0.00021,0.00016,0.00374,0.00014,0.00192,0.00955
1691329967.084776401519775,0.00446,0.00019,0.00017,0.00339,0.00295,0.00210,0.01326
1691329967.118056297302246,0.00372,0.00034,0.00104,0.00469,0.00274,0.00197,0.01450
1691329967.151379823684692,0.00357,0.00021,0.00023,0.00309,0.00184,0.00190,0.01085
1691329967.184730052947998,0.00771,0.00032,0.00038,0.00563,0.00204,0.00230,0.01838
1691329967.218252182006836,0.00359,0.00020,0.00108,0.00382,0.00029,0.00180,0.01078
1691329967.251760005950928,0.00368,0.00021,0.00021,0.00370,0.00285,0.00182,0.01247
1691329967.285282850265503,0.00691,0.00021,0.00019,0.00367,0.00026,0.00175,0.01299
1691329967.318818807601929,0.00391,0.00021,0.00080,0.00371,0.00444,0.00191,0.01498
1691329967.352367401123047,0.00395,0.00019,0.00032,0.00373,0.00023,0.00210,0.01052
1691329967.385924816131592,0.00394,0.00019,0.00017,0.00356,0.00018,0.00164,0.00969
1691329967.419497728347778,0.00507,0.00019,0.00028,0.00382,0.00122,0.00178,0.01235
1691329967.453055858612061,0.00334,0.00020,0.00024,0.00290,0.00000,0.00190,0.00857
1691329967.486614465713501,0.00358,0.00019,0.00041,0.00235,0.00095,0.00184,0.00932
1691329967.520188093185425,0.00360,0.00022,0.00053,0.00241,0.00331,0.00188,0.01195
1691329967.553740978240967,0.00401,0.00028,0.00030,0.00360,0.00162,0.00186,0.01168
1691329967.587275981903076,0.01096,0.00056,0.00096,0.00840,0.00137,0.00458,0.02684
1691329967.620808839797974,0.00422,0.00019,0.00013,0.00242,0.00016,0.00204,0.00915
1691329967.654303312301636,0.00365,0.00019,0.00070,0.00232,0.00092,0.00183,0.00960
1691329967.687843799591064,0.00948,0.00046,0.00045,0.00434,0.00026,0.00390,0.01890
1691329967.721393346786499,0.00336,0.00019,0.00022,0.00141,0.00070,0.00205,0.00794
1691329967.754959821701050,0.00314,0.00019,0.00031,0.00085,0.00079,0.00187,0.00716
1691329967.788514375686646,0.00345,0.00018,0.00020,0.00095,0.00028,0.00169,0.00676
1691329967.822098731994629,0.00350,0.00019,0.00048,0.00042,0.00024,0.00182,0.00664
1691329967.855668544769287,0.00311,0.00016,0.00062,0.00028,0.00086,0.00239,0.00743
1691329967.889167070388794,0.00340,0.00015,0.00081,0.00029,0.00038,0.00178,0.00681
1691329967.922731637954712,0.01004,0.00051,0.00128,0.00075,0.00203,0.00553,0.02015
1691329967.956301212310791,0.00369,0.00016,0.00020,0.00029,0.00007,0.00169,0.00610
1691329967.989825725555420,0.00296,0.00015,0.00050,0.00014,0.00134,0.00186,0.00695
1691329968.023372411727905,0.00839,0.00035,0.00087,0.00029,0.00044,0.00346,0.01379
1691329968.056922912597656,0.00423,0.00014,0.00036,0.00015,0.00035,0.00173,0.00696
1691329968.090468883514404,0.00290,0.00015,0.00033,0.00020,0.00082,0.00163,0.00604
1691329968.124015092849731,0.01002,0.00051,0.00046,0.00120,0.00075,0.00599,0.01893
1691329968.157510995864868,0.00583,0.00016,0.00041,0.00024,0.00315,0.00167,0.01147
1691329968.191065788269043,0.00327,0.00017,0.00033,0.00083,0.00036,0.00265,0.00762
