# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1691416005.737761497497559,0.00743,0.00026,0.00085,0.00000,0.00001,0.00312,0.01167
1691416005.766006469726562,0.00748,0.00013,0.00424,0.00000,0.00639,0.00171,0.01996
1691416005.799088239669800,0.00445,0.00015,0.00007,0.00115,0.00000,0.00175,0.00757
1691416005.831948995590210,0.00375,0.00016,0.00003,0.00108,0.00000,0.00194,0.00695
1691416005.864872455596924,0.00356,0.00020,0.00012,0.00106,0.00023,0.00183,0.00701
1691416005.897799730300903,0.00328,0.00017,0.00004,0.00124,0.00005,0.00195,0.00674
1691416005.930957078933716,0.00360,0.00016,0.00001,0.00125,0.00000,0.00177,0.00680
1691416005.964154005050659,0.00561,0.00017,0.00026,0.00129,0.00000,0.00204,0.00937
1691416005.997694253921509,0.00539,0.00016,0.00009,0.00130,0.00280,0.00196,0.01171
1691416006.030941724777222,0.00364,0.00019,0.00064,0.00149,0.00011,0.00194,0.00801
1691416006.064228773117065,0.00356,0.00020,0.00034,0.00165,0.00007,0.00227,0.00807
1691416006.097613096237183,0.00362,0.00018,0.00012,0.00143,0.00267,0.00208,0.01011
1691416006.131036043167114,0.00408,0.00018,0.00025,0.00176,0.00162,0.00214,0.01003
1691416006.164432048797607,0.00404,0.00023,0.00016,0.00191,0.01993,0.00179,0.02807
1691416006.197717428207397,0.00330,0.00020,0.00011,0.00396,0.00062,0.00183,0.01003
1691416006.231027126312256,0.00413,0.00020,0.00018,0.00416,0.00168,0.00311,0.01347
1691416006.264327049255371,0.00327,0.00022,0.00058,0.00414,0.00023,0.00181,0.01026
1691416006.297665119171143,0.00501,0.00020,0.00014,0.00382,0.00035,0.00341,0.01293
1691416006.331043243408203,0.00398,0.00021,0.00074,0.00423,0.00006,0.00186,0.01108
1691416006.364378690719604,0.00392,0.00022,0.00072,0.00360,0.00126,0.00219,0.01192
1691416006.397708892822266,0.00439,0.00020,0.00030,0.00404,0.00056,0.00206,0.01154
1691416006.431034088134766,0.00414,0.00020,0.00078,0.00401,0.00006,0.00244,0.01163
1691416006.464268922805786,0.00456,0.00021,0.00061,0.00394,0.00000,0.00207,0.01138
1691416006.497530460357666,0.00376,0.00020,0.00052,0.00352,0.00542,0.00186,0.01528
1691416006.530735492706299,0.00458,0.00019,0.00025,0.00395,0.00388,0.00224,0.01509
1691416006.564016103744507,0.00391,0.00026,0.00137,0.00381,0.00230,0.00168,0.01333
1691416006.597375631332397,0.00840,0.00022,0.00065,0.00399,0.00013,0.00257,0.01597
1691416006.630693674087524,0.00439,0.00028,0.00095,0.00356,0.00037,0.00218,0.01172
1691416006.663956642150879,0.00422,0.00020,0.00094,0.00363,0.00000,0.00163,0.01062
1691416006.697299480438232,0.00437,0.00019,0.00037,0.00310,0.00055,0.00293,0.01150
1691416006.730601549148560,0.00382,0.00018,0.00082,0.00259,0.00054,0.00186,0.00981
1691416006.763880968093872,0.00424,0.00023,0.00061,0.00260,0.00014,0.00189,0.00971
1691416006.797168493270874,0.00418,0.00024,0.00022,0.00251,0.00039,0.00240,0.00995
1691416006.830470323562622,0.00723,0.00018,0.00071,0.00239,0.00059,0.00238,0.01349
1691416006.863855361938477,0.00306,0.00018,0.00072,0.00235,0.00112,0.00228,0.00972
1691416006.897136688232422,0.00447,0.00019,0.00064,0.00250,0.00061,0.00204,0.01045
1691416006.930498838424683,0.00313,0.00023,0.00067,0.00227,0.00009,0.00199,0.00838
1691416006.963755846023560,0.00505,0.00019,0.00030,0.00168,0.00187,0.00205,0.01114
1691416006.997174739837646,0.00391,0.00023,0.00045,0.00164,0.00146,0.00203,0.00971
1691416007.030583620071411,0.00477,0.00019,0.00048,0.00148,0.00215,0.00202,0.01110
1691416007.063989162445068,0.00335,0.00019,0.00015,0.00208,0.00177,0.00172,0.00926
1691416007.097379922866821,0.00383,0.00019,0.00018,0.00244,0.00044,0.00201,0.00909
1691416007.130778551101685,0.00343,0.00018,0.00024,0.00231,0.00047,0.00193,0.00856
