# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1691416005.73855 0.003892 -0.028787 0.090847 -0.025171 0.051133 -0.686799 0.724610 0.0002913476 -0.0002284663 0.0000250665 0.0006546649 0.0000383136 0.0009212249 0.0069271409 -0.0058664972 -0.0001307720 0.0148621036 0.0002612410 0.0028368294
1691416005.76591 -0.030690 -0.043014 0.078579 -0.030752 0.050302 -0.680396 0.730469 0.0000377568 0.0000002315 -0.0000176817 0.0000421652 -0.0000484778 0.0004590256 0.0026375721 -0.0000193258 -0.0000030504 0.0026801717 0.0000587700 0.0026704057
1691416005.79937 -0.029770 -0.048116 0.088795 -0.028041 0.050788 -0.680088 0.730832 0.0000340515 -0.0000025172 -0.0000124128 0.0000310176 -0.0000477834 0.0004578407 0.0026282985 -0.0000224187 -0.0000170689 0.0026643148 0.0000620776 0.0026313421
1691416005.83285 -0.027353 -0.052051 0.097248 -0.025916 0.051232 -0.679416 0.731504 0.0000316321 -0.0000031518 -0.0000109550 0.0000280349 -0.0000446116 0.0004536338 0.0026222992 -0.0000240382 -0.0000206505 0.0026555613 0.0000588068 0.0026259022
1691416005.86602 -0.023073 -0.056824 0.104472 -0.024799 0.051249 -0.679599 0.731371 0.0000288647 -0.0000028656 -0.0000086907 0.0000262640 -0.0000433081 0.0004474882 0.0026168140 -0.0000232680 -0.0000228170 0.0026473931 0.0000546725 0.0026224936
1691416005.89909 -0.016106 -0.068537 0.105170 -0.025100 0.051468 -0.679753 0.731203 0.0000218721 -0.0000032319 -0.0000128018 0.0000246238 -0.0000450232 0.0004353815 0.0026060285 -0.0000175302 -0.0000139138 0.0026202915 0.0000314074 0.0025943540
1691416005.93226 -0.010765 -0.073041 0.111940 -0.026527 0.051750 -0.679560 0.731312 0.0000204355 -0.0000024038 -0.0000109358 0.0000230378 -0.0000454226 0.0004309382 0.0026005692 -0.0000158421 -0.0000134901 0.0026171019 0.0000294739 0.0025935108
1691416005.96543 -0.006111 -0.077276 0.118833 -0.028301 0.052817 -0.679173 0.731528 0.0000191037 -0.0000017065 -0.0000101856 0.0000222357 -0.0000469990 0.0004272345 0.0025956870 -0.0000143076 -0.0000127203 0.0026141752 0.0000274805 0.0025932377
1691416005.99855 -0.003328 -0.075761 0.137260 -0.028547 0.054662 -0.678524 0.731985 0.0000172177 -0.0000013642 -0.0000103600 0.0000213029 -0.0000482942 0.0004233576 0.0025897509 -0.0000128375 -0.0000116818 0.0026101697 0.0000234665 0.0025877571
1691416006.03164 -0.000277 -0.079025 0.144653 -0.029448 0.056959 -0.677807 0.732438 0.0000164786 -0.0000008890 -0.0000121867 0.0000212389 -0.0000496031 0.0004205706 0.0025864964 -0.0000121258 -0.0000106699 0.0026076380 0.0000217234 0.0025883560
1691416006.06472 0.004095 -0.081229 0.154149 -0.030068 0.061575 -0.677243 0.732562 0.0000139843 -0.0000001196 -0.0000172411 0.0000200751 -0.0000516052 0.0004145777 0.0025814318 -0.0000121594 -0.0000099183 0.0026044953 0.0000174996 0.0025737806
1691416006.09813 0.006139 -0.086461 0.161108 -0.030107 0.066193 -0.676535 0.732812 0.0000135664 0.0000005349 -0.0000203720 0.0000203617 -0.0000545942 0.0004118865 0.0025791846 -0.0000116710 -0.0000092579 0.0026016986 0.0000157643 0.0025736665
1691416006.13153 0.007694 -0.088641 0.169243 -0.029438 0.068433 -0.676133 0.733003 0.0000129140 0.0000011738 -0.0000219750 0.0000204292 -0.0000558850 0.0004098370 0.0025772801 -0.0000105967 -0.0000082358 0.0025977994 0.0000135940 0.0025733465
1691416006.16479 0.008420 -0.094374 0.177886 -0.030004 0.070261 -0.677123 0.731893 0.0000116160 0.0000016657 -0.0000239206 0.0000193035 -0.0000554678 0.0004069439 0.0025740660 -0.0000092158 -0.0000069460 0.0025920743 0.0000111619 0.0025712868
