# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1691416005.738545417785645,0.00374,0.00015,0.00056,0.00000,0.00000,0.00148,0.00593
1691416005.765913248062134,0.00361,0.00013,0.00401,0.00000,0.00589,0.00160,0.01525
1691416005.799369335174561,0.00338,0.00016,0.00007,0.00115,0.00000,0.00175,0.00652
1691416005.832854986190796,0.00344,0.00015,0.00007,0.00109,0.00000,0.00176,0.00651
1691416005.866023540496826,0.00300,0.00017,0.00004,0.00122,0.00000,0.00254,0.00698
1691416005.899086236953735,0.00322,0.00018,0.00030,0.00123,0.00006,0.00187,0.00685
1691416005.932261466979980,0.00434,0.00016,0.00006,0.00124,0.00000,0.00233,0.00813
1691416005.965428829193115,0.01545,0.00062,0.00032,0.00349,0.00000,0.00450,0.02438
1691416005.998545646667480,0.00415,0.00017,0.00016,0.00117,0.00184,0.00214,0.00964
1691416006.031643867492676,0.00416,0.00030,0.00089,0.00163,0.00006,0.00188,0.00893
1691416006.064716100692749,0.00407,0.00017,0.00022,0.00136,0.00295,0.00204,0.01080
1691416006.098132133483887,0.00369,0.00020,0.00004,0.00196,0.00153,0.00348,0.01091
1691416006.131526231765747,0.00361,0.00017,0.00015,0.00203,0.00225,0.00210,0.01030
1691416006.164792776107788,0.00365,0.00020,0.00205,0.00165,0.01916,0.00193,0.02864
1691416006.198057413101196,0.00335,0.00022,0.00020,0.00381,0.00040,0.00286,0.01084
1691416006.231335163116455,0.00367,0.00019,0.00016,0.00372,0.00255,0.00270,0.01299
1691416006.264653921127319,0.00332,0.00026,0.00053,0.00424,0.00026,0.00187,0.01049
1691416006.297945022583008,0.00362,0.00022,0.00025,0.00407,0.00035,0.00318,0.01170
1691416006.331278324127197,0.00325,0.00039,0.00115,0.00432,0.00040,0.00191,0.01143
1691416006.364742517471313,0.00367,0.00021,0.00082,0.00394,0.00069,0.00185,0.01118
1691416006.398115634918213,0.00367,0.00028,0.00055,0.00420,0.00052,0.00227,0.01149
1691416006.431477785110474,0.00365,0.00026,0.00036,0.00397,0.00015,0.00185,0.01024
1691416006.464810609817505,0.00362,0.00021,0.00046,0.00328,0.00000,0.00170,0.00927
1691416006.498218774795532,0.00339,0.00020,0.00045,0.00349,0.00322,0.00289,0.01364
1691416006.531639575958252,0.00367,0.00023,0.00049,0.00404,0.00191,0.00212,0.01246
1691416006.564972639083862,0.00328,0.00022,0.00013,0.00335,0.00522,0.00192,0.01413
1691416006.598236083984375,0.00377,0.00023,0.00055,0.00343,0.00353,0.00244,0.01395
