# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1691674611.64453 0.014766 0.251368 0.277569 -0.006976 -0.042997 -0.999050 0.001384 0.0009356102 0.0000003118 -0.0000001471 0.0009345232 -0.0000000311 0.0009343366 0.0240817042 -0.0000027487 -0.0000519544 0.0240532414 -0.0007889289 0.0028883012
1691674611.66811 0.021949 0.208488 0.284391 -0.013698 -0.035209 -0.999252 0.008307 0.0000364009 0.0000063886 0.0000158900 0.0000226748 0.0000333951 0.0004422095 0.0027016552 0.0000014053 0.0000638354 0.0026318814 0.0000144462 0.0026031214
1691674611.70144 0.026662 0.214868 0.290747 -0.015513 -0.031057 -0.999349 0.009856 0.0000372024 0.0000058480 0.0000192321 0.0000200144 0.0000257498 0.0004393407 0.0026848927 0.0000028979 0.0000600769 0.0026282937 0.0000125801 0.0025989208
1691674611.73438 0.031864 0.223192 0.297591 -0.018770 -0.024469 -0.999448 0.012371 0.0000369374 0.0000052587 0.0000196547 0.0000182580 0.0000190724 0.0004375386 0.0026825638 0.0000062998 0.0000583801 0.0026263103 0.0000140072 0.0025993655
1691674611.76769 0.034931 0.230322 0.301961 -0.022609 -0.018231 -0.999449 0.016042 0.0000336766 0.0000033056 0.0000221443 0.0000163441 0.0000132003 0.0004351968 0.0026797650 0.0000113853 0.0000568350 0.0026209472 0.0000151042 0.0025993141
1691674611.80160 0.038903 0.237124 0.305619 -0.025950 -0.014750 -0.999370 0.019202 0.0000257640 0.0000012111 0.0000280671 0.0000149534 0.0000103547 0.0004308904 0.0026767468 0.0000170444 0.0000549492 0.0026099976 0.0000155071 0.0025984465
1691674611.83481 0.042986 0.246786 0.308853 -0.029371 -0.013436 -0.999239 0.021864 0.0000215407 0.0000001908 0.0000313793 0.0000139636 0.0000100887 0.0004278506 0.0026742952 0.0000204586 0.0000527048 0.0026050420 0.0000158969 0.0025969683
1691674611.86796 0.047431 0.256973 0.311482 -0.032367 -0.014072 -0.999086 0.024116 0.0000192739 -0.0000001902 0.0000334029 0.0000131877 0.0000105886 0.0004253984 0.0026726394 0.0000224329 0.0000501454 0.0026028051 0.0000162499 0.0025949020
1691674611.90115 0.051981 0.267474 0.313431 -0.034725 -0.015855 -0.998936 0.025861 0.0000179066 -0.0000002038 0.0000348258 0.0000125443 0.0000120357 0.0004232416 0.0026714434 0.0000236256 0.0000474934 0.0026017848 0.0000165876 0.0025925191
1691674611.93448 0.057372 0.277755 0.315285 -0.036180 -0.017457 -0.998812 0.027572 0.0000167419 -0.0000000616 0.0000353996 0.0000114324 0.0000135097 0.0004210730 0.0026551996 0.0000249374 0.0000401690 0.0026002996 0.0000190145 0.0025839961
1691674611.96774 0.062475 0.288156 0.316769 -0.037116 -0.017921 -0.998714 0.029519 0.0000157591 0.0000000604 0.0000355118 0.0000109015 0.0000139317 0.0004195201 0.0026539988 0.0000246793 0.0000376917 0.0025998758 0.0000193172 0.0025815552
1691674612.00098 0.067684 0.298810 0.317919 -0.037313 -0.018014 -0.998655 0.031173 0.0000147752 0.0000001603 0.0000350577 0.0000104004 0.0000141023 0.0004182211 0.0026529223 0.0000239274 0.0000352466 0.0025992872 0.0000194155 0.0025792136
1691674612.03424 0.073910 0.311146 0.323598 -0.037106 -0.018497 -0.998619 0.032276 0.0000134642 0.0000004067 0.0000348007 0.0000095134 0.0000147361 0.0004161817 0.0026419031 0.0000165200 0.0000278601 0.0025924613 0.0000169535 0.0025717053
1691674612.06678 0.086675 0.327088 0.334057 -0.036870 -0.018195 -0.998634 0.032247 0.0000106250 0.0000008038 0.0000322292 0.0000082317 0.0000153918 0.0004106248 0.0026236852 0.0000004598 0.0000153234 0.0025765744 0.0000087268 0.0025616878
1691674612.10019 0.090459 0.338921 0.333817 -0.038472 -0.020294 -0.998522 0.032600 0.0000103930 0.0000008809 0.0000320438 0.0000080200 0.0000158555 0.0004100232 0.0026254360 -0.0000021029 0.0000144778 0.0025761124 0.0000085546 0.0025612090
1691674612.13351 0.094478 0.352052 0.333337 -0.039880 -0.023398 -0.998368 0.033525 0.0000104288 0.0000011497 0.0000331901 0.0000080186 0.0000182449 0.0004091559 0.0026270077 -0.0000032735 0.0000137978 0.0025752235 0.0000084322 0.0025607388
1691674612.16686 0.098678 0.365796 0.332689 -0.041097 -0.027291 -0.998194 0.034289 0.0000104365 0.0000014845 0.0000343546 0.0000080966 0.0000212859 0.0004082267 0.0026289657 -0.0000045826 0.0000130926 0.0025744120 0.0000083031 0.0025602463
1691674612.20019 0.102396 0.379653 0.331634 -0.041529 -0.030877 -0.998053 0.034823 0.0000102818 0.0000017800 0.0000346957 0.0000082199 0.0000240934 0.0004074696 0.0026314168 -0.0000059731 0.0000124532 0.0025736882 0.0000081495 0.0025597593
1691674612.23360 0.105171 0.393756 0.330472 -0.041817 -0.033030 -0.997945 0.035578 0.0000101034 0.0000019751 0.0000349467 0.0000082736 0.0000259081 0.0004068486 0.0026341753 -0.0000073371 0.0000118834 0.0025730259 0.0000079700 0.0025593045
1691674612.26696 0.107650 0.407846 0.329090 -0.041775 -0.033763 -0.997894 0.036358 0.0000098844 0.0000020370 0.0000348627 0.0000081856 0.0000263480 0.0004065144 0.0026373261 -0.0000086211 0.0000113434 0.0025723595 0.0000078074 0.0025588501
1691674612.30026 0.109509 0.422232 0.327568 -0.041147 -0.033648 -0.997938 0.035982 0.0000095494 0.0000019904 0.0000342015 0.0000080140 0.0000262356 0.0004063519 0.0026406518 -0.0000099366 0.0000107976 0.0025716930 0.0000076332 0.0025583840
1691674612.33354 0.110755 0.436469 0.325920 -0.039995 -0.032499 -0.998068 0.034699 0.0000092181 0.0000018561 0.0000331592 0.0000077746 0.0000252779 0.0004064303 0.0026444288 -0.0000111122 0.0000103035 0.0025710795 0.0000074537 0.0025579440
1691674612.36679 0.111607 0.450348 0.324349 -0.038174 -0.030374 -0.998256 0.033233 0.0000087842 0.0000016373 0.0000315861 0.0000074604 0.0000235289 0.0004066473 0.0026483978 -0.0000121557 0.0000098229 0.0025704461 0.0000072481 0.0025574902
1691674612.40008 0.111655 0.464390 0.322905 -0.035621 -0.028090 -0.998470 0.031613 0.0000082992 0.0000014027 0.0000293471 0.0000071707 0.0000218542 0.0004069657 0.0026524983 -0.0000131325 0.0000093594 0.0025698550 0.0000070521 0.0025570702
1691674612.43345 0.111699 0.478183 0.321406 -0.033006 -0.025811 -0.998668 0.030113 0.0000079195 0.0000011786 0.0000272490 0.0000068873 0.0000201779 0.0004072541 0.0026569538 -0.0000139985 0.0000089514 0.0025693193 0.0000068967 0.0025567391
1691674612.46691 0.111640 0.492346 0.319909 -0.031135 -0.023627 -0.998817 0.028946 0.0000075446 0.0000010062 0.0000256346 0.0000065810 0.0000185789 0.0004073719 0.0026615088 -0.0000149410 0.0000085586 0.0025687645 0.0000066951 0.0025563925
1691674612.50027 0.112358 0.507294 0.318831 -0.029994 -0.022239 -0.998919 0.027691 0.0000073860 0.0000009482 0.0000248962 0.0000063960 0.0000176246 0.0004074511 0.0026664982 -0.0000159234 0.0000082122 0.0025683202 0.0000065498 0.0025561332
1691674612.53363 0.112820 0.522102 0.317452 -0.029913 -0.021817 -0.998975 0.026056 0.0000073091 0.0000009378 0.0000247430 0.0000062856 0.0000172525 0.0004073890 0.0026719863 -0.0000170333 0.0000079068 0.0025680085 0.0000064153 0.0025559019
