# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1691674611.644527196884155,0.00475,0.00014,0.00025,0.00000,0.00000,0.00152,0.00667
1691674611.668105363845825,0.00321,0.00014,0.00364,0.00000,0.00348,0.00175,0.01222
1691674611.701444864273071,0.00306,0.00012,0.00021,0.00064,0.00000,0.00150,0.00553
1691674611.734383344650269,0.00278,0.00015,0.00002,0.00065,0.00000,0.00167,0.00527
1691674611.767685651779175,0.01154,0.00067,0.00046,0.00198,0.00042,0.00422,0.01929
1691674611.801599502563477,0.00440,0.00022,0.00004,0.00120,0.00000,0.00226,0.00813
1691674611.834807157516479,0.00848,0.00038,0.00022,0.00151,0.00005,0.00317,0.01381
1691674611.867959976196289,0.00284,0.00017,0.00009,0.00089,0.00000,0.00188,0.00587
1691674611.901148796081543,0.00306,0.00017,0.00001,0.00090,0.00000,0.00204,0.00619
1691674611.934476375579834,0.00394,0.00015,0.00006,0.00084,0.00048,0.00186,0.00732
1691674611.967741250991821,0.00419,0.00023,0.00003,0.00155,0.00000,0.00245,0.00845
1691674612.000984191894531,0.00380,0.00027,0.00059,0.00097,0.00000,0.00181,0.00743
1691674612.034238338470459,0.00328,0.00017,0.00003,0.00099,0.00343,0.00206,0.00996
1691674612.066782474517822,0.00310,0.00017,0.00443,0.00138,0.02491,0.00184,0.03583
1691674612.100192785263062,0.00331,0.00021,0.00002,0.00512,0.00153,0.00171,0.01190
1691674612.133514881134033,0.00337,0.00022,0.00012,0.00501,0.00000,0.00195,0.01066
1691674612.166860342025757,0.00328,0.00020,0.00027,0.00505,0.00138,0.00174,0.01192
1691674612.200194358825684,0.00326,0.00023,0.00027,0.00519,0.00182,0.00174,0.01251
1691674612.233600616455078,0.00640,0.00037,0.00033,0.00816,0.00183,0.00224,0.01934
1691674612.266957759857178,0.00433,0.00020,0.00036,0.00532,0.00020,0.00174,0.01214
1691674612.300261974334717,0.00345,0.00021,0.00085,0.00556,0.00580,0.00206,0.01792
1691674612.333544254302979,0.00300,0.00021,0.00008,0.00692,0.00000,0.00195,0.01217
1691674612.366786956787109,0.00431,0.00024,0.00008,0.00644,0.00223,0.00159,0.01489
1691674612.400081634521484,0.00331,0.00024,0.00147,0.00686,0.00000,0.00195,0.01382
1691674612.433454513549805,0.01074,0.00065,0.00125,0.01322,0.00019,0.00335,0.02940
1691674612.466905117034912,0.00331,0.00024,0.00499,0.00596,0.00172,0.00200,0.01822
1691674612.500267744064331,0.00504,0.00025,0.00081,0.00607,0.00111,0.00166,0.01494
1691674612.533627986907959,0.00919,0.00076,0.00050,0.01297,0.00000,0.00277,0.02619
1691674612.566990375518799,0.00335,0.00023,0.00253,0.00624,0.00005,0.00170,0.01411
1691674612.600217819213867,0.00342,0.00020,0.00010,0.00618,0.00046,0.00186,0.01223
1691674612.633558988571167,0.00441,0.00024,0.00017,0.00616,0.00114,0.00175,0.01388
1691674612.666931390762329,0.00352,0.00024,0.00066,0.00640,0.00000,0.00190,0.01271
1691674612.700269937515259,0.01441,0.00066,0.00056,0.01594,0.00158,0.00307,0.03623
1691674612.733572959899902,0.00403,0.00029,0.00012,0.00638,0.00158,0.00188,0.01428
1691674612.766922235488892,0.00414,0.00023,0.00089,0.00531,0.00170,0.00184,0.01411
1691674612.800302028656006,0.00372,0.00020,0.00008,0.00610,0.00284,0.00240,0.01534
1691674612.833620309829712,0.00351,0.00027,0.00075,0.00689,0.00000,0.00204,0.01346
1691674612.866975069046021,0.00369,0.00023,0.00483,0.00675,0.00000,0.00188,0.01738
1691674612.900325059890747,0.00300,0.00021,0.00052,0.00622,0.00000,0.00192,0.01187
1691674612.933653116226196,0.00330,0.00026,0.00013,0.00580,0.00141,0.00172,0.01262
1691674612.966978549957275,0.00334,0.00022,0.00314,0.00654,0.00162,0.00209,0.01695
1691674613.000302553176880,0.00299,0.00022,0.00170,0.00608,0.00027,0.00187,0.01313
1691674613.033621549606323,0.00369,0.00023,0.00045,0.00569,0.00105,0.00178,0.01289
1691674613.066988229751587,0.00773,0.00025,0.00023,0.00559,0.00477,0.00267,0.02125
1691674613.100342988967896,0.00360,0.00026,0.00129,0.00608,0.00008,0.00186,0.01316
1691674613.133741855621338,0.00370,0.00023,0.00081,0.00608,0.00289,0.00210,0.01580
1691674613.167137861251831,0.00304,0.00027,0.00287,0.00627,0.00120,0.00195,0.01561
1691674613.200476884841919,0.00336,0.00024,0.00002,0.00651,0.00000,0.00184,0.01198
1691674613.233843326568604,0.00388,0.00025,0.00042,0.00683,0.00017,0.00213,0.01368
1691674613.267176866531372,0.00369,0.00022,0.00569,0.00665,0.00085,0.00187,0.01898
1691674613.300504922866821,0.00332,0.00021,0.00379,0.00694,0.00000,0.00175,0.01602
1691674613.333917617797852,0.00365,0.00028,0.00002,0.00695,0.00000,0.00187,0.01277
1691674613.367280483245850,0.00324,0.00022,0.00343,0.00645,0.00003,0.00209,0.01546
1691674613.400595188140869,0.00335,0.00024,0.00318,0.00595,0.00136,0.00180,0.01587
1691674613.433956861495972,0.00645,0.00026,0.00285,0.00623,0.00024,0.00199,0.01801
1691674613.467239856719971,0.00321,0.00020,0.00291,0.00601,0.00165,0.00191,0.01590
1691674613.500538825988770,0.00442,0.00021,0.00026,0.00652,0.00004,0.00201,0.01346
1691674613.533926248550415,0.00383,0.00023,0.00076,0.00616,0.00082,0.00210,0.01390
1691674613.567381858825684,0.00327,0.00023,0.00384,0.00536,0.00003,0.00170,0.01443
1691674613.600758552551270,0.00327,0.00021,0.00009,0.00546,0.00004,0.00212,0.01119
1691674613.634114265441895,0.00756,0.00028,0.00037,0.00487,0.00076,0.00193,0.01577
1691674613.667435169219971,0.00439,0.00020,0.00073,0.00508,0.00709,0.00200,0.01950
