# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1691674611.64309 -0.001450 0.180763 0.281558 -0.005874 -0.036456 -0.999315 0.002356 0.0002697310 0.0000417472 0.0000994387 0.0001911212 0.0001008922 0.0009027281 0.0044663108 -0.0011350695 0.0001907421 0.0052544475 0.0001397679 0.0028191438
1691674611.66844 0.009809 0.189332 0.261235 0.021462 0.032005 0.999240 0.005811 0.0000550176 0.0000017102 0.0000187151 0.0000305636 0.0000270797 0.0004588200 0.0028387477 0.0000134534 0.0001332365 0.0026434259 0.0000216814 0.0026589509
1691674611.70169 0.014244 0.194753 0.267046 0.024048 0.027954 0.999311 0.004187 0.0000562122 0.0000031476 0.0000296977 0.0000315934 0.0000239280 0.0004580941 0.0027765706 0.0000136867 0.0000977087 0.0026469347 0.0000225057 0.0026426497
1691674611.73501 0.017663 0.201687 0.271567 0.027809 0.021352 0.999384 0.001481 0.0000606377 0.0000032469 0.0000333131 0.0000333694 0.0000190049 0.0004612348 0.0027864578 0.0000164562 0.0001009911 0.0026482292 0.0000241292 0.0026511652
1691674611.76835 0.021267 0.208360 0.275466 -0.031457 -0.014713 -0.999394 0.002498 0.0000649693 0.0000031027 0.0000371554 0.0000351936 0.0000133457 0.0004641057 0.0027964895 0.0000190289 0.0001037212 0.0026495781 0.0000253233 0.0026597977
1691674611.80186 0.025372 0.214936 0.278601 -0.034893 -0.010717 -0.999319 0.005435 0.0000667127 0.0000026673 0.0000418750 0.0000372704 0.0000101904 0.0004664201 0.0028067960 0.0000214920 0.0001058671 0.0026506897 0.0000263432 0.0026687273
1691674611.83537 0.030175 0.222038 0.280932 -0.038364 -0.009754 -0.999191 0.007093 0.0000670590 0.0000021442 0.0000471262 0.0000394894 0.0000101066 0.0004684900 0.0028174983 0.0000242597 0.0001074110 0.0026525824 0.0000272246 0.0026780862
1691674611.86894 0.035572 0.229590 0.282553 -0.041371 -0.010939 -0.999049 0.008366 0.0000664220 0.0000014416 0.0000522426 0.0000417486 0.0000118327 0.0004706566 0.0028287270 0.0000274582 0.0001082707 0.0026558011 0.0000279988 0.0026878952
1691674611.90243 0.041368 0.237727 0.283338 -0.043879 -0.013193 -0.998907 0.009192 0.0000659650 0.0000007609 0.0000567602 0.0000440845 0.0000147700 0.0004731046 0.0028406557 0.0000310903 0.0001084281 0.0026606986 0.0000285472 0.0026982868
1691674611.93708 0.071973 0.246007 0.284302 -0.046851 -0.016843 -0.998707 0.010252 0.0000599478 -0.0000027480 0.0000595254 0.0000365060 0.0000197275 0.0004741032 0.0027644007 0.0000453124 0.0000827634 0.0026620943 0.0000441560 0.0026518913
