# timestamp(s) tx ty tz qx qy qz qw
1693382232.980420113 0.510107 -0.294662 -0.0046959 -0.00772036 0.0205331 -0.175108 0.984305
1693382232.994119167 0.510085 -0.294663 -0.00474083 -0.0080524 0.0210127 -0.174854 0.984337
1693382233.007818222 0.510072 -0.294664 -0.00477756 -0.00817114 0.0213449 -0.174784 0.984342
1693382233.021516085 0.510074 -0.294676 -0.00478382 -0.00827326 0.0214027 -0.174708 0.984353
1693382233.035215139 0.510063 -0.294677 -0.0047954 -0.00819593 0.0213718 -0.17472 0.984352
1693382233.048914194 0.510057 -0.294674 -0.00477638 -0.00812894 0.021326 -0.174659 0.984364
1693382233.062612295 0.51009 -0.294685 -0.00476656 -0.00831812 0.0212198 -0.174585 0.984378
1693382233.076311111 0.510086 -0.294691 -0.00479217 -0.00833377 0.021143 -0.174624 0.984373
1693382233.090009212 0.510079 -0.294671 -0.00479231 -0.00825657 0.0212594 -0.174736 0.984351
1693382233.103708267 0.510076 -0.294663 -0.00478206 -0.00830206 0.0212892 -0.174736 0.98435
1693382233.117407084 0.510182 -0.294677 -0.00453954 -0.00729112 0.0197744 -0.175463 0.98426
1693382233.131105185 0.510225 -0.294693 -0.00442862 -0.00686958 0.0191254 -0.175596 0.984253
1693382233.144804239 0.510139 -0.294667 -0.00464306 -0.00761209 0.0205373 -0.175137 0.9843
1693382233.158503294 0.510087 -0.294675 -0.00475874 -0.00824183 0.0210652 -0.174628 0.984375
1693382233.172201157 0.510061 -0.294679 -0.00480664 -0.00844657 0.0212326 -0.174615 0.984372
1693382233.185900211 0.510054 -0.294676 -0.00480192 -0.00844894 0.021405 -0.174585 0.984373
1693382233.199598312 0.510161 -0.294688 -0.00455145 -0.00744456 0.0199334 -0.175192 0.984304
1693382233.213297129 0.510118 -0.294682 -0.00467931 -0.0078036 0.0207521 -0.174991 0.98432
1693382233.226996183 0.510197 -0.294695 -0.00450479 -0.00722859 0.0195882 -0.1754 0.984276
1693382233.240694284 0.510133 -0.294687 -0.00466807 -0.00779038 0.0206903 -0.174944 0.98433
1693382233.254393101 0.510195 -0.294698 -0.0045175 -0.00717606 0.0197822 -0.175364 0.984279
1693382233.268092155 0.510125 -0.294679 -0.00466767 -0.00787767 0.0208173 -0.174927 0.98433
1693382233.281790257 0.510056 -0.294669 -0.00478621 -0.00819299 0.0211465 -0.174786 0.984345
1693382233.295489311 0.510051 -0.294671 -0.00481212 -0.00835246 0.0212267 -0.174644 0.984367
1693382233.309188128 0.510167 -0.294676 -0.0045762 -0.00723878 0.0200053 -0.175494 0.984251
1693382233.322886229 0.510122 -0.294683 -0.00466901 -0.0078156 0.0206963 -0.17509 0.984304
1693382233.336585283 0.510101 -0.294677 -0.00475424 -0.00833176 0.0210586 -0.174768 0.984349
1693382233.350283146 0.510201 -0.294714 -0.00452239 -0.00743358 0.0198004 -0.175275 0.984292
1693382233.363982201 0.510128 -0.294688 -0.00467084 -0.00786242 0.0206936 -0.174936 0.984331
