# timestamp(s) tx ty tz qx qy qz qw
1693382237.77104 -0.002191 0.039869 0.037705 -0.000591 0.034080 -0.723334 0.689656
1693382237.80132 -0.004875 -0.034392 0.012729 0.002425 0.034003 -0.725779 0.687083
1693382237.83471 -0.005782 -0.024475 0.022920 0.009306 0.028051 -0.730641 0.682122
1693382237.86847 -0.008214 -0.012545 0.035811 0.013483 0.023218 -0.735561 0.676926
1693382237.90181 -0.005711 -0.002443 0.050346 0.014602 0.016606 -0.741028 0.671110
1693382237.93556 -0.005161 0.007206 0.066120 0.015022 0.013063 -0.744187 0.667674
1693382237.96913 -0.003693 0.015579 0.083363 0.014867 0.009187 -0.746369 0.665303
1693382238.00288 -0.004874 0.023287 0.101994 0.014687 0.006317 -0.747499 0.664070
1693382238.03657 -0.004791 0.030242 0.121177 0.014450 0.004957 -0.748979 0.662418
1693382238.07041 -0.008807 0.026749 0.133971 0.010528 0.002949 -0.750835 0.660400
1693382238.10404 -0.011776 0.033582 0.159770 0.010696 0.004089 -0.752157 0.658885
1693382238.13730 -0.018913 0.046806 0.183033 0.010733 0.002866 -0.753156 0.657748
1693382238.17071 -0.012889 0.050564 0.206556 0.009792 0.003977 -0.756926 0.653416
1693382238.20383 -0.009351 0.051661 0.221866 0.010319 0.001461 -0.759452 0.650480
1693382238.23717 -0.009634 0.054854 0.242486 0.012678 0.001506 -0.762230 0.647180
1693382238.27053 -0.011474 0.060206 0.264311 0.015949 0.000940 -0.764955 0.643885
1693382238.30390 -0.012226 0.063858 0.284028 0.018982 0.000204 -0.768618 0.639427
1693382238.33723 -0.013186 0.069736 0.305961 0.021215 -0.001156 -0.772440 0.634732
1693382238.37054 -0.013026 0.075695 0.329422 0.023903 -0.002045 -0.775987 0.630293
1693382238.40376 -0.013950 0.080229 0.348741 0.024084 -0.003660 -0.779237 0.626256
1693382238.43711 -0.015492 0.086317 0.372763 0.022538 -0.005073 -0.783038 0.621545
1693382238.47033 -0.016489 0.091289 0.396031 0.021567 -0.005988 -0.786374 0.617345
1693382238.50346 -0.017522 0.097131 0.421236 0.019627 -0.007284 -0.787982 0.615342
1693382238.53669 -0.019207 0.102075 0.446057 0.017973 -0.007132 -0.788149 0.615180
1693382238.56996 -0.021969 0.108181 0.471109 0.014336 -0.006950 -0.787747 0.615792
1693382238.60329 -0.024653 0.113451 0.496094 0.009802 -0.006057 -0.787545 0.616150
1693382238.63658 -0.027837 0.119567 0.523124 0.006370 -0.004392 -0.787296 0.616527
1693382238.66985 -0.031873 0.126200 0.552929 0.003452 -0.004892 -0.787572 0.616194
1693382238.70304 -0.036012 0.130568 0.577896 0.004849 -0.005484 -0.787763 0.615934
1693382238.73628 -0.040481 0.135912 0.602802 0.007128 -0.007653 -0.788668 0.614730
1693382238.76954 -0.044473 0.140623 0.626992 0.011424 -0.009463 -0.790178 0.612697
1693382238.80285 -0.048368 0.146253 0.650348 0.015487 -0.011846 -0.791608 0.610718
1693382238.83617 -0.052064 0.151673 0.673253 0.018360 -0.014071 -0.793299 0.608393
1693382238.86950 -0.055632 0.156603 0.692210 0.020378 -0.015615 -0.794467 0.606764
1693382238.90277 -0.059369 0.161214 0.711358 0.021870 -0.015346 -0.796047 0.604645
1693382238.93611 -0.063521 0.165922 0.727963 0.023459 -0.014662 -0.797612 0.602537
1693382238.96943 -0.068095 0.170796 0.745112 0.025434 -0.015715 -0.799199 0.600322
1693382239.00250 -0.072930 0.174951 0.761180 0.028646 -0.017693 -0.798867 0.600565
1693382239.03577 -0.078622 0.178885 0.777870 0.031909 -0.020453 -0.796628 0.603281
1693382239.06909 -0.084113 0.181327 0.789619 0.035538 -0.022596 -0.793984 0.606478
1693382239.10229 -0.088360 0.185075 0.803701 0.036186 -0.025061 -0.791760 0.609245
1693382239.13561 -0.092433 0.187905 0.815038 0.034311 -0.028308 -0.789542 0.612082
1693382239.16879 -0.095966 0.190737 0.824766 0.031599 -0.031338 -0.787082 0.615241
1693382239.20188 -0.099687 0.192698 0.835542 0.029652 -0.032903 -0.785652 0.617082
1693382239.23501 -0.102823 0.194099 0.843841 0.028853 -0.033836 -0.785154 0.617702
1693382239.26816 -0.105519 0.195267 0.852268 0.029158 -0.035215 -0.784783 0.618082
1693382239.30130 -0.107984 0.195760 0.859851 0.030763 -0.037653 -0.784251 0.618536
1693382239.33444 -0.110134 0.196408 0.866451 0.033784 -0.041048 -0.783748 0.618800
