# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.771036386489868,0.00326,0.00018,0.00055,0.00000,0.00001,0.00204,0.00604
1693382237.801319837570190,0.00387,0.00013,0.00160,0.00000,0.00296,0.00196,0.01052
1693382237.834707498550415,0.00284,0.00013,0.00002,0.00029,0.00000,0.00144,0.00472
1693382237.868466854095459,0.00376,0.00017,0.00003,0.00034,0.00000,0.00197,0.00628
1693382237.901809215545654,0.00322,0.00018,0.00010,0.00032,0.00001,0.00153,0.00536
1693382237.935561418533325,0.00326,0.00015,0.00006,0.00032,0.00000,0.00185,0.00564
1693382237.969134569168091,0.00355,0.00017,0.00006,0.00036,0.00000,0.00179,0.00592
1693382238.002881050109863,0.00424,0.00019,0.00025,0.00040,0.00000,0.00228,0.00736
1693382238.036571264266968,0.00316,0.00015,0.00003,0.00037,0.00000,0.00166,0.00535
1693382238.070411205291748,0.00339,0.00015,0.00029,0.00034,0.00120,0.00188,0.00726
1693382238.104044914245605,0.00924,0.00039,0.00180,0.00103,0.00924,0.00226,0.02396
1693382238.137297391891479,0.00380,0.00017,0.00038,0.00117,0.00180,0.00181,0.00913
1693382238.170707225799561,0.00359,0.00029,0.00072,0.00184,0.00116,0.00374,0.01133
1693382238.203830242156982,0.00312,0.00017,0.00024,0.00165,0.01855,0.00188,0.02561
1693382238.237172365188599,0.00328,0.00019,0.00055,0.00354,0.00000,0.00183,0.00940
1693382238.270529508590698,0.00318,0.00017,0.00060,0.00392,0.00224,0.00169,0.01181
1693382238.303895473480225,0.00332,0.00021,0.00014,0.00362,0.00210,0.00162,0.01101
1693382238.337226390838623,0.01120,0.00038,0.00086,0.00629,0.00182,0.00216,0.02271
1693382238.370540380477905,0.00451,0.00021,0.00082,0.00344,0.00204,0.00170,0.01273
1693382238.403759717941284,0.00464,0.00022,0.00091,0.00453,0.00390,0.00185,0.01604
1693382238.437107563018799,0.00386,0.00027,0.00056,0.00532,0.00000,0.00234,0.01235
1693382238.470332145690918,0.00341,0.00021,0.00091,0.00433,0.00235,0.00166,0.01286
1693382238.503455877304077,0.00344,0.00019,0.00063,0.00429,0.00130,0.00177,0.01163
1693382238.536689996719360,0.00328,0.00020,0.00008,0.00506,0.00384,0.00169,0.01416
1693382238.569961547851562,0.00323,0.00020,0.00008,0.00524,0.00000,0.00228,0.01103
1693382238.603290557861328,0.00417,0.00046,0.00027,0.00544,0.00284,0.00189,0.01507
1693382238.636583089828491,0.00385,0.00020,0.00211,0.00532,0.00277,0.00195,0.01621
1693382238.669849157333374,0.00463,0.00024,0.00008,0.00656,0.00280,0.00203,0.01633
1693382238.703036308288574,0.00422,0.00023,0.00123,0.00564,0.00001,0.00175,0.01308
1693382238.736280441284180,0.00398,0.00021,0.00006,0.00571,0.00162,0.00240,0.01397
1693382238.769539833068848,0.00499,0.00039,0.00100,0.00588,0.00045,0.00175,0.01447
1693382238.802845716476440,0.00437,0.00021,0.00098,0.00546,0.00137,0.00269,0.01509
1693382238.836174964904785,0.00396,0.00019,0.00039,0.00553,0.00138,0.00187,0.01333
1693382238.869502305984497,0.00398,0.00021,0.00053,0.00518,0.00261,0.00212,0.01464
1693382238.902771711349487,0.00419,0.00021,0.00153,0.00558,0.00155,0.00180,0.01488
1693382238.936111211776733,0.00371,0.00020,0.00130,0.00541,0.00155,0.00285,0.01502
1693382238.969427585601807,0.00383,0.00018,0.00151,0.00567,0.00160,0.00195,0.01475
1693382239.002501726150513,0.00378,0.00022,0.00017,0.00557,0.00264,0.00193,0.01431
1693382239.035767078399658,0.00370,0.00019,0.00310,0.00589,0.00173,0.00183,0.01644
1693382239.069092273712158,0.00377,0.00033,0.00717,0.00616,0.00004,0.00181,0.01928
1693382239.102288007736206,0.00445,0.00024,0.00276,0.00568,0.00144,0.00192,0.01650
1693382239.135614156723022,0.00344,0.00024,0.00337,0.00603,0.00001,0.00226,0.01534
1693382239.168791055679321,0.00380,0.00023,0.00115,0.00574,0.00131,0.00183,0.01406
1693382239.201876401901245,0.00370,0.00021,0.00236,0.00620,0.00296,0.00204,0.01747
1693382239.235014438629150,0.00416,0.00027,0.00077,0.00658,0.00000,0.00211,0.01389
1693382239.268156290054321,0.00340,0.00022,0.00276,0.00622,0.00000,0.00212,0.01472
1693382239.301303148269653,0.00345,0.00021,0.00271,0.00648,0.00152,0.00200,0.01637
1693382239.334439992904663,0.00326,0.00022,0.00052,0.00658,0.00000,0.00185,0.01242
1693382239.367564201354980,0.00350,0.00027,0.00374,0.00862,0.00000,0.00190,0.01803
1693382239.400710582733154,0.00353,0.00022,0.00219,0.00760,0.00000,0.00270,0.01625
1693382239.433792591094971,0.00313,0.00032,0.00308,0.00743,0.00000,0.00201,0.01598
1693382239.466922998428345,0.00367,0.00024,0.00446,0.00790,0.00000,0.00190,0.01818
1693382239.500063419342041,0.00341,0.00029,0.00037,0.00728,0.00000,0.00296,0.01431
1693382239.533135890960693,0.00352,0.00027,0.00493,0.00731,0.00000,0.00229,0.01832
1693382239.566164970397949,0.00496,0.00024,0.00295,0.00817,0.00000,0.00197,0.01829
1693382239.599241971969604,0.00351,0.00036,0.00510,0.00721,0.00000,0.00218,0.01837
1693382239.632259845733643,0.00336,0.00022,0.00002,0.00708,0.00000,0.00225,0.01293
1693382239.665364503860474,0.00365,0.00025,0.00276,0.00768,0.00000,0.00220,0.01653
1693382239.698498487472534,0.00372,0.00023,0.00282,0.00795,0.00000,0.00216,0.01688
1693382239.731639862060547,0.00312,0.00023,0.00002,0.00731,0.00000,0.00268,0.01337
1693382239.764749526977539,0.00394,0.00023,0.00170,0.00823,0.00000,0.00198,0.01608
1693382239.797862529754639,0.00540,0.00024,0.00174,0.00697,0.00001,0.00195,0.01631
1693382239.830999374389648,0.00369,0.00019,0.00274,0.00651,0.00007,0.00198,0.01519
1693382239.864138841629028,0.00340,0.00038,0.00679,0.00721,0.00025,0.00183,0.01985
