# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382237.77057 -0.014851 0.050487 0.038599 -0.000886 0.031959 -0.723898 0.689165 0.0002003532 0.0000391976 0.0000931657 0.0001187325 -0.0000538393 0.0008791378 0.0064265626 0.0001466772 0.0000597345 0.0059323744 -0.0000825882 0.0028423738
1693382237.80071 -0.004413 -0.011586 0.042224 0.003413 0.036874 -0.730002 0.682441 0.0000485900 0.0000026675 -0.0000219871 0.0000249450 -0.0000165312 0.0004748311 0.0027637493 -0.0000160690 -0.0000226460 0.0028248777 0.0000871663 0.0026507997
1693382237.83414 -0.004916 -0.002552 0.052425 0.010120 0.030838 -0.734807 0.677499 0.0000445787 0.0000009834 -0.0000231103 0.0000248488 -0.0000122393 0.0004700296 0.0027449872 -0.0000243108 -0.0000241018 0.0028053493 0.0000871374 0.0026563471
1693382237.86803 -0.007987 0.008350 0.065306 0.013887 0.026133 -0.739277 0.672751 0.0000373488 -0.0000004972 -0.0000181175 0.0000247009 -0.0000051355 0.0004649441 0.0027370591 -0.0000276538 -0.0000269587 0.0027860787 0.0000910270 0.0026677496
1693382237.90162 -0.006934 0.018632 0.080216 0.014607 0.019987 -0.743908 0.667824 0.0000303292 -0.0000010263 -0.0000114154 0.0000248686 -0.0000020742 0.0004615163 0.0027358119 -0.0000299940 -0.0000302294 0.0027677764 0.0000956624 0.0026796703
1693382237.93547 -0.006563 0.028629 0.096177 0.014876 0.016534 -0.746555 0.664952 0.0000260567 -0.0000009757 -0.0000078062 0.0000250245 0.0000006154 0.0004605062 0.0027413772 -0.0000332070 -0.0000333261 0.0027510992 0.0001007419 0.0026914210
1693382237.96909 -0.005423 0.037072 0.113448 0.014782 0.012705 -0.748319 0.663052 0.0000236170 -0.0000011618 -0.0000047562 0.0000253955 0.0000023465 0.0004607643 0.0027511601 -0.0000374547 -0.0000363665 0.0027376014 0.0001058687 0.0027032056
1693382238.00286 -0.004300 0.044706 0.131530 0.014505 0.009864 -0.749475 0.661800 0.0000220262 -0.0000012332 -0.0000027079 0.0000257281 0.0000042238 0.0004616255 0.0027631500 -0.0000419751 -0.0000393233 0.0027263704 0.0001110126 0.0027144846
1693382238.03655 -0.005056 0.056084 0.150663 0.014148 0.008526 -0.750567 0.660588 0.0000201398 -0.0000016171 -0.0000017198 0.0000260404 0.0000048596 0.0004620908 0.0027746103 -0.0000427321 -0.0000425050 0.0027063331 0.0001137654 0.0027233618
1693382238.07040 -0.013054 0.050566 0.160956 0.010246 0.005761 -0.751182 0.659990 0.0000183826 -0.0000028638 -0.0000014549 0.0000244035 0.0000044805 0.0004562455 0.0027731271 -0.0000569171 -0.0000481756 0.0026893038 0.0001120877 0.0027265345
1693382238.10397 -0.013122 0.055664 0.188888 0.011017 0.007274 -0.752562 0.658389 0.0000170260 -0.0000026049 0.0000005971 0.0000208514 0.0000042689 0.0004535493 0.0027725649 -0.0000616549 -0.0000535011 0.0026767746 0.0001046499 0.0027169571
1693382238.13720 -0.013815 0.063843 0.208654 0.010696 0.005945 -0.754300 0.656416 0.0000163184 -0.0000028388 -0.0000005282 0.0000205244 0.0000038065 0.0004532896 0.0027787845 -0.0000638416 -0.0000556864 0.0026679848 0.0001035679 0.0027208213
1693382238.17057 -0.014711 0.067903 0.229809 0.010411 0.005978 -0.756417 0.653980 0.0000157893 -0.0000027516 -0.0000007345 0.0000199484 0.0000046778 0.0004529757 0.0027857687 -0.0000667732 -0.0000580245 0.0026628878 0.0001028190 0.0027217654
1693382238.20362 -0.007875 0.060858 0.238186 0.011673 0.001510 -0.758229 0.651882 0.0000132264 -0.0000025927 -0.0000037030 0.0000151968 0.0000030844 0.0004371975 0.0027189151 -0.0000499738 -0.0000415159 0.0026430828 0.0000821566 0.0026878762
1693382238.23700 -0.005909 0.064847 0.260569 0.014156 0.002313 -0.761441 0.648075 0.0000126524 -0.0000025275 -0.0000044490 0.0000145511 0.0000076025 0.0004347258 0.0027100064 -0.0000481419 -0.0000402622 0.0026366041 0.0000778377 0.0026850659
1693382238.27038 0.001299 0.070980 0.289259 0.016437 0.003721 -0.766346 0.642208 0.0000115952 -0.0000021854 -0.0000089140 0.0000136186 0.0000096105 0.0004260484 0.0026729041 -0.0000390802 -0.0000392059 0.0026271532 0.0000709681 0.0026771106
1693382238.30374 -0.004386 0.075881 0.310750 0.019898 0.002963 -0.769247 0.638634 0.0000112972 -0.0000024230 -0.0000120787 0.0000129493 0.0000089348 0.0004220403 0.0026579125 -0.0000343688 -0.0000349997 0.0026198409 0.0000659390 0.0026753202
1693382238.33708 -0.004092 0.080992 0.332994 0.022236 0.001593 -0.773088 0.633907 0.0000110896 -0.0000024630 -0.0000124453 0.0000127713 0.0000111876 0.0004211638 0.0026550265 -0.0000317717 -0.0000331130 0.0026136797 0.0000615168 0.0026743093
1693382238.37037 -0.006314 0.087884 0.360034 0.024890 0.000780 -0.776321 0.629845 0.0000104372 -0.0000021532 -0.0000145108 0.0000109528 0.0000120740 0.0004165874 0.0026366271 -0.0000234177 -0.0000238830 0.0026009250 0.0000442297 0.0026472657
1693382238.40363 -0.011666 0.092508 0.378174 0.025209 -0.001155 -0.778763 0.626810 0.0000091312 -0.0000008692 -0.0000156241 0.0000082203 0.0000134741 0.0004115820 0.0026118253 -0.0000130697 -0.0000111407 0.0025853511 0.0000178324 0.0025941780
1693382238.43697 -0.013577 0.098523 0.403770 0.023837 -0.002276 -0.782434 0.622273 0.0000088289 -0.0000007714 -0.0000135426 0.0000081273 0.0000137913 0.0004113457 0.0026096719 -0.0000122125 -0.0000108911 0.0025830464 0.0000168145 0.0025941394
1693382238.47016 -0.012398 0.101200 0.424424 0.022628 -0.003263 -0.786070 0.617715 0.0000085609 -0.0000007210 -0.0000127611 0.0000078545 0.0000128233 0.0004109379 0.0026072277 -0.0000111836 -0.0000101406 0.0025803948 0.0000149171 0.0025919714
1693382238.50326 -0.011446 0.105406 0.449524 0.020635 -0.004415 -0.787844 0.615514 0.0000082315 -0.0000006627 -0.0000102840 0.0000077399 0.0000127771 0.0004107491 0.0026052481 -0.0000106215 -0.0000099503 0.0025784130 0.0000141000 0.0025921989
1693382238.53652 -0.010424 0.108760 0.473087 0.019121 -0.004447 -0.787982 0.615385 0.0000079893 -0.0000006205 -0.0000097699 0.0000074785 0.0000116582 0.0004105695 0.0026034383 -0.0000100381 -0.0000097063 0.0025763840 0.0000131238 0.0025922415
1693382238.56980 -0.011797 0.113642 0.498638 0.015543 -0.004093 -0.787662 0.615898 0.0000077603 -0.0000005357 -0.0000071969 0.0000073562 0.0000101865 0.0004105172 0.0026017853 -0.0000095034 -0.0000094177 0.0025747061 0.0000122949 0.0025925210
1693382238.60316 -0.013136 0.117392 0.523075 0.011076 -0.003273 -0.787444 0.616278 0.0000075715 -0.0000004846 -0.0000053761 0.0000071491 0.0000074587 0.0004104489 0.0026004775 -0.0000088938 -0.0000091843 0.0025731099 0.0000114698 0.0025928347
1693382238.63646 -0.016967 0.122671 0.550218 0.007310 -0.000955 -0.787443 0.616344 0.0000073706 -0.0000003985 -0.0000034934 0.0000069924 0.0000052109 0.0004103012 0.0025990932 -0.0000081590 -0.0000086974 0.0025715720 0.0000103025 0.0025922951
1693382238.66979 -0.020845 0.127825 0.578087 0.004372 -0.001391 -0.787707 0.616032 0.0000071909 -0.0000003314 -0.0000015090 0.0000068482 0.0000038171 0.0004101419 0.0025980776 -0.0000073705 -0.0000082679 0.0025701617 0.0000091246 0.0025917306
1693382238.70301 -0.024542 0.131846 0.603871 0.005387 -0.001556 -0.788115 0.615502 0.0000071024 -0.0000003590 -0.0000027287 0.0000068130 0.0000045406 0.0004099366 0.0025972637 -0.0000066557 -0.0000080461 0.0025690692 0.0000083283 0.0025919831
1693382238.73627 -0.028153 0.135487 0.627962 0.007599 -0.003670 -0.789158 0.614133 0.0000069932 -0.0000003783 -0.0000026842 0.0000068202 0.0000067513 0.0004097112 0.0025965768 -0.0000059687 -0.0000077883 0.0025680970 0.0000074953 0.0025921125
1693382238.76953 -0.030897 0.138780 0.651853 0.011734 -0.005294 -0.790828 0.611903 0.0000069573 -0.0000004545 -0.0000048205 0.0000069139 0.0000097304 0.0004094156 0.0025960688 -0.0000053269 -0.0000076404 0.0025672923 0.0000067672 0.0025923807
1693382238.80281 -0.033401 0.143032 0.675185 0.015674 -0.007469 -0.792502 0.609622 0.0000069016 -0.0000005449 -0.0000058096 0.0000070196 0.0000131143 0.0004090626 0.0025956614 -0.0000047193 -0.0000073868 0.0025665730 0.0000060283 0.0025924355
1693382238.83615 -0.034644 0.146723 0.696819 0.018393 -0.009700 -0.794472 0.606945 0.0000068575 -0.0000006316 -0.0000067163 0.0000071578 0.0000154924 0.0004087528 0.0025955567 -0.0000041569 -0.0000072314 0.0025659560 0.0000053589 0.0025927678
1693382238.86947 -0.035058 0.150055 0.714970 0.020223 -0.011232 -0.796028 0.604818 0.0000067693 -0.0000006765 -0.0000073821 0.0000071476 0.0000170518 0.0004084846 0.0025953931 -0.0000036115 -0.0000067445 0.0025653548 0.0000044839 0.0025920161
1693382238.90277 -0.036369 0.153386 0.734043 0.021554 -0.011052 -0.797822 0.602407 0.0000067597 -0.0000007557 -0.0000083320 0.0000071813 0.0000177158 0.0004083113 0.0025953768 -0.0000032444 -0.0000065347 0.0025648910 0.0000039521 0.0025924230
1693382238.93613 -0.038559 0.156507 0.749753 0.023250 -0.010842 -0.799324 0.600352 0.0000067194 -0.0000007934 -0.0000095952 0.0000071187 0.0000179217 0.0004081304 0.0025953958 -0.0000027807 -0.0000061792 0.0025644777 0.0000032025 0.0025918756
1693382238.96943 -0.040590 0.160273 0.766901 0.024912 -0.011599 -0.801134 0.597854 0.0000066311 -0.0000008591 -0.0000100315 0.0000071630 0.0000198520 0.0004078104 0.0025954525 -0.0000022592 -0.0000057111 0.0025642006 0.0000026051 0.0025912403
1693382239.00247 -0.042769 0.163667 0.782994 0.028212 -0.013755 -0.800963 0.597890 0.0000066213 -0.0000009872 -0.0000110223 0.0000074293 0.0000225769 0.0004074224 0.0025957079 -0.0000018177 -0.0000054806 0.0025639864 0.0000020887 0.0025914226
1693382239.03571 -0.045160 0.166851 0.798906 0.031566 -0.016590 -0.799091 0.600152 0.0000065988 -0.0000011276 -0.0000115547 0.0000078558 0.0000261841 0.0004069023 0.0025959490 -0.0000013983 -0.0000052618 0.0025638390 0.0000016373 0.0025917429
1693382239.06901 -0.047767 0.168467 0.809880 0.035286 -0.018790 -0.796709 0.603039 0.0000065753 -0.0000013122 -0.0000131272 0.0000081808 0.0000289515 0.0004063274 0.0025960978 -0.0000010270 -0.0000049807 0.0025636863 0.0000010940 0.0025914196
1693382239.10218 -0.053052 0.170503 0.818638 0.036287 -0.022398 -0.793818 0.606658 0.0000063065 -0.0000012100 -0.0000120206 0.0000082806 0.0000313225 0.0004058112 0.0025959070 -0.0000006402 -0.0000044724 0.0025635696 0.0000004254 0.0025881696
1693382239.13551 -0.055143 0.173595 0.830965 0.034096 -0.025344 -0.791759 0.609355 0.0000060538 -0.0000010182 -0.0000088956 0.0000085265 0.0000332437 0.0004055849 0.0025960879 -0.0000000667 -0.0000042782 0.0025636345 0.0000001818 0.0025882434
1693382239.16866 -0.058053 0.175554 0.844723 0.031609 -0.027521 -0.789296 0.612581 0.0000058731 -0.0000007735 -0.0000058521 0.0000085293 0.0000334808 0.0004055872 0.0025963935 0.0000002077 -0.0000040339 0.0025635695 -0.0000001245 0.0025880427
1693382239.20175 -0.060529 0.176698 0.856366 0.029819 -0.028906 -0.787903 0.614397 0.0000057597 -0.0000006299 -0.0000041275 0.0000084201 0.0000330928 0.0004056319 0.0025965441 0.0000004999 -0.0000038072 0.0025635503 -0.0000003859 0.0025880160
1693382239.23491 -0.062208 0.177343 0.865064 0.029190 -0.029837 -0.787478 0.614927 0.0000057369 -0.0000005816 -0.0000034781 0.0000084449 0.0000332363 0.0004055975 0.0025966790 0.0000007546 -0.0000036755 0.0025635526 -0.0000006682 0.0025881825
1693382239.26805 -0.064211 0.177976 0.871582 0.029517 -0.031626 -0.786994 0.615442 0.0000056756 -0.0000005192 -0.0000029139 0.0000085801 0.0000344176 0.0004053399 0.0025966825 0.0000009604 -0.0000034941 0.0025635229 -0.0000009404 0.0025875442
1693382239.30119 -0.065894 0.178336 0.878311 0.031061 -0.034377 -0.786396 0.615982 0.0000056237 -0.0000004788 -0.0000023395 0.0000090192 0.0000370695 0.0004048210 0.0025967754 0.0000012014 -0.0000033567 0.0025635328 -0.0000011853 0.0025873066
1693382239.33432 -0.067705 0.178706 0.884121 0.034251 -0.038091 -0.785808 0.616346 0.0000055604 -0.0000005044 -0.0000025746 0.0000096925 0.0000408240 0.0004039812 0.0025966651 0.0000014088 -0.0000032340 0.0025635380 -0.0000014242 0.0025866417
1693382239.36746 -0.069085 0.178692 0.890043 0.038609 -0.042309 -0.785643 0.616023 0.0000055133 -0.0000005802 -0.0000030414 0.0000107151 0.0000457017 0.0004028408 0.0025967398 0.0000016048 -0.0000031148 0.0025635386 -0.0000016262 0.0025863285
1693382239.40060 -0.070269 0.178997 0.895426 0.043705 -0.048173 -0.785578 0.615334 0.0000054734 -0.0000006863 -0.0000035348 0.0000122118 0.0000518381 0.0004012519 0.0025967369 0.0000017454 -0.0000030532 0.0025635244 -0.0000018428 0.0025860474
1693382239.43372 -0.071657 0.178932 0.899676 0.050668 -0.054115 -0.784769 0.615338 0.0000054577 -0.0000009532 -0.0000050475 0.0000140946 0.0000586584 0.0003991934 0.0025966237 0.0000019251 -0.0000029357 0.0025635320 -0.0000020196 0.0025853367
1693382239.46685 -0.072922 0.178755 0.904931 0.058692 -0.058562 -0.783031 0.616431 0.0000054833 -0.0000014554 -0.0000075862 0.0000161756 0.0000651886 0.0003969478 0.0025966234 0.0000020895 -0.0000028751 0.0025635448 -0.0000021965 0.0025850638
1693382239.49997 -0.074178 0.178806 0.911072 0.065119 -0.062340 -0.781201 0.617736 0.0000055249 -0.0000018734 -0.0000092944 0.0000180451 0.0000704910 0.0003949281 0.0025966541 0.0000022376 -0.0000028066 0.0025635611 -0.0000023783 0.0025848213
