# timestamp(s) tx ty tz qx qy qz qw
1693382237.77057 0.000680 0.042227 0.039168 -0.001076 0.033667 -0.723365 0.689644
1693382237.80021 -0.003629 -0.028689 0.015776 0.003063 0.034507 -0.726705 0.686075
1693382237.83349 -0.004634 -0.018278 0.026183 0.010089 0.028930 -0.731628 0.681015
1693382237.86732 -0.008305 -0.006217 0.039260 0.014234 0.024701 -0.736473 0.675866
1693382237.90075 -0.006659 0.003560 0.053964 0.015336 0.018597 -0.741797 0.670191
1693382237.93458 -0.006281 0.012915 0.069905 0.015805 0.015362 -0.744874 0.666841
1693382237.96816 -0.004505 0.020442 0.087328 0.015813 0.011583 -0.747008 0.664526
1693382238.00191 -0.005461 0.027785 0.106348 0.015831 0.008737 -0.748119 0.663318
1693382238.03558 -0.004939 0.033914 0.125599 0.015754 0.007365 -0.749625 0.661635
1693382238.06943 -0.008252 0.030513 0.138518 0.011988 0.005255 -0.751533 0.659566
1693382238.10305 -0.011993 0.037034 0.165249 0.012374 0.006471 -0.752691 0.658226
1693382238.13630 -0.019484 0.049367 0.188835 0.012542 0.005230 -0.753627 0.657162
1693382238.16971 -0.013605 0.052714 0.212013 0.011632 0.006172 -0.757322 0.652909
1693382238.20285 -0.009990 0.053394 0.227140 0.012242 0.003529 -0.759815 0.650015
1693382238.23617 -0.010724 0.055858 0.247481 0.014371 0.003595 -0.762599 0.646702
1693382238.26953 -0.013134 0.060930 0.269778 0.017566 0.003164 -0.765316 0.643408
1693382238.30289 -0.014183 0.063964 0.289507 0.020514 0.002541 -0.769001 0.638914
1693382238.33622 -0.015402 0.068922 0.311215 0.022633 0.001245 -0.772856 0.634177
1693382238.36954 -0.015662 0.073871 0.334231 0.025141 0.000328 -0.776368 0.629778
1693382238.40279 -0.016686 0.077414 0.353495 0.025322 -0.001314 -0.779603 0.625760
1693382238.43614 -0.018299 0.082290 0.377118 0.023792 -0.002807 -0.783365 0.621100
1693382238.46940 -0.019620 0.086094 0.400140 0.022878 -0.003765 -0.786615 0.617008
1693382238.50256 -0.020990 0.091003 0.425517 0.020918 -0.004976 -0.788194 0.615051
1693382238.53578 -0.022704 0.094687 0.449584 0.019197 -0.005019 -0.788349 0.614909
1693382238.56907 -0.025531 0.099562 0.474694 0.015562 -0.004761 -0.788005 0.615454
1693382238.60239 -0.028193 0.103544 0.499429 0.010953 -0.003961 -0.787829 0.615784
1693382238.63571 -0.031322 0.108325 0.526575 0.007480 -0.002301 -0.787587 0.616153
1693382238.66900 -0.035338 0.113721 0.556258 0.004499 -0.002854 -0.787872 0.615817
1693382238.70221 -0.039359 0.117111 0.581152 0.005869 -0.003419 -0.788094 0.615517
1693382238.73547 -0.043686 0.121342 0.605759 0.008154 -0.005555 -0.789046 0.614255
1693382238.76875 -0.047625 0.125094 0.629719 0.012432 -0.007309 -0.790597 0.612167
