# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382237.770573139190674,0.00407,0.00014,0.00042,0.00000,0.00000,0.00147,0.00609
1693382237.800213098526001,0.00368,0.00013,0.00158,0.00000,0.00239,0.00233,0.01012
1693382237.833493232727051,0.00469,0.00015,0.00004,0.00036,0.00000,0.00185,0.00708
1693382237.867316484451294,0.00306,0.00015,0.00002,0.00031,0.00000,0.00158,0.00512
1693382237.900754451751709,0.00289,0.00014,0.00009,0.00032,0.00001,0.00182,0.00527
1693382237.934581518173218,0.00303,0.00015,0.00006,0.00031,0.00000,0.00243,0.00598
1693382237.968158006668091,0.00382,0.00015,0.00005,0.00033,0.00000,0.00159,0.00594
1693382238.001907110214233,0.00326,0.00017,0.00021,0.00032,0.00000,0.00186,0.00582
1693382238.035584926605225,0.00378,0.00018,0.00004,0.00039,0.00000,0.00317,0.00756
1693382238.069428205490112,0.00347,0.00020,0.00036,0.00036,0.00122,0.00176,0.00738
1693382238.103050470352173,0.00417,0.00015,0.00056,0.00044,0.00553,0.00201,0.01286
1693382238.136299371719360,0.01167,0.00030,0.00070,0.00234,0.00303,0.00269,0.02072
1693382238.169710874557495,0.00479,0.00021,0.00079,0.00198,0.00142,0.00258,0.01177
1693382238.202854871749878,0.00331,0.00031,0.00043,0.00293,0.01936,0.00168,0.02801
1693382238.236174106597900,0.00532,0.00021,0.00062,0.00412,0.00000,0.00169,0.01196
1693382238.269527196884155,0.00346,0.00022,0.00052,0.00359,0.00306,0.00244,0.01329
1693382238.302889585494995,0.00425,0.00022,0.00007,0.00488,0.00248,0.00191,0.01382
1693382238.336219072341919,0.00498,0.00035,0.00075,0.00516,0.00170,0.00227,0.01520
1693382238.369540929794312,0.00398,0.00019,0.00085,0.00478,0.00207,0.00175,0.01362
1693382238.402789115905762,0.01322,0.00060,0.00304,0.01087,0.00668,0.00370,0.03810
1693382238.436141967773438,0.00468,0.00020,0.00056,0.00454,0.00000,0.00171,0.01170
1693382238.469397068023682,0.00361,0.00046,0.00116,0.00441,0.00232,0.00230,0.01427
1693382238.502556324005127,0.00722,0.00022,0.00067,0.00449,0.00137,0.00271,0.01668
