# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382558.79000 0.018123 0.027230 0.037055 -0.004548 0.035766 0.998873 0.030879 0.0009144896 0.0000001728 -0.0000001434 0.0009145078 -0.0000001148 0.0009144316 0.0210443791 -0.0000003417 -0.0000617768 0.0210440575 -0.0000916138 0.0028380739
1693382558.82040 -0.029324 0.025859 0.040613 -0.000377 0.030481 0.999120 0.028810 0.0000487373 0.0000065071 0.0000089846 0.0000317693 0.0000333302 0.0004825358 0.0030991601 0.0001321225 0.0001189765 0.0026990725 0.0000906307 0.0026689851
1693382558.85373 -0.021649 0.023896 0.044201 0.002425 0.024200 0.999252 0.030074 0.0000474296 0.0000078383 0.0000107356 0.0000295045 0.0000256430 0.0004759903 0.0030231472 0.0001195662 0.0001229909 0.0026872674 0.0000896952 0.0026653836
1693382558.88745 -0.013199 0.020069 0.048096 0.006506 0.014796 0.999452 0.028872 0.0000456880 0.0000083847 0.0000119201 0.0000276859 0.0000169807 0.0004712241 0.0029649558 0.0001131260 0.0001249838 0.0026784723 0.0000907938 0.0026647404
1693382558.92197 -0.007316 0.009771 0.050249 0.010844 0.006918 0.999544 0.027330 0.0000411717 0.0000066052 0.0000162925 0.0000241916 0.0000076854 0.0004652970 0.0029061440 0.0001053617 0.0001193644 0.0026632258 0.0000843795 0.0026523094
1693382558.95632 -0.001350 0.004743 0.054263 0.015627 -0.001933 0.999584 0.024159 0.0000351698 0.0000043939 0.0000213380 0.0000222879 0.0000026883 0.0004599670 0.0028637586 0.0001023925 0.0001160051 0.0026488674 0.0000805972 0.0026490857
1693382558.99060 0.001799 0.001235 0.058485 0.020066 -0.009409 0.999533 0.021036 0.0000295193 0.0000018552 0.0000266634 0.0000204346 -0.0000023622 0.0004548144 0.0028271162 0.0000981140 0.0001110515 0.0026360872 0.0000754459 0.0026444279
1693382559.02430 0.008031 0.004014 0.066674 0.024924 -0.016133 0.999419 0.016757 0.0000258833 0.0000004322 0.0000319917 0.0000196398 -0.0000066528 0.0004507545 0.0027981809 0.0000915273 0.0001051872 0.0026267610 0.0000702103 0.0026396236
1693382559.05834 0.013880 0.006538 0.076185 0.029645 -0.020269 0.999266 0.013318 0.0000218767 -0.0000026389 0.0000327227 0.0000154676 -0.0000159036 0.0004372121 0.0027334103 0.0000589736 0.0000665543 0.0026016063 0.0000415333 0.0026032390
1693382559.09225 0.016648 0.007176 0.086435 0.033020 -0.022391 0.999158 0.009543 0.0000201783 -0.0000032046 0.0000349585 0.0000151370 -0.0000184071 0.0004333904 0.0027080600 0.0000504639 0.0000600445 0.0025946867 0.0000364178 0.0025998593
