# timestamp(s) tx ty tz qx qy qz qw
1693382558.78807 0.018169 -0.003295 0.037693 -0.004406 0.032723 0.998981 0.030768
1693382558.82032 -0.009430 -0.000628 0.039918 0.001107 0.028875 0.999038 0.032977
1693382558.85369 -0.005306 -0.004213 0.044503 0.003888 0.022536 0.999123 0.035067
1693382558.88748 -0.000646 -0.009649 0.047424 0.008038 0.013629 0.999285 0.034349
1693382558.92198 0.004936 -0.019755 0.048173 0.012618 0.006004 0.999370 0.032632
1693382558.95643 0.006107 -0.026707 0.048870 0.017662 -0.002235 0.999399 0.029728
1693382558.99091 0.009849 -0.029167 0.053373 0.021349 -0.008565 0.999413 0.025401
1693382559.02462 0.013014 -0.021419 0.060189 0.026305 -0.014756 0.999355 0.019465
1693382559.05857 0.014198 -0.021289 0.067965 0.030604 -0.017688 0.999259 0.015231
1693382559.09256 0.015200 -0.014287 0.078358 0.033365 -0.018741 0.999229 0.008808
1693382559.12651 0.017901 -0.006814 0.089078 0.036643 -0.019822 0.999132 0.000570
1693382559.16037 0.018232 -0.006364 0.100264 -0.038474 0.022307 -0.998996 0.005362
1693382559.19402 0.016034 -0.002480 0.111329 -0.039282 0.025348 -0.998819 0.013213
1693382559.22724 0.015324 0.002420 0.126917 -0.037988 0.031597 -0.998626 0.017468
1693382559.26065 0.023119 0.008774 0.145358 -0.036962 0.035415 -0.998480 0.020441
1693382559.29408 0.031105 0.015424 0.165866 -0.035425 0.037843 -0.998437 0.020909
1693382559.32720 0.038452 0.019896 0.185886 -0.033172 0.037711 -0.998538 0.019980
1693382559.36027 0.047621 0.025301 0.207688 -0.031492 0.034822 -0.998724 0.018595
1693382559.39370 0.057386 0.029563 0.230461 -0.030227 0.030553 -0.998941 0.016394
1693382559.42722 0.064964 0.030571 0.252370 -0.028625 0.025012 -0.999179 0.013989
1693382559.46083 0.083676 0.031664 0.286786 -0.023848 0.020116 -0.999426 0.013189
1693382559.49423 0.088161 0.029277 0.308055 -0.021271 0.017378 -0.999531 0.013576
1693382559.52756 0.096089 0.029167 0.332734 -0.018718 0.018247 -0.999540 0.015405
1693382559.56101 0.102032 0.029682 0.355477 -0.016901 0.020538 -0.999512 0.016369
1693382559.59455 0.109073 0.030025 0.379614 -0.015770 0.023385 -0.999462 0.016712
1693382559.62813 0.115032 0.030171 0.403728 -0.014753 0.025611 -0.999418 0.017036
1693382559.66162 0.119985 0.030063 0.428162 -0.012041 0.027448 -0.999376 0.018663
1693382559.69498 0.126943 0.031151 0.454201 -0.009985 0.028865 -0.999305 0.021376
1693382559.72848 0.132381 0.032645 0.478766 -0.009979 0.031349 -0.999190 0.023179
1693382559.76171 0.138540 0.033292 0.503401 -0.011833 0.033772 -0.999062 0.024375
1693382559.79529 0.143984 0.034215 0.527355 -0.015615 0.036257 -0.998889 0.025747
1693382559.82885 0.149014 0.034933 0.549771 -0.018591 0.037934 -0.998742 0.027030
1693382559.86246 0.153154 0.035363 0.569954 -0.022729 0.038192 -0.998615 0.028166
1693382559.89598 0.156396 0.034727 0.588572 -0.024976 0.037349 -0.998518 0.030723
1693382559.92941 0.160906 0.036207 0.608048 -0.027397 0.036096 -0.998383 0.034312
1693382559.96293 0.165243 0.037054 0.626130 -0.030021 0.033977 -0.998255 0.037842
1693382559.99642 0.170223 0.038724 0.643983 -0.034029 0.031369 -0.998063 0.041566
1693382560.02972 0.173754 0.040325 0.662567 -0.036297 0.029313 -0.997920 0.044482
1693382560.06324 0.177221 0.041112 0.678143 -0.037064 0.028293 -0.997845 0.046173
1693382560.09666 0.180626 0.041895 0.693676 -0.037192 0.027489 -0.997831 0.046852
1693382560.13009 0.183767 0.042365 0.707828 -0.035697 0.027388 -0.997902 0.046563
1693382560.16362 0.187030 0.042855 0.720527 -0.033616 0.027566 -0.998054 0.044703
1693382560.19685 0.189589 0.043492 0.733456 -0.029668 0.028240 -0.998236 0.042988
1693382560.22995 0.191362 0.044186 0.744696 -0.023527 0.028373 -0.998375 0.043464
1693382560.26341 0.193925 0.045740 0.753048 -0.018279 0.027951 -0.998379 0.046090
1693382560.29696 0.196868 0.047888 0.761335 -0.014340 0.027267 -0.998286 0.049767
1693382560.33053 0.199938 0.049936 0.769347 -0.010858 0.027189 -0.998171 0.052889
1693382560.36401 0.203150 0.052181 0.776906 -0.008102 0.027726 -0.998067 0.055034
1693382560.39727 0.206527 0.054562 0.783678 -0.007205 0.028390 -0.997969 0.056570
1693382560.43059 0.208906 0.057085 0.790822 -0.006209 0.029480 -0.997883 0.057634
1693382560.46396 0.211676 0.059147 0.796871 -0.004781 0.031125 -0.997811 0.058147
1693382560.49724 0.214167 0.058878 0.804100 -0.004360 0.032605 -0.997808 0.057413
1693382560.53054 0.216632 0.060332 0.809862 -0.004513 0.033292 -0.997877 0.055793
1693382560.56382 0.218407 0.061271 0.815884 -0.003226 0.033174 -0.998025 0.053254
1693382560.59715 0.219937 0.062404 0.820826 -0.001318 0.031805 -0.998197 0.050895
1693382560.63021 0.221000 0.064570 0.826464 -0.000792 0.028859 -0.998337 0.049906
1693382560.66344 0.222126 0.065532 0.830168 -0.003214 0.025110 -0.998494 0.048676
1693382560.69679 0.222669 0.066579 0.833472 -0.006198 0.021596 -0.998619 0.047499
1693382560.73005 0.222591 0.066694 0.837443 -0.007222 0.019003 -0.998682 0.047132
1693382560.76338 0.222369 0.067054 0.840497 -0.007898 0.017091 -0.998677 0.047858
1693382560.79659 0.222420 0.066867 0.840786 -0.009429 0.015968 -0.998633 0.048877
