# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382558.788074970245361,0.00326,0.00013,0.00050,0.00000,0.00000,0.00163,0.00552
1693382558.820320367813110,0.00354,0.00015,0.00085,0.00000,0.00326,0.00155,0.00934
1693382558.853688716888428,0.00309,0.00014,0.00014,0.00070,0.00000,0.00142,0.00549
1693382558.887481689453125,0.00357,0.00018,0.00010,0.00065,0.00000,0.00181,0.00632
1693382558.921984672546387,0.00436,0.00017,0.00001,0.00065,0.00000,0.00180,0.00700
1693382558.956434249877930,0.00396,0.00017,0.00012,0.00064,0.00000,0.00155,0.00645
1693382558.990905761718750,0.00410,0.00017,0.00001,0.00066,0.00000,0.00168,0.00662
1693382559.024619817733765,0.00578,0.00016,0.00019,0.00069,0.00000,0.00195,0.00878
1693382559.058568477630615,0.00386,0.00018,0.00006,0.00064,0.00342,0.00181,0.00997
1693382559.092560291290283,0.00403,0.00016,0.00021,0.00122,0.00679,0.00226,0.01467
1693382559.126507520675659,0.00498,0.00017,0.00050,0.00214,0.00000,0.00186,0.00966
1693382559.160369873046875,0.00390,0.00018,0.00008,0.00199,0.00322,0.00187,0.01124
1693382559.194015026092529,0.00382,0.00018,0.00038,0.00224,0.00362,0.00212,0.01236
1693382559.227240562438965,0.00388,0.00025,0.00020,0.00210,0.00875,0.00180,0.01698
1693382559.260645866394043,0.00353,0.00019,0.00032,0.00281,0.00224,0.00206,0.01115
1693382559.294078111648560,0.00386,0.00019,0.00034,0.00379,0.00584,0.00192,0.01593
1693382559.327196836471558,0.00387,0.00025,0.00026,0.00515,0.00007,0.00210,0.01171
1693382559.360270261764526,0.00529,0.00035,0.00009,0.00784,0.00236,0.00269,0.01861
1693382559.393699884414673,0.00380,0.00031,0.00024,0.00508,0.00377,0.00173,0.01493
1693382559.427222728729248,0.00385,0.00023,0.00031,0.00559,0.00035,0.00181,0.01214
1693382559.460827827453613,0.00361,0.00020,0.00022,0.00586,0.00159,0.00207,0.01354
1693382559.494230270385742,0.00378,0.00021,0.00025,0.00638,0.00074,0.00262,0.01397
1693382559.527559995651245,0.00479,0.00024,0.00401,0.00659,0.00455,0.00194,0.02212
1693382559.561006307601929,0.00403,0.00025,0.00283,0.00666,0.00026,0.00211,0.01614
1693382559.594549894332886,0.00397,0.00021,0.00009,0.00681,0.00029,0.00219,0.01355
1693382559.628131389617920,0.00387,0.00022,0.00171,0.00666,0.00028,0.00196,0.01471
1693382559.661618471145630,0.00425,0.00023,0.00033,0.00671,0.00028,0.00230,0.01411
1693382559.694977283477783,0.00389,0.00037,0.00150,0.00611,0.00057,0.00185,0.01428
1693382559.728482246398926,0.00517,0.00022,0.00034,0.00587,0.00048,0.00191,0.01399
1693382559.761706590652466,0.00357,0.00022,0.00069,0.00589,0.00048,0.00202,0.01287
1693382559.795285224914551,0.00521,0.00024,0.00033,0.00578,0.00109,0.00200,0.01466
1693382559.828854560852051,0.00414,0.00026,0.00118,0.00511,0.00064,0.00185,0.01318
1693382559.862456560134888,0.00411,0.00022,0.00030,0.00473,0.00000,0.00189,0.01125
1693382559.895979642868042,0.01666,0.00083,0.00160,0.01328,0.00174,0.00376,0.03788
1693382559.929408311843872,0.00451,0.00025,0.00038,0.00421,0.01002,0.00216,0.02153
1693382559.962931632995605,0.00347,0.00023,0.00214,0.00528,0.00246,0.00219,0.01578
1693382559.996418714523315,0.00376,0.00033,0.00012,0.00626,0.00002,0.00238,0.01287
1693382560.029721975326538,0.00430,0.00023,0.00304,0.00551,0.00101,0.00195,0.01604
1693382560.063235998153687,0.00325,0.00020,0.00007,0.00522,0.00026,0.00178,0.01078
1693382560.096664905548096,0.00496,0.00022,0.00017,0.00550,0.00153,0.00180,0.01419
1693382560.130086421966553,0.00363,0.00029,0.00009,0.00630,0.00028,0.00189,0.01249
1693382560.163615703582764,0.00500,0.00027,0.00002,0.00637,0.00118,0.00209,0.01494
1693382560.196845293045044,0.00366,0.00021,0.00079,0.00445,0.00085,0.00196,0.01192
1693382560.229947090148926,0.00371,0.00024,0.00647,0.00476,0.00035,0.00216,0.01769
1693382560.263406991958618,0.00350,0.00022,0.00048,0.00446,0.00137,0.00224,0.01227
1693382560.296958684921265,0.01298,0.00050,0.00036,0.00859,0.00063,0.00258,0.02563
1693382560.330525398254395,0.00363,0.00022,0.00013,0.00547,0.00086,0.00210,0.01241
1693382560.364012479782104,0.00353,0.00023,0.00130,0.00557,0.00116,0.00208,0.01387
1693382560.397268772125244,0.00364,0.00026,0.00014,0.00615,0.00117,0.00232,0.01367
1693382560.430588960647583,0.00486,0.00024,0.00281,0.00605,0.00057,0.00207,0.01659
1693382560.463960409164429,0.00385,0.00021,0.00009,0.00629,0.00034,0.00220,0.01300
1693382560.497238636016846,0.00400,0.00022,0.00003,0.00661,0.00092,0.00212,0.01391
1693382560.530542850494385,0.00396,0.00024,0.00003,0.00647,0.00047,0.00223,0.01339
1693382560.563821554183960,0.00393,0.00022,0.00002,0.00661,0.00013,0.00239,0.01330
1693382560.597154855728149,0.00430,0.00022,0.00002,0.00642,0.00000,0.00213,0.01309
1693382560.630205631256104,0.00415,0.00023,0.00494,0.00571,0.00025,0.00242,0.01770
1693382560.663438558578491,0.00598,0.00023,0.00002,0.00615,0.00000,0.00253,0.01490
1693382560.696785211563110,0.00404,0.00020,0.00073,0.00598,0.00086,0.00266,0.01448
1693382560.730049848556519,0.00388,0.00032,0.00011,0.00658,0.00054,0.00265,0.01408
1693382560.763380527496338,0.00429,0.00024,0.00015,0.00629,0.00163,0.00248,0.01509
1693382560.796589851379395,0.00593,0.00036,0.00994,0.00584,0.00190,0.00239,0.02636
1693382560.829959392547607,0.00410,0.00026,0.00211,0.00683,0.00009,0.00203,0.01542
1693382560.863323450088501,0.00756,0.00027,0.00028,0.00686,0.00034,0.00239,0.01770
1693382560.896697282791138,0.00575,0.00037,0.00003,0.00717,0.00013,0.00241,0.01586
1693382560.930053472518921,0.00436,0.00022,0.00010,0.00679,0.00049,0.00214,0.01411
1693382560.963404417037964,0.00410,0.00021,0.00007,0.00681,0.00014,0.00228,0.01360
1693382560.996632814407349,0.01270,0.00058,0.00006,0.01122,0.00000,0.00267,0.02723
1693382561.029893875122070,0.00444,0.00019,0.00440,0.00658,0.00018,0.00225,0.01805
1693382561.063185214996338,0.00424,0.00020,0.00007,0.00608,0.00023,0.00226,0.01308
1693382561.096444129943848,0.00416,0.00021,0.00014,0.00638,0.00048,0.00245,0.01382
1693382561.129645109176636,0.00395,0.00022,0.00002,0.00605,0.00044,0.00230,0.01297
1693382561.162967681884766,0.00448,0.00022,0.00011,0.00605,0.00026,0.00220,0.01333
1693382561.196307897567749,0.00399,0.00021,0.00588,0.00568,0.00144,0.00206,0.01926
1693382561.229647397994995,0.00405,0.00020,0.00170,0.00592,0.00032,0.00198,0.01418
1693382561.262876272201538,0.00519,0.00020,0.00008,0.00453,0.00049,0.00237,0.01285
1693382561.296213865280151,0.00411,0.00021,0.00016,0.00459,0.00010,0.00262,0.01178
