# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382558.79000 0.018306 0.027019 0.036977 -0.004535 0.035742 0.998873 0.030900 0.0009078611 0.0000001715 -0.0000001424 0.0009078791 -0.0000001140 0.0009078037 0.0205435030 -0.0000003398 -0.0000612657 0.0205431940 -0.0000894982 0.0028313248
1693382558.82029 0.002610 0.028605 0.046025 -0.004385 0.030370 0.999170 0.026807 0.0000454932 0.0000068729 0.0000058682 0.0000310963 0.0000348096 0.0004760574 0.0030605755 0.0001374268 0.0001274257 0.0026997662 0.0000918080 0.0026575181
1693382558.85361 0.009500 0.026726 0.053224 -0.001686 0.025338 0.999317 0.026847 0.0000451256 0.0000077780 0.0000055180 0.0000290764 0.0000266806 0.0004723690 0.0029880554 0.0001236268 0.0001235998 0.0026895917 0.0000921203 0.0026591309
1693382558.88735 0.016505 0.023672 0.061166 0.002191 0.017035 0.999546 0.024761 0.0000438811 0.0000084502 0.0000073850 0.0000277474 0.0000191001 0.0004687602 0.0029287170 0.0001140081 0.0001206790 0.0026807162 0.0000933594 0.0026616900
1693382558.92170 0.025698 0.016770 0.068010 0.006625 0.009284 0.999687 0.022279 0.0000400855 0.0000072401 0.0000123579 0.0000257620 0.0000117978 0.0004643113 0.0028774638 0.0001074669 0.0001172329 0.0026685754 0.0000929235 0.0026625134
1693382558.95607 0.033266 0.015610 0.078352 0.010681 0.001562 0.999789 0.017471 0.0000315381 0.0000009782 0.0000123155 0.0000180609 -0.0000008938 0.0004492067 0.0028186798 0.0000853309 0.0000870402 0.0026378567 0.0000628286 0.0026184616
1693382558.99031 0.038267 0.015644 0.087349 0.014704 -0.005252 0.999793 0.013022 0.0000271654 -0.0000003174 0.0000180642 0.0000175775 -0.0000043800 0.0004440978 0.0027847260 0.0000791124 0.0000844952 0.0026233969 0.0000579103 0.0026195209
1693382559.02407 0.044107 0.022057 0.100826 0.019067 -0.011333 0.999723 0.007879 0.0000229525 -0.0000025170 0.0000215585 0.0000146504 -0.0000108711 0.0004353692 0.0027490586 0.0000643577 0.0000709841 0.0026041767 0.0000399138 0.0025974902
1693382559.05811 0.042972 0.023784 0.110258 0.023316 -0.014300 0.999619 0.003785 0.0000207118 -0.0000032440 0.0000258016 0.0000146762 -0.0000139023 0.0004318578 0.0027204716 0.0000553524 0.0000655680 0.0025951996 0.0000346841 0.0025967636
1693382559.09204 0.044861 0.027645 0.122184 -0.026462 0.016466 -0.999514 0.000586 0.0000192612 -0.0000033868 0.0000280049 0.0000147373 -0.0000148761 0.0004294842 0.0027025659 0.0000493951 0.0000624487 0.0025894995 0.0000317484 0.0025968679
1693382559.12583 0.046022 0.031696 0.136916 -0.029697 0.019074 -0.999359 0.005981 0.0000170716 -0.0000031433 0.0000288419 0.0000147923 -0.0000156778 0.0004253791 0.0026821072 0.0000415621 0.0000587894 0.0025840832 0.0000290154 0.0025969492
