# timestamp(s) tx ty tz qx qy qz qw
1694527259.59356 0.009831 -0.002927 0.053363 -0.005694 0.020110 -0.648633 0.760814
1694527259.62547 0.015353 0.002366 0.061246 -0.011647 0.009817 -0.647099 0.762254
1694527259.65836 0.003369 -0.011383 0.070183 -0.014411 -0.003504 -0.642791 0.765898
1694527259.69176 0.000357 -0.019884 0.081112 -0.018613 -0.013927 -0.641636 0.766657
1694527259.72486 -0.004273 -0.025775 0.093540 -0.022564 -0.023996 -0.639180 0.768351
1694527259.75724 -0.012492 -0.027101 0.107645 -0.025762 -0.032117 -0.633792 0.772407
1694527259.79010 -0.011507 -0.027553 0.120655 -0.029043 -0.036751 -0.627286 0.777379
1694527259.82285 -0.009966 -0.017890 0.135145 -0.034459 -0.039841 -0.619385 0.783318
1694527259.85527 0.000890 0.028732 0.194114 -0.039071 -0.035194 -0.613727 0.787765
1694527259.88839 -0.009515 0.034973 0.213164 -0.044498 -0.028049 -0.599179 0.798885
1694527259.92184 -0.043283 0.051129 0.231137 -0.054452 -0.022634 -0.579670 0.812715
1694527259.95502 -0.036846 0.059599 0.247750 -0.063631 -0.021904 -0.570633 0.818443
1694527259.98827 -0.004434 0.052316 0.249112 -0.073698 -0.023345 -0.571913 0.816663
1694527260.02189 -0.022711 0.075570 0.263986 -0.079132 -0.025088 -0.567605 0.819105
1694527260.05517 -0.023418 0.085537 0.278155 -0.081422 -0.024517 -0.567272 0.819129
1694527260.08845 -0.021131 0.094540 0.291964 -0.079954 -0.023760 -0.568616 0.818364
1694527260.12179 0.001240 0.098763 0.294000 -0.076426 -0.026946 -0.572763 0.815706
1694527260.15489 -0.009859 0.101993 0.321960 -0.067756 -0.028799 -0.569326 0.818809
1694527260.18809 -0.025396 0.116736 0.346115 -0.060246 -0.031698 -0.564612 0.822544
1694527260.22137 -0.031126 0.119806 0.373022 -0.052751 -0.034669 -0.559894 0.826157
1694527260.25451 -0.029230 0.126245 0.389384 -0.049295 -0.038427 -0.555710 0.829023
1694527260.28779 -0.029255 0.129175 0.402156 -0.048138 -0.043504 -0.549949 0.832674
1694527260.32091 -0.023432 0.132114 0.417404 -0.047977 -0.047811 -0.545390 0.835441
1694527260.35411 -0.024483 0.135353 0.431038 -0.048406 -0.052484 -0.540235 0.838480
1694527260.38731 -0.020337 0.143649 0.449093 -0.049376 -0.053778 -0.538152 0.839680
1694527260.42049 -0.017894 0.149744 0.465828 -0.049693 -0.054349 -0.535970 0.841019
1694527260.45366 -0.015291 0.156750 0.483687 -0.050305 -0.054961 -0.533579 0.842462
1694527260.48686 -0.012173 0.163021 0.500757 -0.051274 -0.055913 -0.531192 0.843848
1694527260.52006 -0.007440 0.169284 0.518275 -0.052378 -0.056683 -0.528963 0.845128
1694527260.55324 -0.004100 0.175654 0.536336 -0.053062 -0.057999 -0.525804 0.846965
1694527260.58644 0.000024 0.180151 0.551793 -0.052348 -0.059571 -0.523619 0.848254
1694527260.61965 0.006225 0.184966 0.567172 -0.050892 -0.061601 -0.523104 0.848515
1694527260.65289 0.011825 0.189295 0.581944 -0.048296 -0.063610 -0.524178 0.847855
1694527260.68610 0.016544 0.192854 0.596184 -0.044937 -0.062893 -0.525898 0.847028
1694527260.71930 0.021940 0.196133 0.609833 -0.042462 -0.060166 -0.526564 0.846940
1694527260.75248 0.029599 0.198506 0.620029 -0.042682 -0.057968 -0.525244 0.847902
1694527260.78563 0.036290 0.201622 0.630874 -0.045330 -0.058396 -0.521489 0.850050
1694527260.81881 0.043034 0.205383 0.642253 -0.049017 -0.059443 -0.516609 0.852748
1694527260.85199 0.049634 0.209365 0.654666 -0.052095 -0.056740 -0.512251 0.855374
1694527260.88519 0.054878 0.214006 0.664165 -0.056430 -0.051996 -0.507600 0.858169
1694527260.91839 0.060156 0.216221 0.668952 -0.062102 -0.048336 -0.502415 0.861038
1694527260.95156 0.066749 0.221766 0.679836 -0.068409 -0.045092 -0.496869 0.863949
1694527260.98478 0.073090 0.226934 0.690329 -0.073485 -0.041834 -0.490658 0.867239
