# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1694527259.59356 0.009831 -0.002927 0.053363 -0.005694 0.020110 -0.648633 0.760814 0.0003314858 0.0002092188 0.0000997315 0.0006075836 -0.0000642164 0.0008812725 0.0069761042 0.0041203816 -0.0000219767 0.0163181541 -0.0000558262 0.0028216475
1694527259.62547 0.015353 0.002366 0.061246 -0.011647 0.009817 -0.647099 0.762254 0.0000736426 -0.0000148938 0.0000921714 0.0000440722 -0.0000398546 0.0007537643 0.0036221860 -0.0000372239 0.0000016057 0.0032428552 0.0001221382 0.0027725011
1694527259.65836 0.003369 -0.011383 0.070183 -0.014411 -0.003504 -0.642791 0.765898 0.0000728884 -0.0000144668 0.0001079485 0.0000424491 -0.0000335635 0.0007323630 0.0035887367 -0.0000573102 -0.0000007733 0.0031582675 0.0001391371 0.0027869462
1694527259.69176 0.000357 -0.019884 0.081112 -0.018613 -0.013927 -0.641636 0.766657 0.0000688730 -0.0000115468 0.0001121254 0.0000403570 -0.0000247220 0.0007153422 0.0035408397 -0.0000673014 0.0000020312 0.0030847558 0.0001541029 0.0028004751
1694527259.72486 -0.004273 -0.025775 0.093540 -0.022564 -0.023996 -0.639180 0.768351 0.0000646464 -0.0000084469 0.0001149760 0.0000378320 -0.0000198501 0.0006963771 0.0034881819 -0.0000741767 0.0000044641 0.0030238174 0.0001683943 0.0028148729
1694527259.75724 -0.012492 -0.027101 0.107645 -0.025762 -0.032117 -0.633792 0.772407 0.0000605666 -0.0000064216 0.0001149627 0.0000362946 -0.0000180779 0.0006768129 0.0034336683 -0.0000735843 0.0000053622 0.0029755867 0.0001809667 0.0028295370
1694527259.79010 -0.011507 -0.027553 0.120655 -0.029043 -0.036751 -0.627286 0.777379 0.0000581520 -0.0000055924 0.0001161771 0.0000364691 -0.0000184965 0.0006575205 0.0033908312 -0.0000778597 0.0000037059 0.0029502131 0.0001920933 0.0028454168
1694527259.82285 -0.009966 -0.017890 0.135145 -0.034459 -0.039841 -0.619385 0.783318 0.0000577459 -0.0000058587 0.0001181922 0.0000373230 -0.0000225002 0.0006420964 0.0033538482 -0.0000829542 0.0000001876 0.0029348886 0.0002036342 0.0028614640
1694527259.85527 0.000890 0.028732 0.194114 -0.039071 -0.035194 -0.613727 0.787765 0.0000403531 -0.0000028131 0.0000913589 0.0000343175 -0.0000201625 0.0005635301 0.0031069408 -0.0000821128 -0.0000192606 0.0027921756 0.0001815207 0.0028247455
1694527259.88839 -0.009515 0.034973 0.213164 -0.044498 -0.028049 -0.599179 0.798885 0.0000388834 -0.0000038228 0.0000838975 0.0000373767 -0.0000298906 0.0005614374 0.0031398720 -0.0000867081 -0.0000185209 0.0027876764 0.0001833031 0.0028527887
1694527259.92184 -0.043283 0.051129 0.231137 -0.054452 -0.022634 -0.579670 0.812715 0.0000304497 -0.0000005447 0.0000639088 0.0000323996 -0.0000234142 0.0004832831 0.0028598831 -0.0000393845 -0.0000637627 0.0027736978 0.0001848694 0.0028380199
1694527259.95502 -0.036846 0.059599 0.247750 -0.063631 -0.021904 -0.570633 0.818443 0.0000328019 -0.0000021811 0.0000701619 0.0000355696 -0.0000343319 0.0004830124 0.0028808828 -0.0000362935 -0.0000692788 0.0027736096 0.0001882644 0.0028623389
1694527259.98827 -0.004434 0.052316 0.249112 -0.073698 -0.023345 -0.571913 0.816663 0.0000294295 -0.0000017647 0.0000667804 0.0000368198 -0.0000387268 0.0004630658 0.0028298183 -0.0000172542 -0.0000552636 0.0027602686 0.0001800241 0.0028742519
1694527260.02189 -0.022711 0.075570 0.263986 -0.079132 -0.025088 -0.567605 0.819105 0.0000287089 -0.0000039288 0.0000699156 0.0000363642 -0.0000440975 0.0004568536 0.0028101891 -0.0000174384 -0.0000439623 0.0027481800 0.0001674946 0.0028472904
1694527260.05517 -0.023418 0.085537 0.278155 -0.081422 -0.024517 -0.567272 0.819129 0.0000284582 -0.0000040527 0.0000708690 0.0000373509 -0.0000448723 0.0004567305 0.0028195741 -0.0000139136 -0.0000431790 0.0027449876 0.0001674182 0.0028616338
1694527260.08845 -0.021131 0.094540 0.291964 -0.079954 -0.023760 -0.568616 0.818364 0.0000274496 -0.0000039358 0.0000695584 0.0000369819 -0.0000439368 0.0004536907 0.0028064045 -0.0000112826 -0.0000404670 0.0027392277 0.0001622596 0.0028633131
1694527260.12179 0.001240 0.098763 0.294000 -0.076426 -0.026946 -0.572763 0.815706 0.0000256735 -0.0000048373 0.0000677246 0.0000319469 -0.0000445258 0.0004490545 0.0027848895 -0.0000023531 -0.0000179006 0.0027282536 0.0001422730 0.0028203291
1694527260.15489 -0.009859 0.101993 0.321960 -0.067756 -0.028799 -0.569326 0.818809 0.0000221330 -0.0000062824 0.0000628348 0.0000179188 -0.0000367801 0.0004332451 0.0027273078 -0.0000219147 -0.0000213575 0.0026833387 0.0000887097 0.0026712810
1694527260.18809 -0.025396 0.116736 0.346115 -0.060246 -0.031698 -0.564612 0.822544 0.0000194214 -0.0000034720 0.0000569589 0.0000144195 -0.0000270050 0.0004254300 0.0026928201 -0.0000161765 -0.0000212002 0.0026713011 0.0000786865 0.0026622841
1694527260.22137 -0.031126 0.119806 0.373022 -0.052751 -0.034669 -0.559894 0.826157 0.0000181441 -0.0000027905 0.0000546842 0.0000129823 -0.0000213567 0.0004234714 0.0026855882 -0.0000134879 -0.0000181401 0.0026638262 0.0000750278 0.0026551593
1694527260.25451 -0.029230 0.126245 0.389384 -0.049295 -0.038427 -0.555710 0.829023 0.0000175701 -0.0000018226 0.0000538483 0.0000125076 -0.0000161710 0.0004225442 0.0026803541 -0.0000117327 -0.0000181363 0.0026594531 0.0000738102 0.0026580180
1694527260.28779 -0.029255 0.129175 0.402156 -0.048138 -0.043504 -0.549949 0.832674 0.0000165093 -0.0000016279 0.0000538127 0.0000109505 -0.0000134089 0.0004164779 0.0026624590 -0.0000118861 -0.0000159813 0.0026431955 0.0000564548 0.0026358059
1694527260.32091 -0.023432 0.132114 0.417404 -0.047977 -0.047811 -0.545390 0.835441 0.0000167467 -0.0000012786 0.0000563849 0.0000105279 -0.0000115960 0.0004135251 0.0026546073 -0.0000086822 -0.0000131992 0.0026370544 0.0000531113 0.0026347610
1694527260.35411 -0.024483 0.135353 0.431038 -0.048406 -0.052484 -0.540235 0.838480 0.0000170337 -0.0000010479 0.0000583516 0.0000102606 -0.0000107103 0.0004116852 0.0026498575 -0.0000079068 -0.0000123791 0.0026321342 0.0000505503 0.0026347552
1694527260.38731 -0.020337 0.143649 0.449093 -0.049376 -0.053778 -0.538152 0.839680 0.0000170942 -0.0000008657 0.0000601885 0.0000097125 -0.0000096999 0.0004095549 0.0026447645 -0.0000059334 -0.0000103664 0.0026268267 0.0000468183 0.0026326614
1694527260.42049 -0.017894 0.149744 0.465828 -0.049693 -0.054349 -0.535970 0.841019 0.0000168153 -0.0000008915 0.0000599512 0.0000094627 -0.0000104141 0.0004088429 0.0026430400 -0.0000053217 -0.0000099020 0.0026221772 0.0000440239 0.0026322943
1694527260.45366 -0.015291 0.156750 0.483687 -0.050305 -0.054961 -0.533579 0.842462 0.0000169086 -0.0000009048 0.0000607641 0.0000092949 -0.0000107355 0.0004080297 0.0026415522 -0.0000044915 -0.0000092816 0.0026180143 0.0000414344 0.0026321316
1694527260.48686 -0.012173 0.163021 0.500757 -0.051274 -0.055913 -0.531192 0.843848 0.0000170427 -0.0000009588 0.0000616165 0.0000091379 -0.0000112117 0.0004072575 0.0026405202 -0.0000037765 -0.0000087978 0.0026141014 0.0000388891 0.0026320145
1694527260.52006 -0.007440 0.169284 0.518275 -0.052378 -0.056683 -0.528963 0.845128 0.0000172168 -0.0000010032 0.0000626068 0.0000088740 -0.0000116290 0.0004063513 0.0026393267 -0.0000032868 -0.0000085272 0.0026101855 0.0000359045 0.0026310284
1694527260.55324 -0.004100 0.175654 0.536336 -0.053062 -0.057999 -0.525804 0.846965 0.0000172953 -0.0000011793 0.0000635030 0.0000083824 -0.0000118521 0.0004055927 0.0026383915 -0.0000025378 -0.0000074216 0.0026058395 0.0000314389 0.0026267018
1694527260.58644 0.000024 0.180151 0.551793 -0.052348 -0.059571 -0.523619 0.848254 0.0000172548 -0.0000010535 0.0000637943 0.0000080323 -0.0000111131 0.0004050943 0.0026376604 -0.0000021415 -0.0000071037 0.0026027226 0.0000286582 0.0026251051
1694527260.61965 0.006225 0.184966 0.567172 -0.050892 -0.061601 -0.523104 0.848515 0.0000174411 -0.0000007867 0.0000646938 0.0000077590 -0.0000092468 0.0004046155 0.0026370297 -0.0000016660 -0.0000063141 0.0026002930 0.0000265311 0.0026242296
1694527260.65289 0.011825 0.189295 0.581944 -0.048296 -0.063610 -0.524178 0.847855 0.0000173377 -0.0000003595 0.0000648870 0.0000073344 -0.0000065459 0.0004042157 0.0026362969 -0.0000017499 -0.0000059458 0.0025977368 0.0000238906 0.0026221031
1694527260.68610 0.016544 0.192854 0.596184 -0.044937 -0.062893 -0.525898 0.847028 0.0000165310 0.0000000037 0.0000628365 0.0000071239 -0.0000044950 0.0004045734 0.0026357190 -0.0000016631 -0.0000052702 0.0025958107 0.0000220012 0.0026211093
1694527260.71930 0.021940 0.196133 0.609833 -0.042462 -0.060166 -0.526564 0.846940 0.0000154808 0.0000000894 0.0000598589 0.0000069523 -0.0000039779 0.0004051962 0.0026352635 -0.0000014414 -0.0000045522 0.0025941391 0.0000202288 0.0026200224
1694527260.75248 0.029599 0.198506 0.620029 -0.042682 -0.057968 -0.525244 0.847902 0.0000147085 -0.0000000205 0.0000582441 0.0000065926 -0.0000048264 0.0004048094 0.0026338592 -0.0000017501 -0.0000038020 0.0025921656 0.0000177283 0.0026165253
1694527260.78563 0.036290 0.201622 0.630874 -0.045330 -0.058396 -0.521489 0.850050 0.0000149821 -0.0000004080 0.0000592957 0.0000065452 -0.0000071258 0.0004042124 0.0026334140 -0.0000019601 -0.0000030302 0.0025911139 0.0000164509 0.0026157053
