# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1694527259.593559503555298,0.00715,0.00028,0.00106,0.00000,0.00000,0.00398,0.01247
1694527259.625469446182251,0.00632,0.00012,0.00075,0.00000,0.00253,0.00158,0.01131
1694527259.658359289169312,0.00424,0.00015,0.00001,0.00051,0.00000,0.00198,0.00689
1694527259.691761255264282,0.00316,0.00014,0.00004,0.00045,0.00000,0.00163,0.00543
1694527259.724864006042480,0.00338,0.00015,0.00001,0.00047,0.00000,0.00158,0.00560
1694527259.757242679595947,0.00323,0.00014,0.00005,0.00049,0.00000,0.00164,0.00556
1694527259.790096044540405,0.00476,0.00016,0.00019,0.00044,0.00000,0.00197,0.00753
1694527259.822847127914429,0.00452,0.00015,0.00010,0.00042,0.00000,0.00193,0.00712
1694527259.855274677276611,0.00397,0.00018,0.00080,0.00030,0.00618,0.00201,0.01345
1694527259.888394117355347,0.00589,0.00016,0.00023,0.00024,0.00001,0.00195,0.00849
1694527259.921843290328979,0.00406,0.00017,0.00048,0.00019,0.00306,0.00171,0.00967
1694527259.955022811889648,0.00392,0.00016,0.00023,0.00017,0.00172,0.00211,0.00831
1694527259.988270044326782,0.01418,0.00091,0.00198,0.00168,0.00040,0.00691,0.02606
1694527260.021887779235840,0.00529,0.00019,0.00037,0.00063,0.00378,0.00368,0.01394
1694527260.055169820785522,0.00377,0.00017,0.00003,0.00088,0.00000,0.00194,0.00679
1694527260.088451147079468,0.00350,0.00015,0.00015,0.00086,0.00060,0.00247,0.00774
1694527260.121793985366821,0.00367,0.00019,0.00002,0.00103,0.00225,0.00205,0.00921
1694527260.154885292053223,0.00347,0.00017,0.00040,0.00140,0.00342,0.00224,0.01111
1694527260.188085317611694,0.00357,0.00017,0.00029,0.00188,0.00351,0.00189,0.01131
1694527260.221370935440063,0.00384,0.00018,0.00088,0.00263,0.00074,0.00217,0.01045
1694527260.254513740539551,0.00391,0.00019,0.00004,0.00255,0.00169,0.00195,0.01033
1694527260.287787675857544,0.00420,0.00018,0.00104,0.00266,0.00561,0.00199,0.01569
1694527260.320909261703491,0.00360,0.00020,0.00015,0.00331,0.00723,0.00233,0.01682
1694527260.354111909866333,0.00786,0.00020,0.00236,0.00409,0.00587,0.00201,0.02239
1694527260.387308835983276,0.00567,0.00022,0.00014,0.00511,0.00482,0.00227,0.01822
1694527260.420486927032471,0.00360,0.00023,0.00333,0.00592,0.00057,0.00225,0.01590
1694527260.453658819198608,0.01234,0.00052,0.00017,0.00959,0.00000,0.00302,0.02565
1694527260.486864566802979,0.00520,0.00029,0.00024,0.00462,0.00066,0.00278,0.01380
1694527260.520057678222656,0.00551,0.00030,0.00030,0.00568,0.00159,0.00214,0.01553
1694527260.553237199783325,0.00435,0.00020,0.00072,0.00473,0.00421,0.00200,0.01621
1694527260.586435556411743,0.00550,0.00021,0.00318,0.00575,0.00163,0.00200,0.01828
1694527260.619647502899170,0.00363,0.00023,0.00024,0.00583,0.00112,0.00232,0.01336
1694527260.652886152267456,0.00387,0.00024,0.00477,0.00583,0.00137,0.00214,0.01822
1694527260.686104536056519,0.00383,0.00025,0.00025,0.00660,0.00151,0.00216,0.01460
1694527260.719299793243408,0.00347,0.00024,0.00027,0.00681,0.00047,0.00245,0.01372
1694527260.752482414245605,0.00367,0.00023,0.00615,0.00727,0.00009,0.00203,0.01944
1694527260.785634040832520,0.00316,0.00021,0.00002,0.00673,0.00000,0.00209,0.01221
1694527260.818810224533081,0.00382,0.00025,0.00302,0.00743,0.00030,0.00218,0.01701
1694527260.851991415023804,0.00405,0.00022,0.00007,0.00811,0.00000,0.00246,0.01492
1694527260.885188341140747,0.00381,0.00022,0.00152,0.00569,0.00148,0.00214,0.01488
1694527260.918385505676270,0.00666,0.00022,0.00610,0.00515,0.00001,0.00222,0.02038
1694527260.951563596725464,0.00340,0.00022,0.00035,0.00502,0.00066,0.00214,0.01179
1694527260.984782457351685,0.00496,0.00022,0.00014,0.00556,0.00317,0.00212,0.01616
1694527261.018038511276245,0.00359,0.00022,0.00038,0.00518,0.00134,0.00232,0.01303
1694527261.051346302032471,0.01541,0.00050,0.00735,0.00788,0.00266,0.00248,0.03629
1694527261.084666728973389,0.00346,0.00021,0.00019,0.00487,0.00031,0.00222,0.01128
1694527261.117875099182129,0.00398,0.00024,0.00015,0.00514,0.00013,0.00257,0.01222
1694527261.151081800460815,0.00381,0.00021,0.00434,0.00502,0.00244,0.00210,0.01792
1694527261.184264659881592,0.00412,0.00024,0.00014,0.00550,0.00000,0.00192,0.01193
1694527261.217427492141724,0.00342,0.00022,0.00004,0.00474,0.00461,0.00230,0.01533
1694527261.250639438629150,0.00420,0.00027,0.00343,0.00587,0.00031,0.00212,0.01621
1694527261.283837318420410,0.00530,0.00021,0.00026,0.00548,0.00057,0.00193,0.01375
1694527261.317078590393066,0.00353,0.00024,0.00341,0.00561,0.00350,0.00185,0.01815
1694527261.350259065628052,0.00430,0.00030,0.00160,0.00976,0.00025,0.00214,0.01835
1694527261.383419990539551,0.00543,0.00025,0.00095,0.00667,0.00001,0.00217,0.01548
1694527261.416574239730835,0.00342,0.00029,0.00017,0.00625,0.00020,0.00196,0.01230
1694527261.449751377105713,0.00349,0.00021,0.00318,0.00751,0.00155,0.00263,0.01858
1694527261.483194351196289,0.00407,0.00019,0.00419,0.00982,0.00007,0.00267,0.02103
1694527261.516608715057373,0.00380,0.00022,0.00015,0.00606,0.00087,0.00324,0.01435
1694527261.550070047378540,0.00980,0.00039,0.00930,0.00452,0.00000,0.00213,0.02615
1694527261.583501815795898,0.00429,0.00027,0.00053,0.00432,0.00036,0.00227,0.01205
1694527261.616909503936768,0.00369,0.00022,0.00041,0.00430,0.00075,0.00217,0.01154
1694527261.650341033935547,0.00401,0.00021,0.00021,0.00473,0.00493,0.00247,0.01657
1694527261.683808088302612,0.00434,0.00021,0.00023,0.00527,0.00050,0.00203,0.01259
1694527261.717307806015015,0.00432,0.00028,0.00049,0.00413,0.00254,0.00199,0.01375
1694527261.750771522521973,0.00361,0.00021,0.00023,0.00479,0.00235,0.00209,0.01329
1694527261.784207344055176,0.00767,0.00022,0.00017,0.00496,0.00102,0.00227,0.01632
1694527261.817640304565430,0.00355,0.00021,0.00043,0.00436,0.00000,0.00224,0.01079
1694527261.851079940795898,0.00402,0.00022,0.00017,0.00444,0.00367,0.00231,0.01483
1694527261.884465932846069,0.00733,0.00022,0.00013,0.00467,0.00154,0.00206,0.01596
1694527261.917975425720215,0.00439,0.00021,0.00282,0.00499,0.00434,0.00209,0.01884
1694527261.951448202133179,0.00341,0.00025,0.00386,0.00564,0.00222,0.00239,0.01778
1694527261.984871625900269,0.00394,0.00021,0.00079,0.00572,0.00110,0.00255,0.01432
1694527262.018325567245483,0.01160,0.00067,0.00021,0.01835,0.00867,0.00294,0.04244
1694527262.051791191101074,0.00442,0.00022,0.00276,0.00570,0.00240,0.00215,0.01765
1694527262.085328578948975,0.00359,0.00025,0.00016,0.00566,0.00434,0.00209,0.01610
1694527262.118768930435181,0.00381,0.00024,0.00029,0.00796,0.00171,0.00203,0.01605
1694527262.152200222015381,0.00423,0.00025,0.00510,0.00833,0.00000,0.00218,0.02009
1694527262.185640811920166,0.00421,0.00030,0.00146,0.00783,0.00022,0.00257,0.01658
1694527262.219116449356079,0.00369,0.00023,0.00002,0.00696,0.00000,0.00260,0.01350
1694527262.252629280090332,0.00379,0.00030,0.00099,0.00629,0.00024,0.00201,0.01363
1694527262.286129951477051,0.00396,0.00023,0.00488,0.00583,0.00064,0.00201,0.01755
1694527262.319619894027710,0.00377,0.00024,0.00300,0.00606,0.00099,0.00255,0.01662
1694527262.353122472763062,0.00387,0.00023,0.00419,0.00605,0.00072,0.00201,0.01706
1694527262.386582851409912,0.00318,0.00021,0.00007,0.00613,0.00021,0.00224,0.01204
1694527262.420029878616333,0.00359,0.00021,0.00010,0.00675,0.00027,0.00227,0.01318
1694527262.453489303588867,0.00765,0.00026,0.00141,0.00620,0.00263,0.00232,0.02048
1694527262.486929416656494,0.00412,0.00025,0.00176,0.00684,0.00000,0.00288,0.01586
1694527262.520380973815918,0.00459,0.00028,0.00135,0.00585,0.00450,0.00205,0.01861
1694527262.553884267807007,0.00404,0.00020,0.00404,0.00655,0.00262,0.00230,0.01976
1694527262.587354183197021,0.00445,0.00023,0.00056,0.00661,0.00095,0.00225,0.01504
1694527262.620816946029663,0.00408,0.00024,0.00010,0.00735,0.00000,0.00205,0.01383
1694527262.654269933700562,0.00488,0.00021,0.00006,0.00739,0.00164,0.00211,0.01630
1694527262.687735319137573,0.00423,0.00025,0.00408,0.00704,0.00148,0.00214,0.01922
1694527262.721200704574585,0.00394,0.00023,0.00157,0.00976,0.00020,0.00260,0.01830
1694527262.754665136337280,0.00357,0.00022,0.00312,0.00795,0.00034,0.00227,0.01748
1694527262.788111209869385,0.00376,0.00023,0.00002,0.00754,0.00000,0.00198,0.01352
1694527262.821556329727173,0.00962,0.00062,0.01188,0.00981,0.00006,0.00206,0.03405
1694527262.855002403259277,0.00362,0.00027,0.00027,0.00779,0.00000,0.00206,0.01401
1694527262.888470649719238,0.00339,0.00021,0.00010,0.00803,0.00000,0.00223,0.01397
1694527262.921966552734375,0.00322,0.00023,0.00018,0.00802,0.00006,0.00216,0.01389
1694527262.955471038818359,0.00357,0.00022,0.00716,0.00861,0.00154,0.00210,0.02321
1694527262.988946199417114,0.00509,0.00034,0.00018,0.00804,0.00000,0.00222,0.01586
1694527263.022415876388550,0.00453,0.00023,0.00051,0.00703,0.00021,0.00270,0.01521
1694527263.055899858474731,0.01216,0.00068,0.00442,0.01426,0.00009,0.00315,0.03475
1694527263.089380264282227,0.00402,0.00021,0.00371,0.00571,0.00030,0.00207,0.01602
1694527263.122838735580444,0.00383,0.00024,0.00187,0.00483,0.00161,0.00359,0.01597
1694527263.156288385391235,0.00405,0.00029,0.00358,0.00492,0.00054,0.00193,0.01529
1694527263.189740896224976,0.00429,0.00020,0.00135,0.00339,0.00020,0.00212,0.01155
1694527263.223189115524292,0.00404,0.00024,0.00029,0.00347,0.00089,0.00232,0.01125
1694527263.256661891937256,0.00409,0.00027,0.00056,0.00408,0.00082,0.00210,0.01193
1694527263.290179014205933,0.00534,0.00038,0.00053,0.00342,0.00034,0.00220,0.01222
1694527263.323693752288818,0.00463,0.00021,0.00051,0.00319,0.00077,0.00192,0.01125
1694527263.357180595397949,0.00472,0.00023,0.00148,0.00371,0.00183,0.00263,0.01460
1694527263.390643835067749,0.00480,0.00023,0.00103,0.00406,0.00289,0.00232,0.01533
1694527263.424107551574707,0.00432,0.00019,0.00058,0.00275,0.00024,0.00177,0.00984
1694527263.457553863525391,0.00367,0.00024,0.00022,0.00297,0.00055,0.00177,0.00943
1694527263.490731477737427,0.00462,0.00019,0.00022,0.00180,0.00051,0.00215,0.00948
1694527263.523941755294800,0.00390,0.00017,0.00013,0.00134,0.00099,0.00186,0.00838
1694527263.557143688201904,0.00358,0.00020,0.00025,0.00119,0.00302,0.00189,0.01014
1694527263.590417861938477,0.00359,0.00018,0.00016,0.00194,0.00096,0.00199,0.00882
1694527263.623688459396362,0.00403,0.00018,0.00016,0.00139,0.00025,0.00213,0.00814
1694527263.656975030899048,0.00402,0.00019,0.00041,0.00145,0.00127,0.00198,0.00933
1694527263.690227270126343,0.00407,0.00020,0.00010,0.00175,0.00102,0.00222,0.00935
1694527263.723488807678223,0.00352,0.00017,0.00015,0.00190,0.00006,0.00209,0.00789
1694527263.756715059280396,0.00334,0.00018,0.00012,0.00180,0.00244,0.00203,0.00991
1694527263.789983510971069,0.00372,0.00018,0.00097,0.00206,0.00272,0.00198,0.01163
1694527263.823232650756836,0.00367,0.00020,0.00065,0.00222,0.00000,0.00201,0.00875
1694527263.856475830078125,0.00560,0.00016,0.00211,0.00147,0.00322,0.00190,0.01447
1694527263.889742851257324,0.00377,0.00018,0.00123,0.00115,0.00047,0.00173,0.00853
1694527263.923000335693359,0.00356,0.00016,0.00036,0.00083,0.00167,0.00214,0.00873
1694527263.956265449523926,0.00448,0.00018,0.00025,0.00109,0.00020,0.00205,0.00826
1694527263.989533662796021,0.01127,0.00067,0.00088,0.00329,0.00452,0.00291,0.02355
1694527264.022797107696533,0.00514,0.00015,0.00017,0.00126,0.00022,0.00197,0.00893
1694527264.056057929992676,0.00370,0.00018,0.00010,0.00129,0.00043,0.00196,0.00766
1694527264.089316844940186,0.00357,0.00024,0.00013,0.00134,0.00000,0.00214,0.00742
1694527264.122575521469116,0.00304,0.00015,0.00011,0.00112,0.00010,0.00225,0.00678
1694527264.155837059020996,0.00401,0.00020,0.00023,0.00082,0.00020,0.00220,0.00765
1694527264.189095020294189,0.00420,0.00018,0.00071,0.00039,0.00178,0.00210,0.00937
1694527264.222354173660278,0.00415,0.00015,0.00020,0.00019,0.00008,0.00202,0.00679
1694527264.255624055862427,0.00532,0.00021,0.00011,0.00021,0.00374,0.00193,0.01151
1694527264.288893461227417,0.00334,0.00017,0.00032,0.00031,0.00091,0.00193,0.00698
1694527264.322149038314819,0.00345,0.00017,0.00044,0.00040,0.00086,0.00191,0.00723
1694527264.355402231216431,0.00323,0.00015,0.00009,0.00044,0.00096,0.00206,0.00693
1694527264.388647556304932,0.00458,0.00016,0.00013,0.00042,0.00024,0.00200,0.00755
1694527264.421888828277588,0.00362,0.00016,0.00009,0.00035,0.00082,0.00198,0.00703
1694527264.455142021179199,0.00371,0.00018,0.00015,0.00042,0.00070,0.00230,0.00745
1694527264.488631486892700,0.00430,0.00023,0.00012,0.00028,0.00000,0.00207,0.00700
1694527264.522126197814941,0.00416,0.00017,0.00030,0.00019,0.00032,0.00237,0.00751
1694527264.555617332458496,0.00391,0.00016,0.00068,0.00012,0.00040,0.00183,0.00709
1694527264.589112043380737,0.01170,0.00033,0.00050,0.00031,0.00134,0.00372,0.01790
1694527264.622607469558716,0.00409,0.00015,0.00013,0.00009,0.00051,0.00200,0.00697
1694527264.656103372573853,0.00368,0.00019,0.00006,0.00004,0.00068,0.00203,0.00669
1694527264.689602136611938,0.00385,0.00014,0.00031,0.00000,0.00000,0.00201,0.00631
