# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1693382558.79000 0.018123 0.027230 0.037055 -0.004548 0.035766 0.998873 0.030879 0.0009144896 0.0000001728 -0.0000001434 0.0009145078 -0.0000001148 0.0009144316 0.0210443791 -0.0000003417 -0.0000617768 0.0210440575 -0.0000916138 0.0028380739
1693382558.82013 -0.000453 0.059658 0.048756 -0.003291 0.031580 0.999118 0.027478 0.0000474974 0.0000002864 0.0000029749 0.0000795340 0.0000451706 0.0004784010 0.0031379357 0.0001559299 0.0001064081 0.0027237547 0.0000856511 0.0027296185
1693382558.85370 0.008970 0.061530 0.057208 -0.001995 0.026564 0.999327 0.025234 0.0000460037 0.0000069292 0.0000040442 0.0000439027 0.0000335965 0.0004779378 0.0030764169 0.0001382778 0.0001028057 0.0027093571 0.0000864914 0.0027266426
1693382558.88748 0.018170 0.064048 0.069067 0.001524 0.018194 0.999602 0.021489 0.0000447913 0.0000076894 0.0000040991 0.0000419667 0.0000276836 0.0004769824 0.0030293717 0.0001312139 0.0001101689 0.0027035929 0.0000954832 0.0027393926
1693382558.92158 0.029130 0.065500 0.082288 0.006079 0.009810 0.999788 0.017045 0.0000410948 0.0000073075 0.0000090798 0.0000410921 0.0000214008 0.0004721788 0.0029838411 0.0001264500 0.0001189176 0.0026972422 0.0001046865 0.0027525481
1693382558.95555 0.037027 0.068925 0.096020 0.010330 0.000787 0.999890 0.010644 0.0000358621 0.0000063422 0.0000154626 0.0000414121 0.0000168289 0.0004663316 0.0029427296 0.0001231059 0.0001278426 0.0026913183 0.0001144208 0.0027667038
1693382558.98954 0.044548 0.072886 0.110314 0.013873 -0.006594 0.999871 0.004728 0.0000309100 0.0000045771 0.0000209521 0.0000416249 0.0000127043 0.0004627925 0.0029071722 0.0001211161 0.0001366454 0.0026861364 0.0001227609 0.0027807512
1693382559.02324 0.051538 0.068278 0.112116 0.019802 -0.014809 0.999689 0.003141 0.0000252491 0.0000010696 0.0000216670 0.0000409944 0.0000068370 0.0004539684 0.0028786066 0.0001201630 0.0001455618 0.0026640781 0.0001065825 0.0027631181
1693382559.05731 0.051546 0.070368 0.125610 -0.023425 0.018336 -0.999557 0.000738 0.0000229862 0.0000001695 0.0000273507 0.0000392999 0.0000003003 0.0004478220 0.0028395005 0.0001120108 0.0001504145 0.0026554649 0.0001065175 0.0027643505
1693382559.09136 0.055718 0.073179 0.142452 -0.025121 0.020460 -0.999461 0.005369 0.0000215257 -0.0000002517 0.0000292426 0.0000380829 -0.0000025170 0.0004436460 0.0028086203 0.0001014178 0.0001443771 0.0026444171 0.0001017825 0.0027566928
1693382559.12526 0.054643 0.071631 0.155116 -0.028325 0.023810 -0.999274 0.009066 0.0000194718 -0.0000009654 0.0000289719 0.0000367441 -0.0000054615 0.0004371753 0.0027707937 0.0000822016 0.0001291799 0.0026281517 0.0000878553 0.0027366281
1693382559.15918 0.062016 0.076006 0.174670 -0.028936 0.026231 -0.999111 0.015878 0.0000190076 -0.0000011814 0.0000306907 0.0000367136 -0.0000094269 0.0004355408 0.0027581171 0.0000785316 0.0001291519 0.0026238939 0.0000884346 0.0027443020
1693382559.19301 0.047533 0.067063 0.174713 -0.030748 0.030006 -0.998876 0.020005 0.0000168109 -0.0000007872 0.0000284413 0.0000345554 -0.0000129312 0.0004289316 0.0027254778 0.0000607879 0.0001138545 0.0026087324 0.0000750735 0.0027319519
1693382559.22618 0.057136 0.074383 0.191507 -0.029881 0.035440 -0.998587 0.025983 0.0000148513 -0.0000024282 0.0000281580 0.0000263857 -0.0000214760 0.0004229702 0.0027002343 0.0000523339 0.0001049008 0.0025973453 0.0000622327 0.0027079393
1693382559.25959 0.065217 0.080828 0.214403 -0.029067 0.039161 -0.998393 0.028856 0.0000143746 -0.0000030158 0.0000280912 0.0000255583 -0.0000254298 0.0004219861 0.0026902391 0.0000475678 0.0001003752 0.0025945409 0.0000596534 0.0027087123
1693382559.29300 0.073911 0.089448 0.242487 -0.026919 0.041325 -0.998333 0.029985 0.0000132437 -0.0000034362 0.0000265672 0.0000233260 -0.0000284838 0.0004201462 0.0026751905 0.0000401219 0.0000912407 0.0025898345 0.0000536700 0.0027032865
1693382559.32616 0.082177 0.095031 0.268342 -0.024133 0.040706 -0.998442 0.029578 0.0000126430 -0.0000033240 0.0000243256 0.0000227987 -0.0000285975 0.0004202173 0.0026662934 0.0000357547 0.0000855540 0.0025879837 0.0000509703 0.0027011232
1693382559.35932 0.091283 0.099523 0.295234 -0.022022 0.037502 -0.998671 0.027660 0.0000114510 -0.0000030000 0.0000217459 0.0000211439 -0.0000262913 0.0004177292 0.0026549527 0.0000305928 0.0000759961 0.0025841680 0.0000458364 0.0026926414
1693382559.39278 0.101900 0.104767 0.325041 -0.020274 0.032789 -0.998932 0.025475 0.0000110467 -0.0000025861 0.0000210480 0.0000192153 -0.0000226917 0.0004179459 0.0026446882 0.0000262159 0.0000681175 0.0025828643 0.0000430147 0.0026883635
1693382559.42629 0.109286 0.107775 0.351904 -0.017764 0.026867 -0.999201 0.023672 0.0000106275 -0.0000020859 0.0000192602 0.0000180069 -0.0000187239 0.0004182816 0.0026367092 0.0000223344 0.0000624371 0.0025822568 0.0000408669 0.0026869003
1693382559.45976 0.118456 0.110025 0.382076 -0.014703 0.021711 -0.999394 0.022895 0.0000097631 -0.0000014894 0.0000164533 0.0000164594 -0.0000151384 0.0004176248 0.0026276120 0.0000192380 0.0000555953 0.0025816234 0.0000389609 0.0026835066
1693382559.49314 0.122070 0.110667 0.406535 -0.011823 0.018761 -0.999469 0.023890 0.0000091470 -0.0000009339 0.0000131044 0.0000155410 -0.0000128825 0.0004175335 0.0026211165 0.0000164928 0.0000508641 0.0025820028 0.0000377199 0.0026827607
1693382559.52646 0.127541 0.110706 0.432073 -0.009420 0.019495 -0.999445 0.025315 0.0000085522 -0.0000005965 0.0000110094 0.0000144032 -0.0000131127 0.0004169291 0.0026151852 0.0000143773 0.0000464759 0.0025817825 0.0000363380 0.0026817307
1693382559.55990 0.132965 0.110989 0.458401 -0.007168 0.022088 -0.999400 0.025697 0.0000082313 -0.0000004700 0.0000093519 0.0000140075 -0.0000154792 0.0004163153 0.0026110505 0.0000129223 0.0000442964 0.0025823398 0.0000360587 0.0026844666
1693382559.59342 0.138577 0.112128 0.487032 -0.005819 0.024960 -0.999337 0.025875 0.0000080075 -0.0000003838 0.0000081602 0.0000136594 -0.0000180628 0.0004157593 0.0026075391 0.0000115444 0.0000425469 0.0025830438 0.0000358940 0.0026881608
1693382559.62698 0.142012 0.113192 0.514179 -0.004791 0.027114 -0.999278 0.026191 0.0000077512 -0.0000002767 0.0000067973 0.0000132464 -0.0000200035 0.0004151877 0.0026045156 0.0000103364 0.0000411558 0.0025839110 0.0000358920 0.0026923979
1693382559.66048 0.144107 0.114509 0.541418 -0.001923 0.028920 -0.999191 0.027872 0.0000075375 -0.0000000815 0.0000041326 0.0000128392 -0.0000215953 0.0004148025 0.0026023192 0.0000094499 0.0000407106 0.0025846570 0.0000361566 0.0026985223
1693382559.69381 0.148479 0.116820 0.571007 -0.000056 0.030303 -0.999076 0.030487 0.0000073816 0.0000000407 0.0000028471 0.0000123579 -0.0000227753 0.0004143229 0.0026006632 0.0000086735 0.0000405032 0.0025852569 0.0000364969 0.0027052040
1693382559.72725 0.152656 0.119154 0.599969 0.000172 0.032591 -0.998943 0.032415 0.0000071815 0.0000001088 0.0000022849 0.0000119937 -0.0000246890 0.0004134514 0.0025992603 0.0000078710 0.0000403321 0.0025860119 0.0000369243 0.0027120437
1693382559.76045 0.156251 0.121428 0.628886 -0.001911 0.034829 -0.998827 0.033598 0.0000071014 0.0000000391 0.0000037056 0.0000118864 -0.0000268105 0.0004128535 0.0025986209 0.0000071384 0.0000407290 0.0025870719 0.0000375185 0.0027200674
1693382559.79400 0.159643 0.123656 0.656710 -0.005906 0.036824 -0.998688 0.035082 0.0000070251 -0.0000001240 0.0000066315 0.0000117482 -0.0000286398 0.0004120520 0.0025982715 0.0000065095 0.0000414112 0.0025878945 0.0000383375 0.0027289072
1693382559.82754 0.162884 0.126182 0.684621 -0.008818 0.038301 -0.998557 0.036593 0.0000070490 -0.0000002970 0.0000088923 0.0000115307 -0.0000297934 0.0004117327 0.0025984555 0.0000058151 0.0000425252 0.0025892032 0.0000390247 0.0027385736
1693382559.86108 0.164100 0.131078 0.710166 -0.012751 0.037481 -0.998452 0.039064 0.0000071401 -0.0000005108 0.0000119337 0.0000111464 -0.0000301229 0.0004113962 0.0025989757 0.0000052310 0.0000439218 0.0025905409 0.0000398081 0.0027488187
1693382559.89450 0.165209 0.132881 0.735393 -0.014945 0.036814 -0.998337 0.041760 0.0000071968 -0.0000005335 0.0000132480 0.0000108747 -0.0000291863 0.0004114480 0.0025999853 0.0000045283 0.0000453347 0.0025917483 0.0000405419 0.0027587781
1693382559.92802 0.167520 0.135325 0.760495 -0.016992 0.035387 -0.998220 0.044906 0.0000072844 -0.0000006239 0.0000151975 0.0000105779 -0.0000280036 0.0004113398 0.0026007503 0.0000041318 0.0000467029 0.0025929295 0.0000413190 0.0027689719
1693382559.96156 0.169636 0.137381 0.783851 -0.019474 0.033123 -0.998091 0.048348 0.0000074219 -0.0000007040 0.0000172655 0.0000103026 -0.0000266688 0.0004113080 0.0026017316 0.0000036413 0.0000480497 0.0025944340 0.0000420602 0.0027797733
1693382559.99504 0.172089 0.139685 0.805462 -0.023422 0.030227 -0.997919 0.051910 0.0000077154 -0.0000008292 0.0000205644 0.0000099500 -0.0000245290 0.0004111457 0.0026027501 0.0000031958 0.0000492114 0.0025959068 0.0000425814 0.0027895106
1693382560.02840 0.174721 0.142006 0.832061 -0.025972 0.027989 -0.997797 0.054253 0.0000078426 -0.0000008795 0.0000222016 0.0000096605 -0.0000232489 0.0004109917 0.0026037174 0.0000027704 0.0000498548 0.0025972816 0.0000426678 0.0027961188
1693382560.06192 0.176934 0.143045 0.854315 -0.026539 0.026839 -0.997738 0.055625 0.0000078437 -0.0000008750 0.0000226427 0.0000094493 -0.0000223524 0.0004109159 0.0026047928 0.0000023776 0.0000508658 0.0025987538 0.0000430358 0.0028059483
1693382560.09545 0.179309 0.143459 0.875591 -0.026555 0.026047 -0.997756 0.055678 0.0000077885 -0.0000008699 0.0000226551 0.0000092732 -0.0000217501 0.0004108527 0.0026056753 0.0000020960 0.0000516176 0.0026000523 0.0000429841 0.0028138880
