# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1693382558.789998054504395,0.00299,0.00013,0.00065,0.00000,0.00000,0.00140,0.00518
1693382558.820134162902832,0.00343,0.00015,0.00154,0.00000,0.00407,0.00192,0.01111
1693382558.853697538375854,0.00367,0.00016,0.00003,0.00081,0.00000,0.00149,0.00617
1693382558.887479305267334,0.00331,0.00017,0.00008,0.00077,0.00000,0.00154,0.00588
1693382558.921582937240601,0.00360,0.00016,0.00041,0.00078,0.00000,0.00177,0.00672
1693382558.955553293228149,0.00382,0.00017,0.00014,0.00082,0.00000,0.00163,0.00658
1693382558.989535808563232,0.00355,0.00015,0.00009,0.00080,0.00000,0.00158,0.00618
1693382559.023239135742188,0.00479,0.00016,0.00027,0.00082,0.00000,0.00180,0.00784
1693382559.057313680648804,0.00390,0.00022,0.00007,0.00087,0.00188,0.00166,0.00860
1693382559.091359853744507,0.00357,0.00015,0.00020,0.00112,0.00221,0.00185,0.00911
1693382559.125262498855591,0.00380,0.00017,0.00043,0.00127,0.00102,0.00167,0.00836
1693382559.159182071685791,0.00386,0.00018,0.00007,0.00156,0.00082,0.00177,0.00826
1693382559.193006515502930,0.00370,0.00017,0.00028,0.00146,0.00260,0.00320,0.01141
1693382559.226181030273438,0.00411,0.00021,0.00014,0.00166,0.01139,0.00208,0.01960
1693382559.259588956832886,0.00466,0.00027,0.00031,0.00325,0.00000,0.00189,0.01038
1693382559.292999982833862,0.00381,0.00018,0.00067,0.00303,0.00384,0.00207,0.01361
1693382559.326157331466675,0.00406,0.00025,0.00036,0.00367,0.00140,0.00187,0.01161
1693382559.359318494796753,0.00401,0.00024,0.00021,0.00418,0.00142,0.00170,0.01177
1693382559.392775774002075,0.00324,0.00018,0.00028,0.00413,0.00416,0.00183,0.01382
1693382559.426285743713379,0.00392,0.00021,0.00002,0.00496,0.00194,0.00200,0.01305
1693382559.459758043289185,0.00365,0.00018,0.00041,0.00477,0.00180,0.00203,0.01284
1693382559.493135452270508,0.00376,0.00021,0.00035,0.00492,0.00029,0.00185,0.01137
1693382559.526460170745850,0.00411,0.00020,0.00021,0.00435,0.00659,0.00207,0.01752
